index,new_review
0,맛2 / 양2 / 배달2 / 맛있고 포장도 좋아요 잘 먹었습니다.
1,맛2 / 양2 / 배달2 / 김밥 맛있습니다. 감사합니다.
2,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다.
4,맛2 / 양1 / 배달2 / 김밥이 예전보다 작아 진 것 같은데.. 저만 그렇게 생각이 드는 거겠죠?
9,맛2 / 양1 / 배달2 / 양이 조금 아쉬웠는데 맛나게먹엇어요
10,맛1 / 양1 / 배달1 / 잘 먹었습니다 매운김밥에 들어가는 양념장 조금만 넣어주셔도 될것같아요 개인적으로는 좀 많더라구요
11,맛2 / 양2 / 배달2 / 맛있게 잘먹었습니다
15,맛1 / 양2 / 배달2 / 쫄면에 상추.. 반 장도 안되는.. 면도 너무 퍼져있고.. 몇 년째 시켜먹는데 요즘 들어 만족도가 많이 떨어지네요.  고치돈은 괜찮았어요~
17,맛2 / 양2 / 배달2 / 맛있게잘먹었어요 ㅎㅎ
18,맛0 / 양2 / 배달2 / 비빔밥이 너무 부실해요.예전부터 시켜먹었는데 갈수록 부실해지는 것 같아요.사진이랑은 당연히 비교도 안되구요.다른 메뉴는 다 맛있어요.
20,맛1 / 양1 / 배달2 / 잘먹었습니다.
21,맛1 / 양1 / 배달1 / 잘 먹었습니다 감사합니다
23,맛2 / 양2 / 배달2 / 고봉민 항상 애용합니다
24,맛2 / 양2 / 배달2 / 잘 먹었습니다~~~
27,맛2 / 양2 / 배달2 / 맛있급니다~~~~~
28,"맛1 / 양2 / 배달0 / 선지해장국은 짜서 물 넣어도 짠맛이 강해서 못먹고 버렸네요 떡만두국,김밥은 맛있어요"
30,맛0 / 양1 / 배달2 / 쫄면이랑 김밥 자주 시켜먹었는데요 쫄면 두개다 불어서 왔어요.
31,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다
32,맛2 / 양2 / 배달2 / 김밥은 은제나 고봉민
33,"맛2 / 양2 / 배달2 / 언제, 어떤 메뉴를 먹어도 다 맛있어요~"
34,맛2 / 양2 / 배달2 / 맛있게잘먹었습니다 ~
35,맛1 / 양2 / 배달1 / 전에는 일반 김밥도 정말 맛있었는데 오늘 밥이 떡이고 너무 달아서 다들 맛없다고 하네요 재료도 전보다 달라진것같고 가격을 올렸음 맛은 유지해주길
37,맛2 / 양2 / 배달2 / 급하게 먹느라 사진을 뒤늦게 찍었네요. 맛있게 잘 먹었습니다.
38,맛2 / 양2 / 배달2 / 김밥 먹고 싶어서 쭉 보다가 김밥은 고봉민이지 싶어서 시켰는데 여기 맛집이네요김밥이 아주 튼실해요! 시켜먹으십쇼후회 안해요
39,맛2 / 양2 / 배달2 / 맛있어요~~~ 고봉민 믿고먹어요 ㅋㅋ
40,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다 ~4
41,맛2 / 양2 / 배달2 / 맛있게 먹었습니다.
42,맛2 / 양2 / 배달2 / 시장할 때 먹어서 그런지 든든하고 맛있었어요
44,맛2 / 양2 / 배달2 / 자주 시켜먹어요 김밥 맛있습니다
46,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다 ~~
47,맛2 / 양2 / 배달2 / 사진을 급하게 찍어서..;;주무한 모든메뉴 모두! 역시나! 맛있습니다~^^
48,맛2 / 양2 / 배달2 / 돈까스  소스두 짜지두  않구  넘맛있어요김밥은  날이더워서인지  시큼한맛이  났는데  그냥먹었다가  종일배탈땜 고생했어요ㅜ
51,맛2 / 양2 / 배달2 / 고봉민 전반적으로 음식이 다 맛있어요 짱
53,맛1 / 양2 / 배달2 / 맛있구 양많아요! 쫄면 면이 좀 두꺼어영 ㅠ 그래두 넘 맛있음
54,맛2 / 양2 / 배달2 / 김밥은 고봉민이죠~맛있게 잘 먹었습니다^^
58,맛2 / 양2 / 배달2 / 이번엔 배달이 오래 걸리면서 면이 떡이 됐어요. 많이 돌아서 오셨나 봐요.
60,맛2 / 양2 / 배달2 / 맛은 물론이고 배달시간까지 챙겨주셔서 감사합니다
64,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다 ~~~
65,맛2 / 양2 / 배달2 / 잘먹었어용   맛나요
66,맛2 / 양2 / 배달2 / 멋있어요~ 오늘따라 김밥에 돈까스가 질겼어요.
67,맛1 / 양1 / 배달1 / 맛있게 먹었습니다 맛있네요
69,맛2 / 양2 / 배달2 / 오랜만에 고봉민 주문하였는데 배달도 빨랐고 맛도 좋았습니다.
71,맛2 / 양2 / 배달2 / 돈까스 맛있네요 샐러드소스가 좀 새긴했는데 다음엔 잘 챙겨주세요~
73,맛2 / 양2 / 배달2 / 칼국수 정말 맛있었습니다
74,맛2 / 양2 / 배달2 / 배달도 빠르고 맛있습니다
75,맛2 / 양2 / 배달2 / 아이들이좋아해요항상잘먹고있답니다
76,맛2 / 양2 / 배달2 / 항상 아이들과 자주 시켜머거요
77,맛2 / 양2 / 배달2 / 포장 깔끔하게 잘 왔어요
80,맛2 / 양2 / 배달2 / 맛있게잘먹었습니다.
81,맛2 / 양2 / 배달2 / 자주시켜먹는 분식집인데..맛있어요...사이다서비스 감사해요~
82,맛2 / 양2 / 배달2 / 양도 많고 맛있었어요!
83,맛2 / 양2 / 배달2 / 회사 점심으로 간단히 먹기위해 주문했습니다.배달도 빠르고 맛도 좋아 김밥 생각나면 고봉민으로 주문합니다.
86,맛2 / 양2 / 배달2 / 항상 맛있습니다 굿
87,맛1 / 양2 / 배달2 / 솔직히 말하자면 비빔국수는 그냥소면에다가 초장비벼먹는 느낌이었어여
88,맛2 / 양2 / 배달2 / 김밥 옆구리긴 터져써요
89,맛2 / 양2 / 배달2 / 배달 빨라요맛도 좋고 양도 많아요
90,맛2 / 양2 / 배달2 / 맛있어요.  양도 좋아요
91,맛1 / 양2 / 배달2 / 김밥 종류가 다양하여 골라먹는 재미가 있는데..오늘 소시지 김밥에서 돌이 씹혀 먹다 버린 불상사가 있었습니다.입안에서 돌이 씹혀 사진을 남기진 못했지만 고봉민김밥 자주 이용하는데 신경써 주시면 좋겠습니다.
92,맛2 / 양2 / 배달1 / 고봉민김밥은 동료들이 점심에 간단히 먹기 좋다고 좋아합니다.근데 오늘은 주문하고 배달까지 약 1시간 15분정도 걸렸습니다.배달이 늦을까봐 11시도 안된시간에 주문하였는데 12시 다되어서 도착하였어요.
93,맛1 / 양1 / 배달1 / 맛있어요~
96,맛2 / 양1 / 배달1 / 맛있습니다 배달도 예상보다 빠름 굿
98,맛2 / 양2 / 배달2 / 늘 맛있어요~~^^
101,맛2 / 양2 / 배달2 / 김밥은 항상 여기서만 시켜먹어요 속이 꽉찬 김밥
103,맛2 / 양2 / 배달2 / 오랜만에 먹는데 참치가 실해서 좋아요~
104,맛2 / 양2 / 배달2 / 김밥은 고봉민이 맛있습니다.같이 먹을 단무지 요청드렸는데 챙겨주셔서 감사합니다.
105,맛2 / 양2 / 배달2 / 실패 없이 모든 메뉴 다 맛있어요.근데 비빔밥은 항상 소스가 조금 부족해요.
106,맛2 / 양2 / 배달2 / 맛있어요. 자주 시켜 먹는 집이에요.
108,맛2 / 양0 / 배달2 / 쫄면에 야채가 없어도 너무 없네요.양배추는 숟가락 하나 정도 들었고 콩나물은 숨바꼭질을 하려는건지 꼭꼭 숨어서 보이질 않네요.맛은 좋았지만 내용이 넘 부실해서 별점을 많이 줄 수가 없네요..ㅠㅠ이번 배달이 쫄면의 정량이 아니라 한번의 실수였기를 바라네요
109,맛2 / 양2 / 배달2 / 맛잇게 먹엇습니당 ㅎㅎ
110,맛2 / 양2 / 배달2 / #식후감항상 맛있습니다
115,맛2 / 양2 / 배달2 / 맛있어요^^ 다음에 또 시켜먹고싶네요
117,맛2 / 양2 / 배달2 / 김밥이랑 쫄면 잘 먹었습니다
119,맛2 / 양2 / 배달2 / 맛있었어요 또 시켜 먹을게요!
121,"맛2 / 양2 / 배달2 / 새우튀김김밥, 참치김밥 모두 맛있어요"
122,맛1 / 양1 / 배달2 / 전반적으로 다 맛있어여
123,맛2 / 양2 / 배달2 / 배달도 빠르고 맛도 있어요. 매번 이것저것 시도해보는데 맛없는 메뉴 찾기가 힘드네요^^
124,맛2 / 양2 / 배달2 / 무난해요 ~ 좋아요
126,맛2 / 양2 / 배달2 / 좋아요아주좋아요 ㅎㅎ
127,맛0 / 양0 / 배달0 / 수제비 양이 너무 적어요.너무 적어 갯수도 세어봤어요. 반죽을 아주 두껍게 띁어 넣어서 익지도 않아 밀가루맛이 나요. 이런 리뷰 아예 안쓰는데 정말 심해서 씁니다.
129,맛2 / 양2 / 배달2 / 식사 시간에 걸려서 생각보다 배달이 오래 걸리긴 했지만 맛있게 잘 먹었습니다. ^^
131,맛1 / 양2 / 배달2 / 김밥 맛있어요. 떡볶이는 별로인듯
133,맛2 / 양2 / 배달2 / 쫄면 간이 살짝 약하네요
134,맛2 / 양2 / 배달2 / 국수 맛있어요.어머니가 여기 새우김밥을 참 좋아하셔서 사먹었습니다
135,맛2 / 양2 / 배달2 / 김밥은 고봉민!!!!
137,맛2 / 양2 / 배달2 / 고봉민은 뭐를 시켜도 실망시키지 않는다
139,맛2 / 양2 / 배달2 / 김밥 너무 맛있고요국수 양도 아주 많이 주셨어요~배달도 잘 받았어요
140,맛2 / 양1 / 배달1 / 맛있어요~ 비빔국수 맛있어요 가성비 짱이요~!!
142,"맛2 / 양2 / 배달2 / 너무 맛있어요!!! 친절 하시고,, 잘 먹었습니다"
144,맛2 / 양2 / 배달2 / 쫄면 맛있어서 자주 주문해요~~
145,맛2 / 양2 / 배달2 / 맛있어요. 추천합니다
146,맛2 / 양2 / 배달2 / 빠른 배달 감사합니다.
147,맛2 / 양2 / 배달2 / 예상시간보다 빠르게 배달도 해주셨고 돈까스도 바삭하니 맛있었어요
149,맛2 / 양2 / 배달2 / 사진은 못 찍어서 아쉽네요!!역시 고봉민 거를게 없음!! 주문한게 너무 많아서 탕수육 빠진지도 몰랐는데 사장님이 챙겨주시고 늦게 온 탕수육 만큼 더 맛있었습니다
