,new_review
0,맛2 / 양2 / 배달2 / 배달도 빨리 오고 음료도 맛있었어요~
1,맛2 / 양2 / 배달1 / 맛있는 커피 한잔 마시고 행복했어요
2,맛2 / 양2 / 배달2 / 맛있게 잘먹었습니다
3,맛2 / 양1 / 배달2 / 다 아는 빽다방이잖아요~!마시다가 생각나서 찍었어요^^;;;
4,맛2 / 양2 / 배달2 / 항상 빽사이즈라테 먹을때 넣는 시럽양이 있었는데  요청사항도 잘들어주셔서 맛나게 잘먹었어요초코머핀 첨시켜봤는데 맛있네여 라떼랑 찰떡
5,맛2 / 양2 / 배달2 / 제가 잴좋아하는 음료에요 진짜맛있어요
6,맛2 / 양2 / 배달2 / 넘맛잇어요 배달도 빨라요!!
7,맛2 / 양2 / 배달2 / 먹기 전에 찍은 사진이 사라졌네요 배달도 빠르고 맛있습니다!
8,맛2 / 양2 / 배달2 / 이번에도 맛잇게 잘먹었습니다.근데 실링만 조금 신경써주시면 좋겠네요.....음료가 조금 샜네요...
9,맛2 / 양2 / 배달2 / 배달도 빠르고 항상 시켜먹는 곳이에용!!
10,맛2 / 양2 / 배달2 / 배달 빠르고 좋습니다
11,맛2 / 양2 / 배달2 / 시원하게 잘 마셧습니다^^
12,맛2 / 양2 / 배달2 / 커피는 만족!팝콘은  비추입니다. 사이즈 보이죠? 홀더만 합니다.
13,맛2 / 양2 / 배달2 / 음료 맛있고 배달이 엄청 빨라서 좋았어요😌
14,맛2 / 양2 / 배달2 / 최고죠 머  !!!!
15,맛2 / 양2 / 배달2 / 배달도 빠르고 맛있게 먹었습니다
16,맛2 / 양2 / 배달2 / 항상 잘 먹고 있습니다 감사합니다
17,맛2 / 양2 / 배달2 / 맛있었습니다~~~~~
18,맛2 / 양2 / 배달2 / 디저트 쿠키 서비스 맛난 커피 시원하고 따틋하게 잘 마셧지요~~~~👍👍👍
19,맛2 / 양2 / 배달2 / 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요 맛있었어요
20,맛2 / 양2 / 배달2 / 포도쥬스 새로나와 시켜봤어요 안달고 착즙포도쥬스 맛이네요 맛있고 좋아요
21,맛2 / 양2 / 배달2 / 배달도 빠르고 음료도 항상 잘 마시고 있어요~
22,맛2 / 양2 / 배달2 / 맛도 좋고  배달도 빠르고 여기서 자주 먹어야겠어요~
23,맛2 / 양2 / 배달2 / 너무 빨리와서 좋았습니다 굿굿!
24,맛2 / 양2 / 배달2 / 저번에 초코빵 품절이여서 못 시켰었는데 오늘은 있네요! 감사합니당 ◡̎
25,맛2 / 양2 / 배달2 / 배송도 엄청빠르고 깔끔하게 배송 왔어요~그리고 전화문의 드렸는데도 엄청 친절하게 대응 해주셨습니다~~ 자주 이용할게용~~^^
26,맛2 / 양2 / 배달2 / 진짜 자주 시키는데 항상 맨———족
27,맛2 / 양2 / 배달2 / 항상 맛있게 먹습니다🙃🙃🙃🙃
28,맛2 / 양2 / 배달2 / 배달 빠르고 늦게까지 해서 조아용
