,new_review
0,맛0 / 양0 / 배달2 / 요청사항에 소스 많이 좀넣어 달라고 했는데 어쩜 그리 소스가 일도 없이  보내셨는지 어이가 없네요. .뻑뻑하니 힘들게 먹었네요.. 투움바소스 맛으로 먹는데 소스를 아예  안넣으셨나요?  아주 짜증나서  생각만해도 진짜~~요청사항을 꼼꼼히 읽으세요 제발 ~~
1,맛2 / 양1 / 배달2 / 자주 주문하는곳....
2,맛2 / 양2 / 배달2 / 푸라닭은 언제 먹어도 맛있네요.
3,맛2 / 양2 / 배달2 / 넘 푸짐하게 맛있게 잘 먹었습니다 조카들이 너무 좋아하네요~! 배달도 빠르게 되서 따듯하게 먹었습니다 :)
4,맛2 / 양2 / 배달2 / 겉바 속촉 언제나 맛있어요.
5,맛2 / 양2 / 배달2 / 요즘 치킨은 푸라닭만 시켜요 배달도 빠르고 맛도 👍👍👍👍👍👍👍👍👍👍
6,맛2 / 양1 / 배달2 / 프라닭 맛있네요..ㅎㅎ
7,맛0 / 양1 / 배달2 / 지점에서 사먹던거랑 맛  차이가 납니다. 그리고 혹시 담에 주문하면 탄거는 주지 마세요.
8,맛2 / 양2 / 배달2 / 고추마요 너무 맛있어요~~
9,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다
10,맛2 / 양2 / 배달2 / 순살치킨이 튀김옷도 적고 양념도 맛있어요 #식후감
11,맛2 / 양2 / 배달1 / 역시 믿고먹습니다.
12,맛2 / 양2 / 배달2 / 언제나 고소하고 짜지않고 맛있어요^^
13,맛2 / 양2 / 배달0 / 몇번 주문해서 먹어봤지만 오늘 배달은 별로였네요 오다가 엎었는지 양념 다 새어나오고 새어나오는지도모르고 잠깐 소파 올려 놨다가 다 버렸네요
14,맛2 / 양2 / 배달2 / 친구생일이라 보내줬어요ㅎㅎ근데 임신이라 입덧으로....잘못먹었나봐요.맘아픔. 친구집은 개봉인데 광명철산점이가차운가봐요?ㅋㅋㅋ몰랐네요.저도먹고싶네요😔근데 여기지역푸라닭은 그닥이예요.....
15,맛2 / 양2 / 배달2 / 항상여기서만 먹음 일주일에 한번씩먹는게 삶의낙
16,맛2 / 양2 / 배달2 / 지난번 주문해서 먹어봤는데 덜 기름지고 맛있어서 다시 주문해봅니다.식어도 맛있네요.#식후감
17,맛2 / 양1 / 배달2 / 애기 재우고 먹으려고 시켰는데 갑자기 애기가 안자서 30분 늦게 먹었어요 그런데도 맛있습니다 최고!!
18,맛2 / 양2 / 배달2 / 빠르게 잘받았습니다 맛있어요!
20,맛2 / 양2 / 배달2 / 배달도 빠르고 맛있어요
21,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다.
22,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다 배달도 빠르고 좋아요 수고하세요
23,맛2 / 양2 / 배달2 / 느끼하면서 매콤한 맛 정말 맛있습니다.
24,맛2 / 양2 / 배달2 / 맛있게 먹었습니다 감사합니다
25,맛2 / 양2 / 배달2 / 언제나 바삭하고 고소한 맛이에요.비오는 날인데도 배달도 빨리해주시고 잘 먹었습니다.
26,맛2 / 양2 / 배달2 / 푸라닭도 윙봉이 있었네요!!!! 너무 맛있게 잘 먹었습니당
27,맛1 / 양1 / 배달1 / 매번 애들때문에 안매운 치킨만 먹다가 오랜만에 매콤한 시킨먹으니 너무 좋았어요. 다먹어 갈때쯤 좀 느끼하긴하네요.
28,맛2 / 양2 / 배달2 / 처음 시켰는데 너무 맛있네요 자주 시켜먹을께요 감사합니다 사업번창하세요
29,맛2 / 양2 / 배달2 / 맛있었어요 ㅎ 푸라닭은 소스 맛집이네요 블랙반은 역시 맛있었고 투움바는 첨 먹어봤는데 맴찔이인 저에겐 살짝 매콤했지만 그래도 맛있었어요!!!
30,맛2 / 양2 / 배달2 / 닭느님은 
31,맛2 / 양2 / 배달2 / 집에서 거리가 있지만 맛나서 자주 주문해요
32,맛2 / 양2 / 배달2 / 항상 맛있습니다^^
33,맛2 / 양2 / 배달2 / 딸아이가 좋아합니다.
34,맛2 / 양2 / 배달2 / 맛있어요~~~~~~
