,new_review
0,맛2 / 양2 / 배달2 / 너무 맛있게먹었어요
1,맛2 / 양2 / 배달2 / 맛있고양많아요!!!
2,맛2 / 양2 / 배달2 / 주말아침 맛있게 잘 먹었습니다집에있는 김치찌개랑 먹었어요
3,맛2 / 양2 / 배달2 / 아들이 맛나다고 하네요..잘 먹었습니다
4,맛2 / 양2 / 배달2 / 양많고 맛또한 최고입니다
5,맛2 / 양2 / 배달2 / 항정도시락 짱!입니다~!
6,맛2 / 양2 / 배달2 / 잘먹었습니다.
7,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다
8,맛2 / 양2 / 배달2 / 기본찬없이 먹자면 제입장에선 쪼금 짭쪼롬해요~ 그래도 채소 좀 곁들여먹으면 좋음!
9,맛1 / 양2 / 배달1 / 구성품이 가끔 빠져요. 그래도 배달 빠르고 맛남
10,맛2 / 양2 / 배달2 / 늘 맛있네요~!!! 양도 푸짐해서 든든합니다~^^
11,맛2 / 양2 / 배달2 / 양도 많구 맛있었습니당
12,"맛2 / 양2 / 배달2 / 늦은 시간이라 배달까지 조용하게 해주셔서 너무 만족했습니당,,! 맛있었어용"
13,맛2 / 양2 / 배달2 / 냉면이 급땡겨서 주문해서 먹었는데 맛있어요~혼밥대왕에서 비빔밥이나 찌개만 먹었었는데 냉면맛집이네요:)사진은 먹기전에 깜빡하고 중간에 찍었네요ㅋㅋ다음에 또 먹을게요!
14,맛2 / 양2 / 배달2 / 넘 배고파서 사진없이 리뷸 남겨드립니다.넘 맛있게 잘먹었어요
15,맛2 / 양2 / 배달2 / 야식으로 가볍게 먹기 좋아요 계란프라이는 차갑게 식어서 오던데 장국이 낫네용
16,맛2 / 양2 / 배달2 / 맛있습니다. 잘먹었습니다.
17,맛2 / 양2 / 배달2 / 처음 시켜봤는데 맛있네요에정시간보다 빨리와서 더 좋았어요깔끔하고 간도 적당하니 좋아요~
18,맛2 / 양2 / 배달2 / 저번주에 물냉면에 반해서 이번엔 비빔밥을~~  ㅎㅎ  된장찌개도 그렇고  맛있어요~ 주말마다 찾을것 같습니다. ^^👍 👍 👍 👍 👍
19,맛1 / 양0 / 배달1 / 맛은 맛있어서 자주 시켰먹었는데 정식인데 단품으로 왔네요...
20,맛2 / 양2 / 배달2 / 재주문~ 넘 맛잇어요~~
21,맛2 / 양2 / 배달2 / 한국 입국해서 칼칼한게 땡겼는데 너무 맛잇고 칼칼해서 좋았어요!
22,"맛2 / 양2 / 배달2 / 푸짐하고, 맛있네요~만족합니다~!!!"
23,맛2 / 양2 / 배달2 / 맛도 좋고 양도 많고 좋네요!
24,맛2 / 양2 / 배달2 / 예상배달보다 빠르게왔어요~
25,맛2 / 양2 / 배달2 / 이번에도 잘먹었습니다
26,맛2 / 양2 / 배달2 / 양도 많고 맛잇게 잘 먹었습니다.
27,맛2 / 양2 / 배달2 / 양도 꽤 많고 괜찮았어요!
28,맛2 / 양2 / 배달2 / 사장님 맛있게잘먹었습니닿
29,맛2 / 양2 / 배달2 / 와~  너무 맛있어서 깜짝 놀랐네요~~앞으로 물냉면은 여기서만~  >♡<👍 👍 👍 👍 👍
30,맛2 / 양2 / 배달2 / 첨시켜봣는데 맛있게 잘먹엇어요재주문할게요ㅎㅎ
31,맛2 / 양2 / 배달2 / 맵긴한데 맛있었어요
32,맛2 / 양2 / 배달2 / 진짜 먹음직스럽고 맛있게 먹었어요배달도 빠르고 최고네요!
33,맛2 / 양2 / 배달2 / 잘먹었습니다
34,맛2 / 양2 / 배달2 / 잘먹었습니다  ^^
35,맛2 / 양2 / 배달2 / 너무 맛있네요 추천요
36,"맛2 / 양2 / 배달2 / 처음으로 술을 과하게먹어 머리도아프고  정신없었는데 이걸 딱 먹으니 진짜 머리1도안아프고 정신이 맑아졌어요👍참치도가득,고기도가득👍딱 제가 좋아할맛이였어요 술 먹을때마다 계속 찾게될것같아용"
37,맛2 / 양2 / 배달2 / 언제나 변함없이 맛있습니다~!!! 또 주문할께요~^^
38,맛2 / 양2 / 배달2 / 맛있어요~~~~~~~~
39,맛2 / 양2 / 배달2 / 역시 언제시켜도 맛있어요~~
40,맛2 / 양2 / 배달2 / 배달 빠르고 맛있음 굿굿
42,맛2 / 양2 / 배달2 / 양도 많고 맛도 죠습니다
44,맛2 / 양2 / 배달2 / 오! 둘 다 맛있어요!!
45,맛2 / 양2 / 배달2 / 가격은 내리고 양을 줄여주심이 양 작은분들은 3명도 드실듯 ㅎ
46,맛2 / 양2 / 배달2 / 김찌는 내일먹을거지만 냉면은 진짜 맛있여요
47,맛2 / 양2 / 배달2 / 언제나 맛있네요~푸짐하고 건강한재료에 맛 또한 좋습니다~!!!
48,맛1 / 양1 / 배달2 / 괜찮았습니다 또 먹을래요
49,맛2 / 양2 / 배달2 / 양도 많고 맛있어요!잘 먹었습니다:)
50,맛2 / 양2 / 배달2 / 이집 진국이넹 너무 맛나게 먹었습니다용~!!
51,맛2 / 양2 / 배달2 / 항상 맛있게 잘 먹고있어요
52,맛2 / 양2 / 배달2 / o혼밥대왕o냉면 정말 맛있어요! 육수가 정말 맛있어요!혼밥대왕 구로점만의 독특한 육수 같아요!찌개도 맛있게 먹었습니다!
53,맛2 / 양2 / 배달2 / 수저를 안챙겨주셧어요ㅠㅠㅠㅠ
54,맛2 / 양2 / 배달2 / 정말 맛있어요. 배달음식이  이렇게 맛있는건 드운데 정말 돈이 아깝지 않습니다. 번창하시고 꾸준히 맛 유지해주세요
55,맛2 / 양2 / 배달2 / 언제나 맛있네요. 푸짐하게 든든히 잘 먹었습니다~^^
56,맛2 / 양2 / 배달2 / 배달이 빨라서 리뷰도 금방 못썼어요..잘 먹었습니다 ✌️ 앞으로 종종 시켜먹을듯
57,맛2 / 양2 / 배달2 / 매우 만족합니다. 다음에 또 이용합니다
58,맛2 / 양2 / 배달2 / 매우만족합니다. 다음에 또 이용합니다.
59,맛2 / 양2 / 배달1 / 배달이 좀 늦었지만 맛있어요!!
60,"맛2 / 양2 / 배달1 / 김치찌개 단품을 시켰는데 공기밥이 오지않고 김치찌개만 왔었습니다.항상 많이 시켜먹는 곳이고 맛이 있는 가게였기에 대처도 시원시원하게 바로 밥을 보내주시기를 기대했습니다.허나 밥이 없다고 전화를 하였을때 돌아온 답변은 본인이 다 확인했고 그럴리가 없다, 밥이 없으면 식사를 어떻게 하셔요.., 밥 하나만 가면 배달료가.. 이런식의 답변으로 5분간 대화 하셨습니다.음식은 정말 맛있지만 대처가 실망스러웠습니다. 다음에는 더 좋은 대처를 보여주시어 음식의 맛도, 친절함도 만점인 혼밥대왕 구로점이 되어주시길 바랍니다."
61,맛2 / 양2 / 배달2 / 맛있어요~~~~~~
63,맛1 / 양2 / 배달2 / 찌게가 너무 맛있어요 👍👍👍쌀밥만 어떻게 관리 좀해야겠어요  두번 시켰는데 밥이 말라서 왔더라구요부대찌게는  인정합니다
64,맛2 / 양2 / 배달2 / 맛있습니다~~~!!
