,new_review
0,맛2 / 양2 / 배달2 / 맛있어요 ㅜ 맛있어요 ㅜ
1,맛2 / 양2 / 배달2 / 맛있어요 잘먹었습니다 감사합니다 ㅎㅎ
2,맛2 / 양1 / 배달2 / 초밥하고 회덥밥 맛있네요.서비스로 주신 우동은 간도 맞고 무난한 맛입니다.
3,맛2 / 양2 / 배달2 / 아쥬맛있었늡니당!!
4,맛2 / 양2 / 배달2 / 맛있게 먹었습니다.
5,맛2 / 양1 / 배달2 / 초밥이 부드럽고 너무 맛있어요~또 먹고 싶어지네요사진을 못찍어서 아쉽네요 ㅠㅠ
6,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다~ 배달도 빠르구요.
7,맛1 / 양2 / 배달2 / 맛있게 먹었어용!
9,맛2 / 양2 / 배달2 / 음식도 다 맛있고 배달도 빨리 오셨어요
10,맛2 / 양1 / 배달2 / 음쏘굳 역시 광어지느러미 너무 맛도리
12,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다. 다음에 또 주문할게요 !
13,맛2 / 양2 / 배달2 / 요새 이집 초밥에 빠졌네요. 밥양도 적당하고 맛있어요
14,맛2 / 양2 / 배달2 / 배달 빠르고 맛있네요 좋아요~
15,"맛2 / 양2 / 배달2 / 연어롤, 새우튀김롤 둘 다 양 엄청많고 맛있어요!!"
18,맛2 / 양2 / 배달2 / 찐맛 맛있다 다시생각해봐도 맛있다
20,맛2 / 양2 / 배달2 / 역시 맛있습니다👍👍👍👍👍
21,"맛2 / 양2 / 배달1 / 초밥  맛잇어요 우동 국물  진하고 면이 맛있어요 꼭 시키시길락교는 아삭하지않아서 식감이별로....  초생강은 다른데랑 좀 다른거같앗는데 우동,초밥 다 잘어울렸어요 와사비도 특별햇구요ㅎ"
22,맛2 / 양2 / 배달2 / 초밥이랑 모밀 모두 맛있어요~
23,"맛2 / 양2 / 배달2 / 다 맛있지만  성게알 초밥,  연어알 초밥은 레전드네요!"
24,맛2 / 양2 / 배달2 / 초밥 신선하고 맛있어요 잘먹었습니다!
25,맛2 / 양2 / 배달2 / 맛나게잘먹었습니다!!!
26,맛1 / 양2 / 배달2 / 맛 있어요. 초밥안에 와사비가 들어 있어서 아이랑 같이 못 먹으니 아쉽네요.
27,맛2 / 양2 / 배달2 / 캡 짱 너무너무눠ㅜ마싯
29,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다~~~!!
31,맛2 / 양2 / 배달2 / 연어 뱃살 맛있네요 ㅎㅎ
32,맛2 / 양2 / 배달2 / 야무지게 먹었습니다
33,맛2 / 양2 / 배달2 / 어제도 오늘도 마싰습니다
34,맛2 / 양2 / 배달2 / 일단 초밥 너무 신선하고요 특히 배달이 너무 일찍 와서 좋네요 ㅎㅎ
36,맛2 / 양2 / 배달2 / 맛있어요2222222
38,맛2 / 양2 / 배달2 / 오랜만에 먹어도 맛있어요!!!!
39,맛2 / 양2 / 배달2 / 집에서 처음 초밥 주문해서 먹었는데 생각보다 씽씽하고 맛있었어요~부모님이 너무 잘드셔서 기분이 너무 좋았어요
40,맛2 / 양2 / 배달2 / 맛있게 잘먹었습니다
42,맛2 / 양2 / 배달2 / 잘먹었습니다 ㅎㅎㅎㅎㅎ
