,new_review
0,맛2 / 양2 / 배달2 / 너무 맛있지만 털이 좀 많아요  그래도 잘 먹었습니다 감사합니다
1,맛2 / 양2 / 배달2 / 항상맛있게 잘먹습니다
2,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다.
3,맛2 / 양2 / 배달2 / 최고 맛있어요 자주 시킬게요!!!
4,맛1 / 양2 / 배달2 / 양이 많아서 좋았어요~
5,맛2 / 양2 / 배달2 / 리뷰가 늦었어요정말 맛있게 잘 먹었어요
6,맛2 / 양2 / 배달2 / 잘먹었습니당 많이파세용
7,맛2 / 양2 / 배달2 / 맛있게 잘 먹었어요감사해요
8,맛2 / 양2 / 배달2 / 양이 엄청나네요 맛있게 잘먹겠습니다
9,맛2 / 양2 / 배달2 / 가성비도좋고 일단 먹을게 많아서 좋습니다  또 주문할께요
10,맛2 / 양2 / 배달2 / 맛있어용♡♡♡♡♡♡
11,맛1 / 양2 / 배달0 / 맛은보통 배달은 한시간 이십분
12,맛2 / 양2 / 배달2 / 가성비짱~맛나게먹었어요^^
13,맛2 / 양2 / 배달2 / 보쌈집중에 구성 맛 배달 전부제일존ㅅ아요
14,맛2 / 양2 / 배달2 / 잘먹었습니다감사합니다
15,맛2 / 양2 / 배달2 / 맛있게 잘 먹어습니다
16,맛2 / 양2 / 배달2 / 전반적으로 맛있었어요.그런데 역시나 불족발에선 그 돼지냄새? 가 좀 더 나더라구요
17,맛2 / 양2 / 배달2 / 안전하게 와서 맛나게 잘 먹겠습니다.양이 푸짐해서 좋습니다.
18,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다
19,맛2 / 양2 / 배달2 / 리뷰이벤트 약속해서 별 다섯개긴 하지만여기 두세번 시켜먹었을때는 진짜 맛있게 먹었던 기억이 있거든요ㅠㅠ근데 오늘 유독 돼지특유냄새가 많이 나서 너무 아쉬웠어요...🤣🤣
20,맛1 / 양1 / 배달2 / 족발에 털이 좀 보여서 아쉽네요... 하지만 배달은 빠르게 오네요!
21,"맛2 / 양2 / 배달2 / 낙성대에서 10년 자취하면서 매일같이 배달 음식을 먹었어요, 오늘 이사갑니다, 더 이상 여기 족발을 먹을 수 없다는게 너무 슬프네요, 여기 맛 퀄리티 최상이고, 다른 족발집보다 만원 이상 싼데도 구성이나 맛이나 더 좋아요, 여기 진짜 장사 계속 잘 돼셨으면 좋겠어요, 사장님, 그동안 감사했습니다, 너무 친절하셔요."
22,맛1 / 양1 / 배달1 / 양도적당했고 맛있었어요 또시킬게요~
23,맛2 / 양1 / 배달1 / 살코기가 조금 적긴 했지만 맛있게 잘 먹었습니다~
24,맛2 / 양2 / 배달2 / 맛있고 양이 정말 많네요 ㅎ
25,맛0 / 양2 / 배달0 / 편의점에서 파는 족발과 막상막하였습니다
26,"맛2 / 양2 / 배달2 / 정말 맛있게 먹었습니다, 항상 잘 챙겨주셔서 너무 감사합니다 최고의 맛이에요!!"
27,맛2 / 양2 / 배달2 / 푸짐하게 잘 먹었습니다
29,맛2 / 양2 / 배달2 / 양도 많고 맛도 정말 좋습니다
30,맛2 / 양2 / 배달2 / 족발시킬때마다 명인에서 시켜 먹는데 고기가 촉촉하고 좋아요! 거기다 저흰 김치랑 부추를 안먹어서 다른 반찬을 더 달라 했더니!  많이 챙겨줬어요 사장님 감사합니다!
31,맛1 / 양2 / 배달2 / 나쁘지않은데 맛이 2% 모자란 느낌..?ㅠ
32,맛2 / 양2 / 배달2 / 푸짐하고 맛있어요~
33,맛2 / 양2 / 배달2 / 족발 좋네여 맛있게 잘 먹었습니다!
34,맛2 / 양2 / 배달2 / 양도 많고 맛있어요
35,맛2 / 양2 / 배달2 / 처음 시켜먹어 봤는데 양도 푸짐하고 맛있네요~
36,맛2 / 양2 / 배달1 / 잘먹었어요! 많이 파세요ㅎㅎ
37,맛2 / 양2 / 배달2 / 맛있게 잘 먹엇음닭
38,맛1 / 양2 / 배달1 / 구성이랑 가성비가 좋다고 생각합니다하지만 맛은 솔직히 잘 모르겠습니다
39,맛2 / 양2 / 배달2 / 맛잇어요~ 근데 개인적으로 막국수에 참기름을 좀 넣으시면 좋을거같아요 제가 참기름넣으니 훨씬맛잇더라구오
40,맛2 / 양2 / 배달2 / 잘 먹었습니다 주먹밥 안왔어요
42,맛2 / 양2 / 배달2 / 양진짜 푸짐해요. 맛있게 먹었습니다. 배달도 예상시간보다 빨라 좋았습니다.
43,맛1 / 양2 / 배달2 / 푸짐하네요 맛잇게 잘먹엇습니다
44,맛2 / 양2 / 배달2 / 양도 많고 맛있어요ㅎㅎ
45,맛1 / 양2 / 배달2 / 맛있게 잘 먹었습니다.
46,맛2 / 양2 / 배달2 / 제가 이 동네에서 여러군데 족발을 먹어봤지만 단연코 명인왕족발이 제일 맛있고 푸짐하다고 단언합니다 . 강추합니다 사장님 번창 하셔서 계속 영업해주세요!!
47,맛2 / 양2 / 배달2 / 허겁지겁먹느라 사진을 못찍었네요....ㅠㅠ정말 맛있습니다. 또시켜 먹을께요~!!
