,new_review
0,맛2 / 양2 / 배달2 / 짬뽕은 원래 맛집인거 알았고 볶음밥은 처음 주문해봤는데 완존 대박 맛있내요 ㅠ요즘 볶음밥 맛집 없어서 아쉬운데 너무 맛있게 잘먹었슴니다~~사장님 잡채밥도 맛있는데 직접 가서 많이먹지만 배달메뉴엔 없어서 아쉬워요~ 잡채밥도 배달해주세용~
1,맛1 / 양2 / 배달2 / 맛있게 잘 먹었습니다요청사항도 항상 잘 챙겨주시고👍👍👍
2,맛2 / 양2 / 배달2 / 너무 맛있어요 여기짬뽕 최고!!
3,맛2 / 양2 / 배달2 / 짜장면 짬뽕 모두 맛있어요. 다만 다른곳보다 둘딘 더 기름진 편이에요.
4,맛2 / 양2 / 배달2 / 항상 매장에서 먹었는데 시간이 없어서 배달주문 처음해봤어요 역시나 맛있어요잘먹었습니다 최고!!
5,맛2 / 양2 / 배달2 / 배달빠르고 양많아요
6,맛2 / 양2 / 배달2 / 짜장면도 맛있엇고 양도 푸짐해서 다 못먹을정도엿어녀~~^^방금나온듯 따뜻하고 만두도 맛잇엇늠!!
7,맛0 / 양2 / 배달1 / 잡채밥이 거의 기름밥이예요다 버렸어요
8,맛1 / 양2 / 배달1 / 가끔씩 먹을만 할거 같네요. 짬뽕은 다른 일반 중국집보단 좀 나은거 같습니다.
9,맛2 / 양2 / 배달2 / .........!
10,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다.
11,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다
12,맛2 / 양1 / 배달1 / 맛은있는데 배달이 늦어요
13,"맛2 / 양2 / 배달2 / 처음이에요 ~ 탕수육 정말 예술이네요 ~ 튀김반죽이 정말 고소하고 바삭해요~!! 양도 푸짐하고 정말 신선해요 ㅎ 하나 먹자마자 기름 정말 깨끗하다!! 그랬어요~짜장면은 우와~~~~~양이 다른집 곱빼기보다 더 많은거 있죠~ㅋ 짬뽕국물도 조금 주셨는데 와~빠져버렸네요 ㅋ 불향,간,감칠맛 모두 완벽했어요~!! 잡채밥은 ㅎㅎ 역시나 불향과 소스의 조화가 맛의 깊이를 더하네요 ~ 왜 이제야 만났을까 ㅋ 정말 이집은 완벽했어요!! 주방장분 최소 이연복셰프실듯요!! 아 맞다 김치 너~무 맛있었어요! 군내 전혀 없고 감칠맛이 일품이네요!!!"
14,맛2 / 양2 / 배달2 / 맛있게 먹었습니다 딸이 좋아해요
15,"맛2 / 양2 / 배달1 / 짜장, 짬뽕 맛있어요~ 탕수육도 굿~"
16,맛2 / 양2 / 배달2 / 맛잇구 양도  푸짐~~
17,맛2 / 양2 / 배달2 / 굿
18,맛2 / 양2 / 배달1 / 양이 생각보다 많고 맛이좋움.  면은 수타라 쫄깃.
19,맛2 / 양1 / 배달2 / 음식사진이 필요하다는걸 모르고 안찍어뒀네요.. 짜장도 맛있고 탕수육도 맛있어요! 찹살이라 쫄깃쫄깃하고 고기도 두툼해서 좋았습니다. 탕수육 소스가 약간 달다는 생각이 들긴하지만 개인적인 취향이라 그렇게 느껴진거같고 부모님은 맛있다고 하시네요. 매장에서 드셔보신 부모임의 말씀으론 포장도 맛있는데 가서 먹으면 더 맛있다고 하시니 언제한번 가서 먹어봐야겠어요ㅎㅎ
20,맛2 / 양2 / 배달2 / 맛있네요 많이 파세요
21,맛0 / 양0 / 배달1 / 싼 가격도 아니였으며.!!본알도 없구요..음....
22,맛2 / 양2 / 배달2 / 맛있어요 좋아요좋아요 추천합니다
