,new_review
0,맛0 / 양0 / 배달1 / 재료를 많이 아끼시는것 같아요 다시 안시킬듯여
1,맛2 / 양2 / 배달2 / 역시 피자는 도미노
2,맛2 / 양2 / 배달2 / 맛있어요 ㅎㅎ 감사합니다 수고하세요
3,맛2 / 양2 / 배달2 / 핫윙 너무맛있어요! 피자도 맛있게 잘먹었습니다
4,맛2 / 양2 / 배달2 / 역시 다이어트엔 도미노피자
5,"맛1 / 양1 / 배달2 / 엄청 얇긴하네요~ 고기는 좀 작고, 듬성듬성 있는 편입니다.."
6,맛0 / 양0 / 배달2 / 제품 사진에 속아서 시키지 마세요 올려진거 1도 없습니다!!
7,맛2 / 양2 / 배달2 / 배달 출발할 때 도미노에서 알림톡이 오더라구요~ 배달 엄청 빨리 와서 좋았습니다. 잘 먹었어요
8,맛2 / 양2 / 배달2 / 배달도 신속하고 맛도 최고였어요!
9,맛2 / 양1 / 배달2 / 전체적으로 맛잇긴하나 양이살짝 작은느낌이네요
10,맛2 / 양2 / 배달2 / 배달도 빼르고  맛있네요
11,"맛2 / 양2 / 배달2 / 빠른 배송감사합니다. 맛이 너무 있어서, 혼자인데. 네 조각이나 먹었네요~♡. 내일 나뒀다, 또 먹을라고요. 번창하세요!"
12,맛2 / 양2 / 배달2 / 부모님시켜드렸어요ㅎㅎ
13,맛2 / 양2 / 배달2 / 배달 빠르고 맛있어요.
14,맛2 / 양2 / 배달2 / 배달도 빠르고 맛잇게먹엇어요
15,맛2 / 양2 / 배달2 / 잘먹엇습니다 칼배달
16,맛0 / 양1 / 배달0 / 메인 메뉴인데도 아쉬움밀가루 빵이 너무 많고 토핑도 적고 별로였어요
17,"맛1 / 양1 / 배달1 / 피클,소스 필요없다고 했는데 주는건 요청사항을 안보는건지 무시하는건지"
18,맛2 / 양2 / 배달2 / 도우를 잘못 선택했네요.. 잘먹었습니다
19,맛2 / 양2 / 배달2 / 맛나요 맛나~~~~~~~~~~
20,맛2 / 양2 / 배달2 / 도미노는 믿고 먹는 곳인데 다소 치즈가 부실한것같어 아쉽지만 맛은 좋았습니다
21,"맛0 / 양0 / 배달1 / 제가 먹어본 도미노피자중에 이렇게 부실한건 처음 봅니다. 다른지점과 비교했을때, 소스는 거의 없다시피 뿌렸고 토핑도 적습니다. 최악이네요. 두번다신 시키지 않을것 같습니다."
22,맛2 / 양2 / 배달2 / 잘먹었습니다 맛있어요
23,맛2 / 양2 / 배달2 / 역시 맛있네욤!! 잘먹었습니다!
24,"맛0 / 양0 / 배달0 / 방금 시켰는데 너무함 다시는 여기 안 먹을듯 치즈가 하 근처 네임드 피자중 최악 피x헛 , 파파x스가 훨 나은듯 할인 안 받고 피자앱으로 이렇게 왔으면 항의 했음여기 시켜 먹지 마세요"
25,맛0 / 양0 / 배달2 / 진짜 토핑도 적고 치즈도 적고 소스로만 맛낸 피자 같았어요브랜드 피자집들 망하는 이유를 알거같은 피자였어요치킨이나 먹을걸
26,맛0 / 양1 / 배달2 / 모래가 씹힙니다친구가 모래 씹힌다고 밷더니 3조각 남았을때 저도 모래 씹혀서 그만먹음어떻게 만들었길래 모래가 들어갈수 있는건지 거참
27,맛1 / 양1 / 배달1 / 방금 받은 피자인데 포테이토 나폴리 도우인데 치즈가 늘어나지도 않고 뭔가 만들어놓은 피자 같네요.
28,맛2 / 양2 / 배달2 / 배달15분만에 왔네요.
29,맛2 / 양2 / 배달2 / 배달 빨라요 멋있어요
30,맛2 / 양1 / 배달2 / 배달도빠르고맛있는데요이게진짜라지사이즈맞나요?
31,맛2 / 양2 / 배달2 / 맛있게잘먹었습니다
32,맛2 / 양2 / 배달2 / 빠른 배달 굿굿잘 먹었습니다.
33,맛1 / 양1 / 배달2 / 치즈가 없어여 ㅠㅠㅠ
34,맛2 / 양2 / 배달2 / 배달이 너무 빨리왔어요잘 먹었습니당
35,맛2 / 양2 / 배달2 / 도미노 피자 맛있는거 누가 모르겠어요ㅎㅎ 거리가 애매해서 오랜만에 배달시켰는데 뜨끈한 상태로 잘 도착해서 더 맛있게 잘 먹었어요!
36,맛2 / 양2 / 배달2 / 맛있습니다...........
37,맛2 / 양2 / 배달2 / 할인할때는 도미노만한게 없죠
38,맛1 / 양1 / 배달1 / 배달 빠르고 맛있어요.
39,맛2 / 양2 / 배달2 / 예상보다15분일찍왔구요 맛도 역시 도미노입니다최고입니다 너무너무 맛있고요 너무 행복한 첫입 ㅋㅋ 피자한조각이이렇게 감동을 준다니 세상너무행복합니다 앞으로 도미노피자입니다 ^^
40,맛2 / 양2 / 배달2 / 맛있게 잘 먹었어요~
41,맛1 / 양2 / 배달2 / 피자가 맛있네요!!!!
42,맛2 / 양2 / 배달2 / 너무 맛있게 먹느라 먹기전 사진을 잊었네여
43,맛2 / 양2 / 배달1 / 맛있어용!! 할인해서 먹었어요
44,맛2 / 양2 / 배달2 / 뜨끈하게 잘 와서 맛있게 잘막었습니다!!
45,맛2 / 양2 / 배달2 / 70분넘는다길래 마음단단히 먹고있었으나 30분만에 온거같음 좋아요 맛있엉
46,맛2 / 양2 / 배달2 / 도미노피자 할인할때 좋아요
47,맛2 / 양1 / 배달2 / 도우가 씬이라 바삭하고 맛있어요
48,맛0 / 양2 / 배달2 / 밀가루맛 많이남토핑만 때어먹음
49,맛2 / 양2 / 배달2 / 비가 엄청 오는데 피자가 먹고싶어서 주문햇습니다배달하시는분이 너무 친절하셔서서감동했습니다 자주 이용할게요!!!
50,맛2 / 양2 / 배달2 / #식후감감자랑 베이컨이랑모짜렐라 이불덮고크고 동그란 침대에 누워있네사랑의 결실 마요네즈까지완벽하다 이 사랑 허락한다 이 사랑
51,맛0 / 양1 / 배달1 / 1시간 만에 받은 피자가 차갑게 식고 굳어있는 치즈를 보면 당연히 좋게 생각할 수는 없겠죠.차가운 샐러드 먹는 기분이었네요.
52,맛1 / 양2 / 배달2 / 비도 오는데 배달 예상시간보다 빨리와서 따뜻한 피자 맛있게 잘먹었습니다  도미노야 다 아는 맛있니...
53,맛1 / 양1 / 배달2 / 배달은 아주 빠르게 왔고 따뜻하게 왔는데 ..
55,맛2 / 양2 / 배달2 / 피자는 역시 도피~
56,맛2 / 양2 / 배달2 / 한 조각 먹다가 생각나서 사진 찍었네요 맛있게 잘 먹었습니다
57,맛1 / 양1 / 배달1 / 배달빠르고 맛있었어요.
58,맛0 / 양0 / 배달0 / 너무 차갑고 뻑뻑해서 냉동피자 전자렌지 돌려서 온줄.....안녕.... 도미노......
59,맛2 / 양2 / 배달2 / 최고예요.재주문할게요.
60,맛2 / 양2 / 배달2 / 또 주문해 먹었습니다. 맛이 정말 좋습니다.
61,맛2 / 양2 / 배달2 / 맛있게 잘 먹겠습니다
