,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,th**님,37분 전,5,5,5,"정말 맛있게 잘 먹었습니다.
만족했어요. 👍"
1,fo**님,어제,5,5,5,부대떡볶이 최고!!
2,se**님,어제,5,5,5,처음시켰는데 중간맛이 맛있게 매워요! 잘먹었습니다 떡꼬치도 맛있엇고 치즈추가 꼭 해드세요 너무 맛있어요 ㅠㅠ
3,pr**님,5일 전,5,5,5,"양도 많고 맛있습니다.
정성껏 포장해줘서 보온이 잘 됐는지 
먹는 내내 후후 불어 먹고 있습니다 ㅋㅋ
가장 안 매운 맛 시켜도 어느정도 맛있게 매콤하니
참고하시기 바랍니다.(제가 매운 걸 좀 못 먹긴 함)

개취로 쌀떡이라 식감도 좋고 만족스러우나
밀떡 원하시는 분은 참고하시길"
4,96**님,2022년 11월 9일,5,5,5,"재료 아낌없고, 튀김류가 사이즈도 다른 곳보다 크고 통통해서 허겁지겁 먹움.. 굿굿굿 새벽에 떡볶이가 너무 먹고싶아서 시켰는데 대성공함"
5,sa**님,2022년 11월 7일,4,5,5,"배달은 예상시간이 길었는데도 따뜻하게 배달됐어요.
곱창 냄새 안나고 맛있었는데
떡뽁이가 조금 아쉬웠어요.
떡보다는 오뎅이 많이있어서.ㅠ 
오뎅볶음 같았어요;;;
써비스 떡꼬치는 옛날 초딩향수 불러왔어요~^^"
6,ss**님,2022년 11월 6일,5,5,5,"떡볶이 먹은중에 가장 가장가장 제일 맛있어요
떡 왜이렇게 말랑쫀득쫀뜩하죠
어묵도 얇은사각어묵인가봐요 마시쏘용
떡추가도 옵션으로 있으면 좋겠어요!!!!! 
떡이 너어어어어어무 맛있어요
떡고치도 진짜 말랑쫀득매콤달콤매콤달콤

영업시간이 4시부터여서....
가족들 몰래 혼자 점심에 시켜먹고싶은데
먹을수가 없어서 슬퍼요....ㅋ"
7,bi**님,2022년 11월 1일,5,5,5,새벽에 야식으로 맛있게먹었어요
8,po**님,2022년 11월 1일,5,5,5,늘 여기서 잘막고있습니다 감사합니다
9,im**님,2022년 10월 31일,5,5,5,"배달 빠르고,
포장깔끔하게 잘되있고
음식 깨끗하고 맛있어요!
닭발맛집인줄 알았는데
떡볶이도 맛있네욥 ㅎㅎ"
10,kh**님,2022년 10월 31일,5,5,5,"역시 맛이랑 양은 떡볶이중 최고!!!
항상 잘 먹고 있습니다^^"
11,gm**님,2022년 10월 30일,5,5,5,"왁! 서비스로 주신 떡꼬치랑 당면사리 잘 먹었습니다.
무뼈닭발은 처음 먹어봤는데 정말 맛있었어요!!!!
떡볶이는 뭐,, 항상,, 존맛,,"
12,jo**님,2022년 10월 30일,5,5,5,맛닜어요~!~!~~! 양도 충분해요
13,jo**님,2022년 10월 28일,-,-,-,맛있게 잘 먹었습니다
14,py**님,2022년 10월 27일,4,3,1,"닭발은  식 고  콩국운.   터져
악마  닭발  먹엇음
배달이. 빠르면  따뜻하고.  
시원한."
15,al**님,2022년 10월 26일,4,5,5,"우선  빠른배달에  한번 놀라구
맛에  또한번 놀라구
양도 혼자먹기에  양도많아요
정말  맛있게잘먹었어요~~~^^"
16,fo**님,2022년 10월 24일,5,4,5,"행양이 좀적어진 ㅠ
꼬치어묵사리 추가했는데.
떡볶이 안에 들어가는건가요?
띠로 국물도 잇는줄알고 추가한 ㅠ ㅋ"
17,ek**님,2022년 10월 24일,5,5,5,"배달기사분 친절하시고 음식도 따뜻하게 왔어요~
양 많고 맛나요👍"
18,hi**님,2022년 10월 20일,5,5,5,항상 맛있어요 ^^  튀김굿 야끼만두바삭해요  떡볶이도 양념이 잘배서 맛나네여 ㅎ
19,sq**님,2022년 10월 19일,4,5,5,"오늘은 뭔가 국물이 많으면서 맛이 밋밋해요 매운맛 시켰는데
떡볶이도 풀어헤쳐지고.. 그래도 맛있게 잘먹었어요"
20,ha**님,2022년 10월 19일,5,5,5,ㅠㅠ제가 데우다가 다 쏟아버려서 떡볶이는 아쉽게 못먹었지만 튀김 존마탱!!! 오늘 다시 시켜서 도전해보려구요ㅠㅡㅠ
21,eh**님,2022년 10월 17일,5,5,5,"진짜 존맛탱…. 떡보끼 양도 진짜 많고 김말이도 너무너무 맛있었어요ㅠㅠㅠ 여기서 정착해서 먹을것같아요!!!!!!
쪼금아쉬웠던건 날치알주먹밥이 조금 싱거웠고 치즈스틱은 안에 치즈가 아니라 밀가루 같이 느껴졌어요ㅠㅠㅠㅠ
그 두개는 아쉬웠지만 메인인 떡볶이는 진짜 존맛.. 또 시켜목을게요!!"
22,ch**님,2022년 10월 17일,5,5,5,배달도 빠르게 왔고 오시면서 너무 친절하셨어요 ㅎㅎ 양 진짜 어마어마하게 많고 떡이랑 오뎅의 비율이 적절해서 너무 좋았어요 맛있게 잘 먹었습니다~~! 감사합니다 ㅎㅎ
23,ht**님,2022년 10월 16일,5,5,5,배달 빨리 와서 맛있게 잘 먹었습니다
24,ht**님,2022년 10월 16일,5,5,5,떡볶이 너무 맛있어요 잘먹었습니다
25,oe**님,2022년 10월 8일,-,-,-,닭발 너무 먹고싶어했는데 맛있게 먹었습니다^^
26,hi**님,2022년 10월 7일,5,5,5,좀 매운데 곱창 맛있고  부가적인거 맛있어요 ㅎ 잘먹었습니다. 튀김도 일품이네요
27,mo**님,2022년 10월 6일,5,5,5,"야밤에 제 굶주린 배를 달래주었어요.
오뎅이 생각보다 많습니다.🥲 떡이 진짜 맛있어요."
28,jw**님,2022년 10월 5일,5,5,5,맛있게 잘 먹었습니다!
29,po**님,2022년 10월 4일,5,5,5,맛있게잘먹엇어요다음에또먹을게엳
30,wo**님,2022년 10월 4일,5,5,5,이 가게 맛집입니다
31,vo**님,2022년 10월 1일,5,5,5,"아니 이런 실수를... 너무 맛있어 보여서 휴대폰을 볼 틈도 없이 컴퓨터를 보며 먹다가 사진을 안 찍어버렸어요..😂😂 근데 진짜 악마떡볶이 요런저런 메뉴 다 먹어본 사람으로써 진짜 모든 메뉴가 다 맛있어요!🙆‍♀️❣ 그래서 불곱창도 믿고 주문했는데 역시 성공이었습니다ㅎㅎ👊🧡 사장님 오늘도 너무 맛있게 잘 먹었습니다!!🤗💚 다음에 또 찾아뵐게요!!🙇‍♀️💕
(저번에 먹었던 닭발 사진이라도...🤣🤣)"
32,   손님,2022년 9월 30일,3,5,4,"오뎅추간데ㅠ떡꼬치가왔어요
ㅠ 달지만 잘먹었네요 
배달기사 아씨 짱이세요 
야끼만둔딱딱해서
ㅠ 나머진💖💖💖"
33,re**님,2022년 9월 28일,5,5,5,맛있게 잘먹었습니다! 서비스도 감사해요 🙏
34,51**님,2022년 9월 26일,5,5,5,배달빠르게 이번에도 자알 먹었습니다~
35,yh**님,2022년 9월 25일,5,5,5,굳~ 넘조아요~~ 맛나요~~
36,po**님,2022년 9월 24일,5,5,5,양많네요. 애들 먹긴 조금 매워요 ㅎㅎ
37,fo**님,2022년 9월 22일,5,5,5,"신메뉴대박 넘맛있어요 ㅋ
떡꼬치 추가는 필수 ㅋ"
38,fo**님,2022년 9월 19일,5,5,5,두번째 주문인데 너무 맛있었어요!!! 계란이 세개나 들어있어서 계란 사리 하나 추가에 이렇게 많이 주나? 했는데 비엔나 대신 계란을 넣어주신거 같아요 ㅋㅋㅋㅋ^_ㅠ 하지만 너무 맛있게 잘 먹었습니다. 저는 비엔나보다 계란을 더 좋아하거든요!
39,bl**님,2022년 9월 17일,5,5,5,닭발은 역시 악마떡볶이앤닭발 이에요~ 계란찜도 엄청 보들거리고 맛있어요. 추천합니다!!!
40,ju**님,2022년 9월 17일,5,5,5,모든게 완벽했습니다. 배달도 친절해요!
41,zh**님,2022년 9월 16일,5,5,5,"넘넘넘 맛있는 떡볶이집❤️☺️❤️
국물 푸짐하게 주셔서 이것저것 찍먹하기도 좋아요 ❤️
계란 추가 완전 추천합니당❤️❤️❤️
야식으로 매운게 땡겨서 늦은 시간에 주문한 일이 많았는데 항상 신경써서 조리해주시고 배달해주셔서
늘 맛있게 잘 먹었습니다 감사합니다 ❤️"
42,kb**님,2022년 9월 14일,5,5,5,"맛있게 잘 먹었습니다^^
번창하세요~"
43,gm**님,2022년 9월 14일,5,5,5,떡꼬치 잘 먹었슴니다 ㅠ 처음인데 양념 맵달맵달이라 넘 맛있었어요 ㅎ3ㅎ 언제 먹어도 JMT
44,st**님,2022년 9월 13일,5,5,5,"로제는 처음인데 너무맛나요 
튀김도맛있고 맛나게 먹었습니다"
45,cy**님,2022년 9월 10일,5,5,5,"얼큰하고 맛있어요!!!
스트레스  풀리는 맛이네요 ㅎㅎ"
46,js**님,2022년 9월 10일,5,5,5,매운게 땡겨서 주문했어요. 맛있어요~
47,dg**님,2022년 9월 10일,5,5,5,맛나요 또먹고싶어요
48,jw**님,2022년 9월 10일,5,5,5,맛있게 잘 먹었어요~
49,sa**님,2022년 9월 9일,5,5,5,계란에서 조금 냄새났지만 양도 많고 너무 맛있었어요~ 평균이상이에요!!
50,dd**님,2022년 9월 9일,5,5,5,푸짐하고 맛있었습니다 최고입니다
51,su**님,2022년 9월 8일,5,5,5,"맛있게 잘 먹었습니다
양이 참 많았어요
닭발은 조금 매워서 남겨놨네요
계란찜이 진짜 진짜 맛있어요"
52,gh**님,2022년 9월 7일,5,5,5,넘넘넘 맛있어여!!!!!!! 끌리는맛 ㅎ ㅎ ㅎ ㅎ
53,no**님,2022년 9월 6일,5,5,5,"닭발 주문해서 맛있게 잘 먹었습니다 !
친구랑 먹는데 양도 많았습니다~"
54,wo**님,2022년 9월 5일,5,5,5,맛있게 잘 먹었습니다
55,ah**님,2022년 9월 5일,5,5,5,맛있게 먹었습니다.
56,dl**님,2022년 9월 1일,5,5,5,배달빠르고맛있습니다
57,yj**님,2022년 8월 31일,5,5,5,늦게까지하구 배달료도 상대적으로 저렴해서 넘 조아요 바로 먹느라 사진을 못찍었는데ㅠ곱창도 넘 맛잇어요~~!!
58,sh**님,2022년 8월 30일,-,-,-,"자주 먹었는데 순한맛은 처음 
역시 기대를 져버리지 않는 맛이에요"
59,nd**님,2022년 8월 28일,5,3,5,양은 좀 적은데 맛있어요
60,51**님,2022년 8월 28일,5,5,5,떡볶이가 기대이상으로 참맛있네요~
61,kk**님,2022년 8월 27일,5,5,5,"항상 맛있게 먹고 있습니다~
한번도 문제없이 시켜먹었는데, 오늘은 고구마튀김주문을 했는데 만두튀김이 와서 아쉬웠어요ㅠ"
62,fp**님,2022년 8월 27일,5,5,5,배달도 빠르고 언제나 맛있습니다
63,su**님,2022년 8월 27일,5,5,4,"와이프가 좋아하네요
다시 주문할 의사있습니다"
64,ga**님,2022년 8월 25일,-,-,-,쵝오 쵝오 !!!!!
65,hw**님,2022년 8월 23일,5,5,5,"튀김도 ㄹㅇ존맛
항상 믿고 먹는 떡보끼맛집
10번이상 시킴


#식후감"
66,wl**님,2022년 8월 21일,4,5,5,"양이 엄청 많아서 깜짝 놀랐어요!
중간맛 시켰는데 조금 땀이 났어여...! 맛있었어요~
서비스 떡꼬치...말모...><
다음에는 순한맛 시켜볼게요"
67,sq**님,2022년 8월 19일,5,5,5,"다 맛있었어요 근데 1인세트인데 주먹밥만 너무 많아요ㅠㅠ
오뎅많이로 시켰는데 그냥 떡볶이로 시킬껄 먹으면서 후회했습니다. 떡이 별로면 어쩌나싶어서 오뎅많이로 시킨건데
오히려 떡이 쫄깃하니 제 입맛이었네요~
주먹밥양을 좀 줄이시고 차라리 튀김하나를 더 주시는게 좋을꺼같아요. 그냥 제 바램입니다. 아주 맛있게 잘먹었습니다."
68,dl**님,2022년 8월 19일,5,5,5,"배달 빠르고 맛있습니다.
같이 온 냉콩나물국도 맛있었어요"
69,vo**님,2022년 8월 17일,5,5,5,까먹고 리뷰를 좀 늦게 남겼네요ㅠㅠ😂 후잉 죄송합니다 사장님..🥺😭 근데 닭발 진짜 왤케 맛있는거죠?? 아 진짜 집에 있는 마요네즈 챱챱 묻혀 먹으면 극-락이네요...❣원래 악마떡볶이에서 로제떡볶이 주구장창 시켜먹었는데 이제 닭발도 계속 시켜먹을 것 같은 이 느낌...☆🥰
70,sa**님,2022년 8월 16일,5,5,5,맛있게 잘먹었습니다!
71,wi**님,2022년 8월 16일,5,5,5,"첫 주문이었는데 맛있었어요!
제 기준에선 맵기도 좋았어요! (생각보다 조금 매움)
떡이랑 오뎅도 맛있었어요!!!
또 주문할 듯 해요"
72,ji**님,2022년 8월 15일,1,5,5,"로제는 안먹을게요
잘못 만든건지 뭐 취소된 거를 돌려막은건지 떡도 다 풀어지고 이게 뭔가 싶네요"
73,pi**님,2022년 8월 14일,5,5,5,"#식후감
무난해요. 양넉넉하구요. 늦은시간배달감사요"
74,sh**님,2022년 8월 13일,5,5,5,맛있게 잘 먹었습니다.
75,km**님,2022년 8월 13일,5,5,5,"너무좋아요

맛도있고

약간 순한맛 시켜야할듯"
76,st**님,2022년 8월 13일,5,5,5,"너무 좋습니다.
포장도 배달도 맛도 모두 좋아요^^"
77,11**님,2022년 8월 12일,5,4,5,"맛있었어용 굿굿
근데 떡볶이 오뎅많이로 시키면 거의 오뎅만 있어요!
물론 저는 그래서 좋았지만"
