,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,2k**님,5시간 전,4,4,4,"리뷰이벤트 주먹밥 안와서 전화해서 물어보니 하는말이 단품이라 원래 받으면 안되는데 그냥 돈까스 2개만 시켜서 리뷰이벤트가 적용안된다함 ㅋㅋㅋㅋㅋㅋㅋ 어이가없네요.. 진짜 다른곳에선 이렇게 대처안합니다 리뷰이벤트 이럴거면 왜해놓으세요..? 애초부터 처음에 주문 받지 말았어야죠 그럼, 만오천원이 그냥나오는 돈도아니고..."
1,gh**님,21시간 전,5,5,5,맛있게 먹었습니다.
2,my**님,21시간 전,5,5,5,양이 진짜 많아서 남겼네요 맛있었습니다
3,fr**님,어제,4,5,5,"C세트 주문 했는데 돈까스 누락되서 다시받았어요 (근데 24시간 영업하는 곧이라 오히려 가게사장님이 얼마나 피곤하실까 걱정이되더라구여)

일단 떡볶이 자체는 맛이 좀 중독성이 강하고 
생각보다 너무 맵지가 않은거 같애요 
불닭정도라고했는데 너무 안맵더라구요? 그래도 맛이없는건 아니였고 

양이 진짜 미친거같애여.. 보통 치킨 1마리 그냥 다 먹는 편인데 이건 진짜 혼자 다 못먹겠더라구여 반정도 먹고 포기 ㅋㅋ

돈까스도 떢볶이점 이라기엔 굉장히 괜찮았어요
떡볶이 먹고싶을때 이제 여기서 시킬거같애요

잘먹었어용"
4,lm**님,어제,5,5,5,다음엔 매운걸 먹어봐야 겠습니다
5,ps**님,어제,1,5,1,진짜 매장 1키로 금방에서만시키세요
6,ga**님,2일 전,5,5,5,맛 있게 잘 먹었 읍니다
7,ki**님,2일 전,5,5,5,ㅇ음 아이가 오뎅파라...저는 오뎅많이 들어간걸로 알고 시켜줬는데 떡이 엄청많고 오뎅은 별로 많지는 않았다고 하네요 남은거 먹고 있는데 맛은있어요
8,wl**님,2일 전,5,5,5,치즈도 많고 맛있게 잘먹었습니다!
9,ph**님,2일 전,4,4,4,떡볶이랑 만두랑 돈까스도 다 맛있었어요~~ 근데 오뎅으로 시켰는데 이거 오뎅맞나여..? 오뎅은 적고 떡이 아주 많아요😅
10,ga**님,3일 전,5,5,5,맛있게 잘먹었습니다.서비스 주먹밥도 맛있었어요~
11,an**님,3일 전,5,5,5,맛있게 배불리 잘먹었습니다~!
12,na**님,3일 전,5,5,5,"저녁에 뭐먹을까 고민하다가 결국 다시 주문했어여요
항상 달 먹고 있습니다  

맵기 단계를 올렸다가 고생 좀 했어요 ㅎㅎ 다음엔 다시 1단계로 ㅎㅎ
다음에 또봐요"
13,mm**님,3일 전,5,5,5,"전오뎅파인데 이집은유일하게제가떡을먹는집임!
맛있어서어디떡인지알고싶을정도예요ㅠ
담엔반반으로시켜야겠어요ㅋㅋ"
14,ro**님,4일 전,5,5,3,배달기사분이 이상한 곳에 놓고 가신 거 말고는 좋았어요
15,xo**님,4일 전,5,5,5,맛있었어요~ 다음에도 시켜먹을게요!
16,bo**님,4일 전,5,5,5,잘먹엇어영 수분조절이 조금아쉬웟어영
17,qk**님,5일 전,5,5,5,치즈양도 많고 떡볶이도 쫄깃하고 맛있어요~
18,sf**님,5일 전,5,5,5,"떡볶이는 앞으로 7학년으로 갈아타겠습니다.
맛있어요 사장님"
19,jh**님,5일 전,5,5,5,완젼 옛날 학교앞 떡볶이맛 잘먹었습니당
20,ch**님,5일 전,5,5,5,배달이 예정보다 30분 늦게 왔어요 ㅠㅠ 비가 많이 오는날이라 어쩔수 없는거라 생각되고요 양도많고 맛있습니다
21,do**님,5일 전,5,5,5,오돌뼈 불향나고 맛있어요 ㅎㅎ
22,yw**님,6일 전,5,5,5,사장님 맛있게 잘 먹었습니다!! ^^
23,he**님,6일 전,5,5,5,맛있게 잘 먹었어요
24,kd**님,일주일 전,5,5,5,맛있고 양도 많아서 오랜만에 야식 배부르게 잘 먹었습니다.
25,a0**님,일주일 전,5,5,5,사장님 이러다 나 단골되겠어 ㅎ
26,eh**님,일주일 전,5,5,5,맛있게 잘 먹었습니다
27,hc**님,일주일 전,5,5,5,맛있어요.
28,y4**님,2022년 11월 10일,5,5,5,잘 먹었어영 ㅎ주먹밥은 맨날 주다 안 주다 하나봐영
29,lj**님,2022년 11월 10일,5,5,2,맛있게 잘먹었습니다!!
30,zi**님,2022년 11월 9일,4,4,4,양많고 맛이습니다~
31,so**님,2022년 11월 9일,5,5,5,"배달도빠르고
주먹밥도맛있고 너무잘먹었습니다~
또올게요~"
32,lo**님,2022년 11월 9일,5,5,5,맛있어요!!! 떡볶이는 여기서 먹을듯
33,mm**님,2022년 11월 8일,5,5,5,"양짱많음
떡안좋아하는데여기껀맛있음
그리고제일매운맛했는데그렇게맵진않네용ㅋㅋ"
34,jy**님,2022년 11월 6일,5,5,5,너무 ㅁ맛잇어용 ㅠㅠ ㅠㅠㅠㅠ 24시간해서 너무 든든해요ㅠㅠ♥︎♥︎
35,lk**님,2022년 11월 6일,5,5,5,언제나 최고입니다!
36,ku**님,2022년 11월 6일,5,5,5,"너무 맛있어서 사진도 못찍고ㅠ 다먹었어요
늘 감사합니다♡♡"
37,ta**님,2022년 11월 6일,5,5,5,이번에도 맛있게 잘먹었습니다.
38,se**님,2022년 11월 6일,5,5,5,늦은 시간에도 맛있게 먹었네요^^
39,hc**님,2022년 11월 5일,5,5,5,푸짐하게 잘 먹었습니다
40,kh**님,2022년 11월 4일,5,5,2,자주 시키는데 오늘은 요청사항도 안들어주시고 리뷰이벤트도 누락됐어요ㅜ
41,jl**님,2022년 11월 3일,3,4,2,걍 그럼 배달 1시간 걸림
42,   손님,2022년 11월 2일,5,5,5,맛있어요 잘먹었습니다
43,ta**님,2022년 11월 2일,5,5,5,첫주문이었는데 맛있게 잘먹었습니다.
44,77**님,2022년 11월 2일,5,5,5,"늦은시간에 떡볶이가 갑자기 먹고 싶어서 주문했는데 빨리 갖다주셔서 감사합니다.
치즈가 따로 놀고, 떡볶이탕?같은 느낌이었지만 맛있게 잘 먹었습니다."
