,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,y2**님,어제,5,5,5,"맛있어요!   스팸은 아들용이구요
전 계란말이 김밥이요  리뷰용  우동주셨는데  헐 양과 맛이 대박이요  국물이랑  김밥먹으니 진쫘 환상의  조합이네요.전 난곡점에서만 먹어봤는데  배달은 이제  독산점만  이용하기로 했어요!"
1,yo**님,2일 전,5,5,5,맛있게 잘 먹었습니다아~!!
2,s2**님,3일 전,5,5,5,쫄면도 맛있고 김밥도 맛있어요!!
3,ec**님,3일 전,5,5,1,맛있게 잘 먹었습니다!!
4,w0**님,3일 전,5,5,5,아즈 좋습니다 ㅎㅎ
5,ag**님,4일 전,5,5,5,"비오는날에도 빠르고 따뜻하게 배달 잘 왔습니다.
맛있게 잘 먹었어요 ㅎㅎ 우동도 감사합니다."
6,ji**님,4일 전,5,5,5,여기 김밥은 중독성이 있습니다. 리뷰이벤트 우동도 맛있어요
7,ke**님,5일 전,5,5,5,정말 맛있게 잘먹었습니다.
8,ne**님,5일 전,5,5,5,"마늘 떡볶이 특히 맛있구요. 계란김밥도 장아찌랑 먹으니
맛나네요:) 리뷰이벤트 우동 욕심나서 부탁드렸는데 서비스 우동치고 양이 푸짐해서 놀랐네요. 혼자먹기에 굉장히 많은 양이에요!! 굿굿!!"
9,op**님,6일 전,5,5,5,모든면에서 만족합니다
10,ji**님,2022년 11월 8일,5,5,5,땡초김밥이 묘한중독성이 있습니다 ㅎㅎ
11,hi**님,2022년 11월 7일,5,5,5,배달도 빠르고 맛도 굿!!
12,sh**님,2022년 11월 7일,1,1,3,6500원짜리계란말이김밥?너무하네요.우동또한마찬가지구요.실망감이크네요
13,la**님,2022년 11월 6일,5,5,5,"계란김밥 너무 맛있었습니다.
떡볶이가 면하고 떡하고 붙어왔지만....맛있게 잘 먹었습니다.
다음에 다시 시켜먹어볼게요!!"
14,ne**님,2022년 11월 6일,5,5,5,즐거운 식사였습니다^^ 장아찌가 오지 않은 게 좀 아쉽네요 추가로 주문해야겠어요
15,ki**님,2022년 11월 6일,5,5,5,말해 뭐합니까? 짱맛입니다ㅋㅋ
16,gl**님,2022년 11월 3일,5,5,5,문득 고소하고 순한 맛 나는 김밥이 먹고 싶어서 주문했어요. 시큼하고 입 찢어지게 크게 벌려서 먹어야 하고 들어 올리면 자꾸 분해되는 김밥 말고요. ㅎㅎ 리뷰 이벤트로 통 크게 우동도 주셔서 같이 먹으니 넘 맛있었어요. 잘 먹었습니다.
17,sm**님,2022년 11월 3일,5,5,5,맛있게 잘먹었습니다~
18,er**님,2022년 11월 2일,5,5,5,"양도 많고 맛있어요!
땡초 김밥은 매운데 마요네즈 찍어먹으면 더 맛있을거같아요 ㅎㅎㅎㅎ우동도 짱!!"
19,sl**님,2022년 10월 30일,5,5,5,"배갈 엄청빨라요. 따뜻하게 잘먹었어용
우동감사합니당"
20,cl**님,2022년 10월 30일,5,5,5,맛있게 잘 먹었습니다~~
21,ks**님,2022년 10월 30일,2,4,5,"쫄면맛이 별로..,비추입니다..뭐가 빠진맛"
22,si**님,2022년 10월 29일,5,5,5,너무 맛있습니당 최고최고
23,ri**님,2022년 10월 28일,5,5,5,맛있게 잘먹었습니다. 주신 우동도 얼큰하니 맛있네요.
