,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,aa**님,어제,5,5,5,첨시켰는데 맛있게  자알먹었습니다~  종종 시켜먹어야겧어요~
1,pi**님,3일 전,5,5,5,오늘도  맛있게  잘  먹었습니다~~!!
2,ra**님,2022년 11월 6일,5,5,5,"늘 맛있게 먹고 있네요
김밥 맛있어요."
3,do**님,2022년 11월 4일,5,5,5,날치알 김밥 짱맛나요😊
4,bl**님,2022년 11월 3일,5,5,5,맛있게 잘 먹었습니다
5,dn**님,2022년 11월 1일,-,-,-,감사하게먹었습니다
6,25**님,2022년 10월 26일,5,5,5,"떡볶이는 진리에요 
화이트 크림이 돌려줘요  ㅠㅠㅜ"
7,ra**님,2022년 10월 26일,5,5,5,"늘 너무 맛있게
먹네요 늘 변하지 않게
신경 써 주세요"
8,hy**님,2022년 10월 25일,-,-,-,구성알차고 맛있습니다 추천드려요~
9,ps**님,2022년 10월 24일,-,-,-,"짜서 좀 아쉬웠어요.
만두가 두개 들어가있어서 좀 아쉬웠어요."
10,pi**님,2022년 10월 22일,5,5,5,오늘도  잘  먹었습니다~~!!
11,me**님,2022년 10월 22일,-,-,-,김밥이 크고 맛있어요
12,ef**님,2022년 10월 18일,3,3,1,쫄면은 좀 불어서 왔고 함박스테이크......음.............
13,ra**님,2022년 10월 18일,5,5,5,"양도 많고 맛있어요
또 먹을게요"
14,ra**님,2022년 10월 18일,5,5,5,"김밥 너무 맛있어요.
간도 좋은 차돌도 짱"
15,ne**님,2022년 10월 13일,3,5,5,물쫄면만 먹다가 라볶이로 주문해봤는데 물쫄면이 나은 듯.너무 짜서 같이 주신 국물을 다부어서 대충 먹었고.참치김밥은 마요네즈를 안넣은건지 그것 또한 짠맛이 강했음ㅠ
16,pi**님,2022년 10월 12일,5,5,5,오이  들어가는  김밥이  먹고싶어  찾아보다  얌샘을  만났네요~~!!먼길  배달  해  주셔서  감사  드리고요~~!!음식도  정말  맛나게  잘  먹었습니다~~감사합니다~~!!
17,qw**님,2022년 10월 7일,-,-,-,맛있게 잘 먹었습니다
18,po**님,2022년 10월 6일,5,5,5,와 여기 육개장 맛집입니다
19,ga**님,2022년 10월 6일,-,-,-,very good...
20,uf**님,2022년 10월 5일,5,5,5,날치알김밥은 언제 먹어도 항상 맛있어요~
21,si**님,2022년 9월 28일,-,-,-,항상 포장 주문하는데 주문하고 가면 이미 포장이 다 되어 있어서 엄청 좋아요 ㅎㅎㅎ
22,pa**님,2022년 9월 20일,-,-,-,잘먹었습니다. 감사합니다
23,al**님,2022년 9월 19일,4,5,5,생각보다 떡볶이는 조금 뿔어있고 날치알 김밥은 그저그랬어요ㅠㅠ 기본 김밥이 제일 맛있었습니다!!
24,hy**님,2022년 8월 26일,-,-,-,함박스테이크 크기도 크고 구성도 좋아요
25,hy**님,2022년 8월 26일,-,-,-,용기가 바뀌면서 밥 양이 더 많아진거같아요 맛있게잘먹었습니다
26,hy**님,2022년 8월 26일,-,-,-,양도 푸짐하고 맛도 좋아요 만족합니다~
27,ka**님,2022년 8월 25일,-,-,-,포장 빠르게 해주셨고 맛있습니다 양도 많아요!
28,ze**님,2022년 8월 24일,5,5,5,"김밥이 엄청 맛있습니다
배달도 빠르네요
다음에 또 주문 할게요
많이 파세요!!!"
29,yu**님,2022년 8월 24일,5,5,5,맛있게 먹었습니다
30,kb**님,2022년 8월 20일,3,5,5,배달은 빨라요. 김밥은 속이 꽉 차긴했는데 맛은 싱겁고 그저그러네요.
31,db**님,2022년 8월 19일,-,-,-,한 끼 뚝딱ㅎㅎㅎ조아요
32,na**님,2022년 8월 17일,5,5,5,"얌샘김밥의 물쫄면이 올여름에는 냉면을 완전 이겼네요.
정말 대박메뉴입니다."
33,qw**님,2022년 8월 17일,-,-,-,맛있게 잘 먹었습니다
34,bo**님,2022년 8월 13일,5,5,5,잘먹었습니다 추천해용~
35,mo**님,2022년 8월 8일,5,5,5,늘먹던 된장찌개말고 시켜봤는데 넘 맛있게 먹었어요 또시켜야겠어요
36,db**님,2022년 8월 7일,-,-,-,두 끼를 먹을 수 있는.. 가성비 갑ㅠㅠㅎㅎㅎ 가까워서 포장하기 좋네용 #식후감
37,sy**님,2022년 8월 6일,5,5,5,양도많고 맛있어요~잘먹었습니다~
38,a-**님,2022년 8월 1일,5,5,5,모다기랑 쫄면이랑 떡국 먹엇는데 맛잇음
39,la**님,2022년 8월 1일,5,5,5,맛있게 잘 먹었습니다
40,tw**님,2022년 7월 31일,5,4,4,가격은 조금 비싸지만 너무 맛있네요~
41,la**님,2022년 7월 28일,5,5,5,맛있게 잘 먹었습니다
42,pi**님,2022년 7월 22일,5,5,5,이  궂은  날씨에도  그  먼데서도  친절하고  깔끔하게  포장해서  배달해  주시고  김밥  탕슉  두말할  필요없이  맛 보장  이네요~~!!잘  먹었습니다~감사합니다~~!!
43,la**님,2022년 7월 20일,5,5,5,맛있게 잘 먹었습니다
44,es**님,2022년 7월 19일,-,-,-,맛있게 잘 먹었습니다. 쫄면 맛있어요
45,es**님,2022년 7월 19일,-,-,-,맛있게 잘 먹었습니다.
46,su**님,2022년 7월 19일,-,-,-,"맛잇어요.
자주 시켜먹을 예정이여요"
47,ji**님,2022년 7월 17일,5,5,5,배부르게 잘먹었습니다..
48,na**님,2022년 7월 15일,5,5,5,"물쫄면이 완전 별미라 자주시켜먹었는데,
라볶이도 엄청 맛있네요."
49,la**님,2022년 7월 15일,5,5,5,맛있게 잘 먹었습니다
50,la**님,2022년 7월 13일,5,5,5,맛있게 잘 먹었습니다
51,la**님,2022년 7월 9일,5,5,5,맛있게 잘 먹었습니다
52,ti**님,2022년 7월 8일,5,5,5,맛도 배달도 최고입니다 잘먹었네요
53,je**님,2022년 7월 6일,5,5,5,탕수육이 질리지 않고 맛있어욘
54,47**님,2022년 7월 5일,-,-,-,양도 많고 맛있어요
55,la**님,2022년 7월 5일,5,5,5,맛있게 잘 먹었습니다
56,la**님,2022년 7월 4일,5,5,5,맛있게 잘 먹었습니다
