,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,os**님,6시간 전,5,5,5,배달도 빠르고 맛있어요
1,da**님,8시간 전,5,5,5,👍👍👍👍👍👍👍👍👍👍👍
2,ch**님,22시간 전,5,5,5,"너무너무맛잇어요
라면삶아 넣어먹으니 대존맛"
3,dk**님,어제,5,5,5,맛있게 잘먹었습니다
4,lu**님,어제,5,5,5,떡이 맛있어요 무난합니다
5,ho**님,어제,5,5,5,"맛도 GOOD!
서비스도 GOOD!
배달도 빨리와서 따뜻하게 잘 먹었습니다^^"
6,pi**님,2일 전,5,5,5,먹을만해요 치킨 살이 더컸으면해요 조각이 많았어요
7,ho**님,2일 전,5,5,5,"떡볶이를 먹을때는 항상 생각나는 이곳!~
변하는 않는 맛~ 서비스 
믿고 맛있게 먹을수 있는 떡볶이 맛집~
오늘도 주문합니다. 잘 먹겠습니다."
8,th**님,4일 전,5,5,5,엄청 빨리오고 역시 믿고 먹는곳이에요
9,su**님,4일 전,5,4,5,맛나요 맛나요 맛나요. 떡볶이 먹을땐 무조건 여기입니다. 밀떡 진짜 맛나용.
10,ki**님,4일 전,5,5,5,항상언제나 굳굳굳입니다
11,he**님,4일 전,5,5,5,떡볶이 젤 맛있어요~~
12,hk**님,5일 전,5,5,5,오늘도.잘먹슴니다.맛나요
13,kc**님,5일 전,5,5,5,항상 잘 먹고 있습니다 ㅎㅎ
14,ru**님,2022년 11월 10일,5,5,5,"늦은시간 맛있게 
먹었어요!"
15,tl**님,2022년 11월 10일,5,5,5,사장님께 너무 감사해요. 제가 늘 비엔나 빼고 먹는데 이날 요청사항을 깜빡하고 못드렸는데 저를 기억하시고 직접 전화 주셔서 비엔나 빼는 걸 확인해 주셨어요~ 진심 감사합니다. 맛도 좋은데 감동까지 먹었어요~
16,da**님,2022년 11월 8일,5,5,5,"국물이 진짜 어릴적 학교앞 분식집애서 먹던
추억의 맛임.👍👍👍👍👍👍👍👍👍👍👍"
17,ho**님,2022년 11월 8일,5,5,5,"항상 최애하는 치떡 맛집~^^
과하지 않고 떡볶이 양념이 너무 맛있어서
생각날때마다 찾습니다.
항상 맛있는 서비스 감사합니다."
18,jm**님,2022년 11월 7일,5,5,5,"항상 맛있는거 주셔서 잘먹었어요 ㅎ
추가로 계란 시킬수 있었음 좋겠어요ㅋ"
19,ju**님,2022년 11월 7일,5,5,5,맛이시게 잘 먹었어요~
20,os**님,2022년 11월 5일,5,5,5,배달도 빠르고 맛있어요
21,wk**님,2022년 11월 4일,5,5,5,떢볶이 짱 맛잇구요!!! 치즈볼도 넘넘 맛있었어요 다 잘먹었습니다 ㄹㅎㅎ
22,da**님,2022년 11월 3일,5,5,5,굿👍👍👍👍👍👍👍👍👍 다만 모듬튀김에 간장좀 같이 주시길…
23,pd**님,2022년 10월 31일,5,5,5,맛있게 잘 먹었어요~~~ㅎㅎ
24,be**님,2022년 10월 30일,5,5,5,맛있는 떡볶이 인생 떡볶이
25,zh**님,2022년 10월 30일,5,5,5,양이 상당히 많습니다 둘이서 먹어도 배부르네요. 다만 새우튀김은 돈주고 사먹진 않을거 같아요. 잘먹었습니다.
26,ls**님,2022년 10월 30일,5,5,5,맛있습니다 순한맛 시켰더니 입맛이 맞네요 치즈도 고소하구요 치킨도 부들부들 했어요 다만 새우튀김이 사진이랑 실물이랑 좀 다르네요
27,jm**님,2022년 10월 29일,5,5,5,"어묵 많아서 좋아유
매번 잘묵었어유"
28,tj**님,2022년 10월 26일,5,5,5,맛있어욥 콜라랑 감튀서비스까지 조아용! 치킨은 맛있긴한데 좀 많이튀긴느낌?!
29,fa**님,2022년 10월 25일,5,5,5,오랜만에 맛있게 먹었어요
30,ga**님,2022년 10월 25일,5,5,5,딱 적당히 매콤하고 너무너무 맛있어요!!
31,li**님,2022년 10월 24일,5,5,5,"맛있구~양도만족~
서비스로주신 감튀를기대했는데,튀김을시켰는데,또주셔서 풍성하게먹자고 걍만족함.
담엔 감튀로주세욤"
32,hs**님,2022년 10월 23일,4,4,4,맛있어요 괜찮아요~!
33,da**님,2022년 10월 23일,5,5,5,빠른 배달 잘먹었습니다
34,ss**님,2022년 10월 22일,5,5,5,"양도 많고 맛있네요
떡볶이랑 튀김 치킨 다 맛있었어요
잘 먹었습니다"
35,al**님,2022년 10월 21일,5,5,5,로제떡볶이 맛있어요
36,ki**님,2022년 10월 20일,5,5,5,맛있게 자알 먹었습니다
37,os**님,2022년 10월 20일,5,5,5,배달도 빠르고 맛있어요
38,ch**님,2022년 10월 19일,5,5,5,치킨이 넘 바삭하고 맛잇다
39,sj**님,2022년 10월 19일,5,5,5,떡볶이 맛있어요~~~~! 체고
40,sj**님,2022년 10월 18일,5,5,5,맛있게 잘 먹었습니다!
41,hb**님,2022년 10월 18일,5,5,5,언제나 단골집 정말 맛나요 여기
42,kh**님,2022년 10월 17일,5,5,5,진짜 맛익엇어요 ~ 치킨도 !
43,jm**님,2022년 10월 16일,5,5,5,"떡볶이가 알싸한 매운맛이아닌
목이 칼칼한 후추 매운맛이네요ㅎ
목이타들어갑니다ㅋ"
44,li**님,2022년 10월 16일,5,5,5,"핵존맛  쵝오에요👍💯💯
최근 먹어본곳중 1등줄께요~^^
변치말고,맛있게오래 요리해주세욤^^ㅎ"
45,mi**님,2022년 10월 15일,5,5,5,너무 맛있게 잘 먹었습니다
46,ar**님,2022년 10월 15일,5,5,5,치킨도 로제떡볶이도 완벽했어요 맛있게 잘먹었습니다
47,jm**님,2022년 10월 13일,5,5,5,"항상 잘먹고 있습니다
떡볶이가 좀만더 매콤했음 하는
개인적인 바램입니다ㅎ"
48,jj**님,2022년 10월 13일,5,5,5,맛.양 다 나물할께 없네요
49,ju**님,2022년 10월 12일,5,5,5,오랜만에넘맛있게 잘먹엇어요
50,dh**님,2022년 10월 12일,5,5,5,"배고팠는데 배달 빨리 해주셔서 잘먹었습니다!
떡볶이가 일단 구성이 대박이네요
어묵이랑 소세지도 많고 떡이 쫠깃함ㅎㅎㅎ
치킨도 바삭해서 국물에 찍어먹기 딱이었어요~!^^"
51,pd**님,2022년 10월 12일,5,5,5,언제나 시켜 먹어도 맛있네요 ㅎㅎ
52,yo**님,2022년 10월 11일,5,5,5,둘이서 딱 알맞게 잘 먹었습니다~~
53,tl**님,2022년 10월 11일,5,5,5,치떡 너무 좋아요~
54,tl**님,2022년 10월 11일,5,5,5,늘 맛있게 먹고 있어요~~사장님!!!순대&내장도 하시면 더 다양하게 먹을 것 같아욧~~
