,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,be**님,어제,5,5,5,매번 여기 닭발 먹는데 정말 맛있어요
1,do**님,4일 전,5,5,5,다음에 또 시킬게요.
2,lo**님,6일 전,5,4,5,먹는다고...사진을...ㅎㅎㅎ
3,uj**님,2022년 11월 10일,3,3,3,잘먹었습니다!!!!!중간맛도 저에겐 맵네요ㅜ
4,lo**님,2022년 11월 10일,5,4,5,먹느라 쿨피스만 찍었어요ㅎㅎ
5,yj**님,2022년 11월 9일,5,5,5,넘 맛있어요오오오 최공
6,sk**님,2022년 11월 6일,5,5,5,언제나 닭발은 이집이 제일인듣 ㅎㅎ 언제나 재주문입니다
7,nb**님,2022년 11월 6일,5,5,5,"잘받아서
맛있게 잘 먹었습니다"
8,hy**님,2022년 11월 5일,5,5,5,불닭도 맛있어요 불닭 생각날때마다 여기서 주문합니다
9,mi**님,2022년 11월 3일,5,5,5,역시 오돌뼈는 웅이네가 최고입니다
10,sw**님,2022년 10월 31일,5,4,5,"국물이 아니여도 어느정도는 국물이 있는거 같은데 
좀 마른 느낌이 들었어요. 
냉장고에 놔뒀다가 다시 꺼내 먹었는데도 맛있네요"
11,vk**님,2022년 10월 30일,5,5,5,"주먹밥에 뿌려야할 김가루를 안보내주셨고 비닐봉지에 계란 국물도 많이 새어있는 상태였어요ㅜㅜ몇년간 요기요에서 뿐 아니라 타배달업체,매장으로 직접 주문하기 등으로도 웅이네를 즐겨 시켰었는데 오늘 같은 실수는 처음이시네요 일요일 저녁이라 많이 바쁘셨나봐요 그래도 저의 최애맛집 웅이네에 별을 하나라도 뺀다고 생각하면 가슴이 미어지기에 별다섯개 드립니다ㅎㅎ"
12,ly**님,2022년 10월 28일,5,5,5,오돌뼈는 웅이네~ 항상 잘 먹고 있어요
13,ji**님,2022년 10월 26일,5,5,5,"배달이 예상시간보다 빨리와서 그런지 김이 모락모락하네요.^^ 닭발은 물론 주먹밥, 부드러운 계란찜까지 대만족입니다~ 쿨피스도 살얼음지게 주셔서 매운맛 이겨내며 폭풍 흡입했네요~"
14,lg**님,2022년 10월 25일,5,5,5,ㅠㅠ허겁지겁 먹어서 사진을 제대로 못찍었는데 양이 엄청 많고 맛있어요 소분해서 담날도 먹었음
15,pa**님,2022년 10월 24일,5,5,5,맛있었습니다~.
16,tb**님,2022년 10월 23일,5,5,5,웅이네는 사랑이죠♥♥♥♥♥
17,sk**님,2022년 10월 22일,5,5,5,언제나 진심인 맛 ㅎㅎ 다음에도 재주문입니다 .
18,cl**님,2022년 10월 21일,5,5,5,요기서 닭발 이후로 두번째로 시켜먹는데 배달도 빠르고 넘 맛있어요
19,em**님,2022년 10월 16일,5,5,5,웅이네 너무 맛있어요
