,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ej**님,12시간 전,5,5,5,"맛있어요
크림떡볶이 처음이었는디 굿"
1,po**님,어제,-,-,-,맛있게 잘 먹었어요
2,kk**님,어제,5,5,5,역시 엽떡은 맛있어요
3,wn**님,어제,2,3,1,배달이 진짜 너어어어어무 늦어요.
4,a9**님,2일 전,5,5,5,배달빠르고 맛있어요^^
5,sh**님,2일 전,5,5,5,오랜만에 먹었는데 생각보다 맵고 맛잇엇어요
6,tj**님,4일 전,-,-,-,맛있는데 오늘따라 묽었어요
7,th**님,4일 전,5,5,5,"맛은있는데...
바쁘셨는지 젓가락을 요청했는데 안주셔서 젓가락 사먹었습니다 ㅜㅜ"
8,hs**님,4일 전,5,5,5,넘맛있어요❤️🔥 담에 또 시켜먹을게요
9,7r**님,5일 전,5,5,5,맛있어요 배달도 빨리옴 ㅎㅎ
10,au**님,6일 전,5,5,5,항상 시켜먹는 곳입니다. 양도 푸짐하고 배달도 빨라서 좋아요:)
11,kp**님,6일 전,5,5,5,"언제나 맛나요 
배달시켜줘서 사진은 없지만 
다들 맛나게 먹었다구했어요~"
12,ru**님,2022년 11월 9일,5,5,5,맛있어요~ 따듯해도 식어도 맛있음~ 튀김도 맛있고.. 👍
13,go**님,2022년 11월 9일,5,5,5,"간만에 엽떡 맛있게~
역시나 오리지널은 맵다매워"
14,jw**님,2022년 11월 7일,5,5,5,예상시간보다 빨리왓고 마싯어요!!!!!!
15,ky**님,2022년 11월 6일,5,5,5,맛잇어요~~^^~~
16,k2**님,2022년 11월 5일,5,5,5,"엽떡 맛있어요.
순한맛으로 해서 안맵고 맛있게 잘 먹었어요"
17,wk**님,2022년 11월 5일,5,5,5,오랜만에 시켜서 넘 맛나게 먹엇어요!
18,ya**님,2022년 11월 5일,5,5,5,다른지점에서도 먹어보았지만 철산점맛이 더욱맛있는것같아요
19,di**님,2022년 11월 4일,4,5,5,"맛있었는데 맵기 조절을 잘못해주셨어요 
2단계 주문했는데 3단계가 온것같아요
저는 3단계도 어느정도 먹는데 남편은 거의 먹지를 못하거든요. 맵기 조절만 잘 해주시면 될것같습니다 
이걸 쓰면서 저도 매워서 땀흘리고있네요🥲"
20,gr**님,2022년 11월 4일,5,5,5,"여기서는 처음 시킨 것 같은데 맛있네여
양도 많고 배송도 생각보다 빨리왔어요 
좋아요 💗"
21,cl**님,2022년 11월 3일,5,5,5,말해봐야 뭐해~~ 맛만 좋은데
22,yh**님,2022년 11월 2일,5,5,5,맛있는데 좀 매워요~~~
23,ga**님,2022년 11월 2일,5,5,5,"예상시간보다 20분 빨리왔어요!
처음먹는데 너무 맛있네용~~~
자주 땡길거같아요^^"
24,oc**님,2022년 10월 28일,5,5,5,맛있게 잘 먹겠습니다 ^^
25,ga**님,2022년 10월 27일,5,5,5,양많고 맛잇어요 진한짜장소스~ 맵미소스로 맵기조절가능해요
26,ln**님,2022년 10월 26일,5,5,5,맛있게 잘먹었습니다 사업번창하세요
27,jd**님,2022년 10월 25일,5,5,5,맛있어요~~~~~~
28,du**님,2022년 10월 23일,5,5,5,돌아버라겟어요 너무 맛있어요
29,da**님,2022년 10월 22일,5,5,5,주말 저녁이라 많이 늦을 줄 알았는데 배달예상시간보다 굉장히 빨리 도착했고 양도 많아요. 맛있게 잘 먹었습니다.^^
30,sh**님,2022년 10월 22일,5,5,5,양도많고 맛있었습니당
31,kp**님,2022년 10월 22일,5,5,5,맛있어요~ 철산점은 처음인뎅 더 맛있네요 ㅎㅎ
32,da**님,2022년 10월 21일,5,5,5,일 마치고 야식으로 언제나처럼 잘 먹었어요!
33,lo**님,2022년 10월 19일,5,5,5,배달도 빠르고 맛도 좋고 강추강추 합니다
34,la**님,2022년 10월 18일,5,5,5,오자마자 순삭이라 사진을찍을수가 없네요.저희집은 착한맛만 먹는 매운맛 초보이지만 엽기떡볶이 맛좋아요.
35,xo**님,2022년 10월 16일,5,5,5,맛잇어요맛잇어요맛잇
36,to**님,2022년 10월 15일,-,-,-,포장 꼼꼼하게 잘해주셔서 좋아요.
37,th**님,2022년 10월 15일,5,5,5,존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱존맛탱
38,ne**님,2022년 10월 14일,5,5,5,맛있게 잘 먹었어요 ^^
39,sh**님,2022년 10월 14일,5,5,5,엽떡 항상 맛있네용 양도많고좋아요
40,be**님,2022년 10월 12일,5,5,5,배달도 빠르고 포장도 빠르고 맛있어요
41,o2**님,2022년 10월 12일,5,5,5,사진은 못찍었지만 맛있습니다
42,ji**님,2022년 10월 10일,5,5,5,맛있게잘먹었습니다
43,li**님,2022년 10월 10일,5,5,5,너무 빠른 배송과 맛도 짱입니다
44,dr**님,2022년 10월 10일,5,5,5,맛있게 잘먹었습니다. 감사합니다.
45,gk**님,2022년 10월 7일,5,5,5,배달이 빨라서 좋았고 음식도 맛있었습니다.
46,cl**님,2022년 10월 7일,5,5,5,맛있습니다~ 너무나!
47,ch**님,2022년 10월 5일,5,5,5,맛있고 대만족 스러워요!
48,z_**님,2022년 10월 4일,5,5,5,오랜만에 먹으니 정말 꿀맛이었어요 ㅋㅋ 베이컨 추가하면 더더더 맛있어요 ㅎㅎ
49,sh**님,2022년 10월 3일,5,5,5,아 넘 맛있어용 단짠단짠 환상적
50,ch**님,2022년 10월 3일,5,5,5,맛나요♡♡♡♡♡♡♡
51,lk**님,2022년 10월 2일,5,5,5,감사합니다 잘 받았습니다
52,dr**님,2022년 10월 2일,5,5,5,맛있게 잘먹었습니다. 감사합니다.
53,da**님,2022년 10월 2일,5,5,5,맛있게 잘 먹었습니다
54,jy**님,2022년 10월 1일,-,-,-,매운 떡복이가 생각날 땐 동 엽떡이죠 맛있게 잘먹었어요
55,dl**님,2022년 10월 1일,3,3,4,"메추리알은 이제 기본에 안들어가나봐요...
너무 오랜만에 시켜서 그런가~ 아무리 봐도 없더라구요 
떡은 진짜 많네요!  잘먹었어요"
56,ha**님,2022년 10월 1일,4,4,3,맛있어요^^ 오징어튀김도 맛있네요 배달이 예정시간보다 빨리왔는데 국물이 흘려서 왔어요 ㅠㅠ 담에 신경써주세요 그래도 잘먹었습니다
