,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,km**님,16시간 전,-,-,-,시간 잘 맞춰주셨고 맛있어요!
1,ji**님,19시간 전,5,5,5,맛있게 잘 먹었습니다!
2,co**님,3일 전,-,-,-,맛있어요 비싸지만 포장해서 그나마~
3,kb**님,3일 전,4,4,4,배달도 빠르고 맛있네요.
4,in**님,4일 전,5,5,5,"너무 맛있었어요!
스팸모짜렐라말이&쫄면 조합이 완벽합니다"
5,zl**님,2022년 11월 9일,5,5,5,맛남!!!!!@!
6,rl**님,2022년 11월 7일,5,4,5,김치보끔밥 너무 맛나용!!
7,aa**님,2022년 11월 3일,5,5,5,맛있어요 잘 먹었습니다!
8,hs**님,2022년 11월 2일,5,5,5,맛있게 잘 먹었습니다~
9,ku**님,2022년 11월 2일,5,5,5,스프라이트를 주문했는데 빼고 왔네요 다음엔 확인 잘 부탁드립니다
10,v_**님,2022년 11월 1일,5,5,5,맛있게 먹었어용 진짜 학교 앞에서 먹는 느낌 ㅋㅋ
11,zl**님,2022년 10월 31일,5,5,5,맛남~~~~~~~~~~
12,rl**님,2022년 10월 28일,5,4,5,맛있어요! 질먹었습니다!
13,ji**님,2022년 10월 27일,5,5,4,"맛있게 먹느라 다먹어가는판에 사진찍었네요, 배달은 예상시간보다 15분정도 늦게왔지만 따뜻하게 잘먹었습니다"
14,be**님,2022년 10월 23일,5,5,5,너무 맛있어서 사진찍을 생각을 먹다가 했어요. 맛납니당!
15,ma**님,2022년 10월 23일,5,5,5,마리소스가 안왔어요 ㅠㅠ
16,mi**님,2022년 10월 22일,5,5,5,맛있게 잘 먹었습니다!!!+!
17,sd**님,2022년 10월 18일,5,5,5,맛있어요 또 이용할게요 ㅎㅎ
18,km**님,2022년 10월 14일,-,-,-,시간 맞춰주셨고 맛있어요!
19,ki**님,2022년 10월 11일,5,5,5,맛있게  잘 먹었어요
20,10**님,2022년 10월 2일,5,5,5,빅맛ㅠㅠ 역시 다이어트엔 스쿨푸드지
21,cj**님,2022년 9월 22일,4,5,5,쫄면 맛있어요 떡볶이는 좀 매워요
22,td**님,2022년 9월 19일,5,5,5,맛있게 잘 먹었어요
23,gh**님,2022년 9월 19일,5,5,5,맛있게 잘 먹었어요 감사해요
24,to**님,2022년 9월 18일,5,5,5,맛있고 배부르게 잘먹었습니다
25,so**님,2022년 9월 12일,1,1,1,배달이 엉망이네요 예정시간보다15분 늦게도착 벨만누르고 그냥 가버림 뭔가요??두고가는지도 몰랐네요.
26,cy**님,2022년 9월 10일,5,5,5,"추억의 스쿨푸드 올만에 시켜봤는데 역시나 맛있네요 
가격은 비싼편이지만 그래도 잘먹었습니다:)"
27,ki**님,2022년 9월 7일,5,5,5,"맛이 있다 맛이 있어!! 
김밥 종류별로 맛이 각각 매력 넘쳐요

쫄면에 싸드시는거 추천드립니다 육수추가해서 시원하기 마무리!

어트케 안 먹을래?"
28,hi**님,2022년 9월 6일,5,5,5,"맛있게 잘 먹었습니다~
다 먹어버려서 사진은 영수증으로 첨부를...."
29,be**님,2022년 9월 5일,5,5,5,"마요 소스가 안왔었어요.. 그맛에 먹는데
다음에 챙겨주신다하니 잘 부탁드려요
맛있었습니다"
30,iy**님,2022년 9월 5일,5,5,5,처음인데 맛있어요.
31,co**님,2022년 9월 4일,-,-,-,집 앞이라 포장해서 먹는데 매번 따뜻하게 바로 먹을 수 있어서 좋아요!! 오늘도 역시 맛나고 배부르게 다 먹었습니다~ 그리고 삶은계란 챙겨주셔서 감사해요~!!
32,ki**님,2022년 8월 28일,5,5,5,"배달도 빠르고 아주 맛있게 먹었습니다~
특히 매운까르보나라파스타떡볶이는 굿입니다."
33,mi**님,2022년 8월 26일,5,5,5,항상 맛있습니다 자주 시키게되네요
34,mk**님,2022년 8월 25일,5,5,5,스쿨푸드 너무 맛나요~~~
35,52**님,2022년 8월 24일,-,-,-,맛있게 잘 먹었습니다.
36,te**님,2022년 8월 22일,4,4,4,맛있게 잘먹었습니다
37,do**님,2022년 8월 20일,5,5,5,매우 매우 만족했습니다
38,kb**님,2022년 8월 20일,4,4,4,나름 배달도 빠르고 맛있네요.
39,sp**님,2022년 8월 18일,5,5,5,아이들이.맛나게 잘 먹습니다
40,sp**님,2022년 8월 8일,5,5,5,방학이라 자주 이용하는데 아이들이 맛나게.잘 먹습니다
41,mi**님,2022년 8월 7일,5,5,5,"요즘 아이들이 자주 먹더라구요.
먹다가 사진 찍는것도 잊었네요 ㅋ"
42,25**님,2022년 8월 3일,5,5,5,"마싯어용..
만두는 간만에 먹는데 좀 자극적이네요ㅠㅠ
자극적인 거 못 먹거나 삼삼한 거 좋아하시는 분들께는 비추!
자극적인 거 혹은 양념 센 거 좋아하시는 붇들께 강추!"
43,su**님,2022년 8월 1일,4,4,5,자주 이용하는데요 오늘은 떡볶이가 너무 짜서 깜짝놀랐어요 ㅜ 조금만 더 신경써 주세요
44,yu**님,2022년 7월 31일,1,1,5,솔직한 리뷰입니다  컵딱볶이가 먹고싶네요 앙앙
45,co**님,2022년 7월 30일,5,5,5,잘먹었습니다 살짝 매콤해요
46,dk**님,2022년 7월 30일,-,-,-,스쿨푸드는 항상 맛있어요!
47,yj**님,2022년 7월 30일,5,5,5,넘 맛있게 잘먹었습니다 ^^
48,co**님,2022년 7월 30일,5,5,5,잘먹었어요 양이 정말 푸짐합니다
49,jh**님,2022년 7월 29일,5,5,5,순대는 그냥 그랬는데 나머진 다 맛있어요~
50,fd**님,2022년 7월 27일,5,5,5,맛있게 잘 먹고 있어여~~ 영업종료시간에 시켜서 뭔가 죄송했어여ㅠㅠ
51,jh**님,2022년 7월 27일,3,3,2,밥은 잘 왔는데 같이 시킨 음료수가 안왔네요
52,rj**님,2022년 7월 27일,5,5,5,믿고먹는 스쿨푸드..!
53,je**님,2022년 7월 27일,5,5,5,소떡이 빨개서 쫄았는데 안매워서 안심
54,kw**님,2022년 7월 25일,5,5,5,"항상 자주 시켜먹는 스쿨푸드 김밥,,,너무 맛있어요~"
55,vi**님,2022년 7월 25일,4,3,4,가격이 좀 아쉽지만 골고루 먹을수 있어서 괜찮아요
56,a0**님,2022년 7월 24일,5,5,5,여러가지 주문해서 잘먹었어요
57,st**님,2022년 7월 24일,5,3,3,"스팸마리  정말 맛 있었읍니다,떡볶이는 조금 짜요"
