,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,bl**님,56분 전,4,4,4,아이들 식사로 시켜주기 좋아요
1,qj**님,2일 전,5,5,5,꽤나 먹을 만하네요
2,mo**님,4일 전,5,5,5,"참치김밥이랑 라볶이:)
맛있게 잘먹었어요~♡"
3,ji**님,일주일 전,5,5,5,맛있고 저녁출출할때 주문하면 딱이에요. 쫄면 너무맛있네요^^
4,ky**님,2022년 11월 10일,5,5,5,portion is a bit less than before and tuna gimbap does not have much tuna inside but taste is always good
5,pr**님,2022년 11월 9일,5,5,5,된장 너무 맛있게 잘먹었습니다!!
6,hn**님,2022년 11월 8일,5,5,5,양도 많고 맛있어요!!
7,bl**님,2022년 11월 8일,4,4,5,아이들이 좋아합니다.
8,fa**님,2022년 11월 8일,5,5,5,"바쁘실텐데 요청사항 들어주셔서 감사합니다. 
맛은 늘 보장이죠^^"
9,ss**님,2022년 11월 7일,3,4,5,잘  먹었습니다   찌개만 조금더 싱겁게 부탁드려요
10,ym**님,2022년 11월 6일,4,3,3,순두부에 밥이 안왔어요...
11,ji**님,2022년 11월 5일,4,4,4,"맛잇게 먹엇어요 감사드립니다
#식후감"
12,pp**님,2022년 11월 5일,5,5,5,밥이 흑미밥이여 좋아요
13,sj**님,2022년 11월 4일,5,5,5,맛있게 잘 먹었읍니다 한상 애용해요
14,sj**님,2022년 11월 4일,5,5,5,항상 자주 애용합니다  김밥 맛나요
15,rm**님,2022년 11월 4일,5,5,5,맛있게 잘 먹었습니다
16,az**님,2022년 11월 3일,5,5,5,굳
17,po**님,2022년 11월 3일,5,5,5,맛있게 먹었어요 ㅎㅎ
18,du**님,2022년 11월 3일,4,5,5,"김밥에 단무지빼달라고 했는데 안들어주시고 
돈까스는 제대로 잘리지도않은채왔음 
맛은 보통"
19,da**님,2022년 11월 2일,5,5,5,👍👍👍👍👍👍👍👍👍👍
20,ed**님,2022년 11월 1일,5,5,5,시킬때마다 만족 해여
21,ed**님,2022년 11월 1일,5,5,5,맛있게 잘 먹었습니다
22,yo**님,2022년 11월 1일,5,5,5,맛있게 먹었어요 ~~
23,ji**님,2022년 11월 1일,5,5,5,너무너무 맛있게 잘 먹었습니다
24,ro**님,2022년 10월 31일,5,5,5,자주이용해요. 맛있어요
25,jb**님,2022년 10월 31일,5,5,5,감사합니다 잘먹었습니다
26,si**님,2022년 10월 30일,5,5,5,배달 빠르고 맛있어요
27,dn**님,2022년 10월 29일,4,4,5,맛있게 먹었어요ㅎㅎㅎ
28,lo**님,2022년 10월 29일,5,5,5,"배달 엄청 빠르네요
부대찌개 구성도 알차고 국물 진하고 맛있었어요"
29,jh**님,2022년 10월 29일,5,5,5,역시 라면은 분식집 라면입니다! 콩나물라면 시원하고 맛있어요 배달 빨라서 뜨끈뜨끈하게 받았습니다!
30,tn**님,2022년 10월 29일,5,5,5,맛있게 잘 먹었습니다
