,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,dl**님,5일 전,5,5,5,맛있고 포장도 좋아요 잘 먹었습니다.
1,02**님,6일 전,5,5,5,김밥 맛있습니다. 감사합니다.
2,bl**님,2022년 11월 9일,5,5,5,맛있게 잘 먹었습니다.
3,an**님,2022년 11월 5일,-,-,-,저렴한데 맛있어요^^
4,co**님,2022년 10월 30일,5,4,5,김밥이 예전보다 작아 진 것 같은데.. 저만 그렇게 생각이 드는 거겠죠?
5,sm**님,2022년 10월 23일,-,-,-,깔끔하고 맛있었어요  ^^
6,an**님,2022년 10월 22일,-,-,-,좋아요 좋아요 좋아요
7,bl**님,2022년 9월 26일,-,-,-,맛있게 잘 먹었습니다~
8,li**님,2022년 9월 8일,-,-,-,참치김밥맛있었어요오옹
9,gu**님,2022년 9월 5일,5,4,5,양이 조금 아쉬웠는데 맛나게먹엇어요
10,sc**님,2022년 8월 28일,4,4,4,잘 먹었습니다 매운김밥에 들어가는 양념장 조금만 넣어주셔도 될것같아요 개인적으로는 좀 많더라구요
11,wo**님,2022년 8월 25일,5,5,5,맛있게 잘먹었습니다
12,bl**님,2022년 8월 24일,-,-,-,맛있게 잘 먹었습니다.
13,ke**님,2022년 8월 23일,-,-,-,가격대비로맛괜찮아요
14,cy**님,2022년 8월 19일,-,-,-,맛있게잘먹었어요~!
15,bl**님,2022년 8월 14일,4,5,5,쫄면에 상추.. 반 장도 안되는.. 면도 너무 퍼져있고.. 몇 년째 시켜먹는데 요즘 들어 만족도가 많이 떨어지네요.  고치돈은 괜찮았어요~
16,l2**님,2022년 8월 13일,-,-,-,간단히 김밥먹는데 맛있어요
17,as**님,2022년 8월 13일,5,5,5,맛있게잘먹었어요 ㅎㅎ
18,bl**님,2022년 8월 11일,2,5,5,"비빔밥이 너무 부실해요.
예전부터 시켜먹었는데 갈수록 부실해지는 것 같아요.
사진이랑은 당연히 비교도 안되구요.
다른 메뉴는 다 맛있어요."
19,ke**님,2022년 8월 9일,-,-,-,오 이김밥처음먹었는데꿀맛
20,ur**님,2022년 8월 3일,3,3,5,잘먹었습니다.
21,ba**님,2022년 8월 2일,4,4,4,잘 먹었습니다 감사합니다
22,mi**님,2022년 7월 30일,-,-,-,"주문하고갔는데, 10ㅡ20분이면픽업이라더니 서서45분기다림."
23,on**님,2022년 7월 30일,5,5,5,고봉민 항상 애용합니다
24,pe**님,2022년 7월 29일,5,5,5,잘 먹었습니다~~~
25,ha**님,2022년 7월 26일,-,-,-,"돈까스와 참치 하나씩을 포장했는데
돈까스만 2개를 주셨네요....."
26,wo**님,2022년 7월 24일,5,5,5,맛있게 잘먹었습니다
27,ju**님,2022년 7월 22일,5,5,5,맛있급니다~~~~~
28,06**님,2022년 7월 18일,3,5,2,"선지해장국은 짜서 물 넣어도 짠맛이 강해서 못먹고 버렸네요 떡만두국,김밥은 맛있어요"
29,ra**님,2022년 7월 15일,-,-,-,맛있게 먹었어요
30,ur**님,2022년 7월 13일,1,3,5,쫄면이랑 김밥 자주 시켜먹었는데요 쫄면 두개다 불어서 왔어요.
31,bu**님,2022년 7월 12일,5,5,5,맛있게 잘 먹었습니다
32,db**님,2022년 7월 10일,5,5,5,김밥은 은제나 고봉민
33,bl**님,2022년 7월 7일,5,5,5,"언제, 어떤 메뉴를 먹어도 다 맛있어요~"
34,bl**님,2022년 7월 4일,5,5,5,맛있게잘먹었습니다 ~
35,14**님,2022년 7월 1일,3,5,3,전에는 일반 김밥도 정말 맛있었는데 오늘 밥이 떡이고 너무 달아서 다들 맛없다고 하네요 재료도 전보다 달라진것같고 가격을 올렸음 맛은 유지해주길
36,ga**님,2022년 7월 1일,-,-,-,맛있게 잘 먹었습니다. 많이 파세요^^
37,bl**님,2022년 6월 30일,5,5,5,급하게 먹느라 사진을 뒤늦게 찍었네요. 맛있게 잘 먹었습니다.
38,ho**님,2022년 6월 29일,5,5,5,"김밥 먹고 싶어서 쭉 보다가 김밥은 
고봉민이지 싶어서 시켰는데 여기 맛집이네요
김밥이 아주 튼실해요! 시켜먹으십쇼
후회 안해요"
39,yo**님,2022년 6월 28일,5,5,5,맛있어요~~~ 고봉민 믿고먹어요 ㅋㅋ
40,ro**님,2022년 6월 7일,5,5,5,맛있게 잘 먹었습니다 ~4
41,11**님,2022년 6월 5일,5,5,5,맛있게 먹었습니다.
42,ro**님,2022년 6월 3일,5,5,5,시장할 때 먹어서 그런지 든든하고 맛있었어요
43,on**님,2022년 6월 3일,5,5,5,맛있게 잘 먹었습니다
44,dr**님,2022년 5월 31일,5,5,5,자주 시켜먹어요 김밥 맛있습니다
45,hw**님,2022년 5월 31일,5,5,5,맛있게 잘 먹었습니다
46,ro**님,2022년 5월 28일,5,5,5,맛있게 잘 먹었습니다 ~~
47,ss**님,2022년 5월 25일,5,5,5,"사진을 급하게 찍어서..;;
주무한 모든메뉴 모두! 역시나! 맛있습니다~^^"
48,s3**님,2022년 5월 25일,5,5,5,"돈까스  소스두 짜지두  않구  넘맛있어요
김밥은  날이더워서인지  시큼한맛이  났는데  그냥먹었다가  종일배탈땜 고생했어요ㅜ"
49,lh**님,2022년 5월 25일,-,-,-,맛있었습니다!! 다음에 한번 더 사먹을라구요 파 넣어서 팔팔 끓여서 먹었어요 굿입니다
50,ro**님,2022년 5월 21일,5,5,5,맛있게 잘 먹었습니다 ~~
51,on**님,2022년 5월 19일,5,5,5,고봉민 전반적으로 음식이 다 맛있어요 짱
52,hw**님,2022년 5월 19일,5,5,5,맛있게 잘 먹었습니다
53,BA**님,2022년 5월 19일,4,5,5,맛있구 양많아요! 쫄면 면이 좀 두꺼어영 ㅠ 그래두 넘 맛있음
54,me**님,2022년 5월 15일,5,5,5,"김밥은 고봉민이죠~
맛있게 잘 먹었습니다^^"
55,ro**님,2022년 5월 14일,5,5,5,맛있게 잘 먹었습니다 ~~
56,bu**님,2022년 5월 13일,5,5,5,맛있게 잘 먹었습니다
57,bu**님,2022년 5월 13일,5,5,5,맛있게 잘 먹었습니다
58,ch**님,2022년 5월 12일,5,5,5,이번엔 배달이 오래 걸리면서 면이 떡이 됐어요. 많이 돌아서 오셨나 봐요.
59,01**님,2022년 5월 10일,-,-,-,맛있어요 단무지빼달란요청은 안들어주셧지만..바쁘시니까요
60,bc**님,2022년 5월 9일,5,5,5,맛은 물론이고 배달시간까지 챙겨주셔서 감사합니다
61,ro**님,2022년 5월 9일,5,5,5,맛있게 잘 먹었습니다 ~~
62,ks**님,2022년 5월 8일,-,-,-,단체 주문했는데 잘 해주셨어요
63,ks**님,2022년 5월 8일,-,-,-,항상 시켜먹습니다!!
64,ro**님,2022년 5월 7일,5,5,5,맛있게 잘 먹었습니다 ~~~
65,s3**님,2022년 5월 7일,5,5,5,잘먹었어용   맛나요
66,ur**님,2022년 5월 6일,5,5,5,멋있어요~ 오늘따라 김밥에 돈까스가 질겼어요.
67,ru**님,2022년 5월 6일,4,4,4,맛있게 먹었습니다 맛있네요
68,ks**님,2022년 5월 5일,-,-,-,맛있어요 분식 먹고시풀때 간단하게 먹기 좋은 듯 싶습니다
69,on**님,2022년 5월 2일,5,5,5,오랜만에 고봉민 주문하였는데 배달도 빨랐고 맛도 좋았습니다.
70,wo**님,2022년 4월 29일,5,5,5,맛있게 잘먹었습니다
71,ga**님,2022년 4월 28일,5,5,5,돈까스 맛있네요 샐러드소스가 좀 새긴했는데 다음엔 잘 챙겨주세요~
