,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,pe**님,1시간 전,5,5,5,까먹고 먹다가 사진찍고.. 사진도 너무 별로지만..💦 계속 주문해봐야지 생각만하다가 드디어 시켰네요! 왼쪽 두번째줄에 있는게 뭔지 모르겠는데 그건 취향이 아니었는데ㅠ 다른건 다 맛있었습니다 다음엔 두껍게러 주문해보고 싶어요☺️
1,lm**님,어제,5,5,5,리뷰 안좋은 게 많은데..전 진짜 맛있었습니다! 신선했고요.! 배달은 딱 표기된대로 걸렸어요~~지금 다른 곳에서 시켰다가 여기서 한 접시 더 시키려구요 ㅎㅎ
2,si**님,2일 전,5,5,4,배달문제가 있었지만 회는 잘 먹었어요~
3,bi**님,2일 전,5,5,5,"2명 충분한 양 입니다. 
깔끔하니 좋습니다. 
감사"
4,lo**님,3일 전,2,1,1,배달 2시간만에받음 ㅋㅋㅋㅋㅋㅋ
5,sa**님,3일 전,5,5,5,회 맛있게 잘 먹었어요
6,fr**님,3일 전,1,2,1,여러번 시켜먹었었는데 새벽일찍 시켜서 오래된거 보내셨는지 탱글탱글한맛은 하나도 없고 흐물흐물 신선하지 않은게 왔네요. 최악입니다. 여긴 이제 안녕이네요.
7,hr**님,4일 전,1,1,5,"며칠전에 주문해서 맛있게 먹고 재주문 했는데 오늘은 너무 실망이예요 일단 생선비늘이 커다란게 두개나 나왔네요 
회먹다 비늘 나오는건 또 첨이네요 비위 상해서 아예 못먹었습니다 
그리고 앞전 주문때 연어가 좀 별로길래 연어 빼달라고 요청 드렸더니 연어 뺀자리에 먹지도 못할 온갖 생선 자투리 다 넣어 보냈네요 
요청한 막장은 쌈장으로 오고요"
8,ho**님,4일 전,5,5,5,다 좋았습니다. 다만 야채가 없어서 아쉬웠던...(제가 글을 꼼꼼히 안읽었었더라고요ㅠㅜ
9,js**님,4일 전,5,5,5,전갱이 시켰는데 강도다리도 섞여와서 아쉬웠어요. 배달은 꽤 오래걸립니다
10,cc**님,5일 전,5,5,5,중자 인데 양이 엄청 많아요~ 회두께 보통 선택했는데 좀 두꺼웠어요 ㅠ 회는 엄청 맛있었어용~!!
11,ls**님,6일 전,5,3,3,맛있게 잘 먹었습니다 감사합시다
12,tn**님,6일 전,5,5,5,"이거 대자리 맞아요?
저번에 시킨 중이랑 양이 비슷한 거 같아요 ㅠㅠ 
아직 먹기 전이라 먹고 후기 더 이어서 쓰겠습니다"
13,pi**님,6일 전,4,5,5,"양은 진짜 많은데 
매운탕이 에러 임"
14,el**님,2022년 11월 7일,5,5,5,배달은 살짝 늦었지만 너어어어어무 맛있게 잘 먹었어요ㅠㅠ 회도 진짜 두껍고 신선하고…
15,ho**님,2022년 11월 6일,5,5,5,"대박 노량잔 수산시장 벌교아줌마회를 배달로 먹을 수 있어 넘 좋네용 ^^ 퀵비 부담이어서 늘 고민하면서 못시켰는데 배달비가 저렴해서 자주 먹어야겠어요 ㅎㅎ 감사합니당
회 퀄리티는 역시 굿굿"
16,rk**님,2022년 11월 6일,5,5,2,"신선하고 맛있었어요
연어가 양이 많아서 남은건 보관 후 다음날에 먹었는데 숙성이더ㅚㄴ건지 더 맛있었어요"
17,sa**님,2022년 11월 5일,1,1,1,6:07 분 주문인데 아직 받지 못 했습니다…
18,ra**님,2022년 11월 5일,5,5,5,"양이너무많아서 먹다찍었네요
배터져죽는줄 알았습니다
다음에 또 주문할께요 번창하세요 ^^"
19,d_**님,2022년 11월 4일,5,5,5,"미쳤습니다… 또 시켜먹을 거에요
너무 맛있어요!!!!!!
담엔 방어도 더 들어갔으면 ><"
