,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,gh**님,13시간 전,5,5,5,맛있게 잘먹었습니다 귯
1,jw**님,18시간 전,5,5,5,항상 맛잇게잘먹고있습니다
2,bt**님,19시간 전,5,5,4,음식은 참 정성것 만들고 있어 것 같아요 생각보다 맛도 괜찮고 양도 괜찮아요 몇 번 시켜 봤지만 배달이 좀 늦은 거 같아요
3,gu**님,2일 전,5,5,5,초밥집이 웬만한 돈가스집 우동집보다 훨씬 맛있어요 자주 시켜먹습니다 ^^
4,hk**님,2일 전,5,5,5,"오성초밥 굿초이스입니다.
정말 맛있어요."
5,se**님,3일 전,5,5,5,와우 진짜 맛있어요!!
6,js**님,3일 전,5,5,1,"맛있게 잘 먹었습니다만
배달오실때 흔들고 왔는지 한쪽으로 쏠리고 서비스로 주신 초밥 하나는 옆으로 쓰러졌고
초인종을 나올때까지 계속 누르더군요
오성초밥 주문하고 항상 별 다섯개로 추천했는데 이번에는 별하나 뺍니다"
7,sl**님,3일 전,5,5,5,감사합니다 잘먹겠습니다~
8,ko**님,3일 전,5,5,5,맛있게 잘먹었습니다🤤
9,hj**님,3일 전,5,5,5,초밥 못먹어도 오성초밥 어린이초밥버전은 먹어요ㅜㅜ 넘맛있어요
10,hl**님,3일 전,5,5,5,맛있게 잘먹었습니디ㅡ^^
11,mk**님,4일 전,5,4,5,신선하고깔끔한포장배송빠르고좋아매번여기서먹어요어린이초밥은아이가잘먹어요
12,1a**님,4일 전,5,5,5,맛있게 잘 먹었어요~
13,ro**님,4일 전,5,5,5,"오랜만에 배달로 주문했어요
광명에서 제일 맛있는집입니다~  잘먹을게요"
14,kj**님,4일 전,5,5,5,맛있어요 주말에는 오성초밥입니다
15,my**님,5일 전,5,5,4,진짜 맛있음 라멘 최고
16,op**님,5일 전,5,5,5,"맛도 좋고 배달도 빠르네요
다음번엔 매장에서도 먹어봐야겠어요"
17,om**님,6일 전,5,5,5,"오성초밥 맛있다고들 해서 매번 가야지 하고 못 갔는데
결국 배달로 먹어보네요~
요청사항도 잘 챙겨주시고 맛있게 잘 먹었습니다!!
밥 양도 적당해서 초밥 1인분이 많은 사람인데
너무 맛있게 먹었네요~"
18,fj**님,6일 전,5,5,5,항상 맛있게 먹고있습니다♥♥♥
19,ji**님,일주일 전,5,5,5,아빠가 코로나 걸리셔서 집에계시는데 입만이없으셔서 시켜드렸는데 배달도 빠르고 두분다 만족하셨네요^^
20,fa**님,2022년 11월 10일,5,5,5,"역시 초밥은 오성!!
너무 맛있어요ㅠ 잘먹었습니다"
21,ju**님,2022년 11월 9일,5,5,5,"배달이 이렇게 빨리 올 줄이야...ㅋㅋㅋㅋㅋㅋㅋ
항상 맛있고 배불리 먹습니다."
22,   손님,2022년 11월 7일,5,5,5,라멘은처음먹어봤어요ᆢ맛있어서또시키먹을껍니당~
23,ly**님,2022년 11월 6일,5,5,5,역시~~ 초밥은 오성!!!!
24,kd**님,2022년 11월 6일,5,5,5,"양도 많고~ 맛있었어요!!~
다음에도 시켜먹을게용ㅎㅎ"
25,co**님,2022년 11월 6일,5,5,5,"너무 맛있게 잘 먹었습니다.
다음에 또 주문할께요~~^^"
26,h3**님,2022년 11월 6일,4,4,5,"자주 시켜먹는 것이예요
개수는 많지만 크기는 작아요
밥양을 조금 더 넣으면 좋겠어요"
27,do**님,2022년 11월 6일,3,4,5,"배달은 빨리오는데 초밥상태가 영 별로네요
밥이 집을때마다 으스러짐 초대리 상태 안좋음
일식소도초밥에서 시키다 한번 시켜봤는데 다음은 없을듯"
28,bl**님,2022년 11월 5일,5,5,5,"진심 존맛탱구리 
비주얼도 중요시하는 저인데 맛은 물론 비주얼도 미쳤오여
서비스도 존맛탱구리😁😁
담에 또 시킬께영
잘 먹었습니다😍😍"
29,jj**님,2022년 11월 5일,5,5,5,"굿 맛있어요 잘먹었습니다
다음에 또 시켜먹을께요 ~^^"
30,rl**님,2022년 11월 5일,5,5,5,직접가서 먹은거랑 똑같이 맛있습니당 굳굳
31,fa**님,2022년 11월 5일,5,5,5,"알밥 돈까스 너무 맛있어요 ㅠ
식사메뉴도 완전 짱! 
잘먹었습니다!"
32,kn**님,2022년 11월 5일,5,5,5,맛있게 잘먹었습니다!
33,ye**님,2022년 11월 5일,5,5,5,맛있네요 이벤트용 새우도 맛있어요
34,sh**님,2022년 11월 4일,5,5,5,"오랜만에 초밥 맛있게 잘 먹었습니다~~
초밥은 역시 오성만한 곳이 없는듯해요^^"
35,fr**님,2022년 11월 3일,5,5,5,"배송빠릅니다 
맛있어요 
만족입니다 
또먹고싶네~"
36,at**님,2022년 11월 1일,5,5,5,항상 변함없이 신선하고 맛있는 맛 감사합니다
37,co**님,2022년 10월 31일,5,5,5,"아이들 먹기에 계란초밥이 딱이에요. 어느새 계란초밥만 다먹고 없네요.
#식후감"
38,ki**님,2022년 10월 31일,5,5,5,네 맛있었습니다 배달도 빨랐고 주소도 제대로 안적혔는데 찾아와주셨습니다! 초밥 양도 푸짐하고 항상 초밥하면 떠오르는 곳 오성초밥입니다.
39,ja**님,2022년 10월 31일,5,5,5,오랜만에 주문했는데 맛있게 잘 먹었습니ㅏ
40,ln**님,2022년 10월 30일,5,5,5,맛있게 잘먹었습니다 사업번창하세요
41,03**님,2022년 10월 30일,5,5,5,맛있게 잘 먹었습니다~~!
42,sm**님,2022년 10월 30일,5,5,5,사은품 감사해요~ 잘 먹었슴돠
43,gu**님,2022년 10월 29일,1,2,2,초밥 색 보면 아시겠지만 흰살 생선이 색도 누리끼리하고 신선도가 많이 떨어졌습니다.. 너무 푸석푸석하고요ㅜㅜㅜ
44,sw**님,2022년 10월 28일,5,5,5,아는 분이 맛집이라고 데려가 주셨는데 홀에서 진짜 너무 맛있어서 혹시 했는데 배달이 되네요!!! 잘먹었습니다!!!
45,qa**님,2022년 10월 27일,5,5,5,양도 많고 완전 맛있어요!
46,wi**님,2022년 10월 27일,5,5,5,잘 먹었습니다
47,su**님,2022년 10월 27일,5,5,5,믿고먹는 오성초밥이죠
48,hk**님,2022년 10월 25일,5,5,5,늘 애용하는 식당이에요.
49,co**님,2022년 10월 25일,5,5,5,"계란초밥은 초밥을 덜 좋아하는 아이도 애정하는 메뉴입니다.
#식후감"
50,dl**님,2022년 10월 23일,5,5,5,서비스 좋고 맛있음 추천함
51,wj**님,2022년 10월 23일,5,5,5,"아주맛있게먹었어요!
우리동네최고초밥집이에요~
딴곳에서 초밥이제 못먹습니다.."
52,uk**님,2022년 10월 23일,5,5,5,"초밥 완전 맛있어요
배달도 빨리 옵니다
사진을 깜빡해서 전에 시켰던걸로 올립니다"
53,mn**님,2022년 10월 23일,5,5,5,"오성초밥 완전완전 맛있어용! 
초밥만 먹어보다 회덮밥은 첨 먹어보았는데 어쩜 이리도 맛있는지ㅠㅠ
초밥도 부드럽고 싱싱해서 최옥의 맛이였습니다^^"
54,ju**님,2022년 10월 22일,5,5,5,까먹고 안쓸뻔했어요..! 너무 맛있었습니다.. 여기 새우는 커서 좋아요
55,wj**님,2022년 10월 21일,5,5,5,항상 맛있어요~ 먹어본 곳중 최고!
56,ss**님,2022년 10월 20일,5,5,5,맛있게 잘 먹었습니다 감사합니다.
57,de**님,2022년 10월 19일,5,5,5,단골 맛집이요~~~
58,ti**님,2022년 10월 19일,5,5,5,초밥 맛있어요 !!!
59,tr**님,2022년 10월 19일,5,5,5,맛있게 잘 먹었습니다!!
60,hl**님,2022년 10월 19일,5,5,5,맛있고배달빨리와서 잘먹었습니다^^
61,se**님,2022년 10월 19일,5,5,5,맛있어요! 특히 서비스로 주신 거 너무 맛있네요!
62,ms**님,2022년 10월 18일,5,5,5,한마디로 말해서 ~~굿
63,ms**님,2022년 10월 18일,5,5,5,맛이 끝내줘요~^^
64,we**님,2022년 10월 18일,5,5,5,너무 맛있어요~~~~
65,kk**님,2022년 10월 18일,5,5,5,배달도 엄청 빠르고 리뷰이벤트 초밥 덕에 배터지게 먹었습니다 계란초밥 안 먹어서 바꿔주십사 부탁드렸는데 잊지않고 바꿔주셨네요 감사합니다
66,sh**님,2022년 10월 17일,5,5,5,오늘 너무 신선하고 맛있었어요.
67,na**님,2022년 10월 17일,5,5,5,초밥 맛있네요...
68,th**님,2022년 10월 17일,5,5,5,초밥은 역시 오성초밥!
69,sh**님,2022년 10월 17일,5,5,5,맛있게 잘먹었습니다
70,bl**님,2022년 10월 16일,5,5,5,"맛있네요~
리뷰이벤트로 주신
새우초밥도 굿입니다!"
71,ov**님,2022년 10월 15일,5,5,5,와... 숙성을 이렇게 잘하시는 스시야가 있었군요. 게다가 풍성한 서비스까지... 캘리포니아롤은 후토마키 수준이더라구요. 와이프가 앞으로 초밥은 여기서만 먹자고 하더라구요.^^
72,fa**님,2022년 10월 15일,5,5,5,"항상 초밥만 먹었었는데 
식사 메뉴도 엄청 맛있어요ㅠㅠ!

맛있게 잘 먹었습니다!"
73,co**님,2022년 10월 15일,5,5,5,"연어초밥 맛있게 먹었어요.
#식후감"
