,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ps**님,17시간 전,5,5,5,맛부터 양과 배달속도 뭐 부족한게 없네요.
1,he**님,어제,5,5,5,맛잇어용 ㅎㅎ 돈까스는 밑부분이 눅눅해졋어여ㅠㅠ
2,bf**님,어제,5,5,5,빠르게 보내주셔서 감사합니다
3,oa**님,2일 전,4,5,5,맛있어요. 소스가 좀 더 많았으면 좋겠어요
4,dp**님,2일 전,5,5,5,국
5,ae**님,3일 전,5,5,5,아이가 너무좋아해요
6,la**님,3일 전,5,5,5,맛있게 잘 먹었습니다
7,de**님,4일 전,5,5,5,바사삭한 튀김 맛 아주 좋아요
8,em**님,6일 전,5,5,5,배달도 빠르고 늘 돈까스도 맛있어요
9,fu**님,일주일 전,5,5,5,"돈까스는 제라진에서만 시켜먹어요. 
양도 많고, 맛도 좋습니다."
10,3q**님,2022년 11월 9일,5,5,5,제 최애 돈까스집 치즈돈까스 진짜 너무 맛있어요 남아도 다음 날 전자레인지만 돌리면 처음 받았던 상태 그대로 치즈가 녹아서 남아도 걱정없어요
11,ci**님,2022년 11월 8일,5,5,5,맛있게잘먹었습니다!!
12,ju**님,2022년 11월 8일,5,5,5,"역시 짱짱맛나여^^
배달도빠르게도착"
13,la**님,2022년 11월 6일,5,5,5,맛있게 잘 먹었습니다
14,gu**님,2022년 11월 6일,5,5,5,처음 시켜봤는데 맛있게 잘 먹었습니다 맛도 좋고 센스있게 챙겨주심 생각보다 더 좋았어요
15,zt**님,2022년 11월 6일,5,5,5,잘먹었어요 매번 감사합니다 ㅎ
16,ea**님,2022년 11월 5일,5,5,5,솔직히 제 기준 이 근방에서 먹어본 돈까스류중 맛 가격등 종합적으로 봤을때 탑3안에 들어갑니다. 오늘도 역시나 배달 빨랐고 음식도 너무 맛있었습니다. 서비스도 감사해요.
17,wh**님,2022년 11월 3일,5,5,5,배다루엄청 빠르고 맛있어요 !!
18,y7**님,2022년 11월 3일,5,5,5,안심돈까스 짱짱 부드럽네요.. 애기들도 씹을 수 있겠어요 ㅎㅎ 맛있게 잘 먹었슴돠~ ^^
19,mt**님,2022년 11월 3일,5,5,5,돈가쓰는제라쥔에서만머그자
20,tj**님,2022년 11월 2일,5,5,5,맛있게 잘 먹었어요
21,lw**님,2022년 11월 2일,5,5,5,너무너무 맛있었어용~~
22,sy**님,2022년 11월 2일,5,5,5,맛있고 빨리오고 너무 만족합니다
23,hi**님,2022년 11월 2일,5,4,5,바삭하니 맛있어요.빠르게 도착~
24,zx**님,2022년 11월 2일,4,4,4,저번보다 맛있게먹었어요
25,em**님,2022년 11월 1일,5,5,5,"오늘도 아이랑 맛있게 잘먹었어요~
고기질이 정말 좋아요"
26,ma**님,2022년 11월 1일,5,5,5,"맛짱
포장짱
배달짱
너무맛나요 추천입니다"
27,or**님,2022년 10월 31일,5,5,5,고기가 연해서 그런지 식감이 부드럽고 맛있네요
28,ne**님,2022년 10월 31일,5,5,5,맛있게 잘 먹었습니다~~
29,dk**님,2022년 10월 29일,5,5,5,항상 맛있는 음식 감사합니다
30,db**님,2022년 10월 28일,5,5,4,주문사항도 잘 들어주시고 음식 정말 맛있습니다 강추
31,ci**님,2022년 10월 28일,5,5,5,맛있어요~~~~^^
32,qk**님,2022년 10월 27일,5,5,5,배달도 빠르고 진짜 맛있어요
33,mo**님,2022년 10월 26일,5,5,5,너무 너무 맛있게 먹었당!~ ㅎㅎ
34,zk**님,2022년 10월 26일,5,5,5,야미~ 맛있게 잘먹었어요!!!
35,3k**님,2022년 10월 25일,1,5,5,흰머리 같은게 같이 튀겨졌네요... 다음부터는 조심해주세요
36,mt**님,2022년 10월 22일,5,5,5,항상 맛나게 먹고 있어요
37,tn**님,2022년 10월 22일,5,5,5,오늘도 잘먹었습니다.
38,me**님,2022년 10월 22일,5,5,5,맛있게 잘먹었어요~~~~~
39,pu**님,2022년 10월 22일,5,5,5,언제나 먹어도 맛나네요 쌀쌀한날 먹어서 그런지 더 맛있었습니다ㅎ
40,jh**님,2022년 10월 20일,5,5,5,맛있게 잘먹었습니다
41,sa**님,2022년 10월 20일,5,5,5,너무 맛있게 먹느라 사진 찍는걸 깜빡했어요
42,ju**님,2022년 10월 20일,5,5,5,맛있습니다.....
43,sb**님,2022년 10월 19일,5,5,5,익스프레스지만 일반 배달로 생각해야함. 예상시간 한번도 지킨적 없음. 그거 스트레스 안받으면 맛은 있음. 나도 첨엔 gps 실시간정보로 시간 지났는데 다른집 배달하고 있는거 보면서 속터졌었는데 이젠 그냥 안봄. 일반 배달 60분걸린다고 자기최면검. 그럼 맛있음.
44,ki**님,2022년 10월 15일,5,5,5,배달 빠르고 언제 먹어도 맛있어요!
