,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,bo**님,2시간 전,5,5,5,"오랜만에 초밥 먹고 싶어서 먹었는데
역시나 좋다는 ^^

좋은 하루되세요."
1,dl**님,4시간 전,5,5,5,스시는 여기가 걍 답임 여기서만 시키면 됨
2,ll**님,22시간 전,5,5,5,회도 투툼하고 질 좋아요! 맛있습니다. 다음에 또 시켜먹을게요~
3,dh**님,2일 전,5,5,5,자주 주문하는 메뉴인데 질리지않고 맛있어요
4,ge**님,2일 전,5,5,5,스시 엄청 맛난데 서비스로 주신 저 회샐러드가 너무 맛있었어여 나중에 방문해서 먹을거임
5,cj**님,2일 전,5,5,5,맛있어용~~~👍👍
6,ku**님,2일 전,5,5,5,"넘 맛있었어요 보내주신 회무침도 맛있었구요
단골될께요"
7,wa**님,2일 전,5,5,5,맛있는 음식과 서비스 제공해주셔서 감사합니다 추천해요 맛집이에요 새우튀김 강추!!
8,h7**님,3일 전,5,5,5,너무너무 맛있었어요 다음에 또 시킬게요!
9,be**님,3일 전,5,5,5,적당한 것 같아요 두번째주문
10,ki**님,3일 전,5,5,5,깔끔한 구성에 맛도 좋아요 잘먹었습니다
11,ck**님,4일 전,5,5,5,맛있게 잘먹었습니다
12,fc**님,4일 전,5,5,5,맛있게 잘먹었습니다~~~
13,gc**님,4일 전,5,5,5,맛있게 잘 먹었습니다!
14,wp**님,4일 전,5,5,5,배달 빠르고 맛 괜찮았어요! 리뷰서비스도 맛있게 먹었습니다
15,dm**님,4일 전,4,5,5,가격도 저렴하고 맛도 있네요!
16,pi**님,5일 전,5,5,5,맛있게 잘 먹었습니다
17,ad**님,5일 전,5,5,5,초밥은 항상 여기서먹어요
18,ps**님,5일 전,5,5,5,맛있게 잘먹었습니다
19,ko**님,5일 전,5,5,5,우선 배달도 엄첨 빨리와서 좋았고 맛도 좋아서 순식간에 먹어 치웠네요  만족도 최상입니다  잘먹었습니다
20,j.**님,5일 전,5,5,5,항상 너무 맛있습니다
21,ka**님,5일 전,5,5,5,"핵 존맛
연어는 항상 옳다"
22,dp**님,5일 전,5,5,5,양도 진짜 많고 맛있어요!
23,dn**님,5일 전,5,5,5,오랜만에 주문했는데 엄청맛있내요 대만독핮니다
24,ch**님,6일 전,5,5,5,맛있게 먹었습니다! 다음에 또 시키러 올게요 😀😀
25,ck**님,6일 전,5,5,5,"첫 주문이라 리뷰이벤트 없이 주문했습니다.

연어롤 사진보고 맛있어서 시켜봤는데 기대 이상이네요.
원래 살던 지역에 비슷한 메뉴인, 크림치즈롤이 없는건 아쉬웠지만 그래도 맛있었습니다.
추기로 가라아게 포장 용기 밑에 기름종이 하나 정도 깔면 더 보기 좋지 않을까 하는 생각도 듭니다."
26,kh**님,6일 전,5,5,5,"배달도빠르구ㅡ맛있어요
재료가  신선한느낌이  팍드네요~
그런데ㅡ대왕오징어에서ㅡ약간비린내났어요
그래도   잘먹었습니다."
27,sh**님,6일 전,5,5,5,짱이에효 맛있게 먹었습니다!! 감사합니당
28,wj**님,6일 전,4,5,5,"왕커서 완전 푸짐해요
같이 온 회무침과 맛있게 먹었습니다"
29,hs**님,6일 전,5,5,2,"사장님 감사합니다
저도 일끝나 돌아오는 길에  넘 피곤해서 배달주문해서 먹고 잠잘려고 했으나
일이 생겼네요  ㅠㅠ
고객센터나 기사님이 빠르게  진행을 못해서
연락드렸는데  그래도 사장님께서 빠르게 응대 해주셔서 감사합니다
생각 날때 마다  시켜먹는 초밥이라서 포기할수 없었습니다
영압시간 끝났는데도 친절하게 해주셨습니다
사장님 감사합니다~"
30,db**님,6일 전,5,5,5,맛있게 잘먹었어요~
31,ej**님,일주일 전,5,5,5,"아파서 우울했는데 맛있는거 먹으니 기분이 많이 나아졌어요 
뒤늦게 찍어서 그렇지 양도 가득 채워주십니다 ㅎㅎ..
덕분에 즐거운 점심 식사 했습니다 감사합니다"
32,85**님,일주일 전,5,5,5,맛있게 잘 먹었습니다~
33,dh**님,일주일 전,5,5,5,맛있게 잘 먹었어요
34,ha**님,일주일 전,5,5,5,초밥 배달도 빠르고 맛도 아주 좋아요 서비스로 주신 회무침도 굳..!
35,fp**님,일주일 전,5,5,5,잘먹었습니다아아아아
36,em**님,일주일 전,5,5,5,"초밥은 항상 여기에서만 시켜요!!
회덮밥 존맛👍 깜빡하고 소스를 안 넣어주신거 같네요ㅠ
다음에는 꼭 확인하고 보내주세요:)"
37,bl**님,일주일 전,5,5,5,맛잏게 먹었어요 ~~
38,yi**님,2022년 11월 9일,5,5,5,빠르게 도착하규 맛잇어요!
39,pe**님,2022년 11월 9일,5,5,5,항상 여기서 시켜요!!굳굳
40,ta**님,2022년 11월 8일,5,5,5,맛있게 먹었습니다 최고
41,ch**님,2022년 11월 8일,5,5,5,잘 먹었습니다.
42,bk**님,2022년 11월 8일,5,5,5,회도 두툼하고 아주 맛있습니다 재료도 신선해요 배불리 잘 먹었습니다
43,rl**님,2022년 11월 8일,5,5,5,존ㅁ맛탱구리입니다 서비스듀 너무맛있어요
44,si**님,2022년 11월 8일,5,5,5,맛있고 양도 많아요
45,ho**님,2022년 11월 8일,5,5,5,"스시는 단연 스시마와리
오픈때부터 지금까지 여기서만 스시 먹어요
늘 맛나요!"
46,ai**님,2022년 11월 7일,5,5,5,맛있게 잘 먹었습니다^^
47,cr**님,2022년 11월 7일,5,5,5,구성 정갈하고 맛있어요
48,so**님,2022년 11월 7일,5,5,5,오늘 리뷰이벤트로 주신거 평소보다도 더 맛있었어요! 역시 오늘도 너무나 잘 먹었습니다 :)
49,da**님,2022년 11월 7일,5,5,5,맛있게 잘 먹었습니다
50,dh**님,2022년 11월 7일,5,5,5,연어롤 맛집이에요 ㅊㅊ해요!!
51,ar**님,2022년 11월 6일,5,5,5,"포장도 랩으로 꼼꼼히 싸주고, 맛도 있고 양도 좋았어요"
52,jk**님,2022년 11월 6일,5,5,5,아주 맛있네요 좋습니다
53,ne**님,2022년 11월 6일,5,5,5,양도 많고 정성들인 음식 잘 먹었습니다
54,sp**님,2022년 11월 6일,5,5,5,와 양 진짜 많네요 ㅎㅎ 갓성비!! 이 가격이라곤 믿어지지 않는 혜자 초밥이었어요 ㅠㅠ 맛있게 잘 먹었습니다!!
55,tk**님,2022년 11월 6일,5,5,5,맛잇게 잘먹었습니다 ㅎ
56,te**님,2022년 11월 5일,5,5,5,항상 맛있게 잘먹고있습니다.
57,se**님,2022년 11월 5일,4,5,5,초밥 회덮밥 맛있게 잘 먹었습니다. 리뷰이벤트 서비스도 감사해요!
58,lh**님,2022년 11월 5일,5,5,5,살짝 비렸지만 와사비 적당히 들어가있고 맛있었어요
59,go**님,2022년 11월 5일,5,5,5,맛있게 잘먹었습니다^^
60,al**님,2022년 11월 5일,5,5,5,배달도 짱 빠른 스시와마리
61,gk**님,2022년 11월 4일,5,5,5,"요즘 최애 초밥집
회가 그냥 막 꼬들꼬드으을 한 게
씸을수록 고소한 게 아주그냥.
맛좋고 서비스도 좋아요."
62,bl**님,2022년 11월 4일,5,5,5,맛잇게 잘 먹었습니다
63,si**님,2022년 11월 4일,5,5,5,맛있게 잘 묵을께요!
64,wl**님,2022년 11월 4일,5,5,5,엄청 푸짐하고 맛있어요
65,qk**님,2022년 11월 4일,5,5,5,오랜만에 시켰는데 여전히 맛 짱이에여!! 다음에 또 주문할게여!!
