,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ju**님,어제,1,2,1,돈까스 속은 덜익고 겉은 다타고 샐러드는 삶은건줄 알았음. 신선도 제로!! 배달도 늦고!! 최악을 경험했습니다.
1,ks**님,2일 전,5,5,5,"너무 맛있게 잘 먹었습니다.
아이들 시켜주고 사진찍으라했는데 깜빡했나봐요..
가성비좋고 포장도 이쁘게 해주셔서 받을때부터 기분이 좋아진다는~~~"
2,hw**님,5일 전,5,5,5,너무맛있었어여 ㅜㅜ 또먹겟숩니다 한잔최고
3,lj**님,2022년 11월 10일,5,5,5,맛있게 잘먹었습니다!
4,na**님,2022년 11월 10일,5,5,5,재료도 신선하고 맛있게 잘먹었습니다 리뷰이벤으로 주신것도 감사드려용
5,sk**님,2022년 11월 5일,5,5,5,가성비도 좋고 신선해서 좋습니다
6,hj**님,2022년 11월 3일,5,5,5,잘먹었어요 ~~~~~
7,im**님,2022년 11월 3일,5,4,5,"넘 맛잇게 잘먹었습니다^^
담에 또 시킬게요~~~~"
8,eh**님,2022년 11월 2일,5,5,5,"맛있게 잘먹었습니다!!!
번창하세요!!"
9,wj**님,2022년 11월 1일,5,5,5,언제나 맛있게 먹었습니다
10,42**님,2022년 11월 1일,5,5,5,채소도 신선하고 넘맛있어요!
11,pu**님,2022년 10월 31일,4,5,5,간장을 안주셔서 당황했지만 잘먹엌ㅅ습ㄴ다
12,tk**님,2022년 10월 31일,-,-,-,맛잇게 잘먹었습니다 ㅎ
13,co**님,2022년 10월 31일,5,5,5,맛있게 잘 먹었습니다
14,dk**님,2022년 10월 30일,-,-,-,잘먹었어요 맛나요!!
15,ky**님,2022년 10월 29일,5,5,5,맛있게 잘 먹고 있어요!
16,ch**님,2022년 10월 28일,5,5,5,맛있어요 맛있어요 맛있어요
17,go**님,2022년 10월 28일,1,1,1,무순빼달라고 요청드렸는데.. 왜있죠..?
