,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,xs**님,어제,5,5,5,배달도 빠르고 회 맛도 좋았습니다!
1,jb**님,2일 전,5,5,5,해산물은 처음 시켜보는데 직접 가서 먹는거처럼 만족합니다.
2,ba**님,6일 전,-,-,-,요구사항도 잘 들어주시고 맛도 양도 다 좋았습니다!
3,na**님,6일 전,5,5,5,혼술하기에 좋은 메뉴
4,dg**님,일주일 전,5,4,5,"비가 많이 오는데도 배달도 빠르게 오셨구,맛나게 먹느라 사진이 이것밖에 없네요.
맛있게 잘 먹었어요"
5,do**님,2022년 11월 11일,5,5,5,맛있게 먹었습니다
6,na**님,2022년 11월 8일,5,5,5,"혼술하기에 좋은 메뉴입니다
괜찮네요"
7,cr**님,2022년 11월 6일,3,2,5,가격대비 양이 너무 작아요
8,tl**님,2022년 10월 30일,5,5,5,맛있어용 구성듀 좋고 초밥밥 최고
9,br**님,2022년 10월 29일,5,5,5,"맛있어요 깔끔하구요
다음에 또 시켜먹을게요"
10,es**님,2022년 10월 26일,3,3,4,"그냥 쏘쏘했어용~
리뷰약속하고 받은 비빔국수는 좀 싱겁? 느낌..이었는데
혼자 그냥 회땡길땐 그럭저럭 괜찮아요"
11,kk**님,2022년 10월 26일,3,3,5,"굿! 맛있는데 연어가 조금 비렸어요,,"
12,lh**님,2022년 10월 19일,5,5,5,넘 맛잇어용 가격대비.굿
13,tn**님,2022년 10월 16일,5,5,5,"이별후에 혼자 먹는 회인데 ..
싱싱하고 맛있네요 ㅜ"
14,gk**님,2022년 10월 16일,5,5,5,회가 두툼하게 맛있어요!
15,id**님,2022년 10월 15일,5,5,5,맛있어요..........
16,ip**님,2022년 10월 14일,3,3,5,"우럭 식감이 쫄깃 하지 않고 뻑뻑하다고나 할까요ㅠ
아궁~ 국수 서비스는 감사하지만 다음부턴 주문 안할 것 같아요"
17,hy**님,2022년 10월 13일,5,5,5,한마디로 굳!!^^ 입니다!!
18,yg**님,2022년 10월 13일,5,5,5,맛있게 잘 먹었습니다
19,ye**님,2022년 10월 9일,5,5,5,"완전!!!! ㄹㅇ!!!!!
너무 맛있어요!"
20,al**님,2022년 10월 8일,-,-,-,잘 먹었습니다..
21,dl**님,2022년 10월 3일,5,5,5,맛있었어요! 서비스로 온것도 아주 맛있어서 좋았어요!
22,ju**님,2022년 9월 30일,3,2,4,"리뷰보고 좋아서시켰는데 양이 너무적내요
애들장난해논것도아니고... 맛은 소소입니다."
23,ky**님,2022년 9월 30일,-,-,-,정말 맛있게 잘 먹었습니다
24,hi**님,2022년 9월 30일,4,5,5,난곡사거리 탐나가 제일 괜찮은것 같아요~
25,aj**님,2022년 9월 26일,5,5,5,진짜 최고에요 너무 맛있게 잘먹었습니다
26,fo**님,2022년 9월 24일,5,5,5,혼술하기에 정말 좋습니다! 맛있게 먹었습니다!!
27,mi**님,2022년 9월 17일,5,5,5,"양도 많고 신선해서 냄새도 안나요!!
진짜 또 먹고싶은 맛♡"
28,gk**님,2022년 9월 15일,-,-,-,내용물  퀄리티는 약간 복불복이지만 늘 맛있어요. 소맥에  최고입니당
29,   손님,2022년 9월 14일,5,5,5,배송도빠르고 맛보장합니다 우연이셋트 시켰는데 회가 맛나네요 .. 다음에또 주문하겠습니다.
30,kd**님,2022년 9월 12일,5,5,5,생각보다 배달이 빨리오고 양도 많아서 가족들과 맛있게 잘 먹었어요.
31,du**님,2022년 9월 12일,5,4,5,"배달이 좀 늦었지만 맛있어요 양이 좀 줄은 거 같은데 소라가 없어진것도 아쉬워요,,"
32,wo**님,2022년 9월 9일,5,5,5,미슐랭에서 왔습니다 5성이네요
33,jh**님,2022년 9월 9일,5,5,5,"항상 시켜 먹는 곳입니다.

양도 푸짐하고 맛도 좋습니다."
34,ho**님,2022년 9월 9일,5,5,5,양도많고 맛있는데 배달도 금방오네요
35,op**님,2022년 9월 9일,5,5,5,회양도 충분하고 상태도좋고 요청사항까지 들어주시니 완벽합니다 !!! 다음에도 꼭 여기서 시켜먹을거에요
36,lm**님,2022년 9월 8일,5,5,5,배달시간도 적당했고 맛있게 잘 먹었습니다 ^^
37,pa**님,2022년 9월 8일,5,5,5,회 신선하고 맜있게 잘먹었어요~~ 추천~~👍👍👍
38,le**님,2022년 9월 7일,5,5,5,맛 가성비 모두 최고입미다용~~강추!
39,jo**님,2022년 9월 5일,5,5,5,허겁지겁 맛있게 술안주 했습니다 집에서 회 혼술할때는 꼭 여기 시킵니다
40,bj**님,2022년 9월 5일,4,4,5,깨끗한게 포장되어와서 좋았어요
41,al**님,2022년 9월 4일,5,5,5,맛있게 잘먹었습니다!
42,mi**님,2022년 9월 4일,5,5,5,추천합니다. 맛있습니다.
43,ae**님,2022년 9월 3일,5,5,5,오랜만에 주문했는데 잘 먹었습니다.
44,do**님,2022년 9월 3일,5,4,5,회 신선하구 맛있습니다! 특히 국수가 시원하고 맛나요
45,ki**님,2022년 9월 1일,5,5,5,양도많고  맛도있어요
46,a0**님,2022년 8월 31일,5,5,5,맛있쏘!!!!!!!!!!!
47,li**님,2022년 8월 30일,5,5,5,비오는날 매운탕 과 함께 좋네요
48,ch**님,2022년 8월 29일,5,5,4,회 신선도와 포장상태 깔끔하게 잘왔습니다^^ 비도오고해서 배달이 예상보다 많이늦었지만 사장님의 친절한 응대와 회 상태가 너무좋아서 마음이 녹았네요~더욱 번창하세요 자주시킬게요
49,ls**님,2022년 8월 27일,5,4,5,양이 조금 적지만 맛있었어요. 배달도 빨랐습니다.
50,dl**님,2022년 8월 25일,5,4,5,배달빠르고 신선하게 맛있었어요.. 야채와 서비스찬도 상태굿입니다..
51,bi**님,2022년 8월 20일,5,5,5,잘먹겠습니다 ㅎㅎㅎㅎㅎㅎ
52,ab**님,2022년 8월 19일,5,5,5,가끔 회생각날때 시켜먹는데 싱싱하고 맛있어요!
53,vl**님,2022년 8월 15일,5,5,5,잘 먹었습니다! 다음에 또 먹을게요
54,wl**님,2022년 8월 13일,-,-,-,"가격대비 가성비도 괜찮구 소면 같이 주시는거 넘나 조아요ㅠㅠ 메추리도 별미네용ㅎㅎ
간장도 나름 넉넉히 주셔서 좋아요!"
55,   손님,2022년 8월 12일,5,5,5,"회+해산물셋트  물회 배달주문해서 먹었는데 회가 쫄깃하고 식감도 좋고 맛잇네요
물회도 강력추천 합니다"
56,ag**님,2022년 8월 8일,5,5,5,양 꽤나 되었고 맛있게 먹었습니다
57,mi**님,2022년 8월 7일,5,5,5,회 싱싱하고 맛있어요 근데 안에 작은가시들이 몇개있어서 다음엔 그거만 조심해주시면 좋을 것 같습니다
58,du**님,2022년 8월 6일,5,5,1,"회하면 저는 무조건 여기입니다. 리뷰 음식도 훌륭하고, 다만. 오늘 배달이… 흠이지만 그래도 회는 무조건 여기 추천 합니다"
59,go**님,2022년 7월 31일,5,5,5,가성비도 좋았고 회 및 해산물도 신선하고 배달도 빨라서 좋았네요
60,st**님,2022년 7월 30일,5,5,5,배달도 빠르고 맛있어요!!
61,vh**님,2022년 7월 30일,5,5,5,맛있게 잘먹었습니다 물회가 시원하고 아주맛났어요~
62,dk**님,2022년 7월 28일,5,5,5,회가 너무 먹고 싶었는데 농어가 철이라고해서 주문해 봤습니다. 일단 배달이 아주 빨라서 너무 좋았습니다. 양도 적당하고 농어가 너무 맛있었어요!! 와사비산장에 찍먹해도 맛있었지만 같이 보내주신 백김치랑 마늘이랑 싸먹어도 꿀맛!! 고추 완전 매워서 더더 맛있었습니다!! 리뷰이벤트로 같이 온 물회도 시원하게 잘 먹었습니다!! 재주문의사 100프로 예요!!!!!!!!
63,am**님,2022년 7월 22일,5,5,5,또시켰네요 ㅎㅎ 잘먹곘습니다^^ 감사합니다
64,si**님,2022년 7월 22일,5,5,5,맛있어용 ㅎ 감사합니다
65,gk**님,2022년 7월 21일,-,-,-,물회는 항상 여기서 시켜요 맛납니당! 소라 서비스 처음 먹어봤는데 이것도 맛나요. 초밥은 조금 아쉬웠지만 전체적으로 좋았습니다
66,yk**님,2022년 7월 15일,5,5,5,양도많고 배달도 빨라서 너무 좋아요
67,is**님,2022년 7월 14일,5,5,5,진짜 너무 맛잇어요!!
68,co**님,2022년 7월 14일,5,5,5,싱싱한 회! 통통해서 좋아요~~
69,dl**님,2022년 7월 10일,5,5,5,너무 잘먹엇습니다 ㅎㅎ 푸짐하고 맛잇네요 ㅎㅎ
70,jy**님,2022년 7월 10일,5,5,5,맛도괜찮고 양도괜찮아요
71,ba**님,2022년 7월 10일,5,5,5,서비스 받아 잘 먹어습니다
72,am**님,2022년 7월 8일,5,5,5,영롱한빛 와우~ 이제 시식합니다
73,fi**님,2022년 7월 7일,5,5,5,기본은하니까 믿고먹습니다 서비스도 좋아유
74,db**님,2022년 7월 7일,5,5,5,횟감들 맛도 좋고 서비스도 너무 좋네요 감사합니다 또 시킬게요
75,wa**님,2022년 7월 6일,5,5,5,정말 맛이씆니다 ㅋ
76,i7**님,2022년 7월 1일,5,5,5,아주 맛있게 질 먹었습니다^^
77,ji**님,2022년 6월 30일,5,5,5,"비오는날 광어회와 물회가 땡겨서 주문해봅니다

역시 기대한것 이상으로 훌륭합니다

다음엔 다른 메뉴로 도전~~^^"
78,ci**님,2022년 6월 26일,5,5,5,예상시간보다 더 빠르게 와서 잘 먹었어요.
79,ro**님,2022년 6월 25일,5,5,5,"연어가 정말 부드럽고 고소해요 ㅎㅎ
지나가다 가게 안을 보면 손님들이 많은데
역쉬 회전문 맛집이네요 굿굿 👍"
80,tj**님,2022년 6월 25일,5,4,5,불금에 광연이와 함께! 기가막힙니다!
81,py**님,2022년 6월 20일,5,5,5,맛있게  잘 먹었습니다 ~~~
82,gk**님,2022년 6월 19일,-,-,-,물회를 정말정말 좋아하는데 양도 괜찮고 맛있어요. 매번 방문해서 사가다가 어플로 포장주문은 처음해봤네요. 다음엔 다른것도 시켜먹어 보려고요.
83,dl**님,2022년 6월 19일,5,5,5,항상 맛있게먹고있습니다!!소라무침 너무너무좋아요!!여기는서비스가너무좋아요!!맛도맛이고!!양도!배달도!!어느면에서나 5점입니다!!잘먹었습니다!!
84,ki**님,2022년 6월 14일,5,5,5,최고 입니다 다음에 또 주문할께요
85,go**님,2022년 6월 10일,5,5,5,"맛있어요 혼자 푸짐하게 시켜먹었는데 역시 남네요
1인회메뉴세트 나왔으면 ㅠㅜ 
한번씩 몸보신용으로 이용하겠습니다"
86,hj**님,2022년 6월 9일,5,5,5,"서비스로 오는 소라무침이 너무 먹고싶어서 시켰는데, 여전히 맛있었고, 보리숭어도 잘 먹었습니다👍"
87,je**님,2022년 6월 9일,5,5,5,써비스 소라 무침도 잘 먹었어요.....
88,to**님,2022년 6월 7일,4,4,5,맛있었어요 조금 덜잘려서 많이 붙어있긴했어요
89,kn**님,2022년 6월 7일,5,5,5,"맛있게 잘먹었네요
간만에 세코시 맛있었고요
서비스도 감사합니다"
90,wo**님,2022년 6월 5일,5,5,5,배달엄청빠르고 양도 많네요ㅎ 맛있어요 서비스도 좋아요
91,ps**님,2022년 6월 3일,-,-,-,매번 만족스럽습니다
92,kc**님,2022년 6월 3일,5,5,5,깔끔하게 잘왔고 맛있게 잘먹었어요
93,zn**님,2022년 6월 3일,1,2,2,초장도 안주는 횟집은 난생 첨보네요
94,la**님,2022년 6월 2일,5,5,5,맛있어요? 배달도 빠르고  신선하네요!
95,my**님,2022년 5월 29일,5,3,4,"회의 양이 기대보단 가격 대비 실망스럽습니다
소라는 그런대로 양이 괜찬다싶지만 멍게나 연어, 광어회 양은 정말 실망입니다
서비스로 주신 소라 무침은 맛잇엇어요
우연이 같은 단품회를 시켜도 회의 양이 이정도일지 불안하네요"
96,bg**님,2022년 5월 28일,5,5,5,맛있게 잘 먹었습니다.
97,ii**님,2022년 5월 27일,5,5,5,우럭이 진짜 실해요!! 회는 항상 여기서만 시킵니당!!!
98,co**님,2022년 5월 27일,5,5,5,맛있게 잘 먹었습니다
99,dm**님,2022년 5월 26일,-,-,-,"맛나게 잘먹었습니다.
 회가근데 엄청 짧네요..?"
100,ni**님,2022년 5월 26일,5,5,5,"맛있습니다.
감사합니다."
101,wk**님,2022년 5월 19일,5,5,5,잘먹었습니다 많이파세용
102,09**님,2022년 5월 15일,5,5,5,"감사합니다
어제먹었는데 ㅎ 
ㅅ"
103,ha**님,2022년 5월 15일,5,5,5,"너무 잘먹었어요!!!
순식간에 먹었네여
또 시킬께요"
104,km**님,2022년 5월 14일,5,5,5,맛있게 잘먹었어요
105,09**님,2022년 5월 13일,5,5,5,"맛있게 잘먹었어요
다음에 더 시켜먹을꺼에요"
106,ma**님,2022년 5월 13일,5,2,5,양이 많이 줄었음.
107,ai**님,2022년 5월 7일,5,5,4,"양도 많고 맛있어요
서비스로 주신 소라무침도너무 맛있어요"
108,pu**님,2022년 5월 7일,5,5,5,양도 많고 맛도 좋고 배달도 개빠름
109,gu**님,2022년 5월 6일,-,-,-,"가성비도 좋고 
같이 주신 소라무침이 진짜 맛있었어요 
다음에도 시켜먹겠습니다! 
술이랑 같이 먹으면 회가 맛있어서 소주가 술술 넘어가서 취할 수 있으니 조심하세요"
110,ps**님,2022년 5월 4일,-,-,-,물회 포장주문했습니다. 이번에 처음 주문해봤는데 가격도 이정도면 저렴하고 그렇다고 양이나 맛이 떨어지지도 않습니다. 재주문의사 100%입니다
111,ro**님,2022년 5월 3일,5,5,5,"맛나게 잘먹었습니다.
항상 고맙습니다.
대박나세요. ."
112,jc**님,2022년 5월 1일,5,5,5,푸짐하고 서비스 잘 받았습니다!!
113,in**님,2022년 5월 1일,-,-,-,회도 적당하고 반찬도 같이 나와서 너무 잘 먹었습니다!
114,aj**님,2022년 5월 1일,-,-,-,맛있게 잘 먹었습니다. 서비스 소라무침도 감사합니다.
115,   손님,2022년 4월 27일,5,5,5,"푸짐해서 놀라고 맛있어서 놀라고
오늘은 생일이라 맛있게 먹을게요~"
116,le**님,2022년 4월 27일,5,5,5,맛있게 잘 먹었습니다!
117,my**님,2022년 4월 26일,5,4,5,"배달 엄청빠름. 양은 두껍게 썰어달라부탁드려서 그런건지 원래 이양인지 소자치곤 작은거같음.
간장도 많이주시고 아주 좋았음"
118,ss**님,2022년 4월 25일,5,5,5,딱 좋아요 초밥밥도 맛있어요!
119,ga**님,2022년 4월 25일,5,5,5,푸짐하고 맛있게 잘 먹었습니다~~
120,je**님,2022년 4월 24일,5,5,5,맛있게 잘 먹었습이다........
