,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,pi**님,2일 전,5,5,5,맛있게 잘먹었습니다~
1,rh**님,2일 전,5,5,5,너무 맛있어요 항상 완벽하게 튀겨주심
2,th**님,3일 전,5,5,5,배달빠르고 맛있었어요
3,re**님,4일 전,5,5,5,맛있게잘먹었습니다!
4,wn**님,4일 전,5,5,5,맛있어요 자주시켜먹을게요
5,pe**님,5일 전,5,5,5,오랜만에 시켜먹었는데 만족입니다.
6,sk**님,5일 전,5,5,5,고구마치즈 맛있네요...잘먹었습니다.
7,sj**님,5일 전,5,5,5,"항상 변함없이 맛있어요
잘 먹었습니다"
8,su**님,2022년 11월 9일,5,5,5,돈까스 먹고 싶을 땐 항상 돈브에서 먹어용 넘 맛있었습니다👍
9,du**님,2022년 11월 9일,5,5,5,돈가스 치즈가 완전 푸짐해서 좋았고 우동국물도 따뜻해서 맛있었어요!
10,ky**님,2022년 11월 9일,5,5,5,맛있어요~~~\~~~
11,as**님,2022년 11월 8일,5,5,5,배달 빨랐고 맛있었어요!
12,si**님,2022년 11월 8일,5,5,5,맛있게 잘 먹었어요
13,km**님,2022년 11월 7일,5,5,5,푸짐해서 너무 좋아여 한가득 두고 먹어요
14,cj**님,2022년 11월 6일,5,4,3,너무 맛있게 항상 같은맛으로 만족시켜주시네요~~
15,sh**님,2022년 11월 6일,5,5,5,깜빡잊고 리뷰를 쓰지 못했네요 ! 오늘도 넘 맛있어요
16,he**님,2022년 11월 6일,5,5,5,양 많고 맛있어요!! 세트시켰는데 4명이 배부르게 먹었습니다ㅎㅎ 감사합니다
17,rh**님,2022년 11월 6일,5,5,5,양도 많고 깔끔합니다
18,se**님,2022년 11월 4일,5,5,5,양도 많고 맛잇네요
19,el**님,2022년 11월 3일,5,5,5,맛있게 잘 먹었습니다
20,jw**님,2022년 10월 31일,5,5,5,맛있게 먹었습니다 ㄱ
21,ju**님,2022년 10월 30일,5,5,5,돈까스 맛있게 잘먹었습니다.
22,el**님,2022년 10월 30일,5,5,5,맛있게 잘 먹었습니다
23,cj**님,2022년 10월 28일,4,4,3,최고네요 맛과양 굿굿굿굿
24,bo**님,2022년 10월 28일,5,5,5,처음 주문 햇는데 튀김이 바삭하고 밥도 맛있네여!
25,rh**님,2022년 10월 28일,5,5,5,오늘도 맛있었습니다
26,rh**님,2022년 10월 28일,3,4,4,항상맛있게먹고있습니다ㅎㅎ
27,wn**님,2022년 10월 26일,5,5,5,맛있어요 자주시켜먹을게요ㅎㅎ
28,ju**님,2022년 10월 26일,5,5,5,맛있게 잘먹었습니다
29,dm**님,2022년 10월 25일,5,5,5,집에서 혼자 먹을때마다 먹는데 양도 적당하고 맛있어요
30,cj**님,2022년 10월 25일,3,3,3,나무맛있네요ㅎㅎㅎㅎㅎ
31,ho**님,2022년 10월 24일,5,5,5,맛있게 잘 먹었습니다 ^^
32,dk**님,2022년 10월 23일,5,5,5,잘 먹었습니다.
33,kh**님,2022년 10월 22일,5,5,5,오늘도 맛있게 잘먹었습니다 강추
34,kh**님,2022년 10월 22일,5,5,5,오늘도 맛있게 잘먹었습니다 강추
35,hi**님,2022년 10월 22일,4,5,2,"배달은 생각 보다 금방 와져서 좋았어요

포장은 물론 꽉묶어야 배달 입장에서는 안전하겠지만  너무 정말 묶여져있어
우동을 시켰는데 우동국물이 매콤 하여를 져서 아쉬웠어요 순한 어묵우동을 바라는데
어묵우동인줄 알았는데 오뎅 우동이여요.. 정말 아쉬웠어요 어묵우동이 먹고를 싶었는데 그래도 맛있었습니다..
우동으로 해장을 하여도 괜찮겠어요 살짝을 매콤 칼칼 하는 국물이어서


우와 고구마돈카츠는 정말 만족스러웠습니다  
돈카츠가 정말 짱 컸었어요 
가성비에 만족합니다 >-<
돈카츠가 담백 하니 달고 단짠에다 짭쪼름 하니 밥과 잘 어울려요"
36,yo**님,2022년 10월 22일,5,5,5,역시 생선까스 최고네요!!
37,si**님,2022년 10월 20일,5,5,5,"항상 맛있게 먹고 있는 돈까스 입니다.
일주일에 1~2번은 꼭 시켜먹고 있는듯 하네요"
38,yo**님,2022년 10월 20일,5,5,5,생선까스 역시 너무 맛있네요. 거리가 좀 있어서 배달료가 비싸 자주 시켜먹진 못하지만 생선까스 먹고 싶으면 여기밖에 못시키겠네요.잘 먹었습니다.
39,ri**님,2022년 10월 18일,5,5,5,맛있읍니다. 배달도 딱 시간 맞추어서 오시고 바삭바삭하니 씹는 맛도 일품입니다. 돈가스 먹고 싶을 때 또 주문 할 것 같읍니다.
40,sh**님,2022년 10월 17일,5,5,5,감사합니다🥰🥰🥰🥰🥰🥰🥰
41,dm**님,2022년 10월 17일,5,5,5,맛있어요
42,wl**님,2022년 10월 17일,5,5,5,두번째 주문으로 한끼 해결햇어요
43,po**님,2022년 10월 17일,5,5,5,맛있게잘먹었습니다
44,sh**님,2022년 10월 16일,5,5,5,사장님이 최고에요 사랑합니다
45,pi**님,2022년 10월 16일,5,5,5,돈까스 맛있게 잘먹었습니다! 양도많이주고 따뜻하게 먹었습니다.
46,si**님,2022년 10월 16일,5,5,5,맛있게 잘 먹었어요
47,kh**님,2022년 10월 16일,5,5,5,오늘도 맛있게 잘먹었습니다 강추
48,kh**님,2022년 10월 16일,5,5,5,오늘도 맛있게잘먹었습니다 강추
49,da**님,2022년 10월 12일,5,5,5,죄송해요 너무 맛있어서 다먹기 직전에야 찍었네요ㅋㅋㅋㅋㅋㅋㅋㅋ
50,si**님,2022년 10월 12일,5,5,5,맛있게 잘 먹었어요
51,as**님,2022년 10월 10일,5,5,5,배달도 정말 빨랐고 너무 맛있었어요!!
52,fk**님,2022년 10월 9일,5,5,5,잘먹었습니다
53,si**님,2022년 10월 5일,5,5,5,맛있게 잘 먹었어요
54,uj**님,2022년 10월 5일,5,5,5,매번 먹을때마다 너무 맛있습니다 ^^
