,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,a0**님,12시간 전,5,5,5,맛나게잘먹었어요~★★★★★
1,ji**님,18시간 전,5,5,5,"처음 주문한곳인데, 맛있게 잘 먹었어요~
서비스까지 주시고 감사합니다~
또 주문할께요^^"
2,ck**님,18시간 전,5,5,5,맛있게 잘 먹었습니다
3,wj**님,어제,4,4,4,"옛날에 먹던 딱 그맛이네요
잘먹었습니다ᆢ"
4,qk**님,어제,5,5,5,자주 시켜먹어요. 맛있습니다
5,ti**님,어제,5,5,5,맛있어요 사진찍는 것도 깜빡하고 다먹어버렸네요!!!
6,cu**님,2일 전,5,5,5,맛있게잘먹었습니다~~~
7,hy**님,2일 전,4,5,2,"음식 맛있었습니다
배달이 좀 지연되긴했지만 
괜찮았어요"
8,rm**님,2일 전,5,5,5,맛있어요! 서비스로 주신 새우튀김도 굿
9,ec**님,2일 전,5,5,5,맛있게 잘 먹었습니다
10,al**님,2일 전,5,5,5,"간만에 먹어도 맛있네요^^
잘 먹었어요 사장님~~
장국빼고 염교많이 부탁드릴때마다
잘 보내주시는것도 감사합니다ㅎㅎㅎ"
11,po**님,2일 전,5,5,5,이번에도 잘 먹었습니다~!
12,mj**님,3일 전,5,5,5,맛있네요.  만족합니다. 담에 또 주문할듯요.
13,ku**님,3일 전,5,5,5,새우초밥 좋아하는데 맛있어요 잘먹었습니다
14,sh**님,3일 전,5,5,5,포장 꼼꼼하고 초밥 맛있게 잘 먹었어요~ 새우튀김 서비스도 잘 먹었습니다^^
15,tj**님,4일 전,5,5,5,맛있게 보내주셔서 감사합니다
16,zx**님,4일 전,5,5,5,역시 믿고 먹는 스시현 가산점입니다
17,my**님,4일 전,5,5,5,맛있게 잘 먹었습니다^^
18,hy**님,4일 전,5,5,5,원래 밥한그릇 다 안먹고 남기는 편인데 넘 맛있어서 즐겁게 눈깜짝할사이에 다 먹어버렸어요 ㅋ서비스로 준 튀김도 정말 맛있었어요
19,rt**님,5일 전,5,5,5,"잘먹었어요
초밥도 튀김도 정말 맛있네요"
20,dl**님,6일 전,5,5,5,항상 맛있어요 굳굳
21,ev**님,6일 전,5,5,5,너무 맛있게 먹다가 사진 찍는 것을 깜빡했네요 ㅠㅠ 맛있는 스시로 하루를 마감하는 순간이 정말 좋네요^^
22,ae**님,6일 전,5,5,5,맛있어요 ...!!
23,iw**님,6일 전,5,4,4,맛있게 잘 먹었습니다~~!! 전반적으로 만족합니다~~다만 연어롤에 오이가 좀 더 들어가면 좋을것같아요. (느끼해서 다 못먹었어요. )
24,as**님,6일 전,5,5,5,이가게정말맛있습니다
25,na**님,일주일 전,5,5,5,"아는맛~이라
먹기전에 사진찍고 
리뷰 남겨요
오늘 초밥 먹고싶다는 딸냄땜시
주문했는데 
서비스로 간장새우초밥도 주시고
완전 감사합니다~
맛있게 잘 먹겠습니다~^^"
26,eh**님,일주일 전,5,5,5,👍👍👍👍👍👍👍👍👍👍👍
27,wi**님,2022년 11월 9일,5,5,5,맛있어요
28,la**님,2022년 11월 8일,5,5,5,잘 먹었습니당~~@!
29,gh**님,2022년 11월 8일,4,4,5,"배도 적당히 차고
맛있게 잘먹었어용~"
30,sw**님,2022년 11월 7일,5,5,5,일단 배달이 빨라요 10분정도 빨리 오고 맛도 괜찮아요 새우튀김은 서비스로 맛있게 잘 먹었습니다.
31,si**님,2022년 11월 7일,5,5,5,튀김이 바삭하고 생선이 맛있어요~~
32,do**님,2022년 11월 7일,5,5,5,광어지느러미 대존맛 마시써용
33,bh**님,2022년 11월 7일,5,5,5,맛있게 잘먹었습니다.
34,ca**님,2022년 11월 7일,5,5,5,서비스 안주셔서 실망이에요.감사합니다.
35,co**님,2022년 11월 6일,5,5,5,처음 시켰는데 어린이초밥 구성 너무 괜찮네요~ 다른 초밥도 식감도 좋고 맛있어요~ 다음에 또 주문할께요~^^
36,di**님,2022년 11월 6일,5,5,5,맛있게 잘먹었습니다.
37,dk**님,2022년 11월 6일,5,5,5,진심.... 영롱해요ㅠㅠ 배달은 바쁘셔서 어쩔수 없지만 맛만 좋으면 굿 입니다
38,lh**님,2022년 11월 5일,5,5,5,맛있어요 잘 먹었습니다~
39,bl**님,2022년 11월 5일,5,5,5,"배달 시켜먹을때마다 한결같은 맛! 
스시는 다른집에서 안시켜먹어요"
40,go**님,2022년 11월 5일,5,5,5,초밥도 너무 맛있고 배달도 빨랐어요! 잘먹었습니다
41,zl**님,2022년 11월 5일,5,5,5,롤 넘 맛잇어요 ㅋㅋㅋㅋㅋ 다른 초밥도 깔끔
