,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,pk**님,20시간 전,5,5,5,맛있어요 ㅜ 맛있어요 ㅜ
1,pk**님,2일 전,5,5,5,맛있어요 잘먹었습니다 감사합니다 ㅎㅎ
2,ph**님,일주일 전,5,4,5,"초밥하고 회덥밥 맛있네요.
서비스로 주신 우동은 간도 맞고 무난한 맛입니다."
3,wh**님,2022년 11월 9일,5,5,5,아쥬맛있었늡니당!!
4,ru**님,2022년 11월 8일,5,5,5,맛있게 먹었습니다.
5,km**님,2022년 11월 6일,5,4,5,"초밥이 부드럽고 너무 맛있어요~
또 먹고 싶어지네요
사진을 못찍어서 아쉽네요 ㅠㅠ"
6,tu**님,2022년 11월 5일,5,5,5,맛있게 잘 먹었습니다~ 배달도 빠르구요.
7,jw**님,2022년 11월 4일,4,5,5,맛있게 먹었어용!
8,wa**님,2022년 10월 29일,-,-,-,역시 맛있어요 🥹 가격도 저렴해서 더 자주 먹게 되네요 서비스 타코야끼도 존맛
9,wi**님,2022년 10월 27일,5,5,5,음식도 다 맛있고 배달도 빨리 오셨어요
10,dl**님,2022년 10월 26일,5,4,5,음쏘굳 역시 광어지느러미 너무 맛도리
11,db**님,2022년 10월 26일,-,-,-,맛있게 먹었습니다 ^^
12,kd**님,2022년 10월 23일,5,5,5,맛있게 잘 먹었습니다. 다음에 또 주문할게요 !
13,qk**님,2022년 10월 23일,5,5,5,요새 이집 초밥에 빠졌네요. 밥양도 적당하고 맛있어요
14,dk**님,2022년 10월 19일,5,5,5,배달 빠르고 맛있네요 좋아요~
15,aj**님,2022년 10월 19일,5,5,5,"연어롤, 새우튀김롤 둘 다 양 엄청많고 맛있어요!!"
16,sj**님,2022년 10월 17일,-,-,-,맛있게 잘 먹었습니다
17,wa**님,2022년 10월 10일,-,-,-,초밥 먹고 싶을 때마다 시키는 곳 🥰 가격도 합리적이고 초밥도 맛있어요 번창하세요!
18,cj**님,2022년 10월 9일,5,5,5,찐맛 맛있다 다시생각해봐도 맛있다
19,hy**님,2022년 10월 8일,-,-,-,항상 맛있게 잘 먹고 있습니다
20,so**님,2022년 10월 6일,5,5,5,역시 맛있습니다👍👍👍👍👍
21,tm**님,2022년 10월 5일,5,5,4,"초밥  맛잇어요 
우동 국물  진하고 면이 맛있어요 꼭 시키시길
락교는 아삭하지않아서 식감이별로....  초생강은 다른데랑 좀 다른거같앗는데 우동,초밥 다 잘어울렸어요 와사비도 특별햇구요ㅎ"
22,qk**님,2022년 10월 5일,5,5,5,초밥이랑 모밀 모두 맛있어요~
23,si**님,2022년 10월 5일,5,5,5,"다 맛있지만  성게알 초밥,  연어알 초밥은 레전드네요!"
24,py**님,2022년 10월 4일,5,5,5,초밥 신선하고 맛있어요 잘먹었습니다!
25,sk**님,2022년 10월 4일,5,5,5,맛나게잘먹었습니다!!!
26,no**님,2022년 10월 4일,4,5,5,맛 있어요. 초밥안에 와사비가 들어 있어서 아이랑 같이 못 먹으니 아쉽네요.
27,vv**님,2022년 10월 2일,5,5,5,캡 짱 너무너무눠ㅜ마싯
28,dl**님,2022년 9월 29일,-,-,-,초밥도 신선하고 우동도 맛있어요!
29,dr**님,2022년 9월 28일,5,5,5,맛있게 잘 먹었습니다~~~!!
30,db**님,2022년 9월 27일,-,-,-,가격도 맛도 여기가 최고
31,re**님,2022년 9월 23일,5,5,5,연어 뱃살 맛있네요 ㅎㅎ
32,re**님,2022년 9월 22일,5,5,5,야무지게 먹었습니다
33,re**님,2022년 9월 21일,5,5,5,어제도 오늘도 마싰습니다
34,re**님,2022년 9월 20일,5,5,5,일단 초밥 너무 신선하고요 특히 배달이 너무 일찍 와서 좋네요 ㅎㅎ
35,db**님,2022년 9월 20일,-,-,-,맛있는초밥 항상 감사합니다 ^^
36,yo**님,2022년 9월 18일,5,5,5,맛있어요2222222
37,yo**님,2022년 9월 18일,-,-,-,맛있어요2222222
38,so**님,2022년 9월 14일,5,5,5,오랜만에 먹어도 맛있어요!!!!
39,an**님,2022년 9월 10일,5,5,5,집에서 처음 초밥 주문해서 먹었는데 생각보다 씽씽하고 맛있었어요~부모님이 너무 잘드셔서 기분이 너무 좋았어요
40,sh**님,2022년 9월 9일,5,5,5,맛있게 잘먹었습니다
41,db**님,2022년 9월 6일,-,-,-,항상 맛있어요 굿ㅎ
42,th**님,2022년 9월 3일,5,5,5,잘먹었습니다 ㅎㅎㅎㅎㅎ
43,db**님,2022년 9월 3일,-,-,-,늘 맛있고 양도많아요 건강하세요.
