,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,mu**님,어제,5,5,5,"불향나는 불족발~
언제시켜도 맛있네요 굿굿^^"
1,cy**님,어제,5,5,5,맛있게 잘 먹었습니다!
2,ka**님,어제,5,5,5,맛있게 잘먹었습니다
3,yj**님,2일 전,-,-,-,"족발은 무조건 여기요!!!!👍🏻 다른데서 돈 낭비하지 마시고 꼭 천년족발꺼 사드세요 😖
제가 비린내, 잡내에 예민한 편인데도 천년족발은 그런 냄새 따위 하나도 안나구요 ㅋㅋ 오히려 쫄깃하니 넘 넘 맛있습니다~ 구디 주변에 다른 프랜차이즈가 많지만 이상하게 다른 족발은 생각도 안나요^^ 여기꺼 먹어보심 무슨 말인지 알듯요~ 아깝지 않은 내돈내산이네요 ㅎㅎ"
4,ho**님,3일 전,5,5,5,껍대기가 쫄깃해서 맛있어요. 무말랭이는별로예요
5,gu**님,3일 전,5,5,5,배달도 빠르고 너무 맛있게 잘먹었습니다
6,lj**님,4일 전,5,5,5,불족발 소스가 진짜 맛있어요
7,tk**님,4일 전,5,5,5,"엄청 배부르고 맛있게 잘먹었습니다!!
천년족발 짱!!"
8,to**님,5일 전,5,5,5,"사진을 못찍었네요 항상 맛있게 잘먹고있습니다
요청사항 들어주셔서 감사합니다"
9,to**님,5일 전,5,4,5,맛있습니다.따봉👍
10,rk**님,5일 전,5,5,5,언제 먹어도 맛있어요. 우리동네 족발 맛집입니다용
11,sa**님,5일 전,5,5,5,"맛있어요~~
오늘은 소주로 달려야겠네요.
배달도 엄청 일찍 왔어요.
어머니도 입에 잘 맞다고 하시네요"
12,wj**님,2022년 11월 9일,5,5,5,맛있습니다   잘먹겠습니다
13,ms**님,2022년 11월 9일,5,5,5,"배달도 빠르고 항상 맛있어요ㅋ
잘먹었습니다^^"
14,zm**님,2022년 11월 8일,5,5,5,맛잇게 잘 먹엇습니아
15,jr**님,2022년 11월 8일,5,5,5,"배달 진짜 빠르고 너무 맛있습니다.
보쌈 족발 한번씩 주문해서 먹었는데 모두 최고!!
특히 막국수는 다른데랑 퀄이 달라요.
완전 강추합니다!!"
16,za**님,2022년 11월 7일,5,5,5,맛있어요 그런데 소스가 따로나오는지도 몰랐고 불보쌈이라고 하기엔 맵기가 부족한거같더라구요ㅠ
17,ml**님,2022년 11월 7일,5,5,5,"굿~~
맛있어요!!!!"
18,kl**님,2022년 11월 7일,5,5,5,족발이 진짜 부드러워서 감탄했어요! 큰 뼈 제외 이런거 주문하는 페이지에서 선택 가능하면 더 좋을 것 같아요!!
19,az**님,2022년 11월 6일,4,5,5,"잘먹었습니다 ..
두번째인데 대자 시키면  앞발이 오려나
했는데  뒷발이네요 ㅜㅠ
족발은 앞발이  맛있는데요
앞발은  없으시나요"
20,dl**님,2022년 11월 6일,5,5,5,"동생집에 놀러와서 족발 보다가 동생이 여기맛있다고해서 시켰습니다~ 역시 맛있네요
잘먹겠습니다.번창하세오~~~~"
21,or**님,2022년 11월 6일,5,5,5,배달 빠르고 맛있고 최고에요
22,wo**님,2022년 11월 6일,5,5,5,양도 많고 감칠맛나는게 너무 맛있어요! 유명한 이유가 있네요ㅎㅎㅎㅎ
23,go**님,2022년 11월 6일,5,5,5,"맛있게 잘 먹었습니다
거리가 있어서인지
배달 시작 알림 받고 30분이 넘어 도착했어요
중 크기는 2인이 먹기 딱 좋네요"
24,ze**님,2022년 11월 6일,5,5,5,"족발 촉촉하고 너무 맛있게 먹었습니다
재주문각입니다"
25,gk**님,2022년 11월 5일,5,5,5,족발이 야들야들한게 너무 맛있네요!! 배달두 빠르고 잘먹었습니다 담에도 이용할게요!!!
26,ss**님,2022년 11월 5일,5,5,5,항상 맛있고 푸짐해요
27,81**님,2022년 11월 5일,5,5,5,정말 푸짐하네요...매운소스가 일품입니다.. 적당한 맵기로 너무 맛나네요
28,el**님,2022년 11월 5일,5,5,5,늘 맛있어요~~~잘 먹겠습니다.
29,tu**님,2022년 11월 4일,5,5,5,알찬구성입니다! 맛도있어서 좋아요~~~
30,ji**님,2022년 11월 4일,5,5,5,정말 쫀득쫀득 맛있어요!! 족발맛집 서비스맛집입니다
31,vu**님,2022년 11월 3일,5,5,5,막국수가 진짜 맛있고요! 정말 오랫만에 주문햇는데 역시 맛있어요
32,cr**님,2022년 10월 30일,5,5,5,맛나게 잘 먹었습니다 ㅎㅎ
33,se**님,2022년 10월 29일,5,5,5,"맛있게 잘 먹었습니다
근데 보쌈에 보쌈김치가 없어서 살짝 당황했어요
몇군데서 보쌈 먹었을때는 다 김치가 있었거든요"
34,ne**님,2022년 10월 29일,-,-,-,맛있습니다! 쫜득하니 굿
35,kk**님,2022년 10월 29일,5,5,5,너무맛있어요!!! 후후
36,se**님,2022년 10월 29일,5,5,5,짱 맛잇어요 잘묵었습니다 ㅎㅎ
37,tj**님,2022년 10월 28일,4,3,4,"처음주문했어요 차슈보쌈 맛있네요
근댑 족발이 몇개빼곤 다조각조각 뻑살위주로있었어요
무김치도 너무작아서 집에있는김치랑 먹었어요
배달은 빠르게잘왔어요
족발이랑무김치빼곤 맛있게 잘먹었어요"
38,qw**님,2022년 10월 28일,-,-,-,맛있게 잘 먹었습니다
39,hr**님,2022년 10월 26일,5,5,5,"족발은 여기서만 주문해요~!!
오늘도 잘먹었습니다^^"
