,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,du**님,어제,1,3,4,오늘은고기에서 돼지냄새가 나네요
1,mh**님,3일 전,5,5,5,"푸짐한 점심 했네요.
맛있게 먹었습니다."
2,se**님,5일 전,5,5,5,배달두 빠르고 맛있게 잘 먹었어요
3,wl**님,5일 전,5,5,5,맛있어요!!
4,p8**님,6일 전,5,5,5,"보쌈은 항상 여기서먹어요~♡♡
돼지냄시안나고 부들부들촉촉촉^^"
5,ki**님,6일 전,5,5,5,맛있게잘먹었습니다!!
6,oo**님,6일 전,5,5,5,너무 맛있게 잘 먹었어요.
7,ky**님,일주일 전,5,4,5,빠른 배달이었는데 받자마자 열어보니 콩나물 국이 반쯤 기울어져 반이나 새버렸네요ㅜㅜ
8,hj**님,일주일 전,5,5,5,배송도 빠르고 고기도 연해서 맛있게 잘 먹었어요
9,ye**님,일주일 전,5,5,5,"역시 보쌈은 김치가 맛있어야돼요,,덕분에 간만에 너무 맛나게 잘 먹었습니다ㅎ"
10,lg**님,2022년 11월 11일,-,-,-,항상 너무 맛있급니다!!
11,js**님,2022년 11월 10일,5,5,5,맛있어요!!양도 푸짐해요!!
12,pa**님,2022년 11월 10일,5,5,5,양도 많고 맛있게 잘 먹었어요
13,ck**님,2022년 11월 9일,5,5,5,양도 푸짐하고 맛도 좋아요🙂
14,ps**님,2022년 11월 9일,5,5,5,"김치 맛집 
맛있게 먹었습니다"
15,rl**님,2022년 11월 8일,5,5,5,"오랜전통의맛~~정말맛있어요~🙏
보쌈생각날땐 무조건 원할머니보쌈이죠~♡"
16,lh**님,2022년 11월 7일,5,5,5,항상 맛있게 먹고있어요
17,wh**님,2022년 11월 6일,5,5,5,맛있게 잘 먹었습니다~
18,wl**님,2022년 11월 5일,5,5,5,너무 맛있게 먹었어요  무김치 진짜 맛있어요🥲
19,   손님,2022년 11월 5일,5,5,5,맛있게잘먹었습니다!
20,su**님,2022년 11월 5일,5,5,5,고기정말좋은부위주시고 써비스도잘챙겨주시고 잘먹엇어요
21,ej**님,2022년 11월 5일,5,5,5,보쌈이 부드럽고 맛있어서 식구들이 모두 잘 먹었어요. 서비스주신 고기도 감사합니다.^^
22,do**님,2022년 11월 5일,5,5,5,언제나 신세지고 있습니다.
23,hw**님,2022년 11월 4일,5,5,5,항상 맛있게 먹고 다시 고기리뷰이벤트 시작해서 좋네요 추천합니다
24,ra**님,2022년 11월 4일,5,5,5,깔끔하게 잘 와주었고 맛있게 잘 먹었습니다
25,ja**님,2022년 11월 4일,5,5,5,오늘도 맛나게 잘 먹었습니다 ~
26,nz**님,2022년 11월 2일,5,5,5,맛있게 잘먹었습니다
27,db**님,2022년 11월 1일,5,5,5,"리뷰 솔직하게 씁니다 맛있었어요
근데 저만 그런거면 상관 없는데 저 포함 같이 먹었던 1명(총2명) 다음 날 복통 및 설사 합니다 따로 연락은 안합니다만 위생 문제가 아닌가 싶습니다 지금 아침에만 설사 3번 했습니다 같이 먹었던 사람은 토하고 복통 증상 계속 있습니다 위생 문제가 아닌걸까요? 리뷰 좋게 쓰려다가 좀 이상해서 리뷰 씁니다"
28,pw**님,2022년 10월 31일,5,5,5,맛있고  배달도 빨라요
29,pr**님,2022년 10월 30일,5,5,5,"언제먹어도 맛있는 원할머니 의성마늘떡보쌈❤️
오늘도 잘 먹었습니다😆"
30,kh**님,2022년 10월 30일,5,5,5,맛있는 음식 많이 먹었어요 감사합니다
31,jo**님,2022년 10월 29일,5,5,5,족발과 보쌈이 먹고 싶을땐 항상 원할머니 보쌈에서 주문합니다~
32,hw**님,2022년 10월 28일,5,5,5,아이가 원할머니 보쌈을 너무 좋아해요^^ 떡이랑 싸먹으니 재밌고 더 맛있대요ㅎㅎ
33,ps**님,2022년 10월 28일,4,3,4,맛있게 잘먹었어요^~~^
34,ay**님,2022년 10월 26일,5,5,4,"세트 2개를 시켰거니 서비스 막국수도 2개가 왔네요^^
잘먹었습니다."
35,bn**님,2022년 10월 25일,5,5,5,"이사오기 전에 원할머니 단골이였어요. 
여기 이사와서 처음 원할머니~~
역쉬나 맛나게 잘 먹었습니다^^"
36,ow**님,2022년 10월 25일,5,5,5,정갈한 포장..너무 맛잇게 잘먹었어여..
37,no**님,2022년 10월 25일,5,5,5,보쌈은 여기서만 시켜요.. 깔끔하고 맛있어요. 잘 먹었습니다.
38,sk**님,2022년 10월 24일,5,5,5,양도 많고 맛있어요!! 잘먹었습니다
39,po**님,2022년 10월 23일,5,5,5,맛있어요!! 보쌈 너무 맛있어요 ~~ 원할머니 보쌈은 정말 맛나요
40,gu**님,2022년 10월 23일,5,5,5,너무맛있아요 💖.
41,yk**님,2022년 10월 23일,5,5,5,굿 정말 맛있네요 👍
42,ds**님,2022년 10월 22일,5,5,5,맜있게 잘 먹었습니다 ^^
43,je**님,2022년 10월 22일,5,5,5,배달빠르고 맛도 양도 푸짐하네요 잘먹었습니다.
44,wo**님,2022년 10월 21일,5,5,5,"보쌈은 원할머니죠 김치도 맛있죠
서비스도 좋아요"
45,ps**님,2022년 10월 20일,5,5,5,"적당히 익어서 김치 정말 맛있어요 
고기도 막국수 샐러드도 모두 신선하고 
푸짐하고 맛있게 잘먹었습니다"
46,ja**님,2022년 10월 18일,5,5,5,오늘도 아주 맛있게 잘먹었습니다
47,as**님,2022년 10월 18일,5,5,5,할말하않.. 너무 맛있음 진짜ㅠㅠ 꼭 시키세요 다들
48,sk**님,2022년 10월 16일,5,5,5,믿고먹는 ㅠ 원할머니보쌈 주안점! 빠르고 맛있어요~!
49,cl**님,2022년 10월 16일,5,5,5,맛있습니다.직접 가서도 맛있는데
50,ma**님,2022년 10월 16일,5,5,5,맛나게 잘 먹었습니다
51,hj**님,2022년 10월 14일,5,5,5,"따뜻해서 맛있게 잘 먹었어요!!
서비스도 굿굿👍"
52,24**님,2022년 10월 14일,5,5,5,맛있게 잘먹었습니다
53,as**님,2022년 10월 14일,5,5,5,와 진짜 지금 이번달만 거의 3번 시켜먹은듯 진짜진짜 젤 맛있어요..ㅠㅠ 이 가게는 없어지면 절대!! 안돼오!!
54,20**님,2022년 10월 14일,5,5,5,"원할머니보쌈 최고예요!!
서비스로 주신 장조림주먹밥도 맛있었어요~^^"
