,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ke**님,2시간 전,5,5,5,맛있게 잘먹었습니다 감사합니다
1,sh**님,5시간 전,5,5,5,맛있게 잘 먹었습니다
2,gr**님,7시간 전,5,5,5,"배달도 빠르고 무엇보다 보쌈이 정말 부드럽고 맛있습니다
또 주문할게요 감사해요!"
3,ja**님,21시간 전,5,5,5,맛나요~~~~~~~
4,je**님,22시간 전,5,5,5,맛있게 잘 먹었습니다 배달이 예상시간보다 빨리왔고 포장도 깔끔합니다.
5,po**님,어제,5,5,5,보쌈진리인곳~! 여기서만 주문합니다~
6,gi**님,2일 전,5,5,5,배고파서 밤늦게 주문했는데 너무 맛있게 잘 먹었습니당 혼자서 거의 다 먹었다는ㅜㅠ 항상 맛있는 음식 감사합니다 요청사항도 잘 들어주셔서 너무나 고맙습니다 항상 건강하세요 사장님^^
7,bl**님,3일 전,-,-,-,맛있게 잘먹었습니다
8,bl**님,3일 전,-,-,-,맛있게 잘먹었습니다
9,zz**님,3일 전,4,3,4,맛있게 먹었는데 양이 아쉽네요
10,wj**님,3일 전,5,5,5,"김장하며 먹었더니 사진이 흔들렸어요
믿고 먹는 곳이라 좋아요"
11,s_**님,3일 전,5,5,5,맛있어요
12,hs**님,4일 전,5,5,5,항상 맛있게 먹고 있어요.
13,ob**님,5일 전,-,-,-,"늘 감사드립니다 
맛나게 잘 먹겠습니다~^^!!!"
14,ja**님,5일 전,5,5,5,맛나요~~~~~~~
15,wq**님,6일 전,5,5,5,맛도리에유!!!!!!!!!
16,ba**님,일주일 전,4,4,5,맛있게 잘 먹었어요
17,ar**님,일주일 전,5,5,5,맛있게 잘 먹었습니다
18,wn**님,일주일 전,5,5,5,맛있어서 이틀 연속으로 시켰네요 다만 막국수 소스가 조금 신 거 말고는 맛있어요
19,hs**님,2022년 11월 10일,5,5,5,"늘 주문하는 곳이에요.
굳~~"
20,wn**님,2022년 11월 10일,5,5,5,처음 먹는데 아주 맛있어요!
21,ho**님,2022년 11월 8일,5,5,5,역시 미스터보쌈이 제일 깔끔하고 맛있네요 잘먹었습니다
22,sy**님,2022년 11월 8일,5,5,5,감사히정말잘먹었습니다
23,be**님,2022년 11월 7일,5,5,5,둘 다 마늘로 오는거였네요
24,kj**님,2022년 11월 6일,5,5,5,날씨가 추워서 그런지 음식이 조금 식어서 오긴 했지만 너무 맛있었어요~!~! 덕분에 행복한 저녁이었습니다
25,ji**님,2022년 11월 6일,5,5,4,맛있었고 양도 많아서 좋았어요
26,ja**님,2022년 11월 6일,5,5,5,맛있게 잘 먹었습니다~~
27,sb**님,2022년 11월 6일,5,5,5,배달빠르고 정말 맛있어요
28,go**님,2022년 11월 5일,5,5,5,맛잇고 빠르고 좋습니다
29,ji**님,2022년 11월 5일,5,5,5,맛있어보이네요. 배달도 시간 안에 왔어요. 잘 먹을께요.
30,qt**님,2022년 11월 4일,5,5,5,늘 맛있게 잘 먹고있어요! 그런데 이제 쿠폰은 없어졌나요? 오랜만에 시켰는데 쿠폰이 없더라구요ㅠㅋㅋ
31,la**님,2022년 11월 4일,5,5,5,"비주얼 충격..맛도 충격..양도 충격..
재구매 욕구가 무럭무럭!!"
32,gi**님,2022년 11월 3일,5,5,5,오랜만에 주문했는데 콜라 큰것도 서비스 해주셔서 감사합니다 항상 맛있지만 더 맛있어진 느낌이예요 예전에 쿠폰 많이 모아서 주문할때도 평소랑 똑같이 보내주셔서 우리 식구 모두 감동했어요 사장님 항상 건강하시고 돈길만 걸으시길 바래요 오늘도 맛있게 잘 먹었습니당^^
33,qw**님,2022년 11월 2일,-,-,-,보쌈 최곱니다 맛있어요
34,yo**님,2022년 11월 1일,5,5,5,양도 많고 맛있었어요!! 서비스도 최고😆👍👍
35,la**님,2022년 11월 1일,5,5,5,언제나 빠르고 똑같은 맛집
36,ro**님,2022년 10월 31일,5,5,5,가격과 맛 다 만족스러운 집입니다. 강추합니다. 보쌈 먹고 싶을 때 이 집에서만 주문합니다.^^
37,ta**님,2022년 10월 31일,5,5,5,"아주 맛있게 잘 먹었습니다
역시 가격도 저렴하고 맛도 좋아요"
38,qk**님,2022년 10월 30일,5,5,5,언제나 맛있게 잘 먹었습니다. 감사합니다
39,go**님,2022년 10월 30일,5,5,5,맛잇고 빠르고 좋습니다
40,fu**님,2022년 10월 30일,5,5,5,고기한팩이라 적은줄알앗는데 먹다보니 둘이 배불럿어요. 맛있어요
41,ck**님,2022년 10월 29일,5,5,5,배달도 빠르고 항상 맛있어요 잘먹었습니다!
42,aa**님,2022년 10월 29일,5,5,5,맛있게 잘 먹었습니다!
43,md**님,2022년 10월 29일,5,5,5,배달 빠르고 역시 맛도 좋네요 그리고 음료서비스도 감사히 잘 받았습니다
44,re**님,2022년 10월 29일,5,5,5,항상 맛있게 먹고 있어요
45,tp**님,2022년 10월 29일,5,5,5,"잘 먹었습니다!
막국수는 좀 한약 맛이 나는 거 같아요 ㅠ"
46,re**님,2022년 10월 29일,5,5,5,맛있어서 사진찍는것도 잊었네요^^;
47,ji**님,2022년 10월 29일,-,-,-,따뜻한 고기! 맛나요!!
48,jz**님,2022년 10월 29일,5,5,5,"맛있어요:)
세트메뉴구성도좋아요!"
49,mi**님,2022년 10월 26일,5,5,5,너무 맛잇게 잘 먹었습니낭
