,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,li**님,5시간 전,5,5,5,너무 맛있지만 털이 좀 많아요  그래도 잘 먹었습니다 감사합니다
1,wn**님,17시간 전,5,5,5,항상맛있게 잘먹습니다
2,po**님,21시간 전,5,5,5,맛있게 잘 먹었습니다.
3,wn**님,어제,5,5,5,최고 맛있어요 자주 시킬게요!!!
4,kb**님,2일 전,3,5,5,양이 많아서 좋았어요~
5,qp**님,3일 전,5,5,5,"리뷰가 늦었어요
정말 맛있게 잘 먹었어요"
6,wk**님,3일 전,5,5,5,잘먹었습니당 많이파세용
7,ra**님,3일 전,5,5,5,"맛있게 잘 먹었어요
감사해요"
8,as**님,4일 전,5,5,5,양이 엄청나네요 맛있게 잘먹겠습니다
9,t0**님,5일 전,5,5,5,가성비도좋고 일단 먹을게 많아서 좋습니다  또 주문할께요
10,32**님,5일 전,5,5,5,맛있어용♡♡♡♡♡♡
11,30**님,5일 전,3,5,1,맛은보통 배달은 한시간 이십분
12,01**님,6일 전,5,5,5,가성비짱~맛나게먹었어요^^
13,sh**님,6일 전,5,5,5,보쌈집중에 구성 맛 배달 전부제일존ㅅ아요
14,lp**님,6일 전,5,5,5,"잘먹었습니다
감사합니다"
15,27**님,6일 전,5,5,5,맛있게 잘 먹어습니다
16,zk**님,6일 전,5,5,5,"전반적으로 맛있었어요.
그런데 역시나 불족발에선 그 돼지냄새? 가 좀 더 나더라구요"
17,si**님,일주일 전,5,5,5,"안전하게 와서 맛나게 잘 먹겠습니다.
양이 푸짐해서 좋습니다."
18,sa**님,일주일 전,5,5,5,맛있게 잘 먹었습니다
19,ur**님,일주일 전,5,5,5,"리뷰이벤트 약속해서 별 다섯개긴 하지만
여기 두세번 시켜먹었을때는 진짜 맛있게 먹었던 기억이 있거든요ㅠㅠ
근데 오늘 유독 돼지특유냄새가 많이 나서 너무 아쉬웠어요...🤣🤣"
20,cm**님,일주일 전,3,3,5,족발에 털이 좀 보여서 아쉽네요... 하지만 배달은 빠르게 오네요!
21,wo**님,일주일 전,5,5,5,"낙성대에서 10년 자취하면서 매일같이 배달 음식을 먹었어요, 오늘 이사갑니다, 더 이상 여기 족발을 먹을 수 없다는게 너무 슬프네요, 여기 맛 퀄리티 최상이고, 다른 족발집보다 만원 이상 싼데도 구성이나 맛이나 더 좋아요, 여기 진짜 장사 계속 잘 돼셨으면 좋겠어요, 사장님, 그동안 감사했습니다, 너무 친절하셔요."
22,rl**님,2022년 11월 11일,4,4,4,양도적당했고 맛있었어요 또시킬게요~
23,ks**님,2022년 11월 11일,5,4,4,살코기가 조금 적긴 했지만 맛있게 잘 먹었습니다~
24,qu**님,2022년 11월 10일,5,5,5,맛있고 양이 정말 많네요 ㅎ
25,je**님,2022년 11월 10일,1,5,1,편의점에서 파는 족발과 막상막하였습니다
26,wo**님,2022년 11월 9일,5,5,5,"정말 맛있게 먹었습니다, 항상 잘 챙겨주셔서 너무 감사합니다 최고의 맛이에요!!"
27,3u**님,2022년 11월 9일,5,5,5,푸짐하게 잘 먹었습니다
28,ra**님,2022년 11월 8일,5,5,5,"맛있게 잘 먹었어요
감사해요"
29,fg**님,2022년 11월 8일,5,5,5,양도 많고 맛도 정말 좋습니다
