,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,al**님,15시간 전,5,5,5,맛있게  잘먹엇어요～
1,li**님,어제,5,5,5,너무 맛있습니다 감사합니다
2,sk**님,어제,5,5,5,잡채밥 양도엄청많네요    맛있게잘먹었어요
3,db**님,2일 전,5,5,5,맛있게 잘 먹었어요
4,dm**님,2일 전,5,5,5,"맛 배달 다좋았는데 짬뽕이 부대짬뽕도아닌데 찢어진햄이 들어있어서 재탕의심스럽네요 
그리고 너무 식어서 왔는데 맛은 괜찬앗습니다 하지만 먹다가 찢어진햄보고 와씨 이거누가 먹다남은짬뽕인가하고 젓가락 내려놧습니다 설마햄을넘어주셧나 뒤젓거렸는데 그 먹다남은햄하나만 있더라구요,,
탕수육도 재탕했는지 엄청 딱딱하구요 
제발 재탕은 하지말아주세요 사장님"
5,sh**님,2일 전,5,5,5,"배달해주시는 분도 너무 친절하시고

음식은 양과 맛이 말할거 없이 맛있습니다. 최고입니다"
6,an**님,3일 전,5,5,5,맛있게 먹었어요 수고하세요
7,jw**님,3일 전,5,5,5,굿
8,ab**님,4일 전,5,5,5,맛있게 잘먹었네요!!
9,ye**님,4일 전,5,5,5,"항상 배달 빨라요. 기사님도 친절하시고 
짜장이 엄청 달지 않아서 맛있어요."
10,sn**님,4일 전,5,5,5,맛있어요요요요요요요요
11,li**님,4일 전,5,5,5,너무 맛있습니다 감사합니다
12,sk**님,4일 전,5,5,5,맛있게  잘먹었어요 ㆍㆍ
13,jc**님,5일 전,5,5,5,항상 맛있어요~
14,le**님,5일 전,5,5,5,최고에용 종말 맛있급니다 ㅎㅎㅎ
15,ym**님,5일 전,5,5,5,맛있게 먹었습니다 제실수로 좀 늦게 가져왔지만 그래도 맛있었습니다
16,bi**님,5일 전,5,5,5,빠른배달에 잘 먹었습니다
17,yu**님,일주일 전,5,5,5,양도 많고 탕수육이 너무 맛있어요!!
18,my**님,일주일 전,5,5,5,배달 빠르고 맛있었습니다
19,ek**님,2022년 11월 9일,5,5,5,배달빠르고 맛좋아요 순삭해버렸어요👍👍👍
20,jw**님,2022년 11월 7일,5,5,5,굿
21,lo**님,2022년 11월 6일,5,5,5,바삭하고 맛이습니다
22,rl**님,2022년 11월 6일,5,5,5,맛있어어어어어어영ㅇ
23,sk**님,2022년 11월 5일,5,5,5,항상 맛있어요ㆍㆍㆍㆍㆍ
24,db**님,2022년 11월 5일,5,5,5,배달 빠르고 맛있어요 항상 여기서만 시켜요
25,li**님,2022년 11월 4일,5,5,5,很好吃 😋너무 맛있습니다 thanks
26,ag**님,2022년 11월 3일,4,4,4,맛있네요~~~~~~~
27,sk**님,2022년 11월 3일,5,5,5,볶음밥소스따로  갔다주셔서  넘감사하고요  짬뽕국물도 주시고   넘  맛있게  잘먹었 습니다
28,rh**님,2022년 11월 3일,5,5,5,맛있게 먹었습니다~
29,li**님,2022년 11월 3일,5,5,5,너무 맛있습니다 감사합니다
30,10**님,2022년 11월 2일,5,5,5,만족합니다.잘먹었어요.^^
31,my**님,2022년 11월 2일,5,5,5,한번에 세가지를 먹을 수 있어서 좋았습니다
32,pa**님,2022년 11월 1일,5,5,5,잘 먹었습니다 ㅎㅎ
33,ti**님,2022년 11월 1일,5,5,5,맛있어용 나중에 또 시킬께용
34,ck**님,2022년 10월 31일,5,5,5,맛있게잘먹었습다~!
35,hy**님,2022년 10월 30일,5,5,5,맛있게 잘먹었습니다.
