,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,he**님,3일 전,5,5,5,배고픈데 맛있게 잘먹었어요.
1,je**님,3일 전,5,4,4,너무 맛있게 잘 먹었어요~!!! 여기서만 시켜먹어요
2,bi**님,2022년 11월 8일,5,5,5,"두명이서 점심으로 먹고 남은거 저녁으로도 먹었어요
넘나리 맛있게 먹음"
3,bc**님,2022년 11월 8일,5,5,5,요즘 음식 가격이 너무 올라서 힘든데 착한가격에 맛있게 먹었습니다.
4,na**님,2022년 11월 6일,5,5,5,짜장곱배기에 짜장이 조금 부족했던거 말고는 맛있게 먹었네요.
5,bl**님,2022년 11월 5일,5,5,5,"양도 많고 배달도 빨라요.
잘 먹었습니다. 
흔적도 없이..."
6,sw**님,2022년 11월 4일,5,5,5,맛나게 잘먹었습니다
7,ch**님,2022년 11월 2일,5,5,5,배달도 빠르고 잘 먹었습니다.
8,47**님,2022년 10월 31일,5,5,5,맛있다~~ ♡ (⸝⸝◝⌄◜⸝⸝)♡
9,to**님,2022년 10월 30일,5,5,5,불향 가득한 짜장면은 언제나 만족스럽습니다..(^_^)
10,pa**님,2022년 10월 29일,5,5,5,"탕수육 맛집!!!
짜장도 맛있었는데 짬뽕은 제 입맛엔 안맞았습니다ㅜㅜ"
11,iv**님,2022년 10월 26일,5,5,5,상품 배달 모두 만족합니다.
12,pa**님,2022년 10월 22일,5,5,5,면이 분리되서 와서 좋았습니다.
13,fo**님,2022년 10월 16일,5,4,5,제일 좋아하는 홍콩반점입니다
14,na**님,2022년 10월 16일,5,5,5,너무 맛나게 잘 먹었습니다
15,km**님,2022년 10월 14일,5,5,5,맛있게 먹었읍니다.
16,sa**님,2022년 10월 12일,1,1,1,배달완료라고 뜨지도 않고 왔다고 문자 한통도 없어서 30분정도 지난 후에 먹었는데 장난하는 것도 아니고 다 식어서 먹었습니다
17,rm**님,2022년 10월 12일,5,5,5,굿굿ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
18,de**님,2022년 10월 11일,3,2,5,소스가 부족해서 골고루 잘 비벼지지 않아 아쉬웠습니다. 소스가 넉넉했다면 맛이 더 나았을 것 같은데...  배달은 빠른 편이더군요.
19,yo**님,2022년 10월 11일,5,5,5,우리 아들들이 제일 좋아하는 중국집입니다
20,s1**님,2022년 10월 10일,5,5,5,너무 맛있어요!!!
21,yo**님,2022년 10월 10일,5,5,5,늘 맛있게 먹고 있어요:)
22,ya**님,2022년 10월 7일,5,3,4,"양은 적어요. 꼽배기가 맞는건가 싶어요
쟁반짜장이 근데 넘 맛있어요"
23,me**님,2022년 10월 7일,5,5,5,배달 정말 빠르고 맛있어요
24,tj**님,2022년 10월 4일,5,5,5,"역시 믿고 먹어요
탕수육 반죽이 쫀득해서 너무 맛있습니다!"
25,mh**님,2022년 10월 2일,4,2,5,맛있어요 근데 양이 많이 줄어서 아쉬워요 ㅠㅠ
26,to**님,2022년 10월 2일,4,4,4,짬뽕 맛있어욤!! 배달도 빨리왔어요
27,bu**님,2022년 9월 27일,5,5,5,배달 빠르고 좋아요
28,yo**님,2022년 9월 25일,5,5,5,"오늘은 정말 빠르게 왔네요
잘 먹었습니다 ~~"
29,jm**님,2022년 9월 22일,5,5,5,먹어본 홍콩반점중 가장 맛있었어요! 탕수육 후추향 살아있고 겉바속촉! 완벽합니다! 잘 먹었어요
30,cb**님,2022년 9월 17일,4,4,5,소소하네요. 평범한 짬뽕맛.
31,bu**님,2022년 9월 15일,5,5,5,배달 빠르고 맛도 좋아요
32,ve**님,2022년 9월 4일,2,4,4,배달은 예정시간보다 훨씬 일찍왔지만 그에 따른 안내가 없었네요. 그리고 면이 좀 불어있고 예전 보다 맛이 덜하네요ㅠㅠ
33,km**님,2022년 9월 3일,5,5,5,생각보다 맛나게 먹어 습니다
34,gg**님,2022년 9월 1일,5,5,5,맛있어요
35,kd**님,2022년 8월 31일,5,5,5,"사장님 자장면과 짬뽕 맛있게 잘먹었어요~
양파와 단무지 넉넉히 주셔서 넘넘 잘 먹었어요. 감사합니다."
36,ro**님,2022년 8월 31일,5,5,5,맛있어요. 근데 이번엔 탕수육이 좀 많이 튀겨진것 같은데 딱딱하긴 해도 맛은 괜찮아요.
37,bu**님,2022년 8월 30일,5,5,5,맛도 좋고 배달도 빨라요
38,wh**님,2022년 8월 28일,5,5,5,언제먹어도 맛있네요. 잘 먹었어요.
39,wo**님,2022년 8월 27일,5,5,5,정말맛잇게잘먹엇어용  사천소스맛잇네염
40,sy**님,2022년 8월 27일,5,5,5,음식 사진을 찍는다는걸 깜빡해서 ..맛있게 먹었어요
41,sa**님,2022년 8월 17일,5,5,5,너무 맛있게 잘 먹었습니다^^
