,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,sk**님,19시간 전,5,5,5,불맛이 좋아요..
1,kr**님,3일 전,4,5,5,양도 적당하고 무엇보다 배달이 빨라 면발이 살아 있네요 맛있게 먹었어요
2,wj**님,3일 전,1,1,1,"저번에도 그랬는데, 또 짬뽕국물이 다 새버렸네요. 짬뽕 국물 간이 싱거운데, 여기에 탕수육은 짬뽕국물때문에 다 불어서 흐물흐물해지고.. 심지어 양도 곱빼기 아닐때랑 다른게 없네요… 열심히 음식 준비해주신건 감사하지만, 너무나 실망스러운 한 끼였습니다."
3,pe**님,5일 전,5,5,5,"쟁반짜장 매콤해서 맛있고 볶음밥 불향있어서 맛있네요. 최소주문금액, 배달비까지 모두 만족합니다."
4,du**님,6일 전,5,5,5,양도 많고 맛있어요
5,na**님,2022년 11월 10일,4,4,4,"짬뽕이 다 부는 바람에 국물이 아예 없어서
볶읗밥 짬뽕국물 부어서 먹었네요
그것 빼고는 괜찮았습니다"
6,zz**님,2022년 11월 6일,5,5,5,빠르고 맛있게 잘 먹었습니다
7,ok**님,2022년 11월 4일,5,5,5,또 사켜먹을게요~~
8,ni**님,2022년 11월 2일,5,5,5,맛나게 잘먹었습니다
9,sk**님,2022년 10월 29일,5,5,5,불맛이 좋아요
10,bo**님,2022년 10월 26일,1,5,5,너무 드라이하게 왔어요 배달이 늦은것도 아닌데
11,se**님,2022년 10월 24일,5,5,5,맛있는데 곱빼기가 면 말고 밥이었늠 더 좋았을 것 같아요 면이 좀 불기두 했구 아쉽지만 잘 먹었습니다!
12,se**님,2022년 10월 23일,5,5,5,맛있게 잘먹었습니다 ㅎㅎ 감사합니다
13,gc**님,2022년 10월 13일,5,5,5,볶음밥은 맛있습니다. 배달은 빠른데 짬뽕이 약간 불었는데 먹을만했습니다
14,hy**님,2022년 10월 10일,4,4,5,면이 좀 불었네요. 소스도 너무적고. 맛은 기본은 해요.탕슉은 맛나게먹었어요.
15,el**님,2022년 10월 8일,5,5,5,늘 주문해서 먹어요. 중국집은 여기로 정착입니다
16,jj**님,2022년 10월 7일,1,1,3,세트로 짜장/짬뽕/탕수육 시켰는데 너무 맛없어요;; 여긴 세트 말도 그냥 단품으로 시키세요. 단품 짜장 먹을때는 이 정도는 아니었는데 세트로 주문하니 소스도 부족하고 건더기는 아무것도 없고 그냥 짜장에서 생밀가루 맛이 나요. 탕수육도 너무 맛없어서 다 남겼습니다.
17,hi**님,2022년 10월 6일,4,5,4,"짜장은 조금 짠득하지만 양이 많고 맛있습니다.
무엇보다 배달비 무료가 큰 메릿이네요~
짜장을 조금만 안짜게 해주시면 완추입니다"
18,sk**님,2022년 10월 5일,5,5,5,맛있어서 시켜먹어요
19,gg**님,2022년 10월 3일,5,5,5,"너무 맛있게 잘먹었습니다!!
맛깔나는 음식 사진을 찍었어야됐는데
정신차리고니...없네요..??ㅋㅋㅋㅋㅋㅋ
요즘 재료비도 너무 비쌀텐데 야채며 해산물,고기를
아끼지 않고 듬뿍듬뿍 담아서 요리해주시고
맛은 말해 뭐하나요? 너무 맛있어요~^^
비많이 오는데 고생해주신 기사님까지 
감사히 잘 먹었습니다!!~^^"
20,wo**님,2022년 10월 1일,5,5,5,불콩나물짬뽕 정말 맛있습니다
21,rn**님,2022년 9월 30일,5,5,5,포장도 맛도 최고 였어오7
22,bb**님,2022년 9월 28일,5,5,5,맛있어요양도많고배달도빠르고
23,ct**님,2022년 9월 26일,5,5,5,"맛양배달 모두 만족스럽네요
간짜장 왜이렇게 맛있나요? 여태 다른 맛없고 치사하게 구는 집들 기웃거리며 뭐한건지...ㅋㅋㅋㅋ 여기에 정착합니다요 자주시킬게요"
24,mh**님,2022년 9월 24일,5,5,5,항상정확한시간에 배달해주셔서 감사합니다.
25,da**님,2022년 9월 22일,1,2,1,쟁반 짜장 맛없네요
26,wl**님,2022년 9월 21일,5,5,5,"배달 빨라요 ~저녁맛있게먹었어요ㅎ
사천탕수육 매콤하니 맛나요ㅎ"
27,ss**님,2022년 9월 21일,3,3,5,가성비좋네요  좋은음식입니다
28,pl**님,2022년 9월 21일,3,4,4,"맛읏좋습니다...근디니 음식이 간이좀쎄내요..
잡탕밥도 짜고 라조육도...
그래도 평타는 하는맛이내요"
29,jj**님,2022년 9월 19일,5,5,5,배달 빠르고 짜장 짬뽕 맛있어요
30,le**님,2022년 9월 17일,4,5,5,칠리셋트 쟁반짜장및 짱뽕 칠리새우와 쟁반짜장은 너무 맛있게 잘먹었습니다 조금 아쉬운건 짬뽕 면이 불어서 아쉬운거 말고는 감사히 잘 먹었습니다
31,du**님,2022년 9월 15일,4,5,5,"맛있었는데 탕수육이 좀 딱딱했어요,,"
32,my**님,2022년 9월 5일,5,5,5,다먹구 찍었어요 죄송해요^^;
33,ky**님,2022년 9월 5일,5,5,5,쟁반짜장을 곱배기로 주문했는데 양이 적네요
34,dw**님,2022년 9월 5일,1,3,5,그림이랑 많이다름
35,pa**님,2022년 9월 4일,1,4,4,짜장면! 먹어본 짜장중에 최악이더군요!
36,wl**님,2022년 9월 4일,4,4,4,맛있게먹었어요~ㅎㅎ
37,kd**님,2022년 9월 3일,5,5,5,감사합니다 감사합니다
38,jd**님,2022년 8월 30일,4,4,4,맛있어요~~ 또 시켜먹을께요~
39,mi**님,2022년 8월 30일,5,5,5,"진짜 맛있었고 빠르게 가져다 주셔서 즐거운 점심시간이였습니다.
감사합니다."
40,ss**님,2022년 8월 30일,5,5,5,맛있어요  다음에는 탕수육 먹어봐야겠습니다
41,on**님,2022년 8월 22일,5,5,5,배달도빠르구 맛도있고 다 좋았는데 수저 젓가락 요청드렸는데 안주셔서 난감했어요ㅠ
42,ch**님,2022년 8월 21일,5,5,5,"진짜 짜장면 너무 맛있어요!!
군만두도 바삭바삭 해서 좋아요"
43,go**님,2022년 8월 16일,5,5,5,"지난 번에는 주말이라 그런지 한 시간 넘게 걸럈눈데 이번에는 30분에 와주셨오요! 짬뽕도, 탕수육도 너무 잘 먹었습니다👍👍 저번에 늦게 왔지만 짜장면도 진짜 맛있었어요!"
44,wl**님,2022년 8월 15일,5,5,5,배달도 빠르구요 사천탕수육 맛있어요 매콤한게 맛있어요ㅎ 찍먹도 맛있고 부벅도 맛있어요 잘먹었어요~ 단무지는 많이 시큼새콤해요ㅎㅎ
45,ek**님,2022년 8월 15일,5,5,5,맛잇게. 잘 먹었어요
46,li**님,2022년 8월 14일,5,5,5,맛있습니다 감사합니다
47,je**님,2022년 8월 13일,2,3,4,"동생네왔다가 추천받아 불짬뽕을 주문했는데
맵지도,밍밍하고 맛이ㅜㅜ
쟁반짜장은 원추입니다^^"
48,hj**님,2022년 8월 12일,4,4,5,친절하게 잘 가져다준 음식 정말 맛있었어요
49,fu**님,2022년 8월 11일,5,5,5,잘 먹었는데 배달이 다른 곳으로 가서 찾아왔네요ㅜ
50,le**님,2022년 8월 10일,5,5,5,"빠른배달 좋아요
반반 좋네요 맛잇어서 여기서만 시켜머거용"
51,ha**님,2022년 8월 9일,5,5,5,애들이 잘먹었어요.
52,py**님,2022년 8월 9일,5,5,5,배달도 빠르고 맛있게 잘 먹엇어요 많이 파세요
53,mi**님,2022년 8월 8일,4,4,4,"탕슉튀김옷이 조금두껍고,,소스는 좀되직해요
탕슉은 이로 잘라먹기보다 가위사용추천합니다"
54,wl**님,2022년 8월 8일,1,1,1,주문 한시간 지낫는데  오리무중임 맛은좋을련지  걱정압서네  중국집 다시 주문한다면  요집은 제외
55,up**님,2022년 8월 7일,5,5,5,"양도 푸짐하고 꽃게도 맛있게 먹어요 탕수육 부드럽고 맛나고 냉면도 맛있게 먹어요 
♡부자되세요♡"
56,th**님,2022년 8월 1일,5,5,5,배달 빠르게 잘 왔어요.
57,e7**님,2022년 7월 30일,5,5,5,양많고 짜장면이 맛있어요
58,wl**님,2022년 7월 30일,5,5,5,맛있어요~짬뽕도 오징어도 많이 들어있어요 맛있어여~!! 짜장도 아이가 잘먹어요~탕수육도  빠삭라니 맛나네욤 저녁맛있게 먹었습니다
59,si**님,2022년 7월 26일,1,5,5,"마지막 남은거 다시 튀겨서 주셨나요..
껍질튀김이네요ㅜㅜ
너무딱딱해서 못먹겠어요
양이적어도 먹을수 있게해서 주세요..
맛은있었어요 아쉽네요"
60,ss**님,2022년 7월 23일,5,5,5,언제나 즐거운 식사~~^^
61,ek**님,2022년 7월 18일,5,5,5,맛잇게 잘 먹었어요
62,hy**님,2022년 7월 18일,5,5,5,배송빠르고 맛있어요
63,ss**님,2022년 7월 14일,5,5,5,맛있게 잘 먹었습니다~
