,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ro**님,어제,5,5,5,배달이 생각보다 엄청 빨리왔고 음식 따뜻하게 먹을 수 있어서 좋았습니다.
1,sw**님,2일 전,4,4,4,ㅜㅜ 국물이 쏟아져서 흘렀어요
2,ka**님,3일 전,3,4,4,짜장면 맛은 괜찮았는데 만두 맛이 좀 별로 였어요 눅눅하기도 했고요
3,mi**님,일주일 전,5,5,5,맛있어요~ 자주 이용합니다~
4,pr**님,2022년 11월 4일,5,5,5,맛있게 잘먹었어요 역시맛집
5,ie**님,2022년 11월 3일,4,4,4,괜찮아요 괜찮아요 괜찮아요
6,ji**님,2022년 11월 2일,5,3,5,맛은 다좋은데 짬뽕 매운맛 순한맛 두가지면 좋겠어요. 너무 매워요.
7,ji**님,2022년 11월 2일,5,4,5,포장용기 너무 깨끗하고 좋아요. 맛도 양도 괜찮아요.
8,sa**님,2022년 10월 25일,5,3,5,쟁반짜장 이거 완전 맛있네요. 야채 해물 많아서 좋아요. 짜지도 달지도 않고요.
9,p8**님,2022년 10월 23일,5,5,5,맛있게 잘 먹었습니다 배달도 빠르게 왔습니다
10,19**님,2022년 10월 20일,5,5,5,"예상 배달시간보다 빨리와서 좋아요
맛있게 잘먹었어요^^"
11,ed**님,2022년 10월 19일,5,5,5,완전 맛있었어요 ㅋㅋ
12,wh**님,2022년 10월 17일,4,3,3,탕수육 맛있습니다. 짜장면은 야채와 소스가 너무 조금입니다. 얼마전부터 계속 그러네요. 맛이 약하고 달기만 해요.
13,ks**님,2022년 10월 15일,5,5,5,너무 맛있어요.  너무 배고파서 다 먹고 찍었습니다.
14,mi**님,2022년 10월 14일,5,5,5,"배달진짜빠르네요
40분걸린다고했는데 15분만에 왔어요
음식은 말해모해 넘 맛나요"
15,dy**님,2022년 10월 13일,5,5,5,배부르게 잘 막었습니다!
16,ia**님,2022년 10월 12일,5,5,3,탕수육이 정말 맛있었어요~!
17,hj**님,2022년 10월 11일,5,5,5,홍콩반점 탕수육은 항상 맛있네요
18,mi**님,2022년 10월 10일,5,5,5,포장/배달/맛 모두 깔끔 만족!!
19,mi**님,2022년 10월 9일,5,5,5,자주 시켜요~ 맛있어요~
20,kk**님,2022년 10월 9일,5,4,2,맛을 또 시켜 먹을것 같은데 배달이...짜장면은 한쪽으로 쏠려서 오고 짬뽕은 국물 다 새서 오고 배달은 살짝 아쉽네요 다음에 시킬때는 이런일이 없었으면 좋겠네요... 맛있게 잘먹었습니다.
21,po**님,2022년 10월 8일,3,3,3,사장님이 책임감이 강하심
22,ti**님,2022년 10월 2일,5,5,5,맛있게 잘 먹었습니다
23,xm**님,2022년 10월 2일,5,5,5,맛있게 잘먹었습니다^^
24,sk**님,2022년 10월 1일,5,5,5,"언제나 맛있어요
특히 탕수육 야들야들 바삭바삭♡♡"
25,eh**님,2022년 9월 29일,5,5,5,가성비 훌륭합니다!
26,dy**님,2022년 9월 29일,5,5,5,정말 맛있게 잘 먹었습니다~^^ 탕수육 너무 맛있어요
27,as**님,2022년 9월 21일,5,5,5,"짜장, 짬뽕, 탕수육은 역시 홍콩반점이 제일 맛있네요!"
28,ji**님,2022년 9월 21일,5,5,5,고추짜장 많이 먹어보라길래 먹어봤는데 저의 입맛엔 딱좋았어요. 트러플오일까지 뿌려먹었습니다. 근데 저희 어머니는 좀 맵다고 하시는데 맛있다고 계속 드시네요
29,ld**님,2022년 9월 20일,5,5,5,감사합니다. 잘 먹었습니다.
30,om**님,2022년 9월 18일,5,5,5,너무 맛있서요 탕수육은  홍콩반점이 최고에요   ^^
31,as**님,2022년 9월 18일,5,5,5,빠르고 따뜻하게 배달받았어요 역시 맛있게 잘먹었습니다~ 고추짜장 추천! 매콤한 편이긴 해요ㅎㅎ
32,ha**님,2022년 9월 17일,5,5,5,맛있어요. 4식구가 배부르게 먹었어요. 면이 적고 야채가 많아 야채만 남겼어요. 단무지는 10년 지난듯 아삭함 전혀 없어서 아쉬워요.
