,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ts**님,어제,5,5,5,👍👍👍👍👍👍👍👍👍👍
1,s_**님,어제,5,5,5,짜장면 먹고플때마다 시키는데 늘 맛있어요!
2,ys**님,어제,5,5,5,"잘먹었어요!
감사합니다."
3,mi**님,3일 전,5,5,5,맛있어요 ㅠㅠ 간짜장 다음에도 시킬게요
4,ky**님,3일 전,5,5,5,맛있어요..다음에 또 시킬께요~
5,bo**님,5일 전,5,5,5,자극적이지 않고 맛있어요! 아이와 함께먹었어요
6,cl**님,5일 전,3,3,5,16분만에 왔어요. 짜장면 소스 많이 부탁드렸는데 요청대로 넉넉히 그리고 짬뽕면 따로 넣어주셔서 감사드립니다. 그릇도 봉투 없이 현관바닥에  놓고가셔서 조금 당황했네요.깨끗하게 비닐에 넣어왔으면 더 좋았을 것 같아요. 탕수육 양이 일반 매장 소자처럼 오고 삼선짬뽕에 해물이 오징어 두조각? 밖에 없고 나머지는 야채라 전화드리니 탕수육은 배송비용을 이유로 양이 적어졌다고 말씀하시고 짬뽕은사진찍어보내라하셔서보냈더니 답장이 없어서 그냥 먹었어요. 주방장님이 안계시는 날일까요? 짜장은 무난한데 탕수육소스도 짬뽕도 야채에 간이 안배서아쉬웠어요
7,ye**님,5일 전,5,5,5,가격 저렴하고 맛있네요. 감사합니다
8,na**님,5일 전,4,2,1,단무지 하나는 이렇게 오고 짜장면은 완전 불어가지고뭉쳐서 하나로 떠지고 짬뽕은궁물은하나도없이왔네요예전에는   괜찮게 온게 온거같은데 기분이안좋네요
9,mu**님,5일 전,1,1,1,주문하고 1시간 30분 넘게 기다렸네요 배달 상태도 참...
10,ci**님,5일 전,5,5,5,맛있게 잘 먹을게요
11,pk**님,6일 전,5,5,5,해산물도 많고 더 맛있어졌습니다. 잘 먹었습니다.
12,zz**님,6일 전,5,5,5,맛있게 잘 먹었습니다!^^
13,ki**님,일주일 전,5,5,5,역시 만나요😍 잘먹었음돠
14,po**님,2022년 11월 10일,3,4,3,"중식 배달 1시간 넘긴건 좀 이해하기 힘드네요
다 식어서 온기를 느낄 수 없는 음식을 먹었어요
그냥 짜파게티 끓일껄.."
15,i0**님,2022년 11월 9일,4,4,4,짬뽕이 조금 불었지만 맛 좋아요~~
16,sp**님,2022년 11월 9일,5,5,5,너무 맛있어요… 배달도 빠르고 최고예요
17,kc**님,2022년 11월 9일,1,5,5,"밥 메뉴를 시키지도 않았고, 제가 따로 밥을 먹지도 않았는데 짜장소스에서 밥알이 나왔네요..."
18,mc**님,2022년 11월 8일,5,5,5,면이 다 불어서 왔어요.
19,ju**님,2022년 11월 7일,5,5,5,good!!!good@@@
20,si**님,2022년 11월 6일,3,4,3,잘먹었어요  짬뽕 ~~
21,ti**님,2022년 11월 6일,5,5,5,"늘 빠른 배송 감사합니다 ~^^
맛나게 순삭했네요~
오늘도 맛있게 잘먹었습니다~~^^"
22,su**님,2022년 11월 6일,3,5,5,탕수육 딱딱한거 빼고는 즈괭춘
23,kl**님,2022년 11월 6일,5,5,5,덕분에 점심 맛나게 막었습니다. 오늘더 맛있네요.
24,na**님,2022년 11월 5일,4,4,5,"짜장면 괜찮고 
탕수육소스는 많이 시큼... 식초가 많이들어갔나봐요"
25,cu**님,2022년 11월 5일,5,5,5,볶은밥 강추입니다. 개인적으로 해물이 큰걸 싫어하는데  딱 좋네요. 짜장도 맛있고 ~~ 게다가 단무지 넉넉^^
26,lo**님,2022년 11월 5일,2,3,5,배달은 빨라요 잘먹었습니다
27,lo**님,2022년 11월 5일,4,3,5,맛은없어요 가까워서 먹었어요
28,10**님,2022년 11월 4일,5,5,5,"ㅉㅏ장, 짬뽕, 탕수육 고기는 맛있네요.
짬뽕국물도 진하구요.
근데 탕수육 소스는 제 입맛엔 안 맞았어요.
단무지 안 줘도 된다고 표시했는데 두개나 갖다 주셨네요..."
29,gu**님,2022년 11월 3일,5,5,5,언제나 맛있게잘먹구있습니다
30,li**님,2022년 11월 2일,-,-,-,해산물 넉넉히 들어있고 맛있어요
31,ju**님,2022년 10월 31일,5,5,5,"good!!,,good@@@"
32,pk**님,2022년 10월 31일,5,5,5,짜장 탕수육 다 맛있습니다. 양도 많고 짜장 고기 새우도 많고 탕수육 소스도 많이 주시고 너무 맛있게 잘먹었습니다.
33,bu**님,2022년 10월 30일,5,5,5,"잘먹었습니다
탕수육  고기가 두툼하니 맛있네요"
34,le**님,2022년 10월 29일,1,2,3,탕수육이 소스도 별로고 잡내도 너무 심하네여
35,eh**님,2022년 10월 28일,5,5,5,항상 맛있게 먹고 있습니다~~
36,lh**님,2022년 10월 28일,5,5,5,잘 먹었습니다~!~!
37,ku**님,2022년 10월 28일,5,5,5,매운 간짜장 확실히 맵네요
38,ne**님,2022년 10월 28일,5,5,5,짜장면 맛잇어용 자쥬이용해용
39,19**님,2022년 10월 27일,4,5,5,오늘은 좀 눅눅하게 왔네요 그래도 맛있어요
