,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,   손님,19시간 전,5,5,5,자주 시켜먹지만 항상  넉넉하게 보내주시구 깔끔함이 느껴져요 맛은 무조건보장^^b 더 더 번창하세요~
1,zj**님,21시간 전,5,5,5,오랜만에 먹으니까 맛있어요
2,sm**님,22시간 전,5,5,5,배달도 엄청 빠르고 맛있어용 잘 먹었습니다
3,tl**님,어제,5,5,5,"마라샹궈, 마라탕은 항상 소림마라에서 주문해요~
너무 맛있어요.
오늘따라 양이 더 많은 것 같네요!!!
1인분 시켰는데 양이 진짜 많아요!!!"
4,fi**님,어제,-,-,-,매일먹고싶어요ㅠㅠㅋ 진짜맛있는 소림마라 쵝오~
5,tm**님,어제,5,5,4,진짜 맛있었어요 양도 진짜 푸짐했어요 배달 마라탕 이렇게 양 많은 곳 처음 봄..🫣
6,jl**님,2일 전,5,5,5,"좀 늦었지만 리뷰 남겨봐요! 여기 다른 어플에서도 자주 시켜먹고있어요 ㅎㅎ 옥수수면 좋아해서 서비스 받은거 대대대만족 ㅠ !
오늘도 시켜묵을겁니당 얏호~~~☆"
7,b0**님,2일 전,5,5,5,오랜만에 먹었는데 날씨추울때 먹으니 진짜 천국ㅋㅋㅋㅋ 넘 맛있게 먹었어요! 여기가 재료가 깨끗한거 같아요
8,fi**님,3일 전,5,5,5,탕도맛있지만 샹궈역시 넘넘 맛있내요~~^^
9,fi**님,4일 전,5,5,5,매일먹고싶다~~넘넘 맛있어요~!!
10,bz**님,4일 전,5,5,5,맛있어융 분모자가  얇아진건지 그 두꺼운 맛이 안나서 좀 아쉽긴 하네용 ㅠㅠ 그래도 양도 많고 맛있습니당!!
11,tn**님,4일 전,5,5,5,맛있게 잘 먹었습니다~~
12,ma**님,5일 전,5,5,5,배달도 예상시간보다 빠르구 양이 너무 많아서 3번 나눠먹엇어요..! 데펴먹어도 짱맛
13,us**님,6일 전,5,5,5,맛잇어요조아요굿굿굿
14,rl**님,6일 전,5,5,5,"맛있어요~! 2단계 맵기가 딱 맛있게 매운것 같아요 ㅎㅎㅎ 신라면보다는 쫌더 매움! 

근데 옥수수콘소세지 추가한것같은데 없네요?ㅠㅠ"
15,ri**님,6일 전,5,5,5,"양 푸지네욤
보통맛이 순하네요 한단계 더 맵게해서 땅콩소스 꼭 같이드시면 키절할듯...ㅠ"
16,wj**님,6일 전,5,5,5,"역시 마라탕 맛집입니댜
매운맛 너무 좋앗어용"
17,cm**님,일주일 전,-,-,-,항상 맛있게 잘먹고 있어요
18,hy**님,일주일 전,5,5,4,맛있네요ㅎㅎ양도 적당한듯 약간 더 새콤하면 더더 맛있을것같아용
19,wj**님,2022년 11월 10일,5,5,5,또 먹고싶어요 마이쩌욤
20,fi**님,2022년 11월 9일,5,5,5,말이 필요없는 소림마라~~전짜 맛있어요~^^
21,al**님,2022년 11월 8일,5,5,5,맛있게 잘 먹었습니다
22,pu**님,2022년 11월 8일,5,5,5,"양이 어마어마하게 주셨네요
이제 다음부터 마라탕은 소림마라에서만 주문할께요
맛도쵝오♡♡♡"
23,jy**님,2022년 11월 8일,5,5,5,양도 너무 많고 배달도 빠르고 감사합니당~~
24,pk**님,2022년 11월 7일,5,5,5,"늘 맛있습니다~~
마라탕은 여기로 정착했어요!"
25,mi**님,2022년 11월 6일,5,5,5,"맛있는 마라탕 !! 맛나요  맛나요.
아이가 좋아해요."
