,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,gg**님,2시간 전,5,5,4,맛있게 잘 먹었습니다.
1,ha**님,3시간 전,1,5,5,취홍 원래 맛있는데. 어젠 정말 아니었어요. 23시30분까지도 주문가능해서  22시경에 주문했고 늦은밤 배달 늦는 건 당연하다 생각했어요. 근데 음식 받아보니 잡채밥 짬뽕국물 다 식어 차가워 못먹었어요  유니자장도 식어서 돼지냄새 많이 나고. 거의 못먹고 버렸어요. 늦은 시간까지 운영하는 것 특히 중국음식 늦게 먹을 수 있어 처음엔 감사했으나 이런식으로 남은 음식 처리하려고 온도도 유지하지 않은체 장사하시는 거면 ... 안하시는 게 낫겠습니다.
2,ba**님,4시간 전,5,5,5,탕수육이 피가 얇고 고기가커서 정말 맛있게 먹었네요 다른 중국집은 밀가루만 잔뜩 뭏혀서 튀기는데 고기가 커서 감동이었어요  사장님이 정직 하신것같아요
3,je**님,18시간 전,5,5,5,"여기뭔가요 존맛탱!! 면도부드럽고 맛있어요!!!!!!!!!!!
근데 설명좀써주지...짬뽕에 면따로오는지모르고
양푼에 모든면+모든짜장 넣고 싹다비벼먹었네요
-_-;;;;; 어디에 뭐랑 짝인지좀 써주세요..
무튼 미취학셋댈꾸먹긴 양이많았어요!!
맛있지만담번엔 적당히시켜야할듯..
글고 꽃빵 짱맛있음♡♡♡ 겉바속촉♡내스타일
꽃빵만 2알씩 따로팔면좋겠네요~♡"
4,kt**님,2일 전,5,5,5,"주문한지 10분만에 오셨네요.. ㄷㄷ
예상시간보다 너무 빨리와서 기다렸다 먹엇는데 맛있었습니다
다음부터는 배달시간을 지정할까봐요"
5,mh**님,2일 전,5,5,5,"일반짜장도 고기 실하고 좋네요
간짜장은 새우가 많이 들어있네요
둘 다 양도 푸짐하고 맛있습니다"
6,iv**님,2일 전,5,5,5,배달도 빠르고 양도 짱많음!! 이제 중국집은 여기 정착할듯:D
7,cl**님,3일 전,5,5,5,찐맛나네요.ㅋㅋ 곱배기시키니 진짜 2인분이 오는 기적ㅋㅋㅋ
8,jo**님,3일 전,2,1,4,괜히 배달이 빠른게 아녔어요~!!ㅜㅜ
9,ko**님,4일 전,5,5,5,맛있게 잘 먹었습니다
10,la**님,5일 전,5,4,5,"4만원어치 시켰지만 단무지 하나 안 넣어주셨네요.. 다른 리뷰 사진에는 있던데. 짬뽕 국물 서비스겠지만 1/4만 넣어주는건....
맛은 있습니다."
11,sn**님,6일 전,5,5,5,이 근방 짜장 중 원탑!! 강강추!!!
12,li**님,6일 전,5,5,5,배달 개 빠름 맛도 좋음
13,jy**님,일주일 전,5,5,5,배달 움청 빨라요 빨라서 좋어요
14,mn**님,일주일 전,5,5,5,잘 먹었습니다 ~~~~
15,mi**님,2022년 11월 9일,4,4,4,탕수육 진짜 맛있어요
16,fr**님,2022년 11월 8일,5,5,5,맛있게 잘먹었습니다~
17,35**님,2022년 11월 8일,4,5,5,"진하고 꾸덕꾸덕 좋으나
간짜장은 좀탄맛나서 유니짜장으로 !"
18,hi**님,2022년 11월 7일,5,5,5,탕수육 너무 맛있어요 ㅠㅠㅠ
19,sh**님,2022년 11월 7일,5,5,5,양이 혜자롭고 맛있어요
20,dy**님,2022년 11월 6일,5,5,5,간짜장도 유니짜장만큼 맛있네요.
21,oh**님,2022년 11월 5일,5,5,5,"짜장면 맛나고 탕수육 소스도 제 취향이에요.
역시 취홍요.  ^^♡"
22,mi**님,2022년 11월 5일,5,5,5,굿 맛있어요 다음에 또 시킬게요
23,pa**님,2022년 11월 4일,5,5,5,짜장면이 특히 맛있어요
24,mh**님,2022년 11월 3일,5,5,5,항상 시켜먹는 중국집 맛집이에요! 면도 탱글하고 짜장소스도 안짜고 넘 맛있어요! 탕수육도 고기가 정말 실해요!!!
25,ki**님,2022년 11월 2일,5,5,5,배달도 무지빠르고 탕수육 자장면 다 맛있어요!!
26,co**님,2022년 11월 1일,5,5,5,너무맛있어요!!! 짜장짬뽕 추천
27,sh**님,2022년 10월 31일,5,5,5,맛있어요 배달도 빠르고
28,zs**님,2022년 10월 31일,4,5,5,맛도 좋고 양도 많은데 총알 배달까지 부족함이 없어요
29,er**님,2022년 10월 31일,5,5,5,맛있게 잘 먹었습니다.
30,yg**님,2022년 10월 30일,5,5,5,"실수로 배달지역아닌데 회사로 시켜버렸고
집주소로 다시 새로만들어주셔서 보내주셨습니다
정말 죄송하고감사합니다
잘먹었습니다!!"
31,ha**님,2022년 10월 30일,5,5,5,맛있게 잘 먹었어요
32,do**님,2022년 10월 28일,5,5,5,"헝상 빠른 배달, 변하지 않는 맛이 좋습니다."
33,io**님,2022년 10월 28일,4,4,4,배달도 생각보다 빨리 오고 양도 많아서 넉넉하게 먹었어요
34,sh**님,2022년 10월 27일,5,5,5,탕탕절 전야제 탕짜면
35,kh**님,2022년 10월 27일,5,5,5,"짬뽕이 너무 먹구싶어서 처음시켜봤는데
후회없이 너무 맛있게 잘먹었어요.
면과 국물따로 탕수육과 소스도 따로 주셔서 
불지않고 좋았고 탕수육 평이 좋아서 탕짬면으로 시켰는데 탕수육 진짜 최고네요!!♡
배송도 빠르고 느끼함이나 텁텁함 없이 속도 풀리고 너무너무 잘먹었어요 감사합니다."
36,ib**님,2022년 10월 25일,5,5,5,배달도 빠르고 양많고 맛있습니다.
37,ju**님,2022년 10월 24일,5,5,5,중식당중에 젤 마싯어용!ㅎㅎ
38,he**님,2022년 10월 23일,5,5,5,맛있게 잘 먹었어요
39,dy**님,2022년 10월 22일,5,5,5,짜장은 맛있어요.
40,92**님,2022년 10월 22일,5,5,5,"삼선짬뽕인데 해물이 좀 적지만 국물이 아주 맛있었고
탕수육은 정말 제대로 네요. 집에서 한 것 처럼 튼실한 고기!
소스도 많이 달지않고 맛있었습니다.
잘 먹었습니다~!"
41,ny**님,2022년 10월 22일,5,5,5,짬뽕도 역시 맛있네요. 가서 먹는게 가장 좋지만 배달도 뜨겁게 먹었습니다.
42,ss**님,2022년 10월 21일,5,5,5,가끔씩 시켜먹는데 맛있고 배달이 빨라요!!
43,le**님,2022년 10월 20일,5,5,5,맛있어요 다음에도 주문할께요
44,mi**님,2022년 10월 19일,5,5,5,"배달완전 빠름빠름~~맛나게 잘먹었어요~^^
탕숙이넘맛있어ㅡ후딱~흡입
담엔 단무지많이좀 챙겨주세욥~~!!!"
45,hy**님,2022년 10월 19일,5,5,5,혼자 먹기엔 양이 충분하네요.맛있고 배달도 정말 빠릅니다.
46,ko**님,2022년 10월 17일,5,5,5,맛있게 잘 먹었습니다
47,ia**님,2022년 10월 17일,5,5,5,처음 주문했는데 아주 맛있게 잘먹었습니다
48,kh**님,2022년 10월 17일,5,5,5,짜장면이 더 맛났어요 ㅋㅋ
49,ln**님,2022년 10월 17일,5,5,5,삼선울면인데 해물이 좀 적은 거 같아요
50,sn**님,2022년 10월 16일,5,5,5,"강강강추하는 집입니다. 짜장, 탕수육 다 너무너무 맛있고 특히 짜장면이 진리입니다."
51,ti**님,2022년 10월 15일,5,5,5,배달비 없어서 좋아요
52,se**님,2022년 10월 15일,5,5,5,넘넘 맛있어요 배달도 빨라서 좋았음
53,kw**님,2022년 10월 14일,5,5,5,잘먹었습니다 정말로🙇🏻‍♀️👍🏻
54,qt**님,2022년 10월 14일,5,5,5,ㅎㅎ 맛있어요! 탕볶면 맨날 여기서만 사켜요
55,so**님,2022년 10월 13일,5,5,5,1인분 시키면 최저가격 이상으로 시켜도 핑계대면서 취소하는 가게도 있는데 1인분도 배달 해 주세서 감사했습니다. 맛있게 잘 먹었습니다.
56,sk**님,2022년 10월 13일,4,4,5,단무지좀 더 달라고 요청까지 드렸는데 겨우 7개 ㅜㅜ 두사람이먹기에는 너무부족하네요 볶음밥도시켰는데 김치도없고요
57,je**님,2022년 10월 13일,5,5,5,배달 40분걸린 탓에 면이 불어서 왔지만 맛있음
58,cl**님,2022년 10월 12일,5,5,5,"곱배기..  배터지는줄
건강한맛은 중식 오랜만입니다.ㅎ
잘먹었어요~맛있게 한끼했습니다^^"
59,er**님,2022년 10월 11일,5,5,5,탕수육이 아주 끝내줌
60,fu**님,2022년 10월 9일,5,5,5,맛있게 잘 먹었습니다
61,qk**님,2022년 10월 9일,5,5,5,항상 맛있게 먹고 있습니다 중국집 음식은 취홍이라 다른 곳에서 못 먹겠어요~^^ 양도 많고 배달도 빠릅니다~ 따뜻하고 맛있게 먹을 수 있어요~^^
62,mi**님,2022년 10월 9일,3,5,5,짬뽕맛이 변했습니다
63,ch**님,2022년 10월 9일,5,5,5,아주 맛있어요 짜장면은 현경입니다
64,rf**님,2022년 10월 8일,5,5,5,념념굿념념구우우우우웃👍
65,mu**님,2022년 10월 8일,5,5,5,맛있게 잘 먹었습니다^^
66,pr**님,2022년 10월 8일,4,5,5,"늘 믿고 먹는 취홍이예요.
배달도 넘 빠르고
배달에 최적화된 곳입니다"
67,ch**님,2022년 10월 8일,5,5,5,맛있게먹었습니다
68,35**님,2022년 10월 7일,5,5,5,꾸덕하니진하고 맛있슴다
69,kw**님,2022년 10월 7일,5,5,5,차돌짬뽕 진짜 맛있어요!!!!!😋
70,qt**님,2022년 10월 7일,5,5,5,중국집 배달은 맨날 취홍! 맛있어여
71,dh**님,2022년 10월 6일,5,5,5,맛있어요 🐷🐷🐷🐷🐷
72,m0**님,2022년 10월 6일,5,5,5,맛나요 맛나 잘먹었습니다ㅎㅅㅎ
73,do**님,2022년 10월 6일,5,5,5,"늘 변치않는 맛...
빠른 배달 최고에요..."
74,wk**님,2022년 10월 5일,5,5,5,맛있게 잘 먹었어요
75,le**님,2022년 10월 5일,5,5,5,맛있어요 다음에도 주문할께요
76,en**님,2022년 10월 4일,5,5,5,사장님이 자취러들에게 반 봉사를 하시는게 아닐까 싶을정도로 배달비 저렴하고 가격 합리적이고 맛좋아요
77,bl**님,2022년 10월 4일,5,5,5,맛있게 잘 먹었습니다
78,kj**님,2022년 10월 3일,5,5,5,맛있게 잘 먹었습니다
79,sn**님,2022년 10월 3일,5,5,5,진짜 짜장이 너무 맛있어요! 꾸덕꾸덕하니 진한 짜장의 맛입니다 ㅎㅎ 양파도 많고 고기도 많고 짜장하면 여기가 원픽입니다
80,25**님,2022년 10월 3일,5,5,5,짬뽕밥 잘먹었습니다
81,st**님,2022년 10월 2일,5,5,5,참 깔끔하고 맛있어요 추천합니다
82,la**님,2022년 10월 2일,3,5,2,"원래도 그리많지않았던 내짬뽕국물..
용기가 다 깨져서 와서 줄줄 다샜어요."
83,kt**님,2022년 10월 2일,5,5,5,가성비 최고의맛집 또 주문하겠습다
84,ne**님,2022년 10월 1일,5,5,5,음식이 모두 깔끔하고 괜찮습니다. 꿔바로우 소수 따로 절대 안된다는 곳도 있는데 소스 안먹는 친구 때문에 따로 달랬더니 이렇게 따로 싸주셨어요. 꿔바로우 소스가 너무 맛있어서 매장가서 한번 제대로 먹어보고 싶네요
85,du**님,2022년 10월 1일,5,5,5,굿 10자10자10저ㅣㅏ
