,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,sa**님,2022년 4월 5일,5,5,5,"짬뽕은 원래 맛집인거 알았고 볶음밥은 처음 주문해봤는데 완존 대박 맛있내요 ㅠ
요즘 볶음밥 맛집 없어서 아쉬운데 너무 맛있게 잘먹었슴니다~~
사장님 잡채밥도 맛있는데 직접 가서 많이먹지만 배달메뉴엔 없어서 아쉬워요~ 잡채밥도 배달해주세용~"
1,ik**님,2022년 3월 12일,4,5,5,"맛있게 잘 먹었습니다
요청사항도 항상 잘 챙겨주시고👍👍👍"
2,sa**님,2022년 3월 9일,5,5,5,"너무 맛있어요 
여기짬뽕 최고!!"
3,rk**님,2022년 3월 9일,5,5,5,짜장면 짬뽕 모두 맛있어요. 다만 다른곳보다 둘딘 더 기름진 편이에요.
4,sa**님,2022년 3월 3일,5,5,5,"항상 매장에서 먹었는데 시간이 없어서 배달주문 처음해봤어요 역시나 맛있어요
잘먹었습니다 최고!!"
5,le**님,2022년 2월 24일,5,5,5,배달빠르고 양많아요
6,iw**님,2021년 12월 18일,5,5,5,짜장면도 맛있엇고 양도 푸짐해서 다 못먹을정도엿어녀~~^^방금나온듯 따뜻하고 만두도 맛잇엇늠!!
7,ek**님,2021년 12월 11일,2,5,3,"잡채밥이 거의 기름밥이예요
다 버렸어요"
8,jj**님,2021년 9월 22일,4,5,3,가끔씩 먹을만 할거 같네요. 짬뽕은 다른 일반 중국집보단 좀 나은거 같습니다.
9,s2**님,2021년 9월 14일,5,5,5,.........!
10,   손님,2021년 9월 13일,5,5,5,맛있게 잘 먹었습니다.
11,sa**님,2021년 8월 27일,5,5,5,맛있게 잘 먹었습니다
12,co**님,2021년 8월 16일,5,4,3,맛은있는데 배달이 늦어요
13,jo**님,2021년 8월 12일,5,5,5,"처음이에요 ~ 탕수육 정말 예술이네요 ~ 튀김반죽이 정말 고소하고 바삭해요~!! 양도 푸짐하고 정말 신선해요 ㅎ 하나 먹자마자 기름 정말 깨끗하다!! 그랬어요~
짜장면은 우와~~~~~양이 다른집 곱빼기보다 더 많은거 있죠~ㅋ 짬뽕국물도 조금 주셨는데 와~빠져버렸네요 ㅋ 불향,간,감칠맛 모두 완벽했어요~!! 
잡채밥은 ㅎㅎ 역시나 불향과 소스의 조화가 맛의 깊이를 더하네요 ~ 왜 이제야 만났을까 ㅋ 
정말 이집은 완벽했어요!! 주방장분 최소 이연복셰프실듯요!! 아 맞다 김치 너~무 맛있었어요! 군내 전혀 없고 감칠맛이 일품이네요!!!"
14,eo**님,2021년 7월 25일,5,5,5,맛있게 먹었습니다 딸이 좋아해요
15,pp**님,2021년 7월 24일,5,5,4,"짜장, 짬뽕 맛있어요~ 탕수육도 굿~"
16,iw**님,2021년 6월 28일,5,5,5,맛잇구 양도  푸짐~~
17,jw**님,2021년 6월 28일,5,5,5,굿
18,   손님,2021년 5월 9일,5,5,4,양이 생각보다 많고 맛이좋움.  면은 수타라 쫄깃.
19,ph**님,2021년 4월 5일,5,4,5,음식사진이 필요하다는걸 모르고 안찍어뒀네요.. 짜장도 맛있고 탕수육도 맛있어요! 찹살이라 쫄깃쫄깃하고 고기도 두툼해서 좋았습니다. 탕수육 소스가 약간 달다는 생각이 들긴하지만 개인적인 취향이라 그렇게 느껴진거같고 부모님은 맛있다고 하시네요. 매장에서 드셔보신 부모임의 말씀으론 포장도 맛있는데 가서 먹으면 더 맛있다고 하시니 언제한번 가서 먹어봐야겠어요ㅎㅎ
20,kk**님,2021년 3월 21일,5,5,5,맛있네요 많이 파세요
21,   손님,2021년 1월 24일,2,1,3,싼 가격도 아니였으며.!!본알도 없구요..음....
22,gk**님,2020년 12월 28일,5,5,5,맛있어요 좋아요좋아요 추천합니다
23,   손님,2020년 12월 27일,4,5,4,맛있어요 양도 푸짐~~~~~
24,ga**님,2020년 12월 26일,5,5,5,"배달도 빨리왔고 짜장면이 짜지도
않고 면도 수타라 쫄깃하고 너무 맛있어요.신랑이 짜장면은 이 동네서
최고라네요. 탕수육은 쫄깃한걸 좋아하는데 너무 바삭해요.
바삭한거 좋아하시는 분들은 좋을듯요. 튀김옷도 많이 두껍고요.
탕수육때문에 시킨건데 좀 아숩네요.
하지만 짜장면이 맛있어서 좋아요.
잘먹었습니다.감사합니다."
25,   손님,2020년 12월 5일,4,5,5,앱 깔고 처음 시키는 건데 양이 진짜 많네용 그릇이 큰 그릇 두개에 나눠담아서 먹었어요 많이 파세욤😗
26,jw**님,2020년 12월 3일,5,5,5,굿
27,gk**님,2020년 11월 19일,5,5,5,맛있어요 좋아요좋아요 추천합니다
28,   손님,2020년 10월 4일,5,5,5,"첫주문이라 별 기대안하고 시켰는데..
배달도 빠르고 맛있었어요.
한끼 잘 먹었습니다."
