,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,lu**님,1시간 전,3,4,5,저번과 같은단계로 시켰는데 오늘은 맵기만 엄~~청 더맵고 간은 싱거웠어요 ㅠㅠㅠ
1,de**님,2시간 전,5,5,5,항상 맛있게 잘먹고있습니당
2,li**님,3시간 전,5,5,5,완전 너무 맛있어요
3,mi**님,4시간 전,5,5,5,맛있어서 순삭했어요 굿굿 베리 굿
4,gh**님,6시간 전,5,5,5,양도 맛도 좋다네요. 여기 단골됐어요~~~^^
5,in**님,6시간 전,5,5,5,항상 맛나게 먹고있어욤!!!
6,eu**님,9시간 전,5,5,5,마라탕 여기로 정착해야겠어요. 깔끔하고 양도 적게 시킬수있어서 좋아요. 다만 2단계도 좀 매워서 다음엔 1단계로 시킬게요
7,02**님,10시간 전,5,1,5,전체 그램수가 정해진줄 알았는데 아닌가보네요 적게 선택하니까 양이 너무 적었어요
8,gk**님,16시간 전,5,5,5,역시 개마싯네용 ㅋㅋ
9,sy**님,21시간 전,5,5,5,맛있어요.
10,li**님,23시간 전,2,2,2,배달이 빨랐어요..
11,gu**님,23시간 전,5,5,5,"맛있었어요!

선택과 집중은 필수

국물이 많이 뜨거워요 

그래서 좋았어요

다음에 또 시켜 먹을게요☆!"
12,jh**님,23시간 전,5,5,5,맛있어요 !!!!!
13,lu**님,어제,5,5,5,양도 많고 맛있어요!! 저는 역사 맵찔이가 맞는지 보통맛이 좋네요
14,jo**님,어제,5,4,5,어느곳은 매운맛인데 좀 약했는데 이 곳은 제 입맛에 딱 좋은 맵기라 좋아요 여러가지로 많이 고를수 있어서 좋았어요 점심으로 잘 먹었습니다~
15,oe**님,어제,5,3,5,"맛있어서 자주 주문하는 곳인데, 오늘은 주문내역에서 누락된게 있네요. 주문한 라면사리가 오질 않았어요ㅠㅠ 가게 전화번호도 없고 톡으로 문의해도 답변할 수 없다고 하고.. 답답해 하다가 그냥 먹습니다. 마라탕 자체는 맛있어요. 다음부턴 제대로 주문 체크 부탁드려요."
16,ji**님,어제,5,5,5,"항상맛있게잘먹고 있어요
감사합니다"
17,hm**님,어제,5,5,5,맛있게 잘 먹었습니다
