,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,iz**님,7시간 전,5,5,5,항상 맛있게 먹고 있습니다. 탕수육 바삭하게 잘 도착했어요~
1,li**님,11시간 전,5,5,5,양도 넉넉하고 배달도 빠르고 좋은데 면이 항상 좀 불어와서 아쉬워요. 잘 먹었습니다
2,mi**님,어제,5,5,5,"맛있어요.
배달도 빨라요.
서비스도 좋아요.
추천합니다"
3,fl**님,어제,5,5,5,맛과 가성비의 끝판왕 정말 맛있게 잘먹었습니다^^
4,YM**님,2일 전,5,5,5,지인분인랑 같이 먹었는데 다들 맛있다고 하네요~~맛있게 잘먹었습니다
5,dl**님,2일 전,5,5,5,"저는 식사시간대였어도 배달 빠르게 와주셨어요~
여기서는 처음 시켜보는데 아이들이 자장면 앞으로 여기서 주문하자고 하네요 ㅎ ㅎ
짬뽕도 맵지않고 건더기 많고 엄지척입니다^^"
6,ja**님,3일 전,5,5,5,"자주 시키는곳인데 항상 맛있게 잘 먹고 있습니다
양도 충분합니다"
7,ji**님,3일 전,5,5,5,탕수육이랑 서비스로 주신 자장면까지 맛있게 잘 먹었어요
8,it**님,3일 전,5,5,5,"늘맛있었지만 오늘 사천탕면이  으뜸.
지나치게 맵지도 지나친 참기름 맛도 없어서 
더더욱 중독될듯."
9,je**님,3일 전,5,5,5,서비스도 너무 좋았고 해물덮밥이 특히 좋았습니다~
10,xe**님,3일 전,5,5,4,항상 잘먹고 있습니다
11,su**님,4일 전,5,5,4,항상 맛있습니다 ㅎㅎ
12,no**님,4일 전,5,5,5,맛있게 잘먹었습니다 ^^!
13,in**님,4일 전,5,5,5,탕수육이 바싹하면서 식감이 살아있어요. 짱뽕은 해물이 엄청 풍부합니다. 먹다가 배불러서 힘들었어요 ㅎㅎㅎ
14,sk**님,5일 전,5,5,5,맛있게 먹었습니다~!
15,ma**님,5일 전,5,5,5,"제육 처음시켜봤는데 진짜 맛있어서 놀랬어요
여긴 뭐 맛없는게 없네…
찐맛집~~👍🏻"
