,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,hy**님,5시간 전,5,5,5,만나게 잘 먹었습니다아
1,rl**님,10시간 전,5,5,5,"맛잇게 잘먹엇습니다
배달도 빠르구여"
2,ta**님,14시간 전,5,5,5,매번맛있게먹고잇습니다
3,wd**님,어제,5,5,5,배달도 빠르고 마라탕 맛조절도 되니 처음시도하기에 좋은식당이네요!
4,sc**님,2일 전,5,5,5,마라탕이랑 꿔바로우 다 맛있어요. 재구매 의사 있음
5,sm**님,2일 전,5,5,5,일주일만에 시켜먹었는데 맛있었어요
6,tk**님,2일 전,5,5,5,항상 맛있는 마라탕
7,1s**님,3일 전,5,5,5,오랜만에 마라 수혈 … 첵오 …
8,on**님,4일 전,5,5,5,"실수로 체크를 제대로 못하고 시켜서 속상햇지만  
맛잇게 잘 먹엇습니다"
9,wa**님,5일 전,5,5,3,"배달기사님  불친절.  한꺼번에 여러종류를   상에  펼쳐 보긴 처음.  물론  다  못 먹었어요
오늘만이  아니라 내일도  먹으려  주문한  거라서요  간만에  행복했어요"
10,ry**님,5일 전,5,5,5,만나가 제일 맛나용 ㅎㅎㅎㅎㅎ
11,ex**님,5일 전,2,2,2,배달중 터졌네요 .. ㅜㅜ
12,ie**님,5일 전,5,5,5,감사히 잘먹었습니다! ^ㅡ^//
13,ne**님,5일 전,5,5,5,꿔바로우 쫀득쫀득 맛있구요. 사진은 먹기 좋게 자른거에요. 마라탕도 땅콩소스향이 많이 나긴 했지만 맛있었습니다:)
14,ta**님,6일 전,5,5,5,매번맛있게먹고있어요
15,es**님,6일 전,5,5,5,존맛탱구리 잘먹었숨다
16,kv**님,6일 전,5,5,5,잘먹었습니다 :)
17,m0**님,일주일 전,5,5,5,"고기가 많아서 놀랐어요 먹어도 줄지 않는,, ㅋㅋㅋㅋ 오늘도 맛있게 잘 먹었습니당 :)"
18,ka**님,2022년 11월 9일,5,5,5,늘 맛있게 먹어요.
19,lk**님,2022년 11월 9일,5,5,5,마라탕이 간도 적당하고 너무 좋네요~
20,dp**님,2022년 11월 8일,5,5,5,역시 맛잇게 잘먹었습니당 역시 맛있어용
21,sm**님,2022년 11월 8일,5,5,3,배달이 언제 도착한지 몰라 늦게 먹었어요.
22,tr**님,2022년 11월 8일,5,5,5,맛있게 잘먹었어요
23,   손님,2022년 11월 8일,5,5,5,여긴 뭐… 맨날 믿고 시키는곳이라ㅋㅋㅋ 양도 제일 푸짐하고 좋습니다
24,on**님,2022년 11월 7일,5,5,5,사진은 미처 못찍엇지만 맛잇게먹엇습니다
25,ta**님,2022년 11월 7일,5,5,5,매번맛있게먹고잇습니다
26,kh**님,2022년 11월 7일,5,5,5,"할인   계속해주세요
맛있게먹었습니다"
27,m0**님,2022년 11월 7일,5,5,5,매번 배*에서 시켜먹었는데 앞으로는 요기요에서 자주 시키게 될 것 같아요 ㅎㅎ 오늘도 맛있게 잘 먹었습니당 감사해요 :)
28,dl**님,2022년 11월 7일,5,5,5,요청사항도 잘 들어주시고 맛있게 먹었습니다
29,lk**님,2022년 11월 6일,5,5,5,마라탕 꿔바로우 둘 다 최고 수준급 맛입니다~!
30,ls**님,2022년 11월 6일,5,5,5,"맛있는데.   맛단계정보보다
더더매워요"
31,ca**님,2022년 11월 6일,5,5,5,양도 많고 맛있네요~~
32,hy**님,2022년 11월 6일,5,5,5,항상 맛있는 만나네 ^^~
33,ju**님,2022년 11월 3일,5,5,5,"오랜만에 먹으니 좋네요
다만 땅콩소스를 조금만 덜 넣어도 될 거 같으셔요
다음에 혹시 주문하면 좀 덜 넣어달라 해야겟러여 ㅎ"
34,ta**님,2022년 11월 2일,5,5,5,매번맛있게먹고있습니다
35,sh**님,2022년 11월 2일,5,5,5,여기가 마라탕 맛집이에요~!
36,st**님,2022년 11월 2일,5,5,5,맛있게 잘 먹었습니다.
37,js**님,2022년 11월 2일,5,5,5,언제먹어도 맛있어용~ 너무 좋음
38,sj**님,2022년 11월 2일,4,5,5,첨시켜봤는데 맛있어요 다만 양고기추가했다쳐도 다른데비해 기름기가 상당히 심하고많아요ㅜ  그것빼면 다좋았어요ㅎㅎ
39,ji**님,2022년 11월 1일,5,5,5,양이 많아서 혼자 다 못먹었어요~ 깔끔한 맛이구여 마라맛이 얼얼해서 맛있어용
40,es**님,2022년 11월 1일,5,5,5,이사오고 마라탕 처음 시켜먹는데 맛있어용
41,ai**님,2022년 11월 1일,5,5,5,맛있어요. 아이들이 좋아합니다.
42,rl**님,2022년 11월 1일,5,5,5,"배달도 빠르구 양도 적당하고 입맛에 딱 맞아요^^
잘 먹엇습니다"
43,1j**님,2022년 10월 30일,5,5,5,"양이 조금 준것같아요^^; 
맛은 여전히 맛있어요~
오늘은 좀더 바삭했어요~
튀김옷이 적어서 더 좋았구요~
잘먹었습니다^^"
44,ri**님,2022년 10월 30일,5,5,5,마라탕과 꿔바로우는 만나네에서!!!
45,me**님,2022년 10월 30일,5,5,5,"뉴스도 사건사고가 시끄럽고 매운거 먹고 스트레스 풀으려고 오랜만에 주문했습니다.
역시 맛나네요~~~~!!
👍 👍 👍 👍 👍"
46,ka**님,2022년 10월 30일,5,5,5,늘 맛있게 먹네요.
47,as**님,2022년 10월 30일,5,5,5,이가게정말맛있습니다
48,ka**님,2022년 10월 29일,5,5,5,늘 맛있게 먹어요.
49,1s**님,2022년 10월 28일,5,5,5,여기 마라탕 진차 맛있어어어요
50,ta**님,2022년 10월 28일,5,5,5,매번맛있게먹고있어요
51,ri**님,2022년 10월 28일,5,5,5,요기 또 시킬께요!
52,tk**님,2022년 10월 28일,5,5,5,면 안 익어서 온 거 빼면 역시 맛은 좋습니다
53,cs**님,2022년 10월 27일,5,5,5,"다이어트땜에 자주 못먹어요ㅠㅠ
가끔 먹지만 단골임니다 역시 맛있고 오늘따라 고기가 더 많은 느낌...?! 담에 좀 더 맵게 먹어야겠어요ㅎㅎ"
54,mi**님,2022년 10월 27일,5,5,5,맛있어요 원하던 맛과 비슷해요 또시킬게요
55,ki**님,2022년 10월 26일,5,5,5,아주 훌륭해요 엄청 얼얼했디만 맛있게 먹었어요
56,ta**님,2022년 10월 25일,5,5,5,매번맛있게먹고있습니다
57,le**님,2022년 10월 24일,5,5,1,"ㅋㅋㅋ 아놔 배달 기사님 
같은 시간때에  배달 주문한분들 있겠지요
근데 왜 확인도 안하고 음식을 드리는거에요?
저는 분명 놔두고 문자 달라고했는데ㅋㅋㅋ
개웃기네 ㅋㅋ 앞집 아가씨가 저한테
마라탕 시켰냐고 배달왔어요ㅋㅋ
배달 기사분들 정신 차립시다.

그리고 사장님!! 
퇴근하신다고  마라탕 양 너무 많이 주지마세요
배 터져서 남기잖아요!ㅎㅎ
고맙습니다!"
58,ta**님,2022년 10월 24일,5,5,5,매번맛있게먹습니다.
59,wf**님,2022년 10월 24일,5,5,5,맛있습니다. 양도 적당해요. 두 번으로 나눠 먹었어요.
60,st**님,2022년 10월 24일,5,5,5,맛있게 잘 먹었어요
61,hy**님,2022년 10월 24일,5,5,5,항상 맛있게 잘 먹었습니다아
62,lh**님,2022년 10월 23일,5,5,1,넘 맛있어요 ㅎㅎ 마라탕집 항상 여기서만 시켜먹어용
63,   손님,2022년 10월 23일,5,5,5,👍👍👍👍👍👍👍👍👍👍
64,ms**님,2022년 10월 23일,5,5,5,맛있습니다. 다음에도 주문할게습니다
65,al**님,2022년 10월 23일,5,5,5,사장님 너무 맛있어서 다먹은다음 사진 찍었어요 죄송해요ㅠㅠ 너무 맛있고 다음번엔 매운맛2단계 마라맛2단계로 시켜야징
66,ta**님,2022년 10월 23일,5,5,5,매번맛있게먹고있어요
67,54**님,2022년 10월 23일,5,5,5,ㅜㅜ 매번 맛있는음식 감사합니다
68,54**님,2022년 10월 23일,5,5,5,이집아니면 살수없게 되버렸읍니다..
69,da**님,2022년 10월 23일,5,5,5,마라샹궈는 여기서만 먹어요. 소자는 한번에 다먹어서 중자로 시켰는데.. 다먹어버렸네요 꿔바로우도 맛있네요
70,gy**님,2022년 10월 22일,5,5,5,항상 믿고 먹어요 너무 맛있습니당
71,rn**님,2022년 10월 22일,5,5,5,"여긴 항상 푸짐해요 마라 4단계도 입맛에 딱 맞아요
앞으로 종종 시켜먹을것 같아요"
72,mi**님,2022년 10월 22일,4,5,5,"맛은 있는데,, 첫맛만큼은 못하네요 ㅋ
고기가 살짝 질겼어요"
73,-d**님,2022년 10월 21일,5,5,5,"타 어플에서 주에 한번은 시켜먹는 단골집이라
마라샹구ㅓ 땡긴다하면 고민 없이 무조건 요기 ㅎㅎㅎ
리뷰 이벤트 빼먹으셨다고ㅠ음료 주셨어용!!!!!
그냥 보내실수도 있는데 챙겨주셔서 리뷰 빨랑써야지하고
바로 남깁니당 ㅋㅋㅋㅋ
마라샹궈 좋아하시는분들 후기 보고 고민하고 있으실텐데
여기 찐이에요 !!!! 저 중국유학시절에도 많이 먹었고 ㅎ한국에서도 많이 먹어봤는데 여기 인정합니당!! 
단 하나 항상 같은 맵기로 먹었는데
오늘 엄청 매웠어요 ㅠㅠㅠ….. 야채만 제가 더 사와서 볶아야겠어요 ㅠㅠㅠㅠ
많이 파세여어~"
74,ta**님,2022년 10월 21일,5,5,5,매번맛잇게먹고잇어요
75,qw**님,2022년 10월 21일,5,5,5,사진을 못찍었네요 ㅜ 항상 양도 맛도 최고입니다
76,ms**님,2022년 10월 20일,5,5,5,"정신없이 먹다가 리뷰 생각나서 급하게 찍었어요ㅠㅋㅋ
증말 너무너무 맛나서 자주 시켜먹는데
양도 맛도 넘 좋아요"
77,qd**님,2022년 10월 20일,5,5,5,"항상 여기서 시켜 먹어요 
너무 감사합니다 사장님 :)"
78,pi**님,2022년 10월 20일,5,5,5,맛있게 잘 먹었어요~~
79,ae**님,2022년 10월 19일,5,5,5,잘먹었습니다~~~~
80,da**님,2022년 10월 19일,4,5,5,양도 푸짐하고 맛있어요!!
81,mv**님,2022년 10월 19일,5,5,5,"마라탕은 만나네에서만.....
오늘도 잘 먹었습니다.. 이제 후기 너무많이 써서 쓰기도 귀찮네요...
연근 두부빼고 당면요청드렸는데 만족스럽게 많이먹었어요
굳!"
82,ju**님,2022년 10월 19일,5,5,5,오늘도 잘먹었습니다 한결같이 맛있내요
83,sh**님,2022년 10월 18일,5,5,5,고수추가했는데 청경채가 왔어요ㅜㅜ 그래도 맛있어요ㅜㅜ 담에 또 시킬겁니다!
84,yi**님,2022년 10월 17일,5,5,5,넘넘 맛잇어요 배달도 빠르시고 양도 많고
85,hy**님,2022년 10월 17일,5,5,5,"한달만에 먹어도 여전한 그 맛 
맛나요 🫶🏻"
86,dg**님,2022년 10월 16일,5,5,5,양도많고 너무 맛있어요
87,se**님,2022년 10월 16일,5,5,5,잘 먹었습니다~^^ 닭튀김이 밥 반찬으로도 좋아요.
88,ch**님,2022년 10월 16일,5,4,5,"맛있어서 7번 주문했어요
이번만큼은 아닌것 같아요 
음식이 상한것 같아요"
89,mv**님,2022년 10월 15일,5,5,5,"맛있었어요~
비록 대를 시켰는데 소자가왔지만.. 바로 환불해주셨어서 괜찮아요 ㅋㅋ 꿔바로우 바삭하고 맛있었어요
마라샹궈는 말해뭐해!! 마라샹궈 마라탕은 만나네에서만 먹습니다
굳굳!!"
90,lu**님,2022년 10월 15일,5,5,5,엄청 맛있게 잘먹었습니다~~!
91,wh**님,2022년 10월 15일,5,5,5,항상 맛있게 잘먹었어요
92,be**님,2022년 10월 15일,5,5,5,마라탕의 원조 최고 무슨 수식어를 붙여도 최고입니다. 변함 없는 맛 최고 입니다. 항상 감사합니다.
93,ta**님,2022년 10월 15일,5,5,5,매번맛잇게먹고있습니다
94,ka**님,2022년 10월 15일,5,5,5,맛있게 먹었어요. 스트레스 팍 풀려요
95,54**님,2022년 10월 14일,5,5,5,이 집 시켜먹는날마다 행복합니다  진짜 많은마라탕가게에서 시켜봤는대 여기가최고에요ㅜㅜㅜㅜ 여태 리뷰이벤트있는줄도 모르고 있었는대 양도푸짐해서 너무좋았습니다! 오래번창해주세요ㅜㅜ
96,se**님,2022년 10월 14일,5,5,5,맛있어요 가끔가다 생각나네요~^^ 특히 닭튀김 엄청 맛있습니다. 향신료가 익숙치 않다면 흐르는 물에 살짝만 한번씩 헹구고 드세요 잔향도 좋습니다.
97,id**님,2022년 10월 12일,5,5,5,"맛있습니다.

추후 주문 레시피.
매운거 한단계 업.
마라 한단계 다운."
98,co**님,2022년 10월 12일,5,5,5,나의 최애 마라집 양도 많고 푸짐해서 가성비도 ㅠㅠ 미쳤어용 ! 또 시켜뮥를게용
99,ta**님,2022년 10월 11일,5,5,5,매번맛있게먹고있습니다
100,bn**님,2022년 10월 11일,5,5,5,맛있게 잘먹었어용 샹궈맛있어용
101,eh**님,2022년 10월 10일,5,5,5,맛있게 잘먹었습니다~~
102,nh**님,2022년 10월 10일,5,5,5,오늘도 여전히 맛있네용 🥰🥰 잘 먹었습니다
103,ar**님,2022년 10월 10일,5,5,5,최고의 마라탕... 지금 또 시키러감
104,se**님,2022년 10월 9일,5,5,5,맛있어요 근데 향신료 잘 못 드시거나 중국 음식 익숙치 않은 분은 어려우실 수도 있어요 ㅜㅜ 저는 음식들 물에 헹궈서 먹었어요 그치만 먹을만 했어용
105,ta**님,2022년 10월 9일,5,5,5,매번맛있게먹고있습니다~
106,mi**님,2022년 10월 9일,5,5,5,"정말정말 오랜만에 마라탕 만족했어요
너무맛있었어요 오늘.. 육수맛도 진하고 농도도 좋고 마라향이랑 너무너무 맛있었어요 만나네는 소고기가 다른집보다 맛있어요 탕도 깔끔하고 재료도 좋아요
땅콩소스 추가하니까 더 맛있고 쑥갓도 더 들어가니까 맛있어요!"
107,oo**님,2022년 10월 9일,5,5,5,"너무 맛있게 잘 먹었어요.
마라탕 안좋아하시는 부모님도 맛있게 드셨네요.
양도 푸짐해서 다음에 또 이용할 것 같아요.^^"
