,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ka**님,1시간 전,5,5,5,맛있어요 깨끗해요
1,ka**님,1시간 전,5,5,5,맛있어요. 깨끗해요.
2,nu**님,14시간 전,5,5,5,빠른 배달 맛나는 맛
3,rl**님,18시간 전,5,5,5,👍👍👍👍👍
4,ky**님,19시간 전,5,5,5,맛있게 잘 먹었습니다~
5,js**님,어제,5,5,5,맛 괜찮아요. 배달도 빠르고
6,sh**님,2일 전,5,5,5,맛있어요^^  맛있어요^^
7,78**님,4일 전,5,5,5,아주 맛잇게 잘 먹엇어염 굿굿
8,ri**님,4일 전,5,5,5,너무 맛있네요~ ㅎㅎ
9,ri**님,4일 전,5,5,5,맛있게 잘 먹었습니다~
10,qu**님,4일 전,5,5,5,배달도 빠르고 맛있어요
11,wo**님,5일 전,5,5,5,맛있고 배달도 빠름!
12,wo**님,5일 전,5,5,5,맛있고 배달도 빠름!
13,as**님,5일 전,5,5,5,항상 잘 먹고 있어요. 배달이 암청 빨라요
14,an**님,5일 전,5,5,5,굿ㅅㅅㅅㅅㅅㅅㅅㅅㅅ
15,ac**님,6일 전,4,4,5,정확하고 빠른 배송으로 맛있는 음식을 먹었네요
16,sw**님,6일 전,5,5,5,"맛있음
배달빠름...''"
17,wo**님,일주일 전,-,-,-,포장주문으로 잘먹엇습니다.
18,el**님,일주일 전,5,5,5,맛있게잘먹었습니다
19,ri**님,일주일 전,5,5,5,맛있게 잘 먹었습니다~
20,bi**님,일주일 전,5,5,5,"차돌짬뽕 맛잇어요 무난무난
배달이 진짜 빠름"
21,ca**님,2022년 11월 9일,5,5,5,중국음식은 미래향이죠. 배달 빠르고 양도 많고 맛있어요.
22,ca**님,2022년 11월 9일,5,5,5,배달 빠르고 맛있어요. 양 푸짐하게 주셔서 더욱 좋아요.
23,bi**님,2022년 11월 9일,5,5,5,배달 빠르고 맛있습니다
24,tm**님,2022년 11월 8일,5,5,5,배달도 빠르고 양도 푸짐해요 볶음밥 넘 맛있고 짬뽕도 해물과 야채가 많이 들어가서 좋았어용 이번에 공기밥 서비스로 주셨더라구요 너무 감사합니당 !!맛있는 한끼였어용
25,dr**님,2022년 11월 8일,4,5,5,맛있게 잘 먹었습니다
26,dn**님,2022년 11월 7일,5,5,5,소스없이 굿....
27,wo**님,2022년 11월 6일,-,-,-,잘먹엇습니다. 포장도 빨라요.
28,co**님,2022년 11월 6일,5,5,5,맛잇게잘먹엇습니다아
29,an**님,2022년 11월 6일,5,5,5,굿
30,si**님,2022년 11월 6일,5,5,5,콤비메뉴만 먹습니다 다른것도 맛있을거같은데 콤비메뉴 가성비 원탑..
31,kh**님,2022년 11월 5일,5,5,5,너무 맛있고 배달은 번개보다 빠르네요. 어떻게 주문하고 15분만에 짜장 볶음짬뽕 특밥이 도착하죠? 넘 잘먹었습니다
32,an**님,2022년 11월 4일,5,5,5,굿
33,cj**님,2022년 11월 4일,5,5,5,탕수육맛집 항상 서비스도많이챙겨주시고 배달도빠르고
34,zz**님,2022년 11월 4일,5,5,5,맛있게 잘먹었습니다
35,lo**님,2022년 11월 4일,5,5,5,맛있게 잘 먹었어요
36,ho**님,2022년 11월 4일,5,5,5,역시 미래향. 맛있게 잘 먹었습니다.
37,so**님,2022년 11월 3일,5,5,5,☆☆☆☆☆☆☆☆☆☆
38,sk**님,2022년 11월 3일,4,5,5,평소에는 정말 맛있는데 오늘은 맛이 좀 밍밍했습니다. 그래도 맛있긴 합니다.
39,an**님,2022년 11월 2일,5,5,5,오늘 깜짝 놀랄 정도로 맛있었습니다
40,my**님,2022년 11월 2일,-,-,-,빠르게 픽업해왔어요
41,rl**님,2022년 11월 1일,4,5,5,잘먹을게요!!!!!
42,eh**님,2022년 11월 1일,5,5,5,진짜 가성비짱에 맛도 좋아요. 특히 짬뽕이 국물까지 일품
43,re**님,2022년 10월 31일,5,5,5,양많고 배달도 빠르고 맛있게 먹었어요.
44,wo**님,2022년 10월 31일,5,5,5,맛잇어용 배달도 빨라여우ㅜㅜㅜ
45,mi**님,2022년 10월 30일,5,4,5,아주 맛있게 먹었어요~
46,yo**님,2022년 10월 30일,4,5,5,맛있게 잘 먹었습니다. 배달을 빨리 해주셔서 항상 감사하고 있습니다.
47,sm**님,2022년 10월 29일,5,5,5,맛있게 잘 먹었어요 ~~
48,yo**님,2022년 10월 29일,2,2,5,"탕수육 짜장면 세트 주문했는데 탕수육 양이 생각보다 많이 적어서 깜짝 놀랐어요. 맛있는 탕수육 먹고싶었는데 주말에 나가기 귀찮아서 배달을 시켰더니 역시나... 그냥 딱 배달 중국음식 수준이에요. 짜장면은 먹을만했고 탕수육, 짬뽕, 볶음밥은 별로... 탕수육 양 적고 음식 맛이 그저 그런데 그 가격이면 귀찮음을 무릅쓰고 나가서 먹는게 나을걸 그랬어요. 
음식은 진짜 빨리 왔습니다. 배고파서 아사 직전일 때 주문해서 먹기엔 좋을 것 같아요."
49,a0**님,2022년 10월 29일,4,5,4,"맛있어요 
근데 배달.. 한번에 넣어주시면 될걸 왜 
저번부터 이렇게 따로따로 포장하시는지는 모르겠어요.."
50,ka**님,2022년 10월 29일,5,5,5,일단 맛있어요. 자주 시켜요
51,dr**님,2022년 10월 29일,4,5,5,먹다가 뒤늦게 찍었지만 맛있어요.
52,ls**님,2022년 10월 29일,5,5,5,맛있게 잘 먹었습니다
53,ho**님,2022년 10월 28일,5,5,5,맛있게 잘 먹었습니다.
54,ho**님,2022년 10월 28일,5,5,5,맛있게 잘 먹었습니다.
55,ch**님,2022년 10월 28일,5,5,5,맛있어요~~~~!!!!
56,ca**님,2022년 10월 28일,5,5,5,중국음식은 미래향이 맛있는것 같아요. 양도 푸짐해서 한끼 식사로 좋아요
57,sc**님,2022년 10월 26일,5,5,5,배달도 빠르고 좋아요.
58,eh**님,2022년 10월 26일,5,5,5,맛있게 잘 먹었습니다!
59,ka**님,2022년 10월 25일,5,5,5,맛있어요 잘 먹습니다
60,ho**님,2022년 10월 25일,5,5,5,맛있게 잘 먹엇습니다.
61,an**님,2022년 10월 24일,5,5,5,굿
62,ra**님,2022년 10월 24일,5,5,5,역시 짬뽕밥은 미래향이에요 배달도 미사일 배송 최고예요
63,ju**님,2022년 10월 23일,5,5,5,너무 짜지도 않고 간이 적당한데 해물양이 조금 아쉽네여
64,ar**님,2022년 10월 23일,5,5,5,늘 맛있게 먹었는데 오늘은 유난히 더 맛있었어요. 금방 만든 짜장면 느낌이었습니다. 배달 음식에 인색하신 엄마가 반하셨네요. 양도 많고요:D
65,jz**님,2022년 10월 23일,5,5,5,배달도 빠르고 맛있어요^^
66,22**님,2022년 10월 23일,5,5,5,양이 많고 빠르네요
67,cj**님,2022년 10월 23일,5,5,5,빠른배달 중국집 맛집
68,to**님,2022년 10월 22일,5,5,5,해장엔~늘~~~육계장^^
69,wl**님,2022년 10월 22일,5,5,5,맛있어요 ~~~~~
70,jc**님,2022년 10월 22일,5,5,5,"맛밌게  잘먹었습니다 
늘 감사합니다
방금또 시켰어요"
71,ab**님,2022년 10월 21일,5,5,5,맛있게 잘 먹었습니다.
72,kn**님,2022년 10월 21일,5,5,5,배달비 생겨서 아쉬워요
73,yo**님,2022년 10월 20일,5,5,5,항상 빠르게 배달해주셔서 감사하고 있습니다. 맛있게 잘 먹었습니다.
74,ph**님,2022년 10월 20일,5,5,5,"그릇이 일회용이 아니라서  더 좋아요.
먹다 찍어서 사진이 좀 그렇습니다만
탕수육 깨끗하고 짜장 맛있어요"
75,lo**님,2022년 10월 20일,5,5,5,맛있습니다 볶음짬뽕
76,lo**님,2022년 10월 20일,5,5,5,잘먹었습니다!! 좋아요
77,pi**님,2022년 10월 20일,5,5,5,맛이 깔끔하구 좋아요
78,db**님,2022년 10월 20일,5,5,5,인근에서 가장 안정적인 중국집
79,lw**님,2022년 10월 20일,5,5,5,"배달빠르고  짜장면 고기 많이 들어서 좋았는데
배달하시는분 조금 버릇이 없네요"
80,an**님,2022년 10월 19일,5,5,5,굿
81,an**님,2022년 10월 19일,5,5,5,굿
82,cj**님,2022년 10월 19일,5,5,5,중국맛집 탕수육 다맛있어요
83,ka**님,2022년 10월 19일,5,5,5,맛있어요 깨끗해요.
84,ye**님,2022년 10월 18일,5,5,5,맛도 맛이고 배달 한고 액이 적어서 더 좋습니다
85,ca**님,2022년 10월 18일,5,5,5,배달 빠르고 양도 푸짐하네요. 중국음식은 여기서만 먹는것 같네요. 맛있게 잘 먹어네요
86,ho**님,2022년 10월 18일,5,5,5,유니짜장 맛있네요.
87,al**님,2022년 10월 17일,5,5,5,맛있게 잘 먹었습니다.
88,th**님,2022년 10월 17일,5,5,5,빠르고 양 많고 요청사항 잘 들어주셔서 좋습니다 👍 재주문하겠습니다
89,ly**님,2022년 10월 17일,5,5,5,엄마랑 아주 맛있게 먹었습니다 🥹
90,se**님,2022년 10월 16일,5,5,5,"야밤에 짜장면 땡겨서 시켰는데 지인짜 존맛이었어요
주문 후 10-15분 내로 바로 배달 왔어요 너무 좋아요>_<
짬뽕국물 1천원 주문했는데, 건더기 왕 많았어요!!
특히 콩나물 매력 미쳐써요!!!!!🥺🥺 다음에는 짬뽕 단품으로도 시켜봐야겠네욤
사장님 번창하세요~~"
91,jc**님,2022년 10월 16일,5,5,5,"맛있고  좋아요
배달 겁나 빠르고  
최곱니다ㆍ ᆢ  또시킬께요"
92,gn**님,2022년 10월 16일,3,3,4,배고플때 그저 먹을 만 합니다.
93,co**님,2022년 10월 15일,5,5,5,맛잇게 잘먹엇습니다
94,to**님,2022년 10월 15일,5,5,5,잘먹엇습니닷~~~^^
95,db**님,2022년 10월 14일,1,1,1,"캬하하하하하하하하하라라라라라라ㅏ라라하핳

탕숙 소스 진짜 괴극혐 인대

요청 쓰면 뭘하냐고"
96,db**님,2022년 10월 14일,1,1,1,"캬하하하하하ㅏ하라라라하하라핳핳할

아 소스 빼달라고 요청 하면 뭘하나"
97,gg**님,2022년 10월 13일,5,5,5,맛있게 잘 먹었습니다
98,de**님,2022년 10월 13일,5,4,5,곱배긴데 양이 보통 시킬때랑 같음.
99,de**님,2022년 10월 13일,3,5,5,탕수육 단품 세트는 맛있는데  탕볶은 딱딱하고..  먹기 힘들었음.
100,cj**님,2022년 10월 12일,5,5,5,배달이너무빨라서 놀라워요
101,li**님,2022년 10월 12일,5,5,5,특밥도 괜찮네요 팔보채밥 같아요
102,cj**님,2022년 10월 12일,5,5,5,탕수육맛집 배달초스피드에요
103,ca**님,2022년 10월 11일,5,5,5,언제나 배달 빠르고 양도 푸짐해서 배 부르게 잘 먹고 있어요.
104,du**님,2022년 10월 11일,5,5,5,간단하게 먹기 좋네요
105,le**님,2022년 10월 11일,5,5,5,기본맛에 충실한 집
106,sm**님,2022년 10월 10일,5,5,5,맛있게 잘 먹었어요 ~~~~
107,el**님,2022년 10월 10일,5,5,5,삼선볶음짜장보다 맛있는듯
108,m4**님,2022년 10월 10일,5,5,5,"사진을 너무 못 찍었네요. 

맛있고 양도 많고 배달도 빠릅니다. 
잘 먹었습니다!"
109,sd**님,2022년 10월 9일,5,5,5,베이직하고 딱 맛있는맛입니다.
110,zi**님,2022년 10월 9일,5,5,5,"짜장 짬뽕 훌륭합니다.
짜장 소스가 풍부한것과 일반짬뽕인데도 해물 숙주도 좋습니다.
탕수육 대자는 성인 5-6 명 먹어도 되겠습니다."
111,dn**님,2022년 10월 9일,5,5,5,"캬하하ㅏㅏ핳하라하라라라라라하핳


이시간 하는 중국집들 

다 짜고 맵다 

자고 일어나면 두배 붓는다

여기는 덜하다


탕슈기는 소스 없이가 진리다

시켜먹어라

따 봉 이다"
112,wo**님,2022년 10월 8일,5,5,5,빠르고 맛있습니다!
113,to**님,2022년 10월 8일,5,5,5,맛잇게잘먹엇어여~^♡^
114,ra**님,2022년 10월 7일,5,5,5,"최고로 빠른 배송, 최고의 맛, 그릇 내 놓을 비닐봉지까지! 최고입니다"
115,ys**님,2022년 10월 6일,5,5,5,맛있어요 양도 좋아요 강추합니다
116,jo**님,2022년 10월 6일,3,4,5,면이 완전 죽같이 물러서 왔네요
117,tm**님,2022년 10월 6일,5,5,5,"맵게 부탁드렸는데 맵고 칼칼한게 진짜 속 풀어지는 맛!!
너무 너무 맛있어요 와..곱빼기를 시켰지만 양이 진짜 대박많음 밥추가 양이..대박 배달도 빠르구요 짱짱!"
118,cj**님,2022년 10월 6일,5,5,5,맛있는 짜장  탕숙육 초고속배달
119,ba**님,2022년 10월 5일,4,5,5,잘먹었습니다
120,do**님,2022년 10월 5일,4,4,5,-284&;/-;;
121,le**님,2022년 10월 3일,5,5,5,배달도 빠르고 맛있어요
122,th**님,2022년 10월 3일,5,5,5,안매운 육개장에 떡만두 들어간 맛이네요 맛있어요~
123,do**님,2022년 10월 3일,4,4,5,맛있어요 무난합니다
