,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,wi**님,2022년 10월 16일,5,5,5,일주일에 한번은 시키는것 같아요…넘 맛있습니다~~☺️
1,wi**님,2022년 10월 6일,5,5,5,맛집 발견했어요 단골각^~^
2,wi**님,2022년 10월 6일,5,5,5,김피탕은 항상 여기서만 시킵니다 ㅎㅎ
3,du**님,2022년 10월 5일,5,5,5,올만에 먹었는데 여전히 맛있어요~~
4,mi**님,2022년 9월 25일,5,5,5,처음 먹어봤는데 맛있게 잘 먹었어요 ~~
5,le**님,2022년 9월 15일,5,5,5,김피탕 딘ㅁ자 맛있에여
6,wi**님,2022년 9월 13일,5,5,5,김피탕 첨 먹어보는데 충격이고 비주얼에 비해 넘 맛있네요 앞으로 자주 사먹을것 같아요☺️서비스도 맛있었어요 최고입니다👍🏻
7,op**님,2022년 8월 23일,5,5,5,잘 먹었어요 김치맛좋아요
8,sn**님,2022년 8월 12일,5,5,5,맛있게 잘 먹었습니다
9,cn**님,2022년 8월 6일,5,5,5,김피탕은 역시 진리~~ 맛있어요!! 맛나게 잘먹었습니다~~
10,ak**님,2022년 7월 16일,5,5,5,잘 먹었습니다 ㅎㅎ
11,eu**님,2022년 7월 9일,5,4,5,배달 빠르게 왔구 맛있어요~
12,kk**님,2022년 6월 28일,5,5,5,감사합니다 맛있게 잘 먹었습니다
13,eu**님,2022년 6월 26일,5,5,5,맛있어요~~~~~~
14,sn**님,2022년 6월 23일,5,4,5,맛있게 잘 먹었습니다!
15,bs**님,2022년 6월 20일,3,2,1,배달 콜라를 * 흔들었는지 폭발하네요. 몇년만에 첨 있는 일이네요
16,db**님,2022년 6월 16일,3,5,5,"양은괜찮은데 소스맛이 별로.,"
17,mi**님,2022년 6월 16일,1,5,5,"약 10회 가량 주문한 단골이라면 단골인데, 오늘 튀김이 너무 딱딱하네요. 부드러운 고기식감으로 즐겼었는데 다시 주문하기 꺼려질 정도입니다"
18,eh**님,2022년 5월 29일,5,5,5,가성비 훌륭합니다!
19,ko**님,2022년 5월 25일,5,5,5,너무맛있게잘먹었습니다
20,dy**님,2022년 5월 23일,5,5,5,탕수육 잘 먹었습니다~~
21,ph**님,2022년 5월 22일,5,5,5,김피탕 처음 먹어봤는데 맛있네용~^^
22,sn**님,2022년 5월 19일,5,5,5,맛있게 잘먹었습니다~~
23,kk**님,2022년 5월 15일,5,5,5,"맛있습니다~~~
양도 많고요"
24,tn**님,2022년 5월 13일,5,5,5,잘먹었습니다~~~~
25,sn**님,2022년 5월 7일,5,5,5,맛있게 잘 먹었습니다~
26,sn**님,2022년 5월 5일,5,5,5,맛있게 잘 먹었습니다~
27,kk**님,2022년 4월 23일,5,5,5,"고기도 많고 배달도 빨라요.
항상 맛있게 먹어요 ㅎㅎ"
28,lo**님,2022년 4월 15일,5,5,5,금천점도 생겨서좋네요 샵인샵 화이팅
29,os**님,2022년 4월 13일,5,5,5,심여 건식으로 이만한게 없습니다.
30,10**님,2022년 4월 5일,5,5,5,배달 빠르고 소스가 4종류나 와서 좋아요
31,dy**님,2022년 3월 31일,5,5,5,엄청 맛있게 잘 먹었습니다 서비스 들도 감사합니다^^
32,cn**님,2022년 3월 30일,5,4,5,김치가 있어서 질리지않고 계속 들어가는 맛! 양은 거의 2인분이에여~
