,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,sa**님,2022년 4월 5일,5,5,5,"짬뽕은 원래 맛집인거 알았고 볶음밥은 처음 주문해봤는데 완존 대박 맛있내요 ㅠ
요즘 볶음밥 맛집 없어서 아쉬운데 너무 맛있게 잘먹었슴니다~~
사장님 잡채밥도 맛있는데 직접 가서 많이먹지만 배달메뉴엔 없어서 아쉬워요~ 잡채밥도 배달해주세용~"
1,ik**님,2022년 3월 12일,4,5,5,"맛있게 잘 먹었습니다
요청사항도 항상 잘 챙겨주시고👍👍👍"
2,sa**님,2022년 3월 9일,5,5,5,"너무 맛있어요 
여기짬뽕 최고!!"
3,rk**님,2022년 3월 9일,5,5,5,짜장면 짬뽕 모두 맛있어요. 다만 다른곳보다 둘딘 더 기름진 편이에요.
4,sa**님,2022년 3월 3일,5,5,5,"항상 매장에서 먹었는데 시간이 없어서 배달주문 처음해봤어요 역시나 맛있어요
잘먹었습니다 최고!!"
5,le**님,2022년 2월 24일,5,5,5,배달빠르고 양많아요
6,iw**님,2021년 12월 18일,5,5,5,짜장면도 맛있엇고 양도 푸짐해서 다 못먹을정도엿어녀~~^^방금나온듯 따뜻하고 만두도 맛잇엇늠!!
7,ek**님,2021년 12월 11일,2,5,3,"잡채밥이 거의 기름밥이예요
다 버렸어요"
8,jj**님,2021년 9월 22일,4,5,3,가끔씩 먹을만 할거 같네요. 짬뽕은 다른 일반 중국집보단 좀 나은거 같습니다.
9,s2**님,2021년 9월 14일,5,5,5,.........!
10,   손님,2021년 9월 13일,5,5,5,맛있게 잘 먹었습니다.
11,sa**님,2021년 8월 27일,5,5,5,맛있게 잘 먹었습니다
12,co**님,2021년 8월 16일,5,4,3,맛은있는데 배달이 늦어요
13,jo**님,2021년 8월 12일,5,5,5,"처음이에요 ~ 탕수육 정말 예술이네요 ~ 튀김반죽이 정말 고소하고 바삭해요~!! 양도 푸짐하고 정말 신선해요 ㅎ 하나 먹자마자 기름 정말 깨끗하다!! 그랬어요~
짜장면은 우와~~~~~양이 다른집 곱빼기보다 더 많은거 있죠~ㅋ 짬뽕국물도 조금 주셨는데 와~빠져버렸네요 ㅋ 불향,간,감칠맛 모두 완벽했어요~!! 
잡채밥은 ㅎㅎ 역시나 불향과 소스의 조화가 맛의 깊이를 더하네요 ~ 왜 이제야 만났을까 ㅋ 
정말 이집은 완벽했어요!! 주방장분 최소 이연복셰프실듯요!! 아 맞다 김치 너~무 맛있었어요! 군내 전혀 없고 감칠맛이 일품이네요!!!"
14,eo**님,2021년 7월 25일,5,5,5,맛있게 먹었습니다 딸이 좋아해요
15,pp**님,2021년 7월 24일,5,5,4,"짜장, 짬뽕 맛있어요~ 탕수육도 굿~"
16,iw**님,2021년 6월 28일,5,5,5,맛잇구 양도  푸짐~~
17,jw**님,2021년 6월 28일,5,5,5,굿
18,   손님,2021년 5월 9일,5,5,4,양이 생각보다 많고 맛이좋움.  면은 수타라 쫄깃.
19,ph**님,2021년 4월 5일,5,4,5,음식사진이 필요하다는걸 모르고 안찍어뒀네요.. 짜장도 맛있고 탕수육도 맛있어요! 찹살이라 쫄깃쫄깃하고 고기도 두툼해서 좋았습니다. 탕수육 소스가 약간 달다는 생각이 들긴하지만 개인적인 취향이라 그렇게 느껴진거같고 부모님은 맛있다고 하시네요. 매장에서 드셔보신 부모임의 말씀으론 포장도 맛있는데 가서 먹으면 더 맛있다고 하시니 언제한번 가서 먹어봐야겠어요ㅎㅎ
20,kk**님,2021년 3월 21일,5,5,5,맛있네요 많이 파세요
21,   손님,2021년 1월 24일,2,1,3,싼 가격도 아니였으며.!!본알도 없구요..음....
22,gk**님,2020년 12월 28일,5,5,5,맛있어요 좋아요좋아요 추천합니다
23,   손님,2020년 12월 27일,4,5,4,맛있어요 양도 푸짐~~~~~
24,ga**님,2020년 12월 26일,5,5,5,"배달도 빨리왔고 짜장면이 짜지도
않고 면도 수타라 쫄깃하고 너무 맛있어요.신랑이 짜장면은 이 동네서
최고라네요. 탕수육은 쫄깃한걸 좋아하는데 너무 바삭해요.
바삭한거 좋아하시는 분들은 좋을듯요. 튀김옷도 많이 두껍고요.
탕수육때문에 시킨건데 좀 아숩네요.
하지만 짜장면이 맛있어서 좋아요.
잘먹었습니다.감사합니다."
25,   손님,2020년 12월 5일,4,5,5,앱 깔고 처음 시키는 건데 양이 진짜 많네용 그릇이 큰 그릇 두개에 나눠담아서 먹었어요 많이 파세욤😗
26,jw**님,2020년 12월 3일,5,5,5,굿
27,gk**님,2020년 11월 19일,5,5,5,맛있어요 좋아요좋아요 추천합니다
28,   손님,2020년 10월 4일,5,5,5,"첫주문이라 별 기대안하고 시켰는데..
배달도 빠르고 맛있었어요.
한끼 잘 먹었습니다."
0,wi**님,2022년 10월 16일,5,5,5,일주일에 한번은 시키는것 같아요…넘 맛있습니다~~☺️
1,wi**님,2022년 10월 6일,5,5,5,맛집 발견했어요 단골각^~^
2,wi**님,2022년 10월 6일,5,5,5,김피탕은 항상 여기서만 시킵니다 ㅎㅎ
3,du**님,2022년 10월 5일,5,5,5,올만에 먹었는데 여전히 맛있어요~~
4,mi**님,2022년 9월 25일,5,5,5,처음 먹어봤는데 맛있게 잘 먹었어요 ~~
5,le**님,2022년 9월 15일,5,5,5,김피탕 딘ㅁ자 맛있에여
6,wi**님,2022년 9월 13일,5,5,5,김피탕 첨 먹어보는데 충격이고 비주얼에 비해 넘 맛있네요 앞으로 자주 사먹을것 같아요☺️서비스도 맛있었어요 최고입니다👍🏻
7,op**님,2022년 8월 23일,5,5,5,잘 먹었어요 김치맛좋아요
8,sn**님,2022년 8월 12일,5,5,5,맛있게 잘 먹었습니다
9,cn**님,2022년 8월 6일,5,5,5,김피탕은 역시 진리~~ 맛있어요!! 맛나게 잘먹었습니다~~
10,ak**님,2022년 7월 16일,5,5,5,잘 먹었습니다 ㅎㅎ
11,eu**님,2022년 7월 9일,5,4,5,배달 빠르게 왔구 맛있어요~
12,kk**님,2022년 6월 28일,5,5,5,감사합니다 맛있게 잘 먹었습니다
13,eu**님,2022년 6월 26일,5,5,5,맛있어요~~~~~~
14,sn**님,2022년 6월 23일,5,4,5,맛있게 잘 먹었습니다!
15,bs**님,2022년 6월 20일,3,2,1,배달 콜라를 * 흔들었는지 폭발하네요. 몇년만에 첨 있는 일이네요
16,db**님,2022년 6월 16일,3,5,5,"양은괜찮은데 소스맛이 별로.,"
17,mi**님,2022년 6월 16일,1,5,5,"약 10회 가량 주문한 단골이라면 단골인데, 오늘 튀김이 너무 딱딱하네요. 부드러운 고기식감으로 즐겼었는데 다시 주문하기 꺼려질 정도입니다"
18,eh**님,2022년 5월 29일,5,5,5,가성비 훌륭합니다!
19,ko**님,2022년 5월 25일,5,5,5,너무맛있게잘먹었습니다
20,dy**님,2022년 5월 23일,5,5,5,탕수육 잘 먹었습니다~~
21,ph**님,2022년 5월 22일,5,5,5,김피탕 처음 먹어봤는데 맛있네용~^^
22,sn**님,2022년 5월 19일,5,5,5,맛있게 잘먹었습니다~~
23,kk**님,2022년 5월 15일,5,5,5,"맛있습니다~~~
양도 많고요"
24,tn**님,2022년 5월 13일,5,5,5,잘먹었습니다~~~~
25,sn**님,2022년 5월 7일,5,5,5,맛있게 잘 먹었습니다~
26,sn**님,2022년 5월 5일,5,5,5,맛있게 잘 먹었습니다~
27,kk**님,2022년 4월 23일,5,5,5,"고기도 많고 배달도 빨라요.
항상 맛있게 먹어요 ㅎㅎ"
28,lo**님,2022년 4월 15일,5,5,5,금천점도 생겨서좋네요 샵인샵 화이팅
29,os**님,2022년 4월 13일,5,5,5,심여 건식으로 이만한게 없습니다.
30,10**님,2022년 4월 5일,5,5,5,배달 빠르고 소스가 4종류나 와서 좋아요
31,dy**님,2022년 3월 31일,5,5,5,엄청 맛있게 잘 먹었습니다 서비스 들도 감사합니다^^
32,cn**님,2022년 3월 30일,5,4,5,김치가 있어서 질리지않고 계속 들어가는 맛! 양은 거의 2인분이에여~
33,rl**님,2022년 3월 27일,5,5,5,맛있게 잘먹었습니다.
34,zb**님,2022년 3월 20일,4,4,5,"맛있게 잘먹었습니다.
나쁘지 않아요~^^"
35,fu**님,2022년 3월 18일,5,5,5,"맛있어요!!
그리고 서비스로 주신 치즈볼 까지 :)
잘먹을게요!!"
36,wh**님,2022년 3월 18일,5,5,5,"양념.매콤시켰는데 기본으로먹는게너무맛있어서 그냥먹는중

양적어보였는데 전혀아니였음ㅋㅋㅋ 김피탕 한번경험있는데 최고네요"
37,wl**님,2022년 3월 9일,5,5,5,김치 치즈 탕수육 실패할수없는조합...!
38,gi**님,2022년 3월 7일,5,5,5,넘나 맛있습니다 ㅎㅎ 고마워요
39,nh**님,2022년 2월 27일,5,5,5,맛있어요. 거리때문인지 식어와서 렌지 돌려먹었어요
40,   손님,2022년 2월 27일,4,4,4,음 애매하네요 리뷰이벤트도 없고 맛도 그렇고
41,sh**님,2022년 2월 19일,5,5,5,고기양도 많고 냄새도 안나고 맛있어용^^
42,dy**님,2022년 2월 18일,5,5,5,진짜 맛있어요~~ 항상 잘 먹고 있습니다!
43,ai**님,2022년 2월 16일,5,5,5,맛있었어요 잘먹었습니다
44,wl**님,2022년 2월 13일,5,5,5,양도 많고 맛있어용
45,du**님,2022년 2월 11일,5,5,5,"처음 먹어봤는데 맛있는거 같기도 하고 아닌거 같기도하고 신기하네용 다음에는 그냥 탕수육도 먹어봐야겠어요!!
+ 치즈볼 짱 마시씀👍👍"
46,cj**님,2022년 2월 4일,5,5,5,"김치탕 짱 맛나요
냉면도 기대 안했는데 입맛에 맞네요
탕수육 양에 쪼끔 더 많았으면 해요"
47,gj**님,2022년 2월 4일,5,5,5,너무 맛있어요~~~~
48,re**님,2022년 2월 1일,5,5,5,"중국집 탕수육은 비교불가~~
고기가 크고 실해요! 튀김옷은 아주 얇게 곁들인 정도? 
추가 소스도 다양해요.
한끼 든든하게 잘 먹었습니다~~"
49,pr**님,2022년 1월 30일,5,5,5,좀마탱이이이이잉야야
50,sn**님,2022년 1월 27일,5,4,5,맛있게 잘 먹었습니다~
51,dy**님,2022년 1월 26일,5,5,5,항상 맛있게 잘 먹고 있습니다^^
52,su**님,2022년 1월 22일,5,5,5,오랫만에 시켰는데 여전히 맛있고 좋아요
53,el**님,2022년 1월 16일,5,5,5,맛있게 잘 먹었습니다
54,ow**님,2022년 1월 16일,5,5,5,첨 먹어보는데 맛있고 양도 푸짐합니다! 치즈볼 다음엔 추가해서 먹어야겠아요 넘넘 맛있더라구요
55,bs**님,2022년 1월 15일,5,5,5,맛있어요. 잘 먹었어요
56,hi**님,2022년 1월 15일,5,5,5,너무 맛있게 잘 먹었습니다~!
57,jk**님,2022년 1월 11일,3,2,1,맛은 있는데 생각보다 양이 많이 작아요 탕수육이요..
58,dy**님,2022년 1월 8일,5,5,5,엄청 맛있게 잘 먹었습니다^^ 맛있어요!!
59,bs**님,2022년 1월 2일,5,5,5,맛있는데 소스에 건디기가 너무 없어요 ㅜ
60,hi**님,2022년 1월 2일,5,5,5,너무 잘 먹었습니다 배달도 안내보다 10분 일찍 왔고 탕수육소스도 딱 소스만 있는거 좋아하는데  잡다한 야채 별로 없어서 치우기도 쉬웠고 맛도 있고 모든 면에서 만족스러웠네용~
61,rl**님,2021년 12월 30일,5,5,5,배달도 빨리오고 맛있어요!!
62,pe**님,2021년 12월 29일,5,5,5,배달빠르구 맛있어요!
63,89**님,2021년 12월 29일,5,5,5,크림치즈볼 서비스도 주셨어요 잘먹었습니다
64,sn**님,2021년 12월 27일,5,5,5,맛있게 잘 먹었습니다~
65,ge**님,2021년 12월 26일,5,5,5,"추운날씨에 감사하게 잘받
았습니다"
66,   손님,2021년 12월 25일,1,1,1,"도착예정시간보다 30분 늦게도착
음식다식었음
돌려보내려다 배고파서 받음
역시 치즈다굳고 맛없음"
67,ar**님,2021년 12월 13일,5,5,5,항상 잘먹고있습니당
68,sn**님,2021년 12월 12일,5,5,5,"탕수육은 바삭함인데 너무 눅눅해져서 왔어요.
아마 배달문제일 듯 한데...  그외는 다 만족했습니다."
69,bs**님,2021년 12월 9일,5,5,5,잘 먹었습니다!!!!!!
70,sp**님,2021년 11월 30일,5,5,5,"맛있게 잘 먹었습니다.

같이주신 치즈볼도 잘 먹었구요

양이 되게많아요 밥이랑 먹어도 될듯 합니다

양이 너무많이서 당분간 생각안나겠다 싶었는데

리뷰쓸때되니 또 생각나네요 

김치가 간이 좀 더 약해도 좋을 듯 해요"
71,ga**님,2021년 11월 28일,5,5,5,맛잇어용!!!!!!
72,sn**님,2021년 11월 21일,5,4,5,맛있게 잘 먹었습니다~
73,ko**님,2021년 11월 20일,5,5,5,"탕수육도 맛있지만 아이들이 만두를 참좋아해요~~
맛있습니다~오늘도 잘먹었습니다"
74,yu**님,2021년 11월 15일,5,5,5,김치치즈탕수육 너무 맛이 있어요 치즈도 많고 딤치도 새콤달콤해요 치즈볼까지 서비스주셔서 넘 잘먹었습니다~
75,rl**님,2021년 11월 14일,5,5,5,맛있게 잘 먹었습니다
76,kh**님,2021년 10월 26일,5,5,5,"엄청 배부르네요
탕수육 먹고싶었는데 잘골랐어요"
77,kk**님,2021년 10월 24일,5,5,5,매번 맛있게 먹어요 ㅎㅎ
78,pr**님,2021년 10월 23일,5,5,5,"김치치즈탕수육 맛있다고 말만들어보다 먹어보고 싶은데 우리집은 배달오는데가 없어서
 엄마네집와서 시켜먹었어요
 고기냄새도 안나고 튀긴고기랑 치즈랑 김치가 왜이렇게 잘어울리고 맛있나요!"
79,ki**님,2021년 10월 20일,5,5,5,"탕수육생각날때 항상시키는곳.
진짜맛있습니다.
서비스로 치즈볼감사합니다"
80,kk**님,2021년 10월 18일,5,5,5,늘 맛있게 잘먹고있어요~~ 요청사항도 들어주셔서 감사합니다~~
81,ak**님,2021년 10월 13일,5,5,5,잘 먹었습니다 ㅎㅎ
82,fe**님,2021년 10월 6일,5,5,5,"맛있어요
배달도빠르고 잘먹었습니다"
83,mj**님,2021년 10월 3일,5,5,5,"처음먹어보는데 고기는 두툼 튀김옷은 얇아서 너무 좋았슴다
배달도 빠르게 와주셔서 맛있게 잘 먹었습니다🥰"
84,sn**님,2021년 9월 23일,5,4,5,맛있게 잘먹었습니다
85,dl**님,2021년 9월 21일,5,5,4,와 처음먹어보는 매뉴인데 생각한것보 너무맛있어요. 대박!
86,k2**님,2021년 9월 17일,4,4,4,맛있게 먹었어요 기름지지 않아서 좋네요
87,ly**님,2021년 9월 16일,5,5,5,잘먹었습니다!!!!
88,pe**님,2021년 9월 16일,5,5,5,맛있쪄 고기튀김고기튀김
89,sn**님,2021년 9월 15일,5,5,5,역시 바삭바삭 맛있어요~!!
90,gh**님,2021년 9월 9일,5,5,5,"5글자 평
그냥맛있다"
91,gh**님,2021년 9월 4일,4,4,4,탕수육이 보통 뻣뻣한감이 있는데 여긴 부드럽네요 맛있어요 잡내 안나고 ~!! 소스가 쪼금 어울리는 맛이 아닌거 같아 아쉬워요 치즈볼 감사해요^^ 다음에 또 먹겠습니다
92,le**님,2021년 9월 2일,5,5,5,기대했던 맛이에요 양이 정말 많아요
93,ch**님,2021년 8월 30일,5,5,5,맛있게 잘 먹겠습니다
94,fl**님,2021년 8월 28일,5,5,5,처음 먹어봤는데 맛있게 잘 먹었습니다
95,ab**님,2021년 8월 20일,5,5,5,"이걸 말해서 모하나...
먹어보면 알것을..."
96,tk**님,2021년 8월 19일,5,5,5,올만인데 맛있어용
97,sn**님,2021년 8월 16일,5,4,5,"양이 살짝 아주 살짝 아쉽긴한데
맛있어요!!"
98,sc**님,2021년 8월 15일,5,5,5,정말 맛있게 먹었습니다.
99,st**님,2021년 8월 7일,5,5,5,맛있게 잘 먹었어요.
100,sn**님,2021년 8월 6일,5,4,5,"탕수육 소스 맛있네요!! 서비스로 주신 치즈볼도 맛나요!!!
양은 살짝 조금만 더 많았으면 하는 바람이..
그래더 추천합니다!!"
101,ze**님,2021년 8월 6일,5,5,5,무난하게 맛있게 먹기 가능
102,hy**님,2021년 8월 1일,5,5,5,탕수육은 여기가 제일 맛있는듯
103,kk**님,2021년 7월 31일,5,5,5,"치즈가 살짝 덜녹아 굳어있어서 좀 아쉬웠어요.
그래도 맛있었어요."
104,ba**님,2021년 7월 29일,4,4,4,"생각보다 괜찮아요.
생각날때마다 주문 할것 같아요"
105,sa**님,2021년 7월 18일,5,5,5,"탕수 안에 동근 동글동글한 차즈볼도 맛나도
탕수 소스도 독특하고 매력어요^^

맛나서 순삭 했내용~

잘먹었습니다~*"
106,kh**님,2021년 7월 17일,4,4,4,양도 많고 맛있어요~
107,kk**님,2021년 7월 16일,5,5,5,맛있어서 자주 시켜먹어요.
