,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,sm**님,3시간 전,5,5,5,일단은맛있고배달도빠르네요
1,hi**님,2일 전,5,5,5,슈프림골드양념치킨 너무너무 맛있어요~^^
2,ro**님,3일 전,2,2,5,원래 처갓집 순살은 닭다리살100% 아니였나요...? 왜
3,gl**님,3일 전,4,4,5,비와서 배달이 조금 늦었지만 잘 먹었습니다~
4,ma**님,4일 전,5,5,5,슈프림은 최고입니당ㅋㅋㅋㅋ
5,jk**님,5일 전,5,5,5,별 10점 입니다.
6,yd**님,5일 전,5,5,5,맛있어요 잘먹었습니다
7,bi**님,5일 전,5,5,5,빠른배달에 맛있게 잘 먹었습니다
8,kh**님,6일 전,5,5,5,너무 맛있습니다! 😆👍
9,mu**님,일주일 전,5,5,5,배달빠르고 좋네요르
10,na**님,2022년 11월 9일,5,5,5,배달 생각보다 빠르고 양념이 진짜 맛있어요!
11,ki**님,2022년 11월 9일,5,5,5,맛있게 잘먹었습니다~!!
12,ni**님,2022년 11월 7일,5,5,5,"따뜻하게 빠른 배달 감사합니다
너무 바삭하게 맛있고  좋아요.후라이드도 처갓집이
짱입니다"
13,go**님,2022년 11월 4일,5,5,5,여러처갓집 중 슈프림 여기가 최고입니다 ㅠㅠ
14,th**님,2022년 11월 2일,5,5,5,슈프림 맛있어오 그래서 그런지 양이 적게 느껴지네요 더 많아졌으면 좋겠어요 ㅋ
15,ee**님,2022년 10월 30일,5,5,5,맛있게 잘 먹었습니다~
16,mi**님,2022년 10월 29일,5,5,5,맛있습니다아아앙앙ㅇ
17,go**님,2022년 10월 29일,5,5,5,여기 처갓집이 정말 유난히 맛있네요!!
18,ru**님,2022년 10월 28일,5,5,5,처갓집 오랜만에 먹는데 넘 맛있네요 ㅎㅎ
19,so**님,2022년 10월 26일,5,5,5,오랜만에 먹은 치킨 맛있었어용!
20,eo**님,2022년 10월 25일,5,5,5,처갓집은 항상 이집에서..
21,hi**님,2022년 10월 24일,-,-,-,간만에 처갓집 먹었습니다 잘먹었습니다 감사합니다
22,ar**님,2022년 10월 24일,5,5,5,"맛있어요
쿠폰적용되서 더저렴하게먹어서 기분도 좋네요
좀남은거 에프에 돌려서 다음날먹었는데 맛좋았어요"
23,yd**님,2022년 10월 23일,5,5,5,너무맛있어요 다음에 또 이용할께요~
24,ta**님,2022년 10월 23일,5,5,5,"맛
양
배달 모두 굿"
25,er**님,2022년 10월 22일,5,5,5,맛있게 잘 먹었습니다
26,ki**님,2022년 10월 22일,5,5,5,질리게 먹는데 안질리네요??
27,ah**님,2022년 10월 22일,-,-,-,맛있게 잘 먹었습니다
28,jk**님,2022년 10월 21일,5,5,5,배달도 빠르고 간이 세지 않아서 좋았어요.
29,me**님,2022년 10월 21일,5,5,5,맛있게 잘 먹었어요
30,pe**님,2022년 10월 21일,-,-,-,무난하게 괜찮습니다.
31,ki**님,2022년 10월 19일,5,5,5,촉촉하게 맛있게 잘 먹었습니다!!ㅠㅠ 서비스도 정말 맛있었어요!!
32,co**님,2022년 10월 19일,5,5,5,배달도 빠르고 잘 먹었습니다.
33,on**님,2022년 10월 12일,5,5,5,"믿고먹는 슈프림★★★★★
먹기 바빠서 사진은 없슴당^^;;"
34,jo**님,2022년 10월 11일,5,5,5,이벤트때문에 주문하기 좀 힘들었지만 저렴하게 잘 먹었어요
35,lo**님,2022년 10월 10일,5,5,5,오랜만에 슈프림 먹었는데 너무 맛있었어요!
36,pa**님,2022년 10월 9일,-,-,-,처갓집은 갓양념 갓맛!!!!
37,wi**님,2022년 10월 9일,-,-,-,포장시간에 정확하게 나와요~ 깔끔하고 맛있어요😋
38,yu**님,2022년 10월 8일,-,-,-,맛있게 잘 먹었습니다.
39,eo**님,2022년 10월 8일,-,-,-,맛있습니다 고맙습니다
40,id**님,2022년 10월 7일,5,5,5,일찍받았어요 맛있게 잘먹었습니다 ☺
41,te**님,2022년 10월 7일,5,5,5,종종 시켜먹는 치킨맛집! 오늘도 맛있게먹었습니다. 핫양념은 처음 주문해봤는데 엄청 자극적인 매운게아니라 적당히 매콤한  맛이라 좋았어요.
42,jy**님,2022년 10월 7일,-,-,-,맛있게 잘 먹었습니다.
