,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,wj**님,어제,5,5,5,속살이 부드럽고 느끼하지 않으며 어니언과 양파의 콜라보가 환상적입니다 2번째로 시켜 먹었지만 역시나 맛있네요^^
1,yo**님,2일 전,5,5,5,맛있게 잘먹었습니다
2,ta**님,2일 전,4,5,5,"생각보다 소스가 잘어울리네요
살짝 질릴때 한번 푹 찍어먹으면 다시 와구와구와구"
3,ma**님,5일 전,5,5,5,바삭바삭 따뜻하게 잘 도착했어요~ 잘 먹겠습니다
4,sh**님,5일 전,4,4,4,후라이드로와서 소스 찍어먹는 제품입니다. 할인받아서 시키면 가성비도 좋은것 같습니다.
5,wn**님,6일 전,5,5,5,이번에도 맛있게 잘 먹었습니다~~많은 사람들이 이 맛을 알게되면 좋겠네요 먹을 때 마다 너무 맛있네요~!!
6,hw**님,6일 전,5,5,5,"영화관 가서 나쵸 항상 드시는 분들은 필히 드세요
치즈소스가 차갑게 오니 취향에 따라 렌지에 데워드세요"
7,tk**님,일주일 전,5,5,5,"항상 먹을때마다 양도 많고 정말 맛있습니당
또 시킬게요!"
8,bh**님,2022년 11월 7일,5,5,5,맛있게 잘 먹었습니다.
9,qk**님,2022년 11월 6일,4,5,5,다 좋았어요 요청사항도 잘 들어주시고.ᐟ 근데 오늘 고기 맛이 좀 닭내가 난달까..쪼끔.ᐟ 그래도 너무 배부르고 맛있게 잘 먹었어요 감사합니다
10,mi**님,2022년 11월 6일,5,5,5,"치킨 생각날때마다 시켜먹는데 너무맛있어요!
리뷰이벤트 치즈스틱도 넘 좋았어요"
11,sw**님,2022년 11월 5일,5,5,5,항상 맛있어요 서비스도 감사합니다
12,bl**님,2022년 11월 4일,5,5,3,"오오~~ 정말 잘 먹었습니다.
맛 양 서비스 모두 좋네요.
오랜만에 좋은 가게 찾았네요."
13,mi**님,2022년 11월 4일,5,5,5,맛있게 잘먹었습니다
14,ks**님,2022년 11월 3일,5,5,5,"진짜 깨끗하고 깔끔하게나와서 기분좋았어요
사이드들도 진짜맛있었어요
또시켜먹을게요~"
15,bu**님,2022년 11월 1일,5,5,5,"맛있습니다
최고"
16,ta**님,2022년 10월 31일,5,5,5,정말맛있게잘먹었습니다~
17,hs**님,2022년 10월 31일,5,5,5,오래오래 하셨으면 좋겠네요 항상 맛있게 잘 먹고 있습니다 ㅎㅎ
18,ju**님,2022년 10월 30일,5,5,5,맛있게 잘 먹었습니다
19,gu**님,2022년 10월 30일,5,5,5,진ㅁ자 너무너무 맛있어요 배달도 빨리해주셔서 치킨이랑 감튀 다 바삭하고 맛있데 잘먹었어요!!
20,ze**님,2022년 10월 29일,5,5,5,배달도 빠르고 치킨이 바삭해서 맛있어요
21,bu**님,2022년 10월 28일,5,5,5,굳
22,fl**님,2022년 10월 27일,-,-,-,맛있게 잘먹었습니다
23,da**님,2022년 10월 26일,-,-,-,say Ho~ rorock!
24,mi**님,2022년 10월 24일,5,5,5,"고추치즈 최애지킨 될거같아요.
소스가 넘 맛있어요!"
25,jo**님,2022년 10월 24일,5,5,5,굿굿굿굿굿굿굿굿굿굿
26,hi**님,2022년 10월 24일,5,5,5,맛있게 잘먹었습니다 윙봉이 커졌네요 잘먹었습니다
27,al**님,2022년 10월 23일,5,5,5,"닭똥집튀김 처음 시켜봤는데 맛있네요
치킨은 여전히 최고입니다"
28,go**님,2022년 10월 23일,5,5,5,너무 맛있게 잘먹었어요
29,lp**님,2022년 10월 23일,5,5,5,"맛있고 배달빠르고 양도 괜찮았어요!!
지금처럼만 맛,양,가격 유지해주시면 단골될거 같아요!"
30,hs**님,2022년 10월 23일,5,5,5,"항상 맛있게 먹고 있습니다. 
감사합니다."
31,ke**님,2022년 10월 23일,5,5,5,김부각치킨 맛있게 먹은 기억이있어서 또시켰어요 ㅎㅎ 여전히 맛있네요
32,gk**님,2022년 10월 23일,-,-,-,맛있게 잘 먹었습니다
33,lo**님,2022년 10월 22일,5,5,5,"김맛 나는 간장치킨 맛이었어요.
제 입에는 잘 어울려서 맛있게 잘 먹었습니다.
리뷰이벤트로 주신 치즈스틱도 맛있었어요."
34,kp**님,2022년 10월 22일,5,5,5,맛있게 잘 먹었네요...
35,ro**님,2022년 10월 22일,5,5,5,치킨 떡볶이 맛집이네요ㅋㅎ  제입맛에 맞습니다
36,qk**님,2022년 10월 22일,5,5,5,요청사항 들어주셔서 감사합니다 진짜 맛있게 잘 먹었어요ㅠㅠㅜ 역시 치킨은 여기가 체고네요 진짜 다음에 또 시키겠습니다
37,ks**님,2022년 10월 22일,5,5,5,맛나게 잘먹었습니다 배달도빨랐어요 ㅋㅋㅋ
38,cu**님,2022년 10월 21일,5,5,5,"맛있어요ㅎ
항상 잘먹구있어요."
39,ze**님,2022년 10월 21일,5,5,5,치킨플러스 처음 먹어보는데 진짜 맛있어요~! 할라피뇨 튀김 미쳤어요…. 누가 이런 생각을 한건지 천재만재 ㅠ 마늘 소스도 넘 맛있음!!!! 잘먹었습니다! 👍
40,cx**님,2022년 10월 21일,5,5,5,"아주 맛있게.잘먹었습니다. 
서비스까지 아주감사하게 잘먹었습니다."
41,sp**님,2022년 10월 21일,5,5,5,"가츠볼 너무 신박했어요.
맛있게 먹었습니다~!"
42,gu**님,2022년 10월 21일,5,5,5,너무 맛있게 먹었습니다 다음에 생각나면 또 시킬게용
43,ya**님,2022년 10월 20일,5,5,5,맛있게 잘 먹었습니다
44,7w**님,2022년 10월 20일,4,3,5,"배달은 근처니까 빨랐어요.
근데 순살 주문하면 감자가 서비스라고 하셔서 양심상 튀김을 튀길때 같이 조리할수있겠끔 튀김모듬도 같이 주문 했는데 감자튀김는 없네요 아니면 대신 245ml캔콜라가 서비스로 주셨는지? 이벤트설명이 명확하지가 않아요ㅠㅠ
맛은 별4개이구요 겉튀김 한미리 속은 반마리느낌?
고추는 양이 적지만 맛있어요"
45,mi**님,2022년 10월 20일,5,5,5,치즈를 좋아해서 항상 이거만 시키는데 넘 맛있어요!
46,uz**님,2022년 10월 19일,5,5,5,"정해진 시간에 배달 감사합니다
언제나 그렇듯이 맛있게 먹었습니다"
47,ke**님,2022년 10월 19일,5,5,5,"배달 정말 너무 빨리와서 놀랬어요
덕분에 매장에서 먹은것처럼 아주 바삭하고 맛있게 잘먹었습니다~
감사합니다!"
48,ak**님,2022년 10월 18일,-,-,-,"맛있어요
개인적으론 순살보단 뼈가더 맛있네요"
49,ta**님,2022년 10월 18일,5,5,5,"역시 치킨플러스입니다.
크리스피 변경요청도 해주셔서 너무 감사하고 , 
핫쵸킹은 솔직히 그냥 b×× 쵸킹보다 더 맛있어요 그리고 치플 독산점에서만 퍽퍽살도 되게 부드러운편이에요!"
