,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,aw**님,16시간 전,5,5,5,짱맛❤️ 근데 매운맛이 많이 맵진 않아요 ㅎㅎ
1,ki**님,18시간 전,5,5,5,처음 시켜봤는데  너무 맛있었어요
2,mt**님,22시간 전,5,5,5,맛있게 먹었어요^^ 너무 좋아요
3,ju**님,어제,5,5,5,넘 맛있게 배불리 잘 먹었습니다 감사합니다:)
4,lj**님,어제,5,5,5,맛있게  잘먹었습니다   다음에 또 부탁드려요 ^^ 감사합니다  정신없이 먹다가 사진을 늦게 찍었네요
5,ro**님,어제,5,5,5,"그제 시켰었는데 리뷰를 깜빡했었네요ㅠㅠㅠ
맛있게 매워서 정말 잘 먹었습니다 특히 서비스 계란찜덕에 안 매웠던...👍🏻 다음에 또 시켜먹을게요 ㅎㅎ"
6,so**님,어제,5,5,5,"너무 맛있게 먹었어요 
서비스로 주신 음식들도 정말 최고!! 
앞으로 찜닭은 행찜으로 갑니다"
7,92**님,2일 전,5,5,5,항상 맛나게 먹어요
8,kj**님,3일 전,5,5,5,맛있어요!!!! 굿
9,ha**님,3일 전,5,5,5,매우 맛있었어요! 다음에도 시키고 싶어요 배달도 매우 빠르고 친절했어요
10,fe**님,4일 전,5,4,5,"맛있었고 배달도 빠르고 서비스도 좋았습니다.
양은 살짝 아쉬웠습니다"
11,hw**님,4일 전,5,5,5,"찜닭 먹고 싶을때 항상 이곳에서 주문해서 먹습니다~
묵은지는 처음 시켜 봤는데 국물에 밥까지 볶아먹을 정도로 너무 너무 맛있었습니다 ㅎㅎㅎ"
12,pj**님,5일 전,5,5,5,양도 많고 맛있었어요
13,se**님,5일 전,5,5,5,깔끔하고 맵기도 적당해서 맛있어요
14,th**님,5일 전,4,5,5,음식에 정성이 들어간거 같습니다.
15,as**님,5일 전,5,5,5,정말 좋아요. 맛도 좋고 가격도 저렴하네요. 잘 먹을께요.
16,sy**님,5일 전,5,5,5,"정말 맛있는 집입니다~ 2번째 주문이고 다음에도 배달 시켜먹을예정입니다
다만 벨 누르지 말라고 해놨는데 벨 누른건 많이 아쉬웠어요
다음 배달때는 이런 부분 좀 더 신경 써주세요"
17,na**님,6일 전,5,5,5,오랜만에 먹어도 맛있네요~
18,si**님,6일 전,5,5,5,잘먹었어요 당면이 맛있네요
19,db**님,6일 전,3,3,5,음 맛이 없는건 아닌데 다시 시키진 않을거같아요... 이가격에 이정도 닭 고기 양이라면 ~~ 계란찜은 맛잇었습니다^^
20,kt**님,6일 전,5,5,5,리뷰이벤트 감사합니다
21,jo**님,일주일 전,5,5,5,항상 맛있게 먹어요~ 빠른 배달 감사합니다
22,ki**님,2022년 11월 10일,5,5,5,"적당한 매콤함에 재료도 좋고 배송도 시간 맞춰 잘왔습니다.
다음에는 고추장찜닭 먹어볼렵니다"
23,ay**님,2022년 11월 10일,5,5,5,양도 푸짐하고 서비스도 좋습니다! 잘먹었습니다!
24,wn**님,2022년 11월 8일,5,5,5,넘모마싯또요쿄쿄쿄쿄
25,al**님,2022년 11월 8일,5,5,5,맛잇게 잘먹을게요! 매운맛 진짜 맵네요 하~!!ㅋㅋ
26,sb**님,2022년 11월 8일,5,5,5,맛있게 잘 먹었습니다
27,ei**님,2022년 11월 8일,5,5,5,양도 많고 맛있어요 ^^
28,ka**님,2022년 11월 7일,5,5,4,양이푸짐합니다 맛도짱짱
29,wn**님,2022년 11월 5일,5,5,5,잘 먹었습니다. 순한맛도 좀 매콤해요.
30,hx**님,2022년 11월 5일,5,5,5,맛도 좋고 양도 많아요
31,ji**님,2022년 11월 5일,5,5,5,항상 맛있어요. 양도 푸짐해서 배부르게 먹을 수 있음
32,go**님,2022년 11월 4일,3,4,4,양도 많고 맛잇네요.근데 당면이 다 불어서 먹기 좀 힘들엇네요.나중에 주문하게 되면 잘 부탁드립니다
33,ka**님,2022년 11월 4일,5,5,5,"빠르게 잘받았습니다.
와이프가 맛있다고 합니다."
34,ki**님,2022년 11월 4일,-,-,-,찜닭은 여기서 무조건! 리뷰 순대토핑도 맛나네용
35,fa**님,2022년 11월 3일,-,-,-,기가막히네요 오랜만에ㅜ배부르게 잘먹었습니디
36,ba**님,2022년 11월 3일,5,5,5,변하없는 행찜 언제나 만족입니다!!!
37,zh**님,2022년 11월 3일,5,5,5,맛있어용...찜닭은 앞으로 여기서 먹을겁니다
38,mo**님,2022년 11월 3일,5,5,5,배달 엄청 빠르고 서비스도챙겨주시고~~ 감사합니다!! 맛있어요~~
39,jw**님,2022년 11월 3일,5,5,5,양도 많고 맛있어요 리뷰이벤트 순대도 잘 먹었습니다!
40,me**님,2022년 11월 2일,5,5,5,오랫만에 시켜 먹었는데 역시 변하지 않운 그 맛! 너무 맛있게 잘 먹었습니다.
41,ca**님,2022년 11월 2일,5,5,5,맛있게 잘먹었습니다
42,hw**님,2022년 11월 2일,5,5,5,매주 한번은 먹고 있습니다. 양도 푸짐하고 깔끔해서 좋아요. 번창하세요~
43,pi**님,2022년 11월 2일,5,5,5,맛있었습니다 잘먹었어요
44,be**님,2022년 11월 2일,5,5,5,보통맛도 적당히 매콤하고 맛있게 잘 먹었습니다
45,sa**님,2022년 11월 2일,5,5,5,너무 맛있게 잘먹었습니댱~~~~
46,ba**님,2022년 11월 1일,5,5,5,맛있게 잘 먹었어요 닭의 신선도가 좋아요
47,ja**님,2022년 11월 1일,5,5,5,적당히 매콤해서 밥이랑 먹이 딱이에요!ㅋ
48,yz**님,2022년 11월 1일,5,5,5,보통맛 시켰고 매콤하고맛있어요! 떡이랑 잘어울리는 간장맛이네요.
49,02**님,2022년 11월 1일,5,5,5,"애둘과
애입맛을 갖은 아빠와
으른입맛의 아름다운 엄마도 
다 만족하는 맛집👍"
50,ab**님,2022년 11월 1일,5,5,5,"처음 주문 해봤는데
맵찔이인 저도 무난하고 맛있게 먹을 수 있었던 찜닭이었습니다!💕💕
양 많고 요청 사항에 당면 많이 넣어주셔서 덕분에 너무 잘 먹었습니다😘"
51,sw**님,2022년 10월 31일,5,5,5,"맛집 찾은듯~~
오랜만에 맛나게 잘먹었어요...
 리뷰서비스(순대)& 계란찜 👍"
52,hy**님,2022년 10월 31일,5,5,5,"빠른 배달 추가 서비스 맛있는 음식
굳~~~"
53,gr**님,2022년 10월 30일,4,5,5,맛있게 잘 먹었어요~
54,se**님,2022년 10월 30일,5,5,5,"양도 많고 맛있네요. 
아이 때문에 순한맛에 안매운 걸로 조리를 부탁드렸어요. 기본적으로 양념에 매콤한 맛은 조금 남아있었습니다.
배달도 빠르고 자극적이지 않고 맛있습니다. :)"
55,su**님,2022년 10월 30일,5,5,5,오늘도 맛있고 양도 많았습니다. 리뷰 이벤트 순대도 잘먹었어요~ 또 시킬게요!
56,qk**님,2022년 10월 29일,5,5,5,너무 맛있어서 재주문했습니다! 양도 맛도 최고에여 다음엔 다른 맛도 먹어보려구요~
57,au**님,2022년 10월 29일,5,5,5,찜닭은 행찜~ 아들내미 원픽 가게라 종종 애용하는곳이에요~배달도 빨리오고 양도 넉넉하고 좋아요!! 추천합니다!!
58,si**님,2022년 10월 29일,5,5,5,묵은지 맛집이네용 또시켜먹울게용
59,ri**님,2022년 10월 29일,5,5,5,너무 맛있게 잘먹었습니다.
60,vk**님,2022년 10월 28일,5,5,5,맛있게 잘먹었습니다!!
61,bl**님,2022년 10월 28일,5,5,5,"부족함없이 서비스 빵빵 충분하고
맛도 푸짐합니다"
62,52**님,2022년 10월 28일,5,5,5,너무너무너무너무너무 좋아
63,vv**님,2022년 10월 28일,5,5,5,맛있는 음식 감사합니다
64,zl**님,2022년 10월 28일,5,5,5,생각보다 배달빨리와서 좋앗고 양도많고 맛도좋앗습니다!
65,cw**님,2022년 10월 28일,5,5,5,너무 맛있었어요 다음에 또 시킬게요 !!
66,ki**님,2022년 10월 27일,5,3,5,"맛있고 제시간에 왔어요! 리뷰 순대 감사합니다
근데 양은 가격대비 다른 곳보다 좀 적어서 아쉬워요ㅠ"
67,so**님,2022년 10월 27일,5,5,5,찜닭이 땡길땐 역시 행찜입니다 ㅠㅠㅠ 매번 잘 먹고있습니다!
68,cc**님,2022년 10월 27일,5,5,5,맛있게 잘 먹었습니다. 살짝 매콤해요
69,se**님,2022년 10월 26일,-,-,-,묵은지라서 느끼하지않아요 순한거 햇는데 생각보다 더순해서 담엔 더 매운거로 먹어야겠어요 ㅎㅎ 리뷰이벤트 고구마도 맛있게 잘 먹었습니다~
70,tk**님,2022년 10월 26일,5,5,5,너무 좋아요 단골 되겠어요
71,92**님,2022년 10월 26일,5,5,5,중독성있는맛입니다
72,he**님,2022년 10월 26일,5,5,5,"만두도 있고!! 보통맛도 알싸하게 맛있어서 넘넘 좋아요
역시 내 최애집!!
오이냉국 한입하고 찜닭먹우면 입맛이 싹 돌고 최고!!"
