,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ok**님,2일 전,4,5,4,"맛은 괜찮은데 튀김옷이 너무 많아서 느끼해요.. 
그래도 맛있습니다."
1,ny**님,3일 전,5,5,5,맛있게 잘먹었습니다!
2,wl**님,3일 전,5,5,5,오랜만에 잘먹었어요
3,ba**님,4일 전,5,5,5,너무 맛있어요 또 시킬게요
4,hy**님,4일 전,5,5,5,맛나게 잘먹었습니다
5,s2**님,5일 전,5,5,5,"음식 맛있게 잘먹었습니다.
가마로강정 달콤은 최애 음식이네요...
빠른 배달도 감사드려요..."
6,re**님,일주일 전,5,5,5,맛있게 잘 먹었습니다
7,su**님,2022년 11월 6일,5,5,5,언제 먹어도 맛있습니다. 특히 바삭한 후라이드는 최고예요~
8,ch**님,2022년 11월 6일,5,5,5,맛은 당연히 맛있고 리뷰 약속하니 떡 많이주셔서 넘 좋습니다~
9,en**님,2022년 11월 6일,4,4,4,"자주먹지만 게속 먹어요 
가까운 거리지만 밤에 먹고싶어 배달주문하게됩니당"
10,em**님,2022년 11월 4일,5,5,5,맛있어요. 강정은 꼭 여기서 먹어요^^
11,ag**님,2022년 11월 1일,5,5,5,닭강정은 이 곳이 제일 맛있어요!!!!!!!!!
12,bw**님,2022년 10월 29일,5,5,5,배달도 빨리오고 맛도 항시 맛있어요
13,11**님,2022년 10월 28일,5,3,5,맛있어요
14,re**님,2022년 10월 26일,5,5,5,맛있게 잘 먹었습니다
15,ji**님,2022년 10월 26일,5,5,5,"배달도 완전빠르고 맛있었습니다.
떡도 쫄깃쫄깃~~넘 맛있었어요~"
16,jj**님,2022년 10월 23일,5,5,5,"빠르고 역시 맛있어요
사진은 배불리 거의 다 먹고 찍어버려서 ㅎㅎㅎ"
17,jk**님,2022년 10월 21일,5,5,5,"배달이 조금 늦엇지만 역시 맛있고 양도 많네요
또 시키겟습니다 잘먹엇어요~"
18,ba**님,2022년 10월 21일,5,5,5,달콤맛 엄청 맛나요
19,ke**님,2022년 10월 17일,5,5,5,아이가 달콤한 맛을 너무 맛있게 먹었어요 감사합니다
20,on**님,2022년 10월 17일,5,3,2,"별다섯 리뷰 참여지만...
가격이 올랐는데... 양은 더 적어진듯한 느낌이라~~
별다섯 약속 하기가 힘들다...
미각을 잃어 맛또한 잘 못느낀다...."
21,kk**님,2022년 10월 16일,5,5,5,너무맛나게잘먹었습니다! 소스는 꼭 추가해드셔요 모두들bb
22,di**님,2022년 10월 16일,4,5,5,약간 오버쿡 된게 아닌가 싶었지만 그래도 바삭하니 맛있었습니다~ 깔끔하게 먹고싶을때 좋은것같아요 떡 많이주셔서 잘 먹었습니다
23,mi**님,2022년 10월 15일,5,5,5,맛있게 잘먹었습니다
24,qh**님,2022년 10월 15일,5,5,5,"지난번에도 맛있어서 잘먹었는데, 오늘도 맛있게 잘먹었습니다. 떡도 딱딱하지 않고 맛있게 잘 조리되었어요."
25,kk**님,2022년 10월 15일,5,5,5,"맛있고 항상 여기서 강정 사 먹어요,"
26,lk**님,2022년 10월 14일,1,1,4,"닭과 떡이 7:3 으로 공존하는 카오스 상태 

닭강정이라기엔 소스가 턱 없이 부족하고 양도 3만원 이라기엔

엄청난 퀄리티 그냥 집앞 편의점에서 3천원짜리 김밥 10줄 사올걸"
27,th**님,2022년 10월 13일,5,5,5,맛있게 잘먹었습니다.믿고 먹어요~~
28,km**님,2022년 10월 13일,5,5,5,바삭하고 맛있어요 잘먹었어요
29,al**님,2022년 10월 13일,5,5,5,"아이들이랑 맛있게 먹었어요.
이이들이 떡도 잘 먹었어요"
30,re**님,2022년 10월 13일,5,5,5,맛있게 잘먹었습니다
31,bl**님,2022년 10월 9일,4,4,4,"닭강정 맛있습니다 ㅎㅎㅎ
여러가지 시도해봤는데
매콤 / 달콤이 가장 괜찮은거 같네요"
32,ba**님,2022년 10월 8일,5,5,5,너무 맛있어요 또 시킬게요
33,sh**님,2022년 10월 6일,5,5,5,가마로강정최고.. 따뜻하게 빠르게왔어요
34,ch**님,2022년 10월 5일,5,5,5,파강정이 젤 맛있어요!! 항상 늘 맛있어요~!~!!~~!!~~!~
35,sa**님,2022년 10월 4일,5,5,5,잘 먹었습니다!!!
36,kh**님,2022년 10월 4일,5,5,5,맛있게 잘 먹었습니다
37,jo**님,2022년 10월 2일,5,5,5,하나씩 먹기 좋은 크기이고 겉바속촉 너무 좋았어요
38,bl**님,2022년 10월 2일,4,4,4,맛있네요 ㅎㅎㅎㅎㅎㅎㅎ
