,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ru**님,3일 전,5,5,5,양념은 페리카나가 갑인듯ㅋㅋ
1,do**님,3일 전,5,5,5,"닭이 이렇게 튼실한데 어쩜이렇게 야들야들 할까요..?
진짜 옛날 시장 통닭같은 느낌이 있어서 페리카나는 그맛에 먹는것같아요 참 맛납니다..♡"
2,ch**님,일주일 전,5,5,5,잘먹겠습니다 양 맛 다 만족합니다
3,pd**님,2022년 11월 6일,5,5,5,배달도 빠르고 맛있어요 잘먹었어요~
4,wh**님,2022년 11월 5일,5,5,5,"기다린만큼 맛있어요
다른지점에 비해 깨끗하고 맛있어요"
5,jw**님,2022년 11월 5일,5,5,5,항상맛있어요. 잘먹었어요.
6,fu**님,2022년 11월 5일,5,5,5,양념도 맛나고 후라이드도 바삭해요^^
7,pe**님,2022년 11월 4일,5,5,5,양념은 역시 페리카나~
8,eh**님,2022년 11월 3일,5,5,5,사장님이 친절하시구 양도 많아요 감사합니다
9,lo**님,2022년 10월 30일,5,5,5,맛있게 잘먹었습니다!
10,18**님,2022년 10월 29일,5,5,5,감사합니다 잘먹었습니다
11,wl**님,2022년 10월 27일,5,5,5,진짜 맛있어요 잘먹었습니당
12,sh**님,2022년 10월 25일,5,5,5,요기 지점 진쨔 맛있어요~!!!><
13,yu**님,2022년 10월 24일,4,5,5,튀김옷이 바뀐거같은데 그래도 맛있네용 ㅎㄹ
14,yu**님,2022년 10월 23일,5,5,5,맛있게 잘먹었습니다! 역시 치킨은 페리카나네요 ㅎ
15,yo**님,2022년 10월 18일,5,5,5,바삭하고 달콤한 페리카나 양념치킨 맛있게 잘 먹었습니다^^
16,he**님,2022년 10월 17일,5,5,5,일단 맛있고 배달도 빨랐습니다. 튀김옷도 얇고 클래식한 치킨 드실거면 역시 페리카나인듯 ㅎㅎㅎ 양념이 맛있어용
17,bo**님,2022년 10월 16일,5,5,5,여기 지점이 제일 나은듯
18,ph**님,2022년 10월 16일,5,5,5,맛있게 잘 먹었어요!
19,ne**님,2022년 10월 14일,5,5,4,"친구집에왔다가 그냥 자기 아쉬워서 찾던중 발견한 페리카나!
오랜만에 먹어봐서 더 반가웠습니다.
달달한 양념도 맛있고 바삭한 후라이드도 맛있네요!"
20,dw**님,2022년 10월 12일,5,5,5,너무 맛있어요 맛있게 잘먹었습니다
21,el**님,2022년 10월 12일,5,5,5,맛있네요 많이 파세요
22,kh**님,2022년 10월 10일,5,5,5,"너무 친절하신 사장님,무료 배달, 맛있음이 배가 되네요~치킨맛은 언제나 일등입니다!"
