,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,eh**님,2시간 전,5,5,5,맛있게 잘 먹었습니다~~
1,mi**님,2022년 11월 9일,5,5,5,맛있게잘먹었습니다~
2,ti**님,2022년 11월 6일,5,5,5,"푸짐하고 맛별로 새로운 별미로
돌아가면서 먹으면 계속 먹게되요~
특별한 날 더 생각나는 특별한 맛이예요~~^^"
3,mu**님,2022년 11월 6일,5,5,5,잘먹었습니다 !!!!
4,da**님,2022년 11월 2일,5,5,5,오랜만에 먹었는데 맛있어요 어니언치킨 너무 먹고 싶었는데 최곱니다!
5,ak**님,2022년 10월 31일,5,5,5,항상 잘 먹고있습니다
6,oo**님,2022년 10월 29일,5,4,1,"배달이 처음에 떡볶이인지 잘못와서 가져가시고 문자 다시 연락주신다고...문자는 바로 왔길래 먼저 잘못온 음식 문자인지 알고 30분 넘게 계속 넘게 기다렸네요
계속 기다리다 혹시나 싶어 내다 보니 복도 계단에 덩그러니 문이라도 두드려 주시지..
치킨은 양파밑에 눅눅해지고 콜라는 미지근하고  별루였어요"
7,to**님,2022년 10월 28일,5,5,5,양념에서 향신료향기가 나서 호불호 갈리는것 빼곤 굿
8,ji**님,2022년 10월 22일,5,3,5,맛있게 먹었어요. 근데 솔직히 양이 좀 부족해요...
9,sm**님,2022년 10월 22일,-,-,-,항상 애용하는 최애치킨입니다 양많코좋아요
10,zz**님,2022년 10월 21일,5,5,5,3가지 맛 모두 맛있게 잘 먹었습니다!
11,sp**님,2022년 10월 16일,5,3,5,양이 적은게 너무 아쉽네요.항상 시킬때마다 느끼는대 양이 너무 작은게 먹고나면 금방 소화되요
12,te**님,2022년 10월 15일,5,5,5,"일단 3가지맛 한번에 즐길 수 있어서 좋고
양파랑 파가 넘 신선해서 기분 좋았어요 존맛존맛
배달도 빠른편이에요"
13,da**님,2022년 10월 8일,5,5,5,양념 맛있게 매콤하네요 잘먹었습니다~
14,ar**님,2022년 10월 5일,5,5,5,"단골이에요.

늘 맛있고 배달 빨라서 좋아요"
15,se**님,2022년 10월 1일,5,5,5,"투존 나 맛있네
오늘 좋은날이니까"
16,ak**님,2022년 10월 1일,5,5,5,항상 맛있게 잘먹고 있습니다
17,no**님,2022년 9월 29일,5,5,5,치킨이 맛있고 요청사항도 잘 들어주세요.
18,pj**님,2022년 9월 28일,5,5,5,요청사항 들어주셔서 감사합니다!
19,th**님,2022년 9월 28일,5,5,5,맛있게 잘 먹었습니다.
20,ze**님,2022년 9월 27일,5,5,5,리뷰만 보고 시켰는데 소스도 맛있구 치킨도 바삭하니 완전 맛있네요 ㅎ 담에 또 시켜야겠어요~^^
21,74**님,2022년 9월 25일,5,5,5,배달도 빠르고 맛있어요.재주문각입니다
22,pj**님,2022년 9월 21일,5,5,5,"간장,후라이드,양념 양도않고 맛있어요~"
23,gk**님,2022년 9월 17일,5,5,5,정말 맛있게 잘 먹었습니다.
24,ak**님,2022년 9월 16일,5,5,5,항상 맛있게 먹고있습니다
25,su**님,2022년 9월 13일,5,5,5,항상 잘 애용하고 있습니다
26,yw**님,2022년 9월 12일,4,4,5,"탕수 소스는 너무적고, 중화풍의 맛이 나지 않아요.
그나마 좋은 고기와 잘 튀긴 닭 때문에 먹었네요."
27,20**님,2022년 9월 12일,5,5,5,3가지맛인데 맛있어요~윙봉30조각주문했는데 3개남기고 다먹었네요^^
28,se**님,2022년 9월 9일,5,5,5,흥 제법이네 쫌 맛있네
29,re**님,2022년 9월 6일,5,5,5,"양도 적당하고 먹기도 좋네요
감사합니다"
30,su**님,2022년 9월 5일,5,5,5,오랜만에 먹어도 마싯어요
31,da**님,2022년 8월 22일,5,5,5,파닭 파채가 별로 없어서 아쉬웠는데 그래도 맛있었어요~
32,wo**님,2022년 8월 21일,5,5,5,맛있게 먹었습니다 번창하세요
33,cs**님,2022년 8월 19일,5,5,5,잘 먹었습니다 맛있어요
34,il**님,2022년 8월 18일,5,5,5,늘 시켜먹는 곳입니다.  세가지맛 한꺼번에 즐길수 있어 좋아요^^
35,aa**님,2022년 8월 18일,3,5,5,전 개인적으로 후라이드 제외 2가지 양념은 비추 양은 가격대비 많은편입니다
36,sm**님,2022년 8월 18일,-,-,-,항상 양도많고 맛있는 투존치킨입니다
37,dy**님,2022년 8월 16일,-,-,-,아들 녀석도 맛난다고 좋아해요~저도 맛있어요~~
38,cc**님,2022년 8월 15일,5,5,5,바싹하니 맛있어요 배달도 빠르고 좋아요
39,hs**님,2022년 8월 14일,5,5,5,"겉은  바삭바삭~
속은 촉촉~
넘 뜨거워 후후 불며 맛있게 잘 먹었어요"
40,le**님,2022년 8월 13일,5,5,5,완전 굿굿굿 최곱니다~
41,ev**님,2022년 8월 12일,5,5,5,너무 맛있어요. 또 시킬게요.
42,yw**님,2022년 8월 10일,5,5,5,맛도 양도 만족. 배달도 빠른편이고 체인수가 좀 적어 배달거리가 좀 멀다는거 빼고 가게는 만족합니다
43,mu**님,2022년 8월 8일,-,-,-,잘먹었습니다!!!!!@!!!
44,ak**님,2022년 8월 6일,5,5,5,양도 많고 치킨 자체 맛도 있고 치빵도 맛있게 만들어 먹었네요
45,tt**님,2022년 8월 5일,-,-,-,개마싯음 잘 먹엇어요
46,ji**님,2022년 8월 1일,-,-,-,"맛있게 잘먹었습니다.
사장님도 친절하시고 좋아요~"
47,jj**님,2022년 7월 31일,5,5,5,최고에요~~최고의 치킨~
48,ev**님,2022년 7월 26일,5,5,5,생각보다 맛있네요. 먹다가 사진을 찍었어요. ㅋㅋ
49,tv**님,2022년 7월 24일,5,5,5,"바삭바삭 맛있게 잘 먹었어요 
배달도 빠르고^^"
50,je**님,2022년 7월 23일,5,5,5,항상 멋있게 잘 먹고있습니다~
51,ma**님,2022년 7월 20일,5,5,5,맛있습니다. 정말 바삭바삭함.
52,re**님,2022년 7월 19일,5,5,5,탕수육 유린기 소스 맛있어요
53,ti**님,2022년 7월 18일,5,5,5,"언제나 맛있어요
늘 빠른 배달로 즐겁게 먹어요"
54,mi**님,2022년 7월 14일,5,5,5,맛있게 잘 먹었습니다~
55,kb**님,2022년 7월 13일,5,5,5,"맛있게 잘 먹었습니다^^
번창하세요~"
56,ho**님,2022년 7월 10일,5,5,5,"깐풍기가 너무 매워서 초딩의 눈물을 봤네요. ㅋ
맛있게 먹었어요. 번창하세요."
57,to**님,2022년 7월 9일,5,5,5,아주 맛있게 잘 먹었어요 따봉!
58,rk**님,2022년 7월 9일,5,5,5,밋있게 잘 먹었습니다!!
59,sm**님,2022년 7월 7일,-,-,-,언제나 양많고 맛있는 투존치킨 특히 어니언스파닭 좋아요
60,hs**님,2022년 7월 4일,5,5,5,맛있게 잘 먹었어요
61,ku**님,2022년 7월 2일,5,5,5,아이들이 좋아하는 맛이에요~~^^
62,pj**님,2022년 7월 2일,5,5,5,ㅎㅎㅎ 너무 맛있게 잘 먹었습니다!
63,ti**님,2022년 6월 20일,5,5,5,빠른배달 넘 좋아요~~  3가지 맛이라 다양하고 먹을때마다 뿌듯합니다~
64,su**님,2022년 6월 17일,-,-,-,맛있어요 하앙상 ㅎㅎㅎ
65,ma**님,2022년 6월 17일,-,-,-,여러 번 시켜 먹어도 항상 맛있습니다. 정말로^^
66,qo**님,2022년 6월 16일,5,5,5,너무 맛있습니당 ㅎㅎ
67,lo**님,2022년 6월 15일,5,5,4,"맛있는데 좀 짰어요
양도 많구 좋아요^^"
68,sm**님,2022년 6월 14일,-,-,-,항상 맛있는 투존치킨 대박나세요
69,do**님,2022년 6월 13일,5,5,5,"오랜만에 주문해 먹는데 맛있어요
배달도 빠르게와서 흡입했어요~~~"
70,ji**님,2022년 6월 12일,-,-,-,반반반 맛있습니다.
71,dm**님,2022년 6월 12일,-,-,-,맛있습니다 또 먹을게요
72,bl**님,2022년 6월 11일,5,5,5,맛있게잘먹었습니다
73,da**님,2022년 6월 11일,5,5,5,투존은 처음 먹어봤는데 생각보다 맛있게 잘 먹었어요
74,ci**님,2022년 6월 10일,5,5,5,맛있게 잘 먹을게요
75,sm**님,2022년 6월 9일,-,-,-,애들이 투존치킨만 좋아해요 후라이드가 안매워요
76,sm**님,2022년 6월 9일,-,-,-,최애치킨 정말 양많고 맛있어요
77,cs**님,2022년 6월 7일,5,5,5,"항상 잘먹고 있습니다 
양두 푸징해요"
78,su**님,2022년 6월 6일,5,5,5,아이라익 뎃 왕 마 탱
79,jm**님,2022년 6월 6일,5,5,5,오랫만에 주문해도 맛있어요~~
80,yw**님,2022년 6월 5일,5,5,5,맛있게 잘 먹었습니다.
81,ye**님,2022년 6월 5일,5,5,5,이번에 처음 시켜 먹었는데 맛있었어요👍
82,jj**님,2022년 6월 4일,5,5,5,최고입니다!!!!!!!
83,ha**님,2022년 6월 4일,5,5,5,바삭하고 부드러워서 맛있게 잘먹었습니다^^
84,su**님,2022년 6월 4일,5,5,5,굳자앙아아아압 치킨은투존
85,pj**님,2022년 6월 1일,5,5,5,"배달 예상 시간 보다 더 빨리 왔구요.
오늘도 여전히 맛있네요ㅎㅎ"
