,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,na**님,4일 전,5,5,5,맛있게 잘먹었어요~~~
1,o_**님,2022년 11월 8일,5,5,5,늘 맛있게 잘먹고 있어요
2,dm**님,2022년 11월 4일,5,5,5,가격도 좋고 배달도 빠르고 맛있었어요~
3,hs**님,2022년 11월 3일,5,5,5,깔끔한 맛. 배달비 좀 줄여주시면 좋을텐데
4,se**님,2022년 11월 2일,5,5,5,잘 먹었습니다 ㅎㅎ
5,wa**님,2022년 10월 30일,5,5,5,언제 먹어도 맛있고 가성비 좋은 후참 순살! 이번에도 역시 마딛게 잘 먹었어요 💜
6,ms**님,2022년 10월 19일,5,5,5,맛있습니다 번창하세요
7,gu**님,2022년 10월 10일,5,5,5,배달빠르고 포장도 깔끔해요
8,an**님,2022년 10월 4일,5,5,5,"비도 오는데 배달도 빠르고 음식도 맛있었습니다.
그런데 매번 순살을 먹을때 마다 그러는데 살코기는 없고 반죽 튀김 덩어리만 있는 경우가 많습니다. 그런건 저희는 다 버리는 것인데, 1상자를 조각 갯수로 따지거나 중량으로 한다면 저희는 손해라고 생각됩니다. 신경 써서 해 주셨으면 감사하겠습니다."
9,di**님,2022년 9월 30일,5,5,5,배달 빠르고 맛있어요.
10,dy**님,2022년 9월 29일,5,5,5,언제 먹어도 질리지가 않아요~
11,jy**님,2022년 9월 28일,5,5,5,맛있어용 좀질리는게ㅜ없지않아있는데 기본 닭이 살짝 매코뫠서 좋아여
12,al**님,2022년 9월 27일,5,5,5,맛잇엇습니다 짱땅맨
13,pe**님,2022년 9월 27일,3,3,3,잘 먹 었 어 요.
14,bs**님,2022년 9월 26일,5,5,5,맛있게 잘먹었어요~
15,dy**님,2022년 9월 26일,5,5,5,맛있게 먹어서 바로 또 시켜먹었습니다~!
16,dy**님,2022년 9월 26일,5,5,5,밤늦게 먹으니까 더 맛있네요 ㅎㅎ 잘 먹었습니다
17,so**님,2022년 9월 26일,5,5,5,맛있어요. 간장 맛있는데 후라이드보다 적음. ㅠ
18,hs**님,2022년 9월 25일,5,5,5,맛있어요 🫠🫠🫠🫠🫠
19,ak**님,2022년 9월 23일,5,5,5,"진짜 맛있어요 후라이드는 바삭바삭하고 양념은 주문 요청대로 엄청 맵게 해주셨어요!
맛있게 잘 먹었습니다~"
