,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,mi**님,어제,5,5,5,푸짐하고 맛있습니다
1,rk**님,어제,5,5,5,맛있고 양 많습니다 군데 생각보다 맵네요 순한맛인데
2,lu**님,2일 전,5,5,5,"좀 많이 늦게 왔는데요
겉 박스가 거의 녹아서 찢어질 정도로 젖었어요
힝"
3,vz**님,4일 전,5,5,5,언제 먹어도 맛있어욥
4,st**님,4일 전,3,3,4,"맛,양 만족합니다.
근데 감자튀김 찍어먹을 케찹이 없네요...."
5,sy**님,6일 전,5,5,5,항상 출출할 때마다 시켜먹고 있습니다! 배달도 빠르고 양 많고 맛있어서 계속 찾게 되네요 ㅠㅠ 항상 감사합니다!!
6,db**님,일주일 전,5,5,5,잘먹웄습니다 양 많아요  !!
7,gr**님,일주일 전,5,5,5,맛있게 잘 먹었어요^^ 혼자먹으니 배불러용
8,se**님,일주일 전,5,5,5,치즈 소스? 그거 안 왔음. 솔직히 천원 넘는 금액인데 돈 아까워 죽겠음. 그래도 맛은 있네. 미니라지만 양도 적당해서 혼자가 아니라 둘~셋이서 먹어도 될 듯.
9,ju**님,2022년 11월 8일,1,5,5,제 입에는 좀 아느네요 ㅜ
10,dm**님,2022년 11월 7일,5,5,5,배달도 빠르고 잘 먹었습니다.
11,ce**님,2022년 11월 7일,4,5,5,젓가락안주는게 아쉽습니다 야외서 파 추가해서먹었는데 제공된 요지로 파를 오케먹으라는건지 다버렸어요 ㅎㅎ
12,hi**님,2022년 11월 6일,2,2,4,"다른 분들은 옛날 닭강정이라고 하는데
그 추억이 없으신 분은… ㅎ 
눅눅해요"
13,st**님,2022년 11월 5일,4,4,4,배달 빠르고 맛도 좋아요.!!
14,rh**님,2022년 11월 4일,5,5,5,"다 좋은데 다음부터는 벨누르지마시고 
문앞에 두고 문자주세요...
요청했는데 벨 누르셔서 당황했어요...
몰래 시킨건데...ㅠㅠ"
15,ve**님,2022년 11월 3일,5,5,5,"맛있게 잘 먹었어요 양도 푸짐하고 소스도 맛있긴 했는데..
닭튀김 자체의 바삭함이 조금 부족한듯요 소스 농도가 좀 묽어서 그런게 아닌가 생각해봅니다"
16,sc**님,2022년 10월 30일,5,5,5,맛있게 먹었어요.
17,dg**님,2022년 10월 30일,5,5,5,맛있게 맵다
18,mi**님,2022년 10월 29일,5,5,5,맛있습니다아아아아ㅏㅇㅇ
19,yo**님,2022년 10월 29일,5,4,5,"양이 생각보다 적긴 해요.!! 근데 맛있습니당
떡이 좀 더 있었으면 좋겠어요 ㅠ_ㅠ!!"
20,st**님,2022년 10월 28일,4,4,5,"재 주문 합니다
잘 먹었습니다"
21,lh**님,2022년 10월 28일,1,1,1,..........
22,dk**님,2022년 10월 28일,5,5,5,맛잇게 잘 먹었습니다 감사합니다
23,po**님,2022년 10월 28일,5,5,5,항상 맛있게 잘먹어요ㅎㅎ
24,se**님,2022년 10월 26일,5,5,5,바삭바삭 맛있어요~
25,ha**님,2022년 10월 26일,4,3,5,정말 빨리와서 놀람 10분도 안걸려서 정말 빠르게 따뜻하게 먹었네요ㅎㅎ
26,ko**님,2022년 10월 24일,5,5,5,닭강정 생각나면 무조건 시켜먹는 집!
27,05**님,2022년 10월 24일,4,4,3,잘먹었습니다. 양념이 너무 많은듯..
28,sb**님,2022년 10월 23일,5,3,4,생각보다 맛있는 맛 + 생각보다 적은 양
29,ls**님,2022년 10월 22일,2,4,1,"16000이상 주문시주는 콜라가 안왓고
전화도 안받으시네요
눈꽃치즈는 그냥
달랑 치즈 한컵주고 직접
뿌려야되네요..
굳이 별도 메뉴로 둘필요없이
옵션으로 넣어두시는게.."
30,sy**님,2022년 10월 19일,5,5,5,"친구랑 같이 먹으려고 중 사이즈를 시켰는데 양이 어마어마하네요 :)
감사히 잘 먹겠습니다. 맛도 너무너무 좋아요 👍👍 번창하세요!"
31,01**님,2022년 10월 17일,5,5,5,잘 먹었어요~! 양이 많아요
32,ha**님,2022년 10월 17일,5,5,5,맛있어용ㅎㅎ 어릴때 사먹던 맛이에요
33,st**님,2022년 10월 16일,4,4,4,"닭강정 여기만 시킵니다.
맛있어요..^^"
34,rl**님,2022년 10월 16일,5,5,5,맛있어요.
35,vz**님,2022년 10월 15일,5,5,5,언제 먹어도 맛있어요b 오랜만에 먹엇는데 기분 좋네요
36,my**님,2022년 10월 15일,5,5,5,매우만족합니다. 다음에 또 이용합니다.
37,my**님,2022년 10월 15일,5,5,5,매우 만족합니다. 다음에 또 이용합니다.
38,12**님,2022년 10월 14일,5,5,4,"항상 후라이드시켜먹다가 간장시켜봤는데 살짝 매콤한 맛도 나고 괜찮네요!!
서비스도 많이 주셔서 배터지게 잘 먹었습니다😃"
39,gg**님,2022년 10월 14일,5,5,5,정말 맛있습니다 오자마자 다 먹어버렸네요
40,ma**님,2022년 10월 13일,2,5,5,"1+1 =2
2*4 = 8
...
8-1 = 77"
41,do**님,2022년 10월 12일,5,5,5,닭강정 땡길땐 늘 여기서 시켜요!!
42,kj**님,2022년 10월 11일,5,5,5,잘 먹었습니다 많이 파세요
43,js**님,2022년 10월 11일,5,5,5,맛나요??!!!! 양도 많아요
44,ar**님,2022년 10월 10일,3,4,4,"살짝 아쉬웠어용ㅠ
맛이...."
45,ge**님,2022년 10월 10일,5,5,5,양 진짜 많네요 혼자 먹기 버거움
46,dw**님,2022년 10월 10일,5,5,5,늦은시간에 배달도 빨리 왔고 맛있었어요 딱 시장 닭강정맛이에요!
47,ch**님,2022년 10월 10일,5,5,5,"최소주문금액, 배달료가 너무 매력적인데 맛도 맛있어요. 번창하세요 사장님!!!!"
48,dg**님,2022년 10월 9일,5,5,5,맛있게 매워서 맛있게 다 먹었습니다
49,ys**님,2022년 10월 9일,3,4,3,맛있게 정말 잘먹었습니다 콜라가 도착을 안했네요ㅠㅠ  다음번엔 꼭 콜라도 같이 챙겨주셨으면 좋겠습니다!!
50,f8**님,2022년 10월 9일,5,5,5,양도 많고 맛있었습니다
51,ma**님,2022년 10월 9일,5,5,5,새벽에 급 땡겨서 시켰는데 잘 왔어요 ㅎㅎ
52,st**님,2022년 10월 8일,4,4,4,"재주문 했어요.
잘 먹겠습니다"
53,ju**님,2022년 10월 7일,5,5,5,맛있게잘먹었어요....
54,eh**님,2022년 10월 6일,4,4,5,"맛있게 먹었습니다 근데 콜라를 안주셨네요,,,"
55,la**님,2022년 10월 6일,5,5,5,일인분 최고ㅠㅠㅠㅠㅠㅠㅠ 근데 다음부턴 큰거 시킬래요 ㅠㅠ 먹다가 아쉽더라구여 ㅋㅋㅋㅋㅋ 싸장님 번창하세요!!!!!! 최애 닭강정❤️
56,ky**님,2022년 10월 6일,4,5,5,"양도 많고 맛잇어요 잘먹겠습니다 
빠른배송 감사합니다"
57,sa**님,2022년 10월 5일,5,5,5,맛있게 잘 먹었습니다
58,my**님,2022년 10월 5일,5,3,5,지난번에 먹었던 중이랑 사이즈가 비슷한거 같아요
59,na**님,2022년 10월 4일,5,5,5,양도 많고 맛있었어요!!! 신나는 저녁
60,ss**님,2022년 10월 4일,5,5,5,항상 잘 먹고 있습니다
61,sc**님,2022년 10월 1일,5,5,5,맛있어용~~추천추천
62,ll**님,2022년 10월 1일,5,5,5,"리뷰에서 다들 양이 많다고 하더니 진짜 양이 너무 많아서 성인 둘이 먹고 남았어요 (행복)
매콤한 맛인데 많이 맵지 않고 딱 초등학교때 학교앞에서 먹던 추억의 맛이었어요 잘 먹었습니다"
63,se**님,2022년 10월 1일,5,5,5,"맛좋고 양많고 배달도 빠릅니다
감사합니다 사장님 번창하세요!"
64,20**님,2022년 9월 29일,5,5,5,사장밈 너무 맛있어요 1인분도 팔아주셔서 감사합니다
65,ci**님,2022년 9월 27일,5,5,5,배달 빠르고 양도 많고 맛도 좋아요
66,ai**님,2022년 9월 23일,5,5,5,와 맛있어요! 여긴 찜해놓고 또 시켜먹어야겠네요
67,2c**님,2022년 9월 23일,3,5,5,가격도 저렴하고 배달도 빠르고 좋았습니다
68,jd**님,2022년 9월 23일,4,4,4,양이 살짝 적긴한데 옛날 닭강정 맛이나서 좋아요~
69,kw**님,2022년 9월 22일,5,5,5,맛도 양도 배달도 삼박자가 아주 훌륭했습니다
70,yc**님,2022년 9월 21일,5,5,5,맛있었어요!!!!!
71,di**님,2022년 9월 20일,5,5,4,너무 좋아하는 닭강정 집이에요. 항상 잘 먹고있습니다. 감사드립니다.
72,gm**님,2022년 9월 20일,5,5,5,감사합니다 항상 잘 먹고있어용
73,op**님,2022년 9월 19일,5,5,5,맛잇게 먹어서 매운맛은 어떨지 기대됩니다
74,js**님,2022년 9월 18일,5,5,5,맛있게 잘먹었습니다
75,sk**님,2022년 9월 16일,5,5,5,👍 👍 👍 👍 👍 👍 👍
76,da**님,2022년 9월 14일,5,5,5,맛있게 잘먹었습니다
77,mo**님,2022년 9월 11일,5,5,5,양도 생각보다 많고
78,vh**님,2022년 9월 9일,5,5,5,"닭강정 옛날강정 맛 나서 너무 맛있어요
맥주랑 먹을려고 시켰는데 술이 술술~ 들어가네요"
79,td**님,2022년 9월 9일,5,5,5,맛있게 잘 먹었어요
80,gm**님,2022년 9월 8일,5,5,5,잘 먹었어용 감사합니다!
81,ay**님,2022년 9월 7일,5,5,5,잘먹었습니다~~~~!
82,ak**님,2022년 9월 6일,5,5,5,"양도 많고 맛있게 먹었습니다!!
배달 진짜 빨라서 대만족이에요🥹
번창하세요!!! 담에 또 오게씀다!!!"
83,gi**님,2022년 9월 5일,4,4,4,맛있어요! 확실히 너무 좋은데 금방 먹어버렸어.
84,jh**님,2022년 9월 4일,5,5,5,바삭바삳아주맛납니다
85,se**님,2022년 9월 3일,5,5,5,맛있게 잘먹었어요 양도 많고 좋아요 근데 순한맛인데 매웠어요
86,ls**님,2022년 9월 3일,5,5,5,맛나게 아주 잘먹었어요
87,gi**님,2022년 9월 2일,5,5,5,맛있게 먹었습니다~
88,   손님,2022년 8월 30일,5,4,5,맛있어요~~~~~~
89,my**님,2022년 8월 30일,-,-,-,맛있고 양도 많아요
90,jh**님,2022년 8월 28일,5,5,5,맛잇어요 바삭바삭 굿 굿
91,gr**님,2022년 8월 28일,5,5,5,맛있게잘먹었습니닭 단골단골
92,tl**님,2022년 8월 27일,5,5,5,빠른 배달 감사합니다! 정말 맛있게 먹었어요ㅎㅎ 서비스도 감사드려요! 영원히 단골할게요♡
93,jh**님,2022년 8월 15일,5,5,5,맛있슺니다 양도믾아요
94,av**님,2022년 8월 13일,5,5,5,양도 푸짐하고 너무 맛있어요ㅠㅠㅠㅠ강추합니다
95,sc**님,2022년 8월 8일,5,5,5,맛있게 잘 먹었습니다
96,st**님,2022년 8월 4일,5,5,5,맛있게 잘먹겠슴니다!
97,ps**님,2022년 8월 4일,5,5,5,진짜 양도 많고 맛있었어요!!
98,po**님,2022년 8월 3일,5,5,5,맛있게 잘먹었습니다
99,ch**님,2022년 8월 3일,5,5,5,너무 맛있게 잘 먹었습니다~!
100,ch**님,2022년 7월 30일,5,5,5,맛있어서 또 ..또....시켜먹을 예정..
101,sk**님,2022년 7월 29일,5,5,5,맛있었습니다.........
102,ss**님,2022년 7월 28일,5,5,5,항상 잘 먹고 있습니다
103,ch**님,2022년 7월 28일,5,5,5,항상 맛있게 잘 먹고있습니다:)
104,gr**님,2022년 7월 28일,5,5,5,맛있게ㅣ잘먹었습니댱
105,ku**님,2022년 7월 26일,5,5,5,포장이 좀 아쉬웠어요 똥집포장 된 종이 봉투가 기름에 젖어서 다른거까지 기름범벅되서 ㅠㅠ
106,ch**님,2022년 7월 25일,5,5,5,"4일연속 시켜먹었었는데,, 서비스 이렇게 챙겨주시면...
너무 감사합니다:) 또 시켜먹겠습니다! 정말 맛있게 잘 먹었어요~"
107,jj**님,2022년 7월 25일,5,5,5,너무 잫 먹었습니다. 양도 많네요!
108,ch**님,2022년 7월 24일,5,5,5,"특대로 시켰었는데, 닭강정 넘치도록 꾹꾹 눌러담아주셔서 감사합니다:) 너무 맛있어요.."
109,e_**님,2022년 7월 23일,5,5,5,또 생각나서 시켰습니다~ 배달도 빨리오고 따뜻할때 먹었어요~ 나중에 또 시켜먹을게요~
110,ch**님,2022년 7월 23일,5,5,5,너무 맛있어서 또 시켜먹었네요!
111,il**님,2022년 7월 23일,5,5,5,양도 많고 음식이 빨리와서 좋네요 앞으로 자주 시켜먹을거같아요
112,ch**님,2022년 7월 22일,5,5,5,배달이 너무 빨라서 놀랬습니다. 양도많고 맛있게 잘 먹었습니다.
113,qo**님,2022년 7월 21일,4,4,4,마신어셔 맛잇서요 맛이엇ㅇ요
114,ab**님,2022년 7월 17일,5,5,5,서비스로 보내주신 것 잘 받았습니다. ㅎㅎ
115,za**님,2022년 7월 17일,5,5,5,"맛있게 잘먹었둥 !
또 먹겠둥!"
116,na**님,2022년 7월 17일,5,4,4,"재주문율 높은데엔 이유가 있네요....진짜 먹자마자 맛있다고 느꼈어요ㅠㅠㅠ 요즘 닭강정 비린내나는 곳 많아서 속상했는데 맛있게 잘먹었습니다
다만! 매운거 잘 못드시는분은 매운맛 주의하세요! 진짜진짜 맛있어서 열심히 먹긴했는데🥲 꽤 맵습니다 ㅋ큐ㅠㅠ"
117,e_**님,2022년 7월 15일,5,5,5,전에 시켜먹고 또 생각나서 시켜먹었어요 ~ 여전히 양이 많네요~ 그런데 무 추가했는데 하나만오고 하나는 안왔습니다. 나중엔 잘 챙겨서 보내주세요~
118,gm**님,2022년 7월 15일,5,5,5,감사합니다 잘먹었어요!!!
119,gr**님,2022년 7월 14일,5,5,5,맛있게 잘 먹었습ㄴㅣ당
120,on**님,2022년 7월 13일,5,5,2,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
121,se**님,2022년 7월 11일,5,5,5,모지.. 닭강정 왜케 마싯어요..? 양도 진짜 많고 배불러서 두 번에 나눠먹엇어요!! 매운소스도 짱맛잇으니 매운 거 조아하심 꼭 추가 주문하세요^.^ 담에 또 시켜먹어야지!
122,sk**님,2022년 7월 11일,5,5,5,"말할것도 없어요
맛있는건 변함이없네요"
123,na**님,2022년 7월 11일,5,5,5,양도 많고 맛있어요!
124,po**님,2022년 7월 11일,5,5,5,맛있게 잘먹었어요~~
125,e_**님,2022년 7월 10일,5,5,5,"닭강정 먹고싶어서 시켜봤는데, 맛있네요~ 닭강정 대 여자 혼자 먹기엔 양이 많아요~ 잘먹었습니다 ~ 다음에 또 시켜먹을게요~"
126,je**님,2022년 7월 10일,5,5,5,자주시켜먹는곳. 은근히 양 많다
127,sa**님,2022년 7월 6일,5,5,5,맛있게 잘 먹었습니다
128,rk**님,2022년 7월 5일,5,5,5,맛있습니당!!!!!
129,ed**님,2022년 7월 5일,5,5,5,포장에 조금만 더 신경써주세요ㅠㅠ 오는길에 알루미늄 호일이 조금 틀어져서 소스가 박스를 다 적셨어요ㅠ 맛있고 양도 괜찮아요!
130,wn**님,2022년 7월 5일,5,5,5,맛있게 잘 먹었습니다
131,ta**님,2022년 7월 3일,5,5,5,양도많고 맛도있어요!
132,wn**님,2022년 7월 2일,5,5,5,너무 든든히 잘 먹었어요😀
133,ay**님,2022년 7월 1일,5,5,5,처음 시켜봤는데 굉장히 맛있어요!! 또 주문할게요~~
134,zc**님,2022년 6월 29일,5,5,5,항상 맛있어요 잘먹었습니다
135,xu**님,2022년 6월 26일,5,5,5,너무 빠르고 잇있어요 ㅎㅎㅎ
136,na**님,2022년 6월 26일,5,5,5,믿고 주문하는집! 집에서도 먹고 친구네서도 먹고 야밤에 술안주로도 좋고 간식으로도 좋고 걍 다 좋아요 사장님 항상 감사합니다
137,js**님,2022년 6월 25일,5,5,5,맛있게 잘 먹었습니다
138,ci**님,2022년 6월 19일,3,1,3,"무난해서 몇번 시켜먹었는덕
이번에 무를 안주시던데
  좀 그런거 같네요"
139,tm**님,2022년 6월 19일,5,5,5,배달도 진짜 빠르고 생각도 못한 서비스까지 감사히잘먹었습니다!!
140,dl**님,2022년 6월 19일,5,4,4,"너무 맛있고 양도 적당했는데
떡에서 이상한 맛도 나고 매우 딱딱했어요"
141,gm**님,2022년 6월 18일,5,5,5,오랜만에 시켰는데 너무 맛있게 잘 먹었습니다ㅎㅎ
142,jh**님,2022년 6월 17일,5,5,5,맛닛어요. 맛닛어요맛잇어요
143,jh**님,2022년 6월 17일,5,5,5,양념 맛닛어요. 배송도빠름
144,ci**님,2022년 6월 16일,5,5,5,배달 빠르고 양도 많고 맛있어요
145,si**님,2022년 6월 16일,5,5,5,맛있게 먹었어요
146,db**님,2022년 6월 16일,5,5,5,"존X맛있는데 양까지 많아
여기 처음 생겼을때 자주 시켜먹다가 가격 오르고 안먹었는데 닭강정류는 가성비.맛에서 1티어라고 부끄럼없이 말할수있음"
147,dp**님,2022년 6월 12일,5,5,5,굿
148,dn**님,2022년 6월 12일,5,5,5,배달 빠르고 맛있습니다
149,sa**님,2022년 6월 11일,5,5,5,맛있게 잘 먹었습니다
150,su**님,2022년 6월 11일,5,5,5,소 자로 시켜서 양은 기대 안했는데 가격에 비해 상상 이상의 양으로 왔습니다. 맛도 맛있고 배달비도 무료인데다 예정시간에 비해 20분 빨리 와주셔서 만족하고요 맥주랑 간단하게 드시고 싶은 분들은 정말 추천드립니다
