,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,in**님,1시간 전,5,5,5,여기 파가 안매워서 너무 좋아용 ㅋㅋ 항상 맛있어요
1,sk**님,7시간 전,5,5,5,잘 먹었습니다~~~
2,dx**님,어제,5,5,5,가성비 미쳐버림 파닭
3,yu**님,2일 전,5,5,5,"카레파닭 첨 먹어보는데 간장파닭보다 맛있네요
카레 감칠맛이 느끼함을 잡아줘서 계속 들어가요!
치즈볼 감사합니다"
4,mi**님,2일 전,5,5,5,맛있게 잘먹었습니다
5,ar**님,2일 전,5,5,2,"맛도 양도 최고에요!!
다만....배달이...1시간 20분...."
6,gp**님,2일 전,5,5,5,거의 한달에 6번정도먹습니다. 걍먹어보세요
7,wo**님,2일 전,5,5,5,맛있게 잘 먹고 있습니다
8,me**님,2일 전,5,5,5,맛있게 잘먹었습니다
9,hs**님,3일 전,5,5,5,양념보다는 간장이 진짜맛잇엇습니다
10,ne**님,3일 전,5,5,5,양도 푸짐하고 정말 맛있어요:) 박스채로 배달해주셨는데 요즘 비대면으로 문앞에 놓아달라고 요청하는 경우가 많아 비닐봉투로 한번더 포장해주셨으면 좋겠습니다.
11,dh**님,4일 전,5,5,5,너무 맛있어요!!^^
12,sm**님,4일 전,5,5,5,"맛있게 잘먹었어요~ 
사진을 못찍었네요 ㅠ"
13,id**님,5일 전,5,5,5,"미파닭 너무 맛있어요 ㅠ 자꾸 시키게되네요
카레치킨은 처음 시켜봤는데 완전 마음에 들어요!!!
항상 맛있게 잘먹고있습니다!!"
14,an**님,5일 전,5,5,5,"치킨양 대비 파가 조금 부족한데 치킨이 워낙 많아서 그런거 같긴 합니다~
맛있게 잘먹었습니다~"
15,as**님,5일 전,5,5,5,간만에 파닭생각나서 시켰는데 역시 맛나네요^^
16,st**님,5일 전,5,5,5,자주 시켜먹는데 역시 파닭은👍
17,kb**님,5일 전,5,5,3,늦게 오는거 빼곤 맛있게 잘 먹었습니다!!
18,hy**님,6일 전,5,5,5,진짜 맛있네요ㅎㅎㅎ
19,ad**님,일주일 전,5,5,5,"평소보다 마늘소스가 적게오긴햇는데 맛있엇어요

항상 많아서 남으면 좀 힘들엇는데 이번엔 딱 좋네요"
20,ha**님,일주일 전,5,5,5,맛있게 잘 먹었습니다
21,bl**님,2022년 11월 8일,5,5,5,"맛있네요~ 양도 많아서 놀랐습니다!! 
간만에 배터비게 잘 먹었습니다~^^"
22,dn**님,2022년 11월 8일,5,5,5,항상맛잇게먹고거여어오여아
23,sc**님,2022년 11월 8일,5,5,5,진짜 너무 맛있게 잘 먹었어요. 파닭은 여기서만 먹을거 같아요!!!!
24,ha**님,2022년 11월 8일,5,5,5,"양많고 맛도 좋아서 맛있게 먹었어요
파랑같이 먹으니 더욱더맛있었어요"
25,kh**님,2022년 11월 7일,5,5,5,항상 맛있게 먹고 있어요!! 최고에요!
