,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,qu**님,7시간 전,5,5,5,맛있게 잘먹었어요!!!
1,go**님,13시간 전,5,5,5,솔직히 리뷰 보고 양 안많거같아서 둘이 다 먹을 수 있을 줄 알았는데 반도 못먹음 자존심 상해…. 양 엄청 많아요 ㅋㅋㅋㅋ
2,ao**님,15시간 전,5,5,5,맛잇게 잘먹엇습니다
3,eh**님,16시간 전,5,5,5,맛있게 잘 먹었습니다
4,cj**님,17시간 전,5,5,5,"생각과달리  매콤하니 맛잇어어요 
자주시켜먹을듯해요"
5,so**님,17시간 전,5,5,5,맛있게 잘 먹었어요!!
6,hj**님,22시간 전,5,5,5,잘먹엇습니다!!!!!
7,so**님,22시간 전,5,5,5,처음 시켜봤는데 너무 맛있어서 재주문각입니다!! 떡사리 리뷰이벤트 최고ㅠㅠ
8,tj**님,어제,5,4,4,"맛있어요
포장 뜯긴거 설명도 잘해주셔서 감사합니다"
9,25**님,어제,5,5,5,"미쳤덩... 왤캐 마싯서요 이거...
우동사리랑 떡사리 기본으로 들어가는데 완존 넉넉하게 넣어주시구 소스도 완존 달달하구...🤤 진짜 댑악...
사리랑 닭 조금 먹으니까 배불러서 다 남겼어요ㅠㅠㅋㅋㅋㅋㅋ
소스가 진짜 밥 말아 먹으면 환장할 거 같은 맛이에요ㅠ
내일 치밥해먹어야징 키키
늦은 시간에 조리해주셔서 감사합니다~~!❤️"
10,j9**님,어제,5,5,5,맛나게 잘먹었습니다~~!
11,ek**님,어제,5,5,5,자꾸 땡겨요ㅠㅠ 맛있고 양도 넉넉하고...
12,wh**님,어제,5,5,5,첨시켰는데 맛있게 잘 먹었습니다
13,sc**님,어제,5,5,5,항상 빠른배달   맛좋은음식ㅋㅋ  추천합니다
14,li**님,어제,5,5,5,늦은 시간에 맛있게 잘 먹었습니다
15,dk**님,어제,5,5,5,맛있음 기대했던 맛이에요 맵기는 생각한 것 보다 덜 매웠어요
16,ch**님,2일 전,5,5,5,너무 맛있게 먹었어요!!
17,su**님,2일 전,5,5,5,"떡사리만 먹어도 배부른데, 밥까지 비벼먹으니 맛이 2배 감동도 2배"
18,rj**님,2일 전,5,5,5,불맛이강하고 맛있습니다.~
19,kh**님,2일 전,5,5,5,맛있어요!!!! 아파서 잘못먹었는데 속세의 맛을 느끼니까 너무 행복하네요^^....
20,ks**님,2일 전,5,5,5,맛있게 먹었습니다~
21,du**님,2일 전,5,5,5,완전 맛있고 양도 많고 배달도 빨라요
22,cj**님,2일 전,4,4,4,잘막었습니다 맛있어요!
23,wo**님,2일 전,5,5,5,비주얼 미쳤고 너무 맛있습니다
24,yg**님,2일 전,5,5,5,닭이 질기지 않고 부드러워서 좋았어요! 우동사리에 양념 가득 묻어있고 양념이 맛있어서 또 좋았어요! 담에 또 시켜먹을게요ㅎㅎ
25,kl**님,2일 전,5,5,5,맛있게 잘 먹었습니다
26,pr**님,2일 전,5,5,4,맛있게 잘먹었습니다
27,ti**님,2일 전,5,5,5,맛있어요 또 시켜막을게요 !!!!!
28,eh**님,2일 전,-,-,-,처음먹어보는데 맛있었어요
29,si**님,2일 전,4,5,5,배달 시간 맞춰서 잘 왔어요~ 잘 먹었습니다
30,jo**님,2일 전,5,5,5,"맛도리맛도리~~!
매번 맛있엉영
급하게 먹느라 뚝딱 후 찍은 사진뿐이네여 ㅠㅠ 죄소애야"
31,ye**님,2일 전,5,5,5,맛있어여!!!!!!!
32,fv**님,2일 전,5,5,5,너무 자주 먹나.. 뭔가 부끄..
33,mi**님,2일 전,5,5,5,빠른 배달 감사합니다!
34,ei**님,2일 전,5,5,5,맛있게 잘먹었습니다
35,de**님,3일 전,5,5,5,너무 맛있게 잘 먹었습니다 ^^
36,53**님,3일 전,5,5,5,너무 맛잇게 잘먹엇읍니다~~~~~~~
37,sh**님,3일 전,5,5,5,대박 맛있네요 대박
38,os**님,3일 전,5,5,5,잘먹었습니다 번창하세용
39,jj**님,3일 전,5,5,5,"급하게 먹느라 사진이 한장뿐이네요
닭한마리를 진짜 순삭했네요 너무너무 맛있었습니다 양념이 기가막히네요 다음에 또 시켜먹겠습니다"
40,lg**님,3일 전,5,5,5,맛있어용 밥이랑 먹기 딱 좋아요
41,wo**님,3일 전,5,5,5,맛있게 잘 먹었습니다
