,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,mi**님,17시간 전,1,1,5,"요청사항에 소스 많이 좀넣어 달라고 했는데 어쩜 그리 소스가 일도 없이  보내셨는지 어이가 없네요. .뻑뻑하니 힘들게 먹었네요.. 투움바소스 맛으로 먹는데 소스를 아예  안넣으셨나요?  아주 짜증나서  생각만해도 진짜~~
요청사항을 꼼꼼히 읽으세요 제발 ~~"
1,da**님,2일 전,5,4,5,자주 주문하는곳....
2,dy**님,3일 전,5,5,5,푸라닭은 언제 먹어도 맛있네요.
3,jm**님,6일 전,5,5,5,넘 푸짐하게 맛있게 잘 먹었습니다 조카들이 너무 좋아하네요~! 배달도 빠르게 되서 따듯하게 먹었습니다 :)
4,hm**님,일주일 전,5,5,5,겉바 속촉 언제나 맛있어요.
5,oo**님,2022년 11월 5일,5,5,5,요즘 치킨은 푸라닭만 시켜요 배달도 빠르고 맛도 👍👍👍👍👍👍👍👍👍👍
6,se**님,2022년 11월 3일,5,3,5,프라닭 맛있네요..ㅎㅎ
7,   손님,2022년 11월 3일,2,3,5,지점에서 사먹던거랑 맛  차이가 납니다. 그리고 혹시 담에 주문하면 탄거는 주지 마세요.
8,ty**님,2022년 10월 30일,5,5,5,고추마요 너무 맛있어요~~
9,si**님,2022년 10월 29일,5,5,5,맛있게 잘 먹었습니다
10,co**님,2022년 10월 25일,5,5,5,"순살치킨이 튀김옷도 적고 양념도 맛있어요 
#식후감"
11,ca**님,2022년 10월 24일,5,5,4,역시 믿고먹습니다.
12,hm**님,2022년 10월 22일,5,5,5,언제나 고소하고 짜지않고 맛있어요^^
13,ns**님,2022년 10월 19일,5,5,2,몇번 주문해서 먹어봤지만 오늘 배달은 별로였네요 오다가 엎었는지 양념 다 새어나오고 새어나오는지도모르고 잠깐 소파 올려 놨다가 다 버렸네요
14,ji**님,2022년 10월 17일,5,5,5,"친구생일이라 보내줬어요ㅎㅎ
근데 임신이라 입덧으로....잘못먹었나봐요.
맘아픔. 친구집은 개봉인데 광명철산점이
가차운가봐요?ㅋㅋㅋ몰랐네요.
저도먹고싶네요😔
근데 여기지역푸라닭은 그닥이예요....."
15,du**님,2022년 10월 16일,5,5,5,항상여기서만 먹음 일주일에 한번씩먹는게 삶의낙
16,co**님,2022년 10월 15일,5,5,5,"지난번 주문해서 먹어봤는데 덜 기름지고 맛있어서 다시 주문해봅니다.
식어도 맛있네요.
#식후감"
17,sk**님,2022년 10월 14일,5,4,5,애기 재우고 먹으려고 시켰는데 갑자기 애기가 안자서 30분 늦게 먹었어요 그런데도 맛있습니다 최고!!
18,vh**님,2022년 10월 14일,5,5,5,빠르게 잘받았습니다 맛있어요!
19,co**님,2022년 10월 13일,-,-,-,"그동안 주문해봤던 것중 아이들이 제일 맛있게 먹었어요.
#식후감"
20,lu**님,2022년 10월 12일,5,5,5,배달도 빠르고 맛있어요
21,ys**님,2022년 10월 12일,5,5,5,맛있게 잘 먹었습니다.
22,da**님,2022년 10월 12일,5,5,5,맛있게 잘 먹었습니다 배달도 빠르고 좋아요 수고하세요
23,ee**님,2022년 10월 10일,5,5,5,느끼하면서 매콤한 맛 정말 맛있습니다.
24,jn**님,2022년 10월 10일,5,5,5,맛있게 먹었습니다 감사합니다
25,hm**님,2022년 10월 10일,5,5,5,"언제나 바삭하고 고소한 맛이에요.
비오는 날인데도 배달도 빨리해주시고 잘 먹었습니다."
26,aa**님,2022년 10월 9일,5,5,5,푸라닭도 윙봉이 있었네요!!!! 너무 맛있게 잘 먹었습니당
27,sa**님,2022년 10월 9일,4,4,4,매번 애들때문에 안매운 치킨만 먹다가 오랜만에 매콤한 시킨먹으니 너무 좋았어요. 다먹어 갈때쯤 좀 느끼하긴하네요.
28,ln**님,2022년 10월 9일,5,5,5,처음 시켰는데 너무 맛있네요 자주 시켜먹을께요 감사합니다 사업번창하세요
29,se**님,2022년 10월 9일,5,5,5,"맛있었어요 ㅎ 푸라닭은 소스 맛집이네요 
블랙반은 역시 맛있었고 
투움바는 첨 먹어봤는데 맴찔이인 저에겐 살짝 매콤했지만 그래도 맛있었어요!!!"
30,my**님,2022년 10월 6일,5,5,5,닭느님은 
31,hm**님,2022년 10월 6일,5,5,5,집에서 거리가 있지만 맛나서 자주 주문해요
32,yu**님,2022년 10월 5일,5,5,5,항상 맛있습니다^^
33,sh**님,2022년 10월 5일,5,5,5,딸아이가 좋아합니다.
34,ss**님,2022년 10월 3일,5,5,5,맛있어요~~~~~~
35,oo**님,2022년 10월 3일,5,5,5,"늘 맛있어요! 
요청 사항 잘못 썼는데도 친절히 잘 응해주시고 빨리 보내주셔서 감사해요!"
36,ju**님,2022년 10월 3일,4,3,4,잘먹었습니다 꺼억~
37,li**님,2022년 10월 2일,5,5,5,"떡이 너무 많아서 깜놀 ^^;;;
맛있어요"
38,so**님,2022년 10월 2일,5,5,5,항상 맛있게 먹고 있어요
39,sy**님,2022년 10월 2일,5,5,5,맛있게 잘먹었습니다 감사합니다
40,he**님,2022년 10월 1일,5,5,5,👍👍👍👍👍👍👍👍👍👍👍
41,gh**님,2022년 9월 27일,5,5,5,맛있게 잘먹었습니다. 감사합니다.^^
42,jo**님,2022년 9월 26일,5,5,5,배달도빠르구 맛있네요
43,su**님,2022년 9월 26일,5,5,5,새벽에 잘 먹었습니다~~~
44,li**님,2022년 9월 26일,5,5,5,"치킨 맛있어요
자주싴ㅁ"
45,dl**님,2022년 9월 26일,5,5,5,주문하고 1시간 안으로 빨리 오고 서비스도 최고고 치킨을 먹어 보고 싶을때 여기 가성비 싸고 맛도 있고 호불호가 제대로 살리는 가게
46,se**님,2022년 9월 25일,5,5,3,"배송이 예정시간보다 늦어서 가게 전화 했었는데 기사에게 알아본다고 하시고 끊고 조금있다 배달 오더라고요 
아마 여기저기 들르다 늦으신거겠죠.. 그래서 배달별은 좀 뺐어요 
맛은 말할 것 없이 맛있네요 여긴 다른지점보다 조각 크기가 크더라고요 전 작은게 좋았지만 남자친구는 좋아했어요 잘먹었어요"
47,et**님,2022년 9월 25일,5,5,5,짠데 맛있어요 많이는 못먹어요
48,la**님,2022년 9월 23일,5,5,5,만족하고 잘먹었습니다.
49,da**님,2022년 9월 21일,5,5,5,맛있게 잘 먹었습니다 수고하세요
50,ji**님,2022년 9월 19일,5,5,5,인기 많다고 해서 시켜봤는데 정말 맛있어요 ㅎㅎ
51,fr**님,2022년 9월 19일,5,5,5,맛있긴한데 다른지점에는 리뷰써비스도 있는데 여긴 없어서 아쉽긴 하네요.
52,oo**님,2022년 9월 18일,5,5,4,배달이 예상시간보다 좀 늦어서 기다렸지만 그래도 맛있어요!
53,lb**님,2022년 9월 18일,5,5,5,"요번에 양념에 소스가 넘 없었어요... 
떡사리를 시켜서 글케 느낀건지...  
사진은 예전에 시켰던거임"
54,so**님,2022년 9월 18일,5,5,5,프라 프라 프라 치킨 맛 있어요..
55,bo**님,2022년 9월 17일,5,5,5,배달은 약간 걸렸지만 맛있게 먹었어요
