,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,gj**님,5시간 전,-,-,-,양이 엄청 많네요.! 잘먹었습니다 ㅎㅎ
1,ju**님,14시간 전,4,5,5,맛잇게 잘먹었어요!
2,pe**님,20시간 전,-,-,-,오랜만에 먹는데 많이 맛있네요
3,cu**님,23시간 전,4,5,5,bhjikkkkxkskskekekr
4,ae**님,3일 전,4,4,4,"잘 먹었습니다 근데 평소엔 나지않던 다리뼈부분만 약간의 냄새가 나요
가격도 저렴하고 맛도 좋습니다"
5,ha**님,4일 전,-,-,-,느무 맛있어영 ㅎㅎ
6,dw**님,6일 전,5,5,5,언제 먹어도 기가막힌맛 호시기 두마리치킨맛
7,ak**님,일주일 전,-,-,-,"매운간장은 역시 맛있었구요
땡초 불꽃도 맛있었어요
땡초소스가 냉장고에 있던걸 바로쓰신건지
닭표면이 좀 식은거랑 소스뭉쳐있는곳이 차가웠다는게 아쉬웠네요"
8,10**님,일주일 전,5,5,5,"호식이를 처음 시켜먹어봤는데, 양도 괜찮고 소스도 너무 맛있게 해주셔서 진짜 만족했어요 ㅎㅎ
든ㄴ든하게 잘 먹었습니다! 오늘도 행복한 하루 되세요"
9,24**님,일주일 전,-,-,-,좋아요~~~~~~~
10,go**님,2022년 11월 7일,5,5,5,늘 한결같이 맛있네요. 호식이치킨은 많지만 여기만 주문해 먹습니다. 많이 파시고 수고하세요^^
11,gu**님,2022년 11월 7일,5,5,5,넘 맛있어요 계속 먹게 되네요
12,de**님,2022년 11월 6일,-,-,-,맛있어요! 강추입니다!!
13,ne**님,2022년 11월 6일,5,5,5,호식이가 최고입니다 바삭하고 촉촉해서 맛있어요
14,gj**님,2022년 11월 6일,-,-,-,잘 먹었습니다 ㅎㅎㅎ
15,cl**님,2022년 11월 6일,5,5,5,맛있게 잘 먹었어요~~
16,dr**님,2022년 11월 6일,5,5,5,잘먹었구요 궁금해서시켜먹어본건데 짭조름한것도 좋지만 덜 자극적이여도 소스찍먹으로 좋을것 같아요 만약 가능하다면 똥집 반반메뉴도 있었으면 좋겠어요~
17,ji**님,2022년 11월 6일,5,5,5,맛있게 잘먹었습니다.
18,3j**님,2022년 11월 5일,3,4,5,맛있습니다 .
19,pe**님,2022년 11월 5일,5,5,5,엄청맛있어요 바삭만하면 더 좋을것같아요
20,eo**님,2022년 11월 5일,5,5,5,양념은 역시 호식이치킨
21,hj**님,2022년 11월 5일,5,5,5,악덕 비비큐 bhc보단 호식이가 낫죠
22,sa**님,2022년 11월 5일,5,5,5,순살 양념치킨 잘 먹었습니다. 배달도 빠르고 친절하게 가져다주셔서 더 맛있게 느껴졌어요
23,je**님,2022년 11월 4일,5,5,5,맛있게 잘먹었습니다 수고하셧습니다
24,id**님,2022년 11월 4일,5,5,5,정말 맛있게 잘먹었습니다
25,jy**님,2022년 11월 4일,5,5,5,맛있게 잘먹었습니다
26,wp**님,2022년 11월 3일,-,-,-,치킨 잘먹었습니다~
27,lm**님,2022년 11월 3일,5,5,5,바삭하고 맛있어요ㅋㅋ제가 시켜먹은 호식이 중에 제일 맛있네용
28,kj**님,2022년 11월 3일,5,5,5,너무맛있게잘먹었습니다!
29,kh**님,2022년 11월 3일,5,5,5,너~~~무 맛있는 호식이!!!!👍
30,eo**님,2022년 11월 3일,5,5,5,오늘도 감사히  잘  먹었습니다
31,tj**님,2022년 11월 3일,5,5,5,배달 빠르고 맛있게 잘 먹었습니다
32,he**님,2022년 11월 2일,5,5,5,리뷰서비스도 잘 주시구 배달도 빠르고 너무 맛있었습니다 !!
33,th**님,2022년 11월 2일,-,-,-,맛있게 잘 먹었습니다ㅎㅎ 항상 호식이가 땡길 때마다 맛있게 잘 먹고 있습니다ㅎㅎ 매운 간장 최고!!!! 매운 양념 만세!!!
34,se**님,2022년 11월 2일,5,5,5,"배가 너무 고파서 사진 찍는것도 잃어 버렸네요..
역시 최고♡"
35,fo**님,2022년 11월 2일,-,-,-,너무 맛있게 먹었습니다. 늘 최고입니다.
36,le**님,2022년 11월 2일,5,5,5,맛있게 잘 먹었습니다~~~!!!
37,ki**님,2022년 11월 1일,5,5,5,맛있게 잘먹었습니다~~
38,ru**님,2022년 10월 31일,5,5,5,맛있게 잘먹었습니다ㅋㅋ
39,sg**님,2022년 10월 31일,5,5,5,잘먹었습니다.....
40,ry**님,2022년 10월 30일,5,5,5,배달도 빠르고 무엇보다 치킨이 맛있었습니다. 앞으로 자주 시켜 먹을 것 같아요👍
41,nh**님,2022년 10월 30일,-,-,-,가꺼유ㅓ서 포장 자주해요 맛있어ㅛ요
42,sp**님,2022년 10월 30일,5,5,5,맛있게 잘 먹었습니다
43,qk**님,2022년 10월 30일,5,5,5,"배달도 빠르게 오고 호식이를 좋아해서 자주 시켜먹는데
가산점 호식이가 맛있어서 좋아요! 다음에 또 시켜먹을게요"
44,du**님,2022년 10월 30일,5,5,5,맛있게 먹었습니다.ㅎㅎ
45,ne**님,2022년 10월 29일,5,5,5,맛도 양도 훌륭합니다 ^ ^ 가슴살도 촉촉해서 맛있었어요 양념을 듬뿍 주셨네요
46,ab**님,2022년 10월 29일,5,5,5,감사합니다감신합니다
47,gh**님,2022년 10월 29일,5,5,5,맛있게 먹었네요 ㅎㅎ 다음번에  또 시켜 먹을게요
48,sk**님,2022년 10월 29일,5,5,5,맛있게 잘 먹었습니다~ 양도 좋고 맛도 좋아요!
49,eh**님,2022년 10월 28일,5,5,5,맛있게 잘 먹었습니다
50,mi**님,2022년 10월 28일,5,5,5,양념은 호식이가 제일 맛있어요ㅎ
51,ba**님,2022년 10월 28일,5,5,5,역시 호식이!맛있어요~~
52,dm**님,2022년 10월 27일,5,5,5,"배달빠르고 양많고 넘나 맛있어요!!
호식이는 가산점에서만 주문해요!! :)"
