,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,25**님,12시간 전,5,5,5,치킨 짱맛 너무너무 맛있어요
1,po**님,어제,-,-,-,리뷰 꼬박꼬박 쓰는 사람인데 이벤트 깜빡하고 체크 안 해서 속상하지만~ 치킨은 맛있게 잘 먹었습니다. 할인 할 때 마다 고추바사삭 종종 시켜먹게되는데 너무 많이 짜지도 않고 다른 튀긴 치킨들보다 기름도 적고 맛있어요.
2,ks**님,2일 전,5,5,5,맛있게 잘 먹었습니당🤍
3,bb**님,3일 전,5,5,5,역시 고추바사삭 순살이 최고야
4,sh**님,3일 전,-,-,-,"믿고 먹는 굽네 
치킨중에 젤 맛있어요 !!!!!!!!!"
5,ur**님,3일 전,5,5,5,약시 고추바사삭 맛있어요 또 시킬게요
6,hh**님,3일 전,5,5,5,맛있어요 배달도 빠르고 좋습니다 !!!
7,re**님,4일 전,5,5,5,역시 굽네답게 맛있네요
8,61**님,4일 전,5,5,4,양이 넉넉하고 오리지널 맛있어요.
9,jp**님,4일 전,5,5,4,"와~ 정말 맛있네요~
치즈볼 굿~
고바 굿~
바게트 굿~"
10,ko**님,4일 전,5,5,5,"와!맛잇습니다
최고의닭을맛봣네요
굿~~~~~~~~~👍"
11,le**님,4일 전,-,-,-,어제도 먹고 오늘 또 먹어요~
12,-e**님,4일 전,-,-,-,피자는 처음인데 맛있어요 ㅋㅋ
13,bo**님,4일 전,5,5,5,잘 받았습니다 매콤바삭 맛있어요
14,dg**님,4일 전,-,-,-,very good.
15,te**님,4일 전,-,-,-,오븐구이치킨이라 담백하고 부드러운데 껍데기가 바삭바삭 맛있어요  고추바사삭 강추합니다~
16,-e**님,4일 전,-,-,-,너무 맛있어요! ㅎㅎㅎ
17,gp**님,4일 전,5,5,5,신메뉴 맛있네요!! 소스 찍어먹으니까 더 맛있어요
18,ks**님,4일 전,-,-,-,굿 역시나 항상 맛있네요^^
19,sm**님,4일 전,-,-,-,굽네 순살 최고ㅠㅠㅠ 치즈볼도 넘넘 맛나요🥰🥰🥰
20,lo**님,5일 전,-,-,-,"진짜 치킨 여기만먹어요
존맛탱👍👍👍👍👍
고추바사삭 제최애입니당"
21,ji**님,5일 전,-,-,-,맛있게 잘 먹었습니다 또 시킬게용
22,fa**님,5일 전,5,5,5,"고추바사삭 최애치킨이에요
따뜻하게와서 잘 먹었습니다^0^
치즈볼도 감사합니다!"
23,ch**님,5일 전,5,5,5,고바순 맛있어요!!
24,be**님,5일 전,-,-,-,치킨 너무 맛있어요
25,ga**님,5일 전,-,-,-,갈비천왕 처음 주문해봤는데 맛있네요!!!
26,le**님,5일 전,5,5,5,항상 시켜먹어요 맛있어요!!
27,sj**님,5일 전,-,-,-,마늘향 좋고 바삭하고 맛있네요~~~
28,jo**님,6일 전,-,-,-,맛있게 잘먹었습니당
29,h2**님,6일 전,-,-,-,"굽네고추바사삭 정말 맛있어요
가산점 픽업으로 주문했는데 매장 깨끗하고 친절하시네요"
30,ps**님,6일 전,-,-,-,맛있게 잘 먹었습니다. 또 주문할게요.
31,go**님,일주일 전,5,5,5,맛잇어용. ㅎㅎ  만족합니다 ~~
32,gk**님,일주일 전,-,-,-,맛있게 잘 먹었습니다~
33,an**님,2022년 11월 7일,-,-,-,포장했는데 친절하시고 치킨도 맛있었어요.
34,hy**님,2022년 11월 6일,4,5,5,맛있네요 네.....
35,mu**님,2022년 11월 5일,5,5,5,배달 빠르고 맛있었어요 😋
36,da**님,2022년 11월 3일,-,-,-,제시간에 나와서 안기다려서 좋아요
37,kh**님,2022년 11월 3일,5,5,5,바삭바삭 너무 맛있었습니다 🙃👍
38,hj**님,2022년 11월 2일,5,5,5,맛있게잘먹어습니다.
39,su**님,2022년 10월 31일,5,5,5,맛있게 잘 먹었습니다
40,nh**님,2022년 10월 30일,-,-,-,고추바사삭 존맛!!!
