,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,dp**님,22시간 전,5,5,5,잘 먹었습니다
1,en**님,2022년 11월 8일,5,5,5,"아이스크림은 당연히 맛있었죠 하지만 모찌가 안왔어요
내 모찌.."
2,al**님,2022년 11월 6일,5,5,5,배스킨라빈스 금천가산점
3,bu**님,2022년 11월 4일,5,5,5,스티커 너무 귀여웠어요 ㅋㅋㅋㅋㅋ 양도 꽉꽉 눌러 담아주시고 맛있습니다!
4,kh**님,2022년 11월 2일,5,5,5,늘 맛있어여 종류도~
5,02**님,2022년 10월 12일,-,-,-,편리하게 잘 이용했어요~
6,sm**님,2022년 10월 11일,5,5,5,"헉 너무 예뻐요 ...
배달도 안전히 잘 와주셔서 안 망가지고 잘 받았어요!"
7,ru**님,2022년 10월 10일,5,5,5,배달도 빠르고 좋아요 ㅎㅎ
8,ye**님,2022년 10월 10일,1,1,1,배달두시간걸려서먹을라면드시던가
9,ki**님,2022년 10월 9일,5,5,5,맛있게 잘먹었숩니다!!~~
10,ki**님,2022년 10월 8일,5,5,1,"언제온지도 모르게 문손잡이에 걸려있었네요
문앞에 두고 문자주세요라고 별표까지 적혀있었는데
배달기사 잘못인지 뭔지 이런거 안적는데 아이스크림이어서 화나서 적습니다.."
11,wl**님,2022년 10월 8일,5,5,1,"배달이 온지도 모르고 계속 기다렸네요
도착알람을 안줘서오ㅡ"
12,pa**님,2022년 10월 7일,5,5,5,Wow so amazing icecream!
13,mh**님,2022년 10월 3일,5,5,5,배송도 빠르고 맛있어요
14,kh**님,2022년 10월 2일,3,4,1,다른 집앞에 두어서 한참을.기다리다 찾았네요 ㅠㅠ
15,kh**님,2022년 9월 27일,5,5,5,베라는 사랑입니다^^
16,ca**님,2022년 9월 19일,5,5,5,맛있게 잘 먹었어요!! 다음에도 시켜먹을게요 ㅎㅎ
17,yo**님,2022년 9월 18일,1,1,3,"주문서 제대로 안 읽으시나봐요
핫 시켰는데 아이스로 배달되었네요"
18,kh**님,2022년 9월 9일,5,5,5,베라는.늘 맛있어요
19,ss**님,2022년 9월 8일,-,-,-,최애픽으로만 주문했어요 역시 아는맛이 최고요
20,ss**님,2022년 9월 8일,-,-,-,굉장한맛 아는맛이 무섭네요
21,mh**님,2022년 8월 30일,5,5,5,맛있어요 다음에도 주문할게요
22,gk**님,2022년 8월 30일,5,5,5,배달빨랐어요! 배라는 믿고먹쥬 아봉필수
23,ki**님,2022년 8월 19일,5,5,5,먹고 싶은 맛이 품절이었는지 다른맛이왔네용!
24,se**님,2022년 8월 17일,5,5,5,배달 빠르고 정확하게 잘 왔어요~ 아이스크림이야 당연히 넘 맛있어요
25,92**님,2022년 8월 15일,5,5,1,4시48분에 시켜서 60분내도착예정이랬는데 기사님이 51분에 픽업핬다고하셨음. 결국 56분에 받았네요. 요즘 라이더분들이 많이 그만두신듯
26,ae**님,2022년 8월 11일,5,2,5,체인점이니 맛은 다같은것같고 맛있습니다. 녹은것인지 양이적은것인지 뚜껑열고 한참 생각했네요. ㅋ 맛 있습니다
27,ki**님,2022년 8월 10일,5,5,5,잘먹었습니다~~!!!
28,ji**님,2022년 8월 6일,5,5,5,조카애 사주느라 못먹어봤어요
