,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,kd**님,8시간 전,5,5,5,너무맛깔낫어요!!!!!
1,so**님,2일 전,5,5,5,아메리카노 시킬땐 여기로 ㅎㅎ
2,bv**님,3일 전,5,5,5,굿굿 맛있습니다 굿굿
3,ji**님,4일 전,5,5,5,오오~~맛있어여!!!!음려 사이즈도 크구영!!!
4,gk**님,5일 전,5,5,3,리뷰이벤트 누락인듯 싶습니다 맛은 좋네요
5,ri**님,6일 전,5,5,5,"생크림 듬뿍 들어가있어서 너무 좋네요!!
잘 먹었습니다☺️"
6,jo**님,6일 전,5,5,5,"1리터라그런지 양이 진짜 많네요 맛도 있고
다음에 또 시킬게요"
7,el**님,6일 전,5,5,5,수제와플 맛있어요
8,dk**님,일주일 전,5,5,5,와플 생크림 많이 있어 좋아요. 음료 얼음 조금 달라그랬는데 그래도 많네요. 모두 맛있게 잘먹었습니다.#식후감
9,ur**님,일주일 전,5,5,5,완전 맛있어요 또 시킬게요
10,ch**님,2022년 11월 9일,5,5,5,"바나나우유 맛있어요잉 ㅎㅎㅎ양도많고!
집이랑 가까웠으면 좋았을텐데 ㅜㅜ"
11,ci**님,2022년 11월 7일,4,3,3,"사진찍는걸깜빡하고 저번에먹은메뉴로올립니다
초코와플이 맛잇네요"
12,wl**님,2022년 11월 5일,5,5,5,커피 때문에 주문했는데 와플이랑 토스트도 절말 맛있네요!
13,za**님,2022년 11월 5일,5,5,5,배달도 빠르고 맛있고 양이 많습니다. 직원이 너무 친절합니다. 제가 리뷰 이벤트 있는 게 주문한 후 봤습니다. 전화해서 부탁하고 아이스티를 잘 받았습니다. 감사합니다. 많이 팔아세요!
14,je**님,2022년 11월 4일,5,5,5,와플 맛있는데 와플 세트에 딸기 와플이 없어서 따로 선택해야하는...
15,ch**님,2022년 11월 2일,5,5,5,잘 먹었습니다!!!
16,el**님,2022년 11월 1일,5,5,5,와플 주문했는데 맛있었습니다
17,rl**님,2022년 10월 30일,5,5,5,배달은 느리지만 맛은 있어요!
