,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,ss**님,6시간 전,5,5,5,요즘 커피는 무조건 디저트39에서 시켜먹어요!!
1,tl**님,2일 전,5,5,5,"케이크는 말이 필요없이 맛있고 저희집 오신 기사님 너무 친절하셔서 감동받았어요😭😭
덕분에 기분 좋게 잘 먹었습니다😊"
2,ng**님,2일 전,5,5,5,딸기 라떼 이렇게 맛있는데 저칼로리라니 너무 좋아요…💕 근데 저번 주문 때 리뷰이벤트 참여 시 닉네임 기재해야한다고 하셔서 이번에 적긴 했는데 해당 내용이 안보이네요! 확인 부탁드립니다~~
3,c7**님,4일 전,5,5,5,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
4,to**님,5일 전,5,5,5,닉네임 쓰라고 리뷰신청방법 사진에 없던데 써야 하는거였나요..;; 배달은 빠르고 맛있었어요
5,js**님,일주일 전,5,5,5,맛있게 잘먹었어요!!컵이 너무 예뻐서 한번 마시고 버리기 아깝네요 다음에 또 시킬께요!!
6,ha**님,2022년 11월 11일,5,5,5,"맛있어요ㅠ.ㅠ 존맛탱❤️‍🔥
맛은 물론이고 배달도 빠르고 사장님 너무 친절하세요
번창하시고 단골 될게요!"
7,dp**님,2022년 11월 11일,5,5,5,맛있게 잘먹었습니다. 텀블러 사은품으로 주신거 잘쓰고 있어요 감사합니다.
8,mi**님,2022년 11월 9일,5,5,5,커피도맛있구 디저트도 맛있음.
9,kj**님,2022년 11월 8일,5,5,5,배달도 엄청 빨랐고 오믈렛과 쿠키도 맛있네요 리뷰이벤트로 받은 마카롱도 잘 먹겠습니다 또 이용할게요~
10,gr**님,2022년 11월 8일,5,5,5,디저트39는 구월점이 최고인듯요. 배달비가 조금 비싸지만 리뷰이벤트 서비스가 너무 좋네요.
11,ng**님,2022년 11월 8일,5,5,5,오믈렛이 입에서 눈 녹듯 사라지네요👍🏻 주스도 저칼로리라는 게 안믿겨질만큼 맛있어요💗
12,ls**님,2022년 11월 7일,5,5,5,맛있어요! 초코 크로와상은 생각보다 쌉쌀하더라구요 단거 좋아하시는분은 패스!  초코쿠키랑 마카롱은 넘 맛있었어요 순수우유케이크는 너무 제스타일이 아니더라구요 우유비린맛? 같은게 나서 한입먹고 패스ㅜㅜ 전반적으로는 만족!
