,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,gk**님,어제,5,5,5,맛도좋고 배달도 빠르고 좋아요 허허
1,pi**님,2일 전,3,3,3,빨리는 옵니다....
2,go**님,3일 전,5,5,5,커피가 진하고 맛있어요~♡
3,m1**님,2022년 11월 12일,5,5,5,ㅜㅜ배달이 다른데로가서 다 식었지먼 맛있어요
4,gd**님,2022년 11월 9일,5,5,5,우왕~~배달도 빠르고 포장도 흐트러짐 없이 너무 잘받았어요♡ 펄도 쫄깃쫄깃 푸짐하구요 인하점 최고♡잘마셨습니다!
5,ro**님,2022년 10월 29일,5,5,5,항상 잘 먹고 있습니다.
6,le**님,2022년 10월 18일,3,5,5,커피가 밍밍하네요. 그래도 다른 음료랑 붕어빵 맛있어요! 배달도 빠르고요 ㅎㅎ
7,t6**님,2022년 10월 16일,5,5,5,배달도 빠르고 맛있게 잘 먹었어요!!👍👍
8,ta**님,2022년 10월 9일,5,5,5,잘 마셔습니다 리뷰가 늦었네요
9,ba**님,2022년 10월 4일,5,5,5,"커피는 역시 더벤티
배달도 역시 더벤티
카페인 충전 더벤티!"
10,tj**님,2022년 10월 3일,5,5,5,😍😍😍😍😍😍😍😍😍😍😍
11,rh**님,2022년 10월 2일,5,5,5,잘마셨습니다 맛있어요
12,ta**님,2022년 10월 1일,5,5,5,맛있게잘마셨습니다...
13,mi**님,2022년 9월 17일,5,5,5,완전 맛있었어요!! 짱
14,bh**님,2022년 9월 16일,5,5,5,"토피넛 스무디 맛있어용
요청사항도 들어주시고 감사합니다~~!"
15,l0**님,2022년 9월 16일,5,5,5,감사합니당 잘마셨어요
16,ra**님,2022년 9월 15일,5,5,5,잘 마셨습니다ㅎㅎㄹ
17,ta**님,2022년 9월 12일,5,5,5,오늘도 잘마시고 갑니다
18,t6**님,2022년 9월 11일,5,5,5,맛있게 잘 먹었습니다!!
19,ta**님,2022년 9월 10일,5,5,5,잘 마셨어요 항상 잘마시고 있어요
20,ta**님,2022년 9월 10일,5,5,5,오들도 잘마셨네요..
21,12**님,2022년 9월 10일,5,5,5,잘 먹었습니다...
22,al**님,2022년 9월 10일,5,5,5,"수박쥬스 맛있어요 !
별하나 뺀이유는 요청사항 안들어주셔서요
타로버블티 얼음빼달라고했는데 안빼주셨네요 .."
23,mp**님,2022년 9월 10일,5,5,5,배달로 시켜먹기 좋은집
24,yo**님,2022년 9월 9일,5,5,5,늘 딸기쉐이크시켜먹는데 맛 좋아요~~
25,ta**님,2022년 9월 9일,5,5,5,맛있게 잘마셨습니다 얌냠
26,21**님,2022년 9월 9일,5,5,5,맛잇어용ㅎㅎ 커피가고소함ㅎㅎ
27,hi**님,2022년 9월 8일,5,5,3,"빨대가 하나도 안 왔어요….. 젤리, 펄 추가했능데.. 심지어 저는 버블티였는데ㅠㅠ 둘이 뚜껑 열고 숟가락으로 퍼먹었어요 ㅋㅋㅋㅋㅋᩚ 배달이 좀 늦게 와서 그런지 버블이 뭉쳐있고 많이 미지근해져있더라구여 섞으니까 얼음 다 녹음
근데 맛은 너무 맛있었어용"
28,dl**님,2022년 9월 6일,5,5,5,배달도 빠르고 맛있어요
29,dl**님,2022년 9월 6일,5,5,5,"빠르고 맛있어요
또 이용할게요"
30,t6**님,2022년 9월 6일,5,5,5,"사진을 좀 지저분하게 찍었네요~^^;;
맛은 👍👍~
처음 주문 하는데 너무 맛있게 먹었어요!!
❤️저장하고 갑니다!담에 또 주문할께요!!"
31,ta**님,2022년 9월 4일,5,5,5,맛있게  잘마셨 습니다
32,rh**님,2022년 9월 3일,5,5,5,잘마셨습니다. 맛있어요
33,dj**님,2022년 9월 1일,1,1,1,방금 배달왔는데...다 쏟아졌네요...전화를했는데 안받으시네요...단골인데...실망입니다...
34,yo**님,2022년 9월 1일,5,5,5,자주시켜먹게 되네요~딸기쉐이크 좋아하는 옆지기땜시
35,l0**님,2022년 8월 30일,5,5,5,맛있었늡니다 감사해용
36,ir**님,2022년 8월 30일,5,5,5,나른한 오후에 달콤한 휴식이었어요~ 음료가 저렴해서 쿠키까지 먹어도 좋네요^^
37,dl**님,2022년 8월 30일,5,5,5,안 녹아서 맛있어요
38,ta**님,2022년 8월 29일,5,5,5,리뷰 눚었지만  잘마셨어요
39,ta**님,2022년 8월 27일,5,5,5,"맛있게  잚마셨어요  깜박 잊고  사진못찍
냠냠"
40,09**님,2022년 8월 25일,5,5,5,"너무 상킁했는데 이야기 하느라  사진은 못찍었내요..
생과일이  하나씩 들어 있는데다
펄추가 까지  하니  힙는맛까지~~끝내주내요^^"
41,ta**님,2022년 8월 25일,5,5,5,시원하게 잘 마셨어요
42,ki**님,2022년 8월 24일,5,4,1,"가끔씩 잘 시켜먹었었는데 직전부터 뭔가 이건 아니다싶네요
전엔 얼음이 다녹아서 왔고 이번엔 얼음이 반쯤녹았는데 왜 하나는 양이 애매하게 적을까요..?

분명 문자달라고 적어놨는데 그냥 놓고 문자한통없고 벨을 누른것도아니고
얼음녹는건 배달문제지만...
전에 배달기사한테 전화해보라고 하신 기억이 선명하네요... 

그냥 제가 운이 없는거겠죠?"
43,mp**님,2022년 8월 23일,5,5,5,배달빠르고 서비스 좋고 배달비 싼편이고 좋습니다
44,sn**님,2022년 8월 23일,5,5,5,맛있게 잘 먹었습니다
45,yo**님,2022년 8월 22일,5,5,5,"쉐이크도 맛나고 아메리카노도 맛나요!
가성비 굿!"
46,ta**님,2022년 8월 21일,5,5,5,맛있게 잘 마셧습니다 얌냠
47,ta**님,2022년 8월 20일,5,5,5,오늘도  시원하게 한잔  잘마셨어요
48,ba**님,2022년 8월 20일,5,5,5,시원하고 맛나요 굿굿굿 또 시킬게요
49,be**님,2022년 8월 19일,5,5,5,맛있게 잘마셨습니다~
50,ta**님,2022년 8월 19일,5,5,5,오늘도  맛있게 잘마셨습니다 냠냠
51,ji**님,2022년 8월 17일,5,5,5,잘먹었습니다~~♡♡
52,ls**님,2022년 8월 17일,5,5,5,아이들 출출했는데 간식으로맛있게 잘 먹었어요 ~~^^
53,dn**님,2022년 8월 17일,5,5,5,참 좋아요.  잘 먹겠습니다.
54,wj**님,2022년 8월 16일,5,5,5,잘 먹었습니다ㅎㅎㅎ
55,ta**님,2022년 8월 16일,5,5,5,잘마셨어요 오늘도  맛나네요
56,ta**님,2022년 8월 15일,5,5,5,오늘도 맛있게 잘 마셨습니다
57,ek**님,2022년 8월 15일,5,5,5,단음료를 안좋아하는데 당도선택도 되고 맛있게 먹었어요! 크로플은 오버쿡돼서 딱딱했지만 음료 맛있고 팥크림빵이 되게 빵빵하고 맛있었어요
58,ru**님,2022년 8월 15일,5,5,5,배달빠르게왔어요! 시원하게 잘먹었어요^^
59,ta**님,2022년 8월 13일,5,5,5,오늘도 맛있게 마셨습니다
60,ki**님,2022년 8월 13일,5,5,5,💛💛💛💛💛
61,ro**님,2022년 8월 12일,5,5,5,항상잘먹고있습니다.
62,rh**님,2022년 8월 11일,5,5,5,잘마셨습니다. 맛있어요
63,dj**님,2022년 8월 11일,5,5,5,맛있게 잘 먹었습니다
64,bo**님,2022년 8월 11일,5,5,5,"어제 쓰려고했는데 깜빡하고 오늘 씁니다!
항상 배달도 빠르고 맛있어요~"
65,oj**님,2022년 8월 10일,5,5,5,맛있습니다~~~폴라포존맛
66,ta**님,2022년 8월 9일,5,5,5,"맛있게  잘 마셨습닏
비도  많이 오는데  배달도  빨리오고요"
67,so**님,2022년 8월 8일,5,5,5,맛있어요! 다음에도 주문할게요
68,ma**님,2022년 8월 6일,5,5,5,너무 양도 많구 시원하게 마셨습니다!~~~
69,ww**님,2022년 8월 5일,5,5,5,"배달도 빠르고 ~~~~~~
시원하게 잘먹었습니다 ^^"
70,cd**님,2022년 8월 5일,5,5,5,배달도 빠르고 맛있네용
71,ya**님,2022년 8월 3일,5,5,5,맛있게 잘먹었습니다. 서비스도 너무 좋아요
72,yk**님,2022년 8월 3일,5,5,5,잘먹었습니다!! 담에 또 주문할게요
