,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,si**님,7시간 전,5,5,5,"애기랑 같이 먹으려고 주문했어요 ^-^
잘먹겠습니다!"
1,lh**님,어제,5,5,5,맛있어요!!!!!!!!!!
2,rk**님,2일 전,5,5,5,거의 주말마다 시키는듯..엄마랑 저랑 여기 샌드위치 너무봏아해요 ㅎㅎ 피크닉갈때도 애용 하면 참 좋아요 한끼로도 손색없이 든든해요!!
3,km**님,3일 전,5,5,5,"오랫만에 시켰어도 변함없는 맛~
정성가득한 샌드위치~
넘나 맛있게 잘 먹습니다~~👍👍🙇‍♀️"
4,am**님,3일 전,5,5,5,"다ㅡ맛있어요 에그 소고기 맛이좋고 야채도싱싱하고 
커피는  제입맛에는 딱이네요
많이많이 파세용"
5,ha**님,4일 전,4,4,5,👍👍👍👍👍👍👍👍👍👍
6,ca**님,4일 전,5,5,5,맛있게 잘 먹었습니다!
7,se**님,4일 전,5,5,5,배달 빠르게 잘 왔어요~ 커피 맛있는건 알았고 커피콩빵은 첨 시켜봤는데 촉촉하니 맛있네용!
8,ye**님,5일 전,5,5,5,맛있고 자주주문하는곳인데 요즘은조금뜸했네요. 번창하세요
9,m3**님,5일 전,5,5,5,처음 시켜봤는데 기대이상이였어요!! 👍👍👍👍👍
10,ro**님,6일 전,5,5,5,출근 전 아점 ㅎㅎ 남은건 내일 출근전에 먹을라구여 맛있어여
11,mi**님,6일 전,5,5,5,카야토스트 양도 많고 정말 맛있네요. 자주 시켜 먹을 것 같아요! 익스프레스로 주문했더니 15분만에 도착했어요.
12,sa**님,6일 전,5,5,5,맛있네요 ! 나중에 샌드위치 생각나면 다시 재구매하려구요
13,wk**님,일주일 전,5,5,5,잘먹었습니다 감사합니다 ㅎㅎ
14,jh**님,일주일 전,5,5,5,빵도 맛있구 단백하게 잘먹었습니다.
15,au**님,2022년 11월 11일,5,5,5,가끔 시켜먹는데 맛있고 배달도 빠르고 좋아요 이번에 치즈케잌 처음시켰는데 사진보고 맛잇어보여서 시켰는데 사진하고 너무 달라서 당황햇네여ㅋㅋ 그래도 맛은 좋아요ㅋㅋ 사진은 바꾸셔야할듯
16,ga**님,2022년 11월 7일,5,5,5,항상 맛있게 먹고있어요 감사합니다
17,sk**님,2022년 11월 7일,5,5,5,샐러드도신선하고샌드위치도  정말맛있어요 ~~♡
18,kh**님,2022년 11월 6일,5,5,5,배달시간도 빠르고.감사합니다.^^
19,pi**님,2022년 11월 6일,5,5,5,"먹느라 사진을 못찍었습니다. 다들 너무 맛있게 먹었습니다, 감사합니다아"
20,ks**님,2022년 11월 5일,5,5,5,너무 맛있게 먹었습니다.
21,tn**님,2022년 11월 5일,5,5,5,카라멜이 맛있네요.
22,yh**님,2022년 11월 4일,5,5,5,저번에도 맛있게 먹어서 오늘도 주문했어요.양도 많고 내용물도 실해서 좋아용
23,c7**님,2022년 11월 4일,5,5,5,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
24,su**님,2022년 11월 3일,5,5,5,맛있게 잘 먹었습니다 :)
25,se**님,2022년 11월 3일,5,5,5,"샌드위치에 양상추가 신선하고 많아 좋았어요
포장도 맘에들고 샐러드 역시 맛있어요
커피도 맛있고 오~~좋아요"
26,po**님,2022년 11월 2일,5,5,5,어린이집 소풍가는날 선생님도시럭으로 딱이네요 ㅎ 감사합니다
27,yo**님,2022년 10월 31일,5,5,5,배달바르구요.맛있게 먹었습니다.
28,kb**님,2022년 10월 31일,4,4,4,"상큼하고 신선한재료 좋았어요
그런데 소스는 조금 더 담아주면 더 좋을것같아요"
29,ga**님,2022년 10월 30일,5,5,5,"베이컨샌드위치도 맛있었어요,항상 맛있게 잘먹고 있어요"
30,to**님,2022년 10월 30일,5,5,5,"간식으로 먹기 좋아요!
메뉴가 다양해서 골라 먹을 수 있어요 특히 미숫가루 맛있어요 잘 먹었습니다 ^^"
31,xk**님,2022년 10월 30일,5,5,5,"오늘따라 샐러드 미쳣다요!!!! 
너무 신선하고 과일이랑 에그랑 너무 잘어울리고 
늘 맛있지만 오늘 제일 맛있게먹엇네요!!
잘먹었습니다~~~"
32,ba**님,2022년 10월 27일,5,5,5,굿~~^^완전 짱!!
33,yi**님,2022년 10월 27일,5,5,3,항상 잘 먹고 있습니다-!
34,ji**님,2022년 10월 24일,5,5,5,배달 항상 빠르고 맛있어요~ 배달비도 저렴해서 좋아요
35,sk**님,2022년 10월 24일,5,4,5,깔끔하고 맛이좋네요!!!!!!!
36,jy**님,2022년 10월 24일,5,5,5,"메뉴구성이 너무 좋고 맛도 좋아요♡
항상 샌드위치랑 샐러드 조금씩 먹고 싶었는데
혼자 먹기에 양도 딱 좋아요~
앞으로 자주 애용할듯싶어요^^
맛있는 음식 감사합니다♡♡♡"
37,ro**님,2022년 10월 24일,5,5,5,맛있게 잘 먹었습니당~
38,zc**님,2022년 10월 23일,5,5,5,"꿀맛! 햄치즈토스트 먹어보고 이번엔 버터들은걸로 먹어봤는데 묵직한 달달한생크림이 들어있는 토스트같아요!
샌드위치도 아침에 먹기에 거부감없이 넘어가는게 딱 좋았어요!"
39,ye**님,2022년 10월 22일,5,5,5,샌드위치 반쪽만와서 당황햇는데 알고보니 제가 옵션선택을 잘못햇어요ㅜ근데 맛잇어요!!흑임자라떼도 넘맛잇엇어요
40,55**님,2022년 10월 22일,5,5,5,배달이  빠르고  맛있게 잘먹었습니다.
41,po**님,2022년 10월 22일,5,5,5,맛있게 먹을게요 감사해요
42,si**님,2022년 10월 21일,5,5,5,맛있게 잘 먹었어요^-^!!
43,gw**님,2022년 10월 21일,5,5,5,맛있게 잘먹었습니다
44,hy**님,2022년 10월 21일,5,5,5,"사진은 못찍었지만 정말 맛있었습니다
늦은 저녁시간에 시켰음에도 불구하고
채소도 엄청 싱싱하고 샌드위치 자체가
깔끔하고 담백하며 너무 맛있었습니다~~
커피콩빵도 너무 귀엽고 맛잇고 맛집이네요^^
다음번엔 꼭 사진찍어서 남기겠습니다~"
45,s4**님,2022년 10월 20일,5,5,5,"3일 연속으로 시켜먹었어용ㅎ!!
시험기간이라 힘든데.. 여기에 돈 다쓰는중..ㅎ
배달비 4400원이라ㅜㅠㅠ 너무 악랄하지만 그래더 시켜먹어요!! 진짜 맛있어욤!!"
46,jm**님,2022년 10월 20일,5,5,5,스무디 샌드위치 넘넘 맛있어요!!! 오랜만에 주문했는데 맛나게 잘 먹었어요~~~!!!
47,go**님,2022년 10월 19일,1,2,5,리뷰요청잘안보시는것같아여 사진에는 과일그래도3가지정도는있는것같은데 과일은방울토마토자른거 5개정도랑파인애플1개 토핑이네요 예전엔포도같은것도있고했는데 오늘은돈이아깝네요
48,ee**님,2022년 10월 19일,5,5,1,배달을 요청사항안본거빼곤 다괜찮네요
49,s4**님,2022년 10월 17일,5,5,5,연속으로 시켜먹었어요!! 진짜 너무 맛있어욤!!!
50,s4**님,2022년 10월 16일,5,5,5,또 시켜면서 리뷰도 남깁니다ㅎ 너무너무 맛있어욤ㅁ
51,ch**님,2022년 10월 16일,5,5,5,늘 맛있어서 고민없이 주문했네요
52,ks**님,2022년 10월 15일,5,5,5,"치즈가 없네요ㅠㅠ
내 천원 ㅠㅠ
다만 맛이 끝내줘서 ㅠㅠ
기분은 괜찮습니다
다음에  꼭 두배로 치즈 주세요"
53,dg**님,2022년 10월 15일,5,5,5,사진은 깜빡했는데 샌드위치하면 여기서만 시킵니다. 조아요
54,qk**님,2022년 10월 14일,1,1,1,빨대좀 넣어주세요 제발
55,lk**님,2022년 10월 14일,5,5,5,양도 푸짐하고 맛있어요. 오리가 조금만 더 부드러웠음 좋겠습니다.
56,s3**님,2022년 10월 13일,4,4,4,잘먹었어요 또 주문할게요
57,ga**님,2022년 10월 13일,5,5,5,"배달빠르고 맛있었어요
자몽청 숙취에 정말 직빵임..ㅜ"
58,ch**님,2022년 10월 10일,5,4,5,샌드위치가 갑자기 먹고 싶었는데 맛도 괜찮고 배달도 빨라서 좋았어요~😆😋
59,ga**님,2022년 10월 10일,5,5,5,맛있게 잘 먹었습니다 또 주문할께요
60,no**님,2022년 10월 10일,5,5,5,배달 빠르고 맛있어요ㅎㅎ
61,zc**님,2022년 10월 9일,5,5,5,"굿! 토스트도 음료도 최고예요!!
레몬에이드에 생레몬 넣어주는 곳 없었는데 넣어주시고 최고최고!!
토스트도 진짜 꿀맛!
3인이서 간단하게 식후 나눠먹었어요!"
62,se**님,2022년 10월 9일,5,5,5,"일욜아침으로
클린메뉴
먹을수있어요.
맛도 좋구요 행복한 기분 입니다 ~~^^"
63,th**님,2022년 10월 9일,5,5,5,"마감시간 임박해서 주문했는데도 잘 챙겨주셔서 감사해요!
맛은 당연히 좋아요~~!!"
64,od**님,2022년 10월 8일,5,5,5,항상 신선한 산도 잘 먹고 있습니다. 커피도 맛있군요👍
65,ha**님,2022년 10월 8일,5,5,5,고소하이 쳐 지기네예
66,yi**님,2022년 10월 7일,5,5,5,맛있게 잘 먹었습니다!!
67,lm**님,2022년 10월 6일,5,5,5,깔끔하고 상큼한 식사입니다
68,kk**님,2022년 10월 5일,5,5,5,엄청 두툼하네요 배부르고 맛있어요👍 다음에도 먹어야겠어요
69,js**님,2022년 10월 5일,5,5,5,오 두툼하니 보기에도 먹음직스럽고 진짜 맛있네용!!! 다음에 또 주문할게용!!
70,fl**님,2022년 10월 4일,5,5,5,엄마 보내드렸는데 양도 많고 너무 만족스러워요!
71,92**님,2022년 10월 3일,4,4,5,배송도 빠르고 맛도 짱입니다..
72,al**님,2022년 10월 3일,5,5,5,"배달 빨리오고 너무 맛있어서
잘 먹었습니다. 감사합니다."
73,rl**님,2022년 10월 3일,5,5,5,맛있게 잘 먹었습니다!
74,ga**님,2022년 10월 2일,4,5,5,샌드위치는 엄청 빠르게 받았는데 오늘 에그마요는 맛이 좀 평소랑 틀립니다 소불고기는 정말 맛있게 잘 먹었어요
