,아이디,날짜,맛평점,양평점,배달평점,리뷰
0,dy**님,2시간 전,5,5,5,맛있아요 잘 먹었습니다
1,wl**님,5시간 전,5,5,5,전 요기 와플 커피 핫도ュ...ユ...그 넘 으 조아요
2,by**님,20시간 전,5,5,5,"맛있게 잘 먹었어요.
또 시켜 먹고싶을만큼 만족했어요."
3,yh**님,어제,5,5,5,맛있게 잘 먹었습니다 ~~
4,mu**님,어제,5,5,5,맛있어요 배달 빠르고
5,ha**님,어제,5,5,5,사진은 없지만 맛있게 잘먹었습니다
6,al**님,2일 전,5,5,5,홍콩에그와플 너무 맛있어요!!! 카야잼이랑 크림치즈도 잘어울려요! 맛있게 잘 먹었습니다
7,jh**님,3일 전,4,4,5,"떡볶이 매콤하고 꾸덕하고 맛나요~~~~!
포장을 잘 해주셔서 깔끔하게 잘 먹었습니다!"
8,jo**님,3일 전,5,5,5,맛있고 배달도 빨라서 좋아요
9,mi**님,3일 전,5,5,5,자주 시켜먹는데 항상 맛있네요
10,dn**님,4일 전,5,5,5,"잘 먹었습니다 
와플에 떡볶이는 필수인듯요~~
급히 먹느라 사진은 예전껄로 ㅠㅠ"
11,ls**님,5일 전,5,5,5,커피랑 와플 정말 맛있습니다 최고예요👍
12,ju**님,5일 전,5,5,5,"생일이라서 케익 대신 시켜 먹었습니다ㅎ
와플 처음 먹어본 저희엄마가 케익보다 덜느끼하고 맛있다며 2개나 먹더라구요ㅎ
후기작성 이벤트로 받은 콜든블루?도 잘마셨습니다 대박나세요 사장님"
13,-d**님,5일 전,5,5,5,떡볶이 매운데 진짜 맛있어요^^
14,se**님,6일 전,5,5,5,배달도 빠르고 맛있어요
15,he**님,6일 전,5,5,5,매콤한 걸 먹었더니 달달한게 당겨서 와플 주문했는데 평소 눈여겨 보던 곳에 냉큼 주문 넣고 기둘렸더니 생각보다 일찍 가져다 주셔서 너무 맛있게 잘 먹었습니다~
16,go**님,6일 전,5,5,5,맛있게잘먹었습니다!
17,wl**님,6일 전,5,5,5,"핫도그도 매콤매콤
떡볶이도 완전 제스탈 
❤️❤️❤️❤️"
18,wl**님,6일 전,5,5,5,요기 커피는 진쨔. 짱짱❤️❤️❤️
19,ye**님,6일 전,5,5,5,"달달하니 맛있네요ㅎㅎ 
오늘도 잘 먹었습니다~!"
20,tm**님,일주일 전,5,5,5,맛있어요 크림완전많아요 다음에 또 시켜먹을게요!!!!!
21,2r**님,일주일 전,5,5,5,맛있게 잘 먹었어요!
22,ms**님,일주일 전,5,5,5,배송도 제 시간에오고 맛나요
23,mu**님,일주일 전,5,5,5,"비오는 날이라 배달이 될까 싶었는데 다행히 되었어요☺️
항상 맛잇는 와플집이에요!"
24,mi**님,일주일 전,5,5,5,매번 주문하는데 로제떡볶이 맛있어요!!!
25,db**님,2022년 11월 12일,5,5,5,배달도 빠르고 맛있습니다! 와플이랑 떡볶이는 항상 여기서 먹는데 다 맛있어요!
26,mo**님,2022년 11월 11일,5,5,5,와플이랑 핫도그 커피 다 맛있어요 ㅎㅎ
27,dy**님,2022년 11월 10일,5,5,5,자꾸 생각나는 맛이에요
28,wl**님,2022년 11월 9일,5,5,5,"와우…생크림에 과일 찍어먹으니까 
완전기분조아졌어용 
홍콩와플도 겉바속초 그자체 
아메리카노도 완전 맛있구용 
첫주문인데 생각날때마다 시켜먹을것같아용 ❤️❤️"
29,so**님,2022년 11월 9일,5,5,5,진짜막잇넛음 ㄹㅇㄹㅇㄹㅇ
30,ho**님,2022년 11월 8일,5,5,5,"살려주셔서 감사해요

숙취로 죽을뻔 했는데

바나나스무디로 해장 했어요 ㅎㅎ"
31,tk**님,2022년 11월 7일,5,5,5,배달도 빠르고 항상 맛있습니당👍
32,ju**님,2022년 11월 7일,5,5,5,맛있게먹었습니다 ㅎㅎㅎㅎ
33,st**님,2022년 11월 6일,5,5,5,배달 빠르고 맛 좋네요!
34,ky**님,2022년 11월 6일,5,5,5,시나몬와플 짱♡♡ 프라푸치노도 맛있어요ㅎㅎㅎ
35,ij**님,2022년 11월 6일,5,5,5,맛있고 배달빨리왔어요.
36,go**님,2022년 11월 6일,5,5,5,맛있게잘먹었습니다!
37,xo**님,2022년 11월 6일,5,5,5,"제스타일,, 맛있어용 아메리카노 감사합니다"
38,ly**님,2022년 11월 6일,5,5,5,지난번엔 무슨일인지 전반적으로 음식 상태가 그저 그랬는데 다시 시켜보니 이전처럼 맛있어요
